Unnamed: 1,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Belgium_rendements,Bulgaria_rendements,Croatia_rendements,Cyprus_rendements,Czech Republic_rendements,Denmark_rendements,Estonia_rendements,Finland_rendements,France_rendements,Germany_rendements,Greece_rendements,Hungary_rendements,Iceland_rendements,Ireland_rendements,Italy_rendements,Latvia_rendements,Lithuania_rendements,Luxembourg_rendements,Malta_rendements,Netherlands_rendements,Norway_rendements,Poland_rendements,Portugal_rendements,Romania_rendements,Slovakia_rendements,Slovenia_rendements,Spain_rendements,Sweden_rendements,Switzerland_rendements,United Kingdom_rendements
uaa_2000,2940000.0,1390000.0,5580000.0,1170000.0,142000.0,4280000.0,2650000.0,986000.0,2220000.0,29800000.0,17100000.0,8530000.0,5850000.0,1890000.0,4410000.0,15600000.0,1590000.0,3420000.0,128000.0,9000.0,1960000.0,1040000.0,18400000.0,3960000.0,14900000.0,2440000.0,518000.0,29800000.0,2970000.0,1570000.0,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uaa_2001,2920000.0,1390000.0,5500000.0,1180000.0,140000.0,4280000.0,2680000.0,890000.0,2220000.0,29700000.0,17000000.0,8440000.0,5870000.0,1890000.0,4410000.0,15500000.0,1580000.0,2900000.0,128000.0,10000.0,1930000.0,1050000.0,17800000.0,3850000.0,14800000.0,2260000.0,510000.0,29500000.0,3050000.0,1560000.0,17000000.0,0.0,-0.014336917562724039,0.008547008547008517,-0.014084507042253502,0.0,0.01132075471698113,-0.0973630831643002,0.0,-0.003355704697986628,-0.005847953216374324,-0.010550996483001174,0.0034188034188034067,0.0,0.0,-0.0064102564102563875,-0.0062893081761006275,-0.15204678362573099,0.0,0.11111111111111116,-0.015306122448979553,0.009615384615384581,-0.03260869565217395,-0.02777777777777779,-0.006711409395973145,-0.07377049180327866,-0.015444015444015413,-0.010067114093959773,0.026936026936027035,-0.006369426751592355,0.0
uaa_2002,2900000.0,1390000.0,5330000.0,1180000.0,140000.0,3650000.0,2670000.0,698000.0,2240000.0,29600000.0,17000000.0,8340000.0,5850000.0,1890000.0,4370000.0,15300000.0,1600000.0,2890000.0,128000.0,10000.0,1950000.0,1050000.0,16900000.0,3880000.0,14800000.0,2240000.0,505000.0,29400000.0,3140000.0,1560000.0,17000000.0,0.0,-0.030909090909090886,0.0,0.0,-0.14719626168224298,-0.003731343283582045,-0.21573033707865163,0.009009009009008917,-0.0033670033670033517,0.0,-0.011848341232227444,-0.0034071550255536653,0.0,-0.009070294784580546,-0.012903225806451646,0.012658227848101333,-0.0034482758620689724,0.0,0.0,0.010362694300518172,0.0,-0.050561797752809,0.007792207792207684,0.0,-0.008849557522123908,-0.009803921568627416,-0.003389830508474523,0.029508196721311553,0.0,0.0
uaa_2003,2890000.0,1390000.0,5330000.0,1200000.0,154000.0,3670000.0,2660000.0,829000.0,2250000.0,29500000.0,17000000.0,8250000.0,5870000.0,1890000.0,4370000.0,14900000.0,1580000.0,2540000.0,128000.0,10400.0,1920000.0,1040000.0,16200000.0,3810000.0,14800000.0,2240000.0,510000.0,29200000.0,3130000.0,1560000.0,17000000.0,0.0,0.0,0.016949152542372836,0.10000000000000009,0.005479452054794498,-0.0037453183520599342,0.18767908309455583,0.0044642857142858094,-0.0033783783783783994,0.0,-0.010791366906474864,0.0034188034188034067,0.0,0.0,-0.02614379084967322,-0.012499999999999956,-0.12110726643598613,0.0,0.040000000000000036,-0.01538461538461533,-0.00952380952380949,-0.041420118343195256,-0.01804123711340211,0.0,0.0,0.00990099009900991,-0.006802721088435382,-0.0031847133757961776,0.0,0.0
uaa_2004,2870000.0,1390000.0,5330000.0,1180000.0,156000.0,3630000.0,2650000.0,770000.0,2250000.0,29500000.0,17000000.0,8080000.0,5860000.0,1880000.0,4310000.0,14900000.0,1640000.0,2600000.0,128000.0,10000.0,1950000.0,1040000.0,16300000.0,3870000.0,14100000.0,1930000.0,492000.0,29100000.0,3150000.0,1550000.0,17100000.0,0.0,0.0,-0.01666666666666672,0.01298701298701288,-0.010899182561307952,-0.003759398496240629,-0.07117008443908324,0.0,0.0,0.0,-0.020606060606060628,-0.0017035775127768327,-0.005291005291005346,-0.013729977116704761,0.0,0.03797468354430378,0.023622047244094446,0.0,-0.038461538461538436,0.015625,0.0,0.006172839506172867,0.015748031496062964,-0.04729729729729726,-0.1383928571428571,-0.03529411764705881,-0.003424657534246589,0.006389776357827559,-0.0064102564102563875,0.00588235294117645
uaa_2005,2860000.0,1380000.0,5270000.0,1210000.0,167000.0,3610000.0,2710000.0,882000.0,2270000.0,29400000.0,17000000.0,8010000.0,5860000.0,1880000.0,4300000.0,14700000.0,1730000.0,2840000.0,129000.0,9300.0,1940000.0,1040000.0,15900000.0,3820000.0,14200000.0,1940000.0,509000.0,29200000.0,3200000.0,1550000.0,17000000.0,-0.007194244604316502,-0.011257035647279534,0.025423728813559254,0.07051282051282048,-0.0055096418732781816,0.02264150943396226,0.1454545454545455,0.008888888888888946,-0.003389830508474523,0.0,-0.008663366336633671,0.0,0.0,-0.002320185614849146,-0.01342281879194629,0.054878048780487854,0.0923076923076922,0.0078125,-0.06999999999999995,-0.00512820512820511,0.0,-0.024539877300613466,-0.012919896640826822,0.007092198581560183,0.005181347150259086,0.03455284552845539,0.0034364261168384758,0.015873015873015817,0.0,-0.005847953216374324
uaa_2006,2840000.0,1380000.0,5190000.0,1230000.0,157000.0,3570000.0,2710000.0,899000.0,2300000.0,29300000.0,16900000.0,7860000.0,5810000.0,1880000.0,4260000.0,14200000.0,1860000.0,2790000.0,129000.0,9200.0,1920000.0,1040000.0,16000000.0,3760000.0,14000000.0,1940000.0,491000.0,28600000.0,3150000.0,1550000.0,17800000.0,0.0,-0.015180265654648917,0.016528925619834656,-0.05988023952095811,-0.011080332409972304,0.0,0.01927437641723362,0.013215859030837107,-0.003401360544217691,-0.00588235294117645,-0.01872659176029967,-0.008532423208191142,0.0,-0.009302325581395321,-0.03401360544217691,0.07514450867052025,-0.017605633802816878,0.0,-0.010752688172043001,-0.010309278350515427,0.0,0.0062893081761006275,-0.015706806282722474,-0.014084507042253502,0.0,-0.035363457760314354,-0.020547945205479423,-0.015625,0.0,0.04705882352941182
uaa_2007,2830000.0,1370000.0,5120000.0,1200000.0,147000.0,3600000.0,2660000.0,915000.0,2290000.0,29200000.0,17000000.0,7750000.0,5810000.0,1880000.0,4280000.0,14200000.0,1840000.0,2700000.0,131000.0,9300.0,1910000.0,1030000.0,15500000.0,3660000.0,13600000.0,1930000.0,498000.0,28000000.0,3120000.0,1540000.0,17600000.0,-0.007246376811594235,-0.013487475915221592,-0.024390243902439046,-0.06369426751592355,0.008403361344537785,-0.01845018450184499,0.017797552836484876,-0.004347826086956497,-0.0034129692832765013,0.00591715976331364,-0.013994910941475869,0.0,0.0,0.0046948356807512415,0.0,-0.010752688172043001,-0.032258064516129004,0.015503875968992276,0.010869565217391353,-0.00520833333333337,-0.009615384615384581,-0.03125,-0.02659574468085102,-0.02857142857142858,-0.005154639175257714,0.014256619144602745,-0.020979020979020935,-0.00952380952380949,-0.006451612903225823,-0.011235955056179803
uaa_2008,2810000.0,1370000.0,5100000.0,1290000.0,116000.0,3570000.0,2670000.0,907000.0,2300000.0,29100000.0,16900000.0,7660000.0,5790000.0,1880000.0,4630000.0,14500000.0,1830000.0,2670000.0,131000.0,9300.0,1930000.0,1020000.0,15600000.0,3730000.0,13600000.0,1940000.0,619000.0,28100000.0,3080000.0,1540000.0,17700000.0,0.0,-0.00390625,0.07499999999999996,-0.2108843537414966,-0.008333333333333304,0.003759398496240518,-0.008743169398907069,0.004366812227074135,-0.003424657534246589,-0.00588235294117645,-0.011612903225806437,-0.0034423407917383297,0.0,0.08177570093457942,0.021126760563380254,-0.005434782608695676,-0.011111111111111072,0.0,0.0,0.010471204188481575,-0.009708737864077666,0.006451612903225712,0.0191256830601092,0.0,0.005181347150259086,0.24297188755020072,0.0035714285714285587,-0.012820512820512775,0.0,0.005681818181818121
uaa_2009,2800000.0,1360000.0,5030000.0,1300000.0,128000.0,3550000.0,2630000.0,932000.0,2300000.0,29000000.0,16900000.0,7560000.0,5780000.0,1880000.0,4590000.0,14000000.0,1830000.0,2690000.0,131000.0,9300.0,1920000.0,1010000.0,15600000.0,3700000.0,13600000.0,1930000.0,625000.0,28000000.0,3070000.0,1540000.0,17300000.0,-0.007299270072992692,-0.013725490196078383,0.007751937984496138,0.10344827586206895,-0.0056022408963585235,-0.014981273408239737,0.027563395810363822,0.0,-0.0034364261168384758,0.0,-0.01305483028720622,-0.0017271157167529916,0.0,-0.008639308855291628,-0.03448275862068961,0.0,0.0074906367041198685,0.0,0.0,-0.005181347150259086,-0.009803921568627416,0.0,-0.008042895442359255,0.0,-0.005154639175257714,0.009693053311793154,-0.003558718861209953,-0.0032467532467532756,0.0,-0.02259887005649719
