year,count,count_rendements
1980,,
1981,,
1982,5413.0,
1983,6658.0,0.23000184740439678
1984,7037.0,0.056924001201561936
1985,7145.0,0.01534744919710107
1986,5250.0,-0.26522043386983907
1987,8769.0,0.6702857142857144
1988,7199.0,-0.17903979929296387
1989,8119.0,0.12779552715654963
1990,2111.0,-0.739992609927331
1991,1624.0,-0.23069635243960207
1992,2490.0,0.5332512315270936
1993,5034.0,1.0216867469879518
1994,4222.0,-0.16130313865713153
1995,6928.0,0.6409284699194695
1996,8227.0,0.1875
1997,1786.0,-0.7829099307159353
1998,3627.0,1.030795072788354
1999,4060.0,0.11938240970499026
2000,1894.0,-0.5334975369458128
2001,3085.0,0.6288278775079197
2002,4005.0,0.2982171799027553
2003,4817.0,0.2027465667915107
2004,5575.0,0.15735935229395892
2005,5034.0,-0.09704035874439465
2006,11800.0,1.3440603893524035
2007,18349.0,0.5549999999999999
2008,12612.0,-0.31266009046814536
2009,14506.0,0.15017443704408495
2010,26793.0,0.8470288156624846
2011,16184.0,-0.39596163176949206
2012,16617.0,0.02675481957488879
2013,10230.0,-0.3843654089185774
2014,15264.0,0.49208211143695024
2015,9310.0,-0.3900681341719078
2016,10609.0,0.1395273899033298
1980,,0.0
1981,,0.0
1982,14000.0,0.3196342727872561
1983,22540.0,0.6100000000000001
1984,24360.0,0.08074534161490687
1985,11900.0,-0.5114942528735632
1986,12880.0,0.08235294117647052
1987,11200.0,-0.13043478260869568
1988,12040.0,0.07499999999999996
1989,13440.0,0.11627906976744184
1990,11480.0,-0.14583333333333337
1991,15680.0,0.36585365853658547
1992,11760.0,-0.25
1993,15540.0,0.3214285714285714
1994,14980.0,-0.036036036036036
1995,19180.0,0.28037383177570097
1996,12740.0,-0.33576642335766427
1997,13020.0,0.0219780219780219
1998,9800.0,-0.24731182795698925
1999,10640.0,0.08571428571428563
2000,8260.0,-0.22368421052631582
2001,9100.0,0.10169491525423724
2002,9100.0,0.0
2003,9240.0,0.01538461538461533
2004,8960.0,-0.030303030303030276
2005,9800.0,0.09375
2006,10360.0,0.05714285714285716
2007,11620.0,0.12162162162162171
2008,10920.0,-0.06024096385542166
2009,9800.0,-0.10256410256410253
2010,7980.0,-0.18571428571428572
2011,7000.0,-0.1228070175438597
2012,7420.0,0.06000000000000005
2013,7980.0,0.07547169811320753
2014,6440.0,-0.19298245614035092
2015,6440.0,0.0
2016,6580.0,0.021739130434782705
1980,,0.0
1981,,0.0
1982,,0.0
1983,,0.0
1984,,0.0
1985,,0.0
1986,,0.0
1987,,0.0
1988,,0.0
1989,,0.0
1990,,0.0
1991,,0.0
1992,,0.0
1993,,0.0
1994,,0.0
1995,,0.0
1996,,0.0
1997,,0.0
1998,,0.0
1999,,0.0
2000,,0.0
2001,26189.0,2.9800911854103345
2002,59449.0,1.269998854480889
2003,33522.0,-0.4361217177748995
2004,40069.0,0.19530457609927798
2005,38498.0,-0.03920736729142227
2006,39283.0,0.02039066964517633
2007,35617.0,-0.09332281139424181
2008,36664.0,0.02939607490804952
2009,36403.0,-0.007118699541784901
2010,38760.0,0.06474741092767089
