site;year;count;count_rendements
2;2005;11241,0;-0,02531865082805862
2;2006;10511,0;-0,06494084156213864
2;2007;9562,0;-0,09028636666349543
2;2008;13285,0;0,38935369169629785
2;2009;10949,0;-0,1758374106134738
2;2010;10949,0;0,0
2;2011;10000,0;-0,08667458215362134
2;2012;10438,0;0,04380000000000006
2;2013;8613,0;-0,17484192374018015
2;2014;9854,0;0,1440845233948682
2;2015;9781,0;-0,007408159123198699
2;2016;9124,0;-0,06717104590532663
16;1980;;0,0
16;1981;;0,0
16;1982;;0,0
16;1983;;0,0
16;1984;17755,0;0,9459666812801404
16;1985;21483,0;0,20996902281047602
16;1986;22016,0;0,024810315132895777
16;1987;22904,0;0,04033430232558133
16;1988;26810,0;0,1705378973105134
16;1989;9410,0;-0,649011562849683
16;1990;22904,0;1,4340063761955366
16;1991;15802,0;-0,31007684247293055
16;1992;11718,0;-0,2584482976838375
16;1993;24857,0;1,1212664277180404
16;1994;8345,0;-0,6642796797682745
16;1995;19530,0;1,3403235470341524
16;1996;13139,0;-0,3272401433691756
16;1997;18287,0;0,39181064007915367
16;1998;12073,0;-0,3398042325149013
16;1999;12783,0;0,058808912449267
16;2000;17045,0;0,33341156223108825
16;2001;17222,0;0,010384276914050972
16;2002;17577,0;0,020613169202183146
16;2003;10830,0;-0,3838538999829323
16;2004;15624,0;0,44265927977839326
16;2005;20063,0;0,28411418330773164
16;2006;11008,0;-0,4513283158052136
16;2007;20951,0;0,9032521802325582
16;2008;32314,0;0,5423607465037468
16;2009;20240,0;-0,373646097666646
16;2010;14204,0;-0,29822134387351784
16;2011;14204,0;0,0
16;2012;12961,0;-0,08751056040551952
16;2013;30006,0;1,3150991435845998
16;2014;35687,0;0,1893288009064853
16;2015;41191,0;0,15422983159133574
16;2016;31426,0;-0,23706634944526717
3;1980;;0,0
3;1981;;0,0
3;1982;;0,0
3;1983;;0,0
3;1984;;0,0
3;1985;;0,0
3;1986;;0,0
3;1987;;0,0
3;1988;;0,0
3;1989;419355,0;12,344205434990135
3;1990;423548,0;0,009998688462042882
3;1991;369032,0;-0,12871268427663451
3;1992;318710,0;-0,13636215829521559
3;1993;239032,0;-0,250001568824323
3;1994;369032,0;0,5438602362863549
3;1995;301935,0;-0,18181892085239215
3;1996;369032,0;0,22222332621259544
3;1997;369032,0;0,0
3;1998;352258,0;-0,04545405276507186
3;1999;356452,0;0,011906046136638482
3;2000;381613,0;0,07058734415854029
3;2001;293548,0;-0,2307704402103702
3;2002;314516,0;0,07142954474225682
3;2003;280968,0;-0,10666547965763273
3;2004;289355,0;0,029850374419862824
3;2005;272581,0;-0,057970313282991515
3;2006;285161,0;0,046151419211170275
3;2007;251613,0;-0,11764582113262334
3;2008;297742,0;0,18333313461546097
3;2009;260000,0;-0,12676075259788677
3;2010;234839,0;-0,0967730769230769
3;2011;264194,0;0,12500053227956176
3;2012;310323,0;0,17460275403680625
3;2013;280968,0;-0,09459498651405152
3;2014;247419,0;-0,11940505680362179
3;2015;310323,0;0,2542407818316297
3;2016;335484,0;0,08108003596252944
28;1980;;0,0
28;1981;;0,0
28;1982;;0,0
28;1983;;0,0
28;1984;;0,0
28;1985;;0,0
28;1986;;0,0
28;1987;;0,0
28;1988;;0,0
28;1989;222947,0;-0,33544669790511616
28;1990;258619,0;0,16000215297806197
28;1991;333488,0;0,2894953580363391
28;1992;310168,0;-0,0699275536151226
28;1993;265639,0;-0,14356413298599469
28;1994;316345,0;0,19088311580754325
28;1995;302109,0;-0,04500150152523352
28;1996;265925,0;-0,11977134080745688
28;1997;290050,0;0,09072106797029234
28;1998;275416,0;-0,05045337010860196
28;1999;308511,0;0,1201636796700265
28;2000;319659,0;0,036134854186722576
28;2001;334866,0;0,04757256951939404
28;2002;302282,0;-0,09730459347918274
28;2003;253407,0;-0,16168676930812953
28;2004;265526,0;0,04782425110592836
28;2005;252662,0;-0,04844723303932574
28;2006;243631,0;-0,03574340423174038
28;2007;262152,0;0,07602070344085932
28;2008;268554,0;0,02442094662638472
28;2009;207846,0;-0,2260550950646797
28;2010;206189,0;-0,007972248684121941
28;2011;197557,0;-0,04186450295602573
28;2012;222767,0;0,12760874076848716
28;2013;184753,0;-0,1706446646047215
28;2014;193671,0;0,04826985218102009
28;2015;212305,0;0,09621471464493903
28;2016;219679,0;0,03473304915098563
23;1980;;0,0
23;1981;;0,0
23;1982;;0,0
23;1983;;0,0
23;1984;;0,0
23;1985;;0,0
23;1986;;0,0
23;1987;;0,0
23;1988;;0,0
23;1989;;0,0
23;1990;;0,0
23;1991;;0,0
23;1992;;0,0
23;1993;;0,0
23;1994;;0,0
23;1995;;0,0
23;1996;;0,0
23;1997;;0,0
23;1998;;0,0
23;1999;;0,0
23;2000;;0,0
23;2001;;0,0
23;2002;;0,0
23;2003;;0,0
23;2004;;0,0
23;2005;;0,0
23;2006;;0,0
23;2007;6941,0;-0,9684038984154152
23;2008;7843,0;0,1299524564183836
23;2009;7288,0;-0,07076373836542138
23;2010;8607,0;0,18098243688254656
23;2011;13605,0;0,580690135935866
23;2012;11314,0;-0,16839397280411617
23;2013;8885,0;-0,2146897648930528
23;2014;11939,0;0,3437253798536859
23;2015;9370,0;-0,21517715051511854
23;2016;5206,0;-0,44439701173959445
4;1980;;0,0
4;1981;;0,0
4;1982;;0,0
4;1983;;0,0
4;1984;;0,0
4;1985;;0,0
4;1986;;0,0
4;1987;;0,0
4;1988;;0,0
4;1989;;0,0
4;1990;;0,0
4;1991;;0,0
4;1992;;0,0
4;1993;;0,0
4;1994;;0,0
4;1995;;0,0
4;1996;;0,0
4;1997;;0,0
4;1998;;0,0
4;1999;35652,0;5,848252016903573
4;2000;43496,0;0,22001570739369458
