site;year;count;count_rendements
15;1980;;
15;1981;;
15;1982;;
15;1983;;
15;1984;;
15;1985;;
15;1986;;
15;1987;;
15;1988;;
15;1989;;
15;1990;;
15;1991;;
15;1992;;
15;1993;;
15;1994;;
15;1995;;
15;1996;;
15;1997;;
15;1998;;
15;1999;;
15;2000;;
15;2001;;
15;2002;;
15;2003;;
15;2004;;
15;2005;121042,0;
15;2006;147671,0;0,21999801721716428
15;2007;123462,0;-0,163938755747574
15;2008;94412,0;-0,2352950705480229
15;2009;125883,0;0,33333686395797146
15;2010;113779,0;-0,09615277678479228
15;2011;150091,0;0,31914500918447164
15;2012;142829,0;-0,04838398038523295
15;2013;139198,0;-0,02542200813560269
15;2014;173089,0;0,24347332576617475
15;2015;185194,0;0,06993512008273206
15;2016;205771,0;0,11111051113966974
17;1980;1246799,0;5,059157996024707
17;1981;970868,0;-0,22131153457774666
17;1982;1430753,0;0,473684373158864
17;1983;858452,0;-0,399999860213468
17;1984;1093504,0;0,273809135513692
17;1985;1083285,0;-0,0093451875804752
17;1986;848232,0;-0,21698168072113988
17;1987;817573,0;-0,03614459251714153
17;1988;817573,0;0,0
17;1989;705157,0;-0,13749964834944406
17;1990;664278,0;-0,05797148720072265
17;1991;684718,0;0,030770249805051497
17;1992;541642,0;-0,20895609579418095
17;1993;490544,0;-0,09433906528666536
17;1994;439446,0;-0,10416598714896119
17;1995;408787,0;-0,06976738893971046
17;1996;235052,0;-0,42500128428741624
17;1997;327029,0;0,39130490274492447
17;1998;306590,0;-0,062499044427252626
17;1999;194174,0;-0,3666655794383379
17;2000;132856,0;-0,3157889315768332
17;2001;194174,0;0,4615373035466972
17;2002;91977,0;-0,5263166026347503
17;2003;91977,0;0,0
17;2004;81757,0;-0,1111147352055405
17;2005;122636,0;0,5000061156842839
17;2006;61318,0;-0,5
17;2007;71538,0;0,16667210280831068
17;2008;30659,0;-0,5714305683692583
17;2009;30659,0;0,0
17;2010;30659,0;0,0
17;2011;30659,0;0,0
17;2012;30659,0;0,0
17;2013;20439,0;-0,3333442056166216
17;2014;10220,0;-0,49997553696364794
17;2015;10220,0;0,0
17;2016;20439,0;0,9999021526418788
3;1980;;0,0
3;1981;;0,0
3;1982;;0,0
3;1983;;0,0
3;1984;;0,0
3;1985;;0,0
3;1986;;0,0
3;1987;;0,0
3;1988;;0,0
3;1989;;0,0
3;1990;;0,0
3;1991;;0,0
3;1992;;0,0
3;1993;;0,0
3;1994;;0,0
3;1995;;0,0
3;1996;;0,0
3;1997;;0,0
3;1998;;0,0
3;1999;;0,0
3;2000;;0,0
3;2001;32403,0;0,5853515338323794
3;2002;31431,0;-0,029997222479400065
3;2003;31431,0;0,0
3;2004;30135,0;-0,04123317743628896
3;2005;38560,0;0,2795752447320392
3;2006;34348,0;-0,10923236514522816
3;2007;32079,0;-0,06605915919413063
3;2008;32079,0;0,0
3;2009;28515,0;-0,11110072009725991
3;2010;18470,0;-0,35227073470103454
3;2011;17174,0;-0,07016783974011909
3;2012;19442,0;0,13206009083498316
3;2013;14906,0;-0,23330933031581114
3;2014;21386,0;0,4347242721051925
3;2015;13285,0;-0,3787992144393528
3;2016;15554,0;0,17079412871659772
28;1980;;0,0
28;1981;;0,0
28;1982;;0,0
28;1983;;0,0
28;1984;;0,0
28;1985;;0,0
28;1986;;0,0
28;1987;;0,0
28;1988;;0,0
28;1989;7681,0;-0,5061720457760062
28;1990;5761,0;-0,2499674521546673
28;1991;9723,0;0,6877278250303767
28;1992;6921,0;-0,28818265967294043
28;1993;4544,0;-0,3434474786880508
28;1994;6552,0;0,44190140845070425
28;1995;13259,0;1,0236568986568986
28;1996;19797,0;0,4930990270759483
28;1997;27143,0;0,37106632318027977
28;1998;21906,0;-0,19294108978373803
28;1999;29194,0;0,3326942390212728
28;2000;31047,0;0,0634719462903337
28;2001;29709,0;-0,0430959512996425
28;2002;28938,0;-0,0259517317984449
28;2003;27018,0;-0,06634874559402859
28;2004;29493,0;0,09160559626915399
28;2005;35007,0;0,1869596175363646
28;2006;25462,0;-0,272659753763533
28;2007;22264,0;-0,12559893174141856
28;2008;25377,0;0,1398221343873518
28;2009;25923,0;0,021515545572762695
28;2010;25480,0;-0,01708907148092431
28;2011;21412,0;-0,15965463108320255
28;2012;21414,0;9,340556697168267e-05
28;2013;24296,0;0,1345848510320351
28;2014;18091,0;-0,2553918340467567
28;2015;16473,0;-0,08943673649881156
28;2016;19271,0;0,16985369999392952
8;1980;;0,0
8;1981;;0,0
8;1982;;0,0
8;1983;;0,0
8;1984;;0,0
8;1985;;0,0
8;1986;;0,0
8;1987;;0,0
8;1988;;0,0
8;1989;;0,0
8;1990;;0,0
8;1991;;0,0
8;1992;;0,0
8;1993;;0,0
8;1994;;0,0
8;1995;;0,0
8;1996;;0,0
8;1997;;0,0
8;1998;;0,0
8;1999;;0,0
8;2000;816497,0;41,36920761766385
8;2001;759342,0;-0,070000257196291
8;2002;620537,0;-0,1827964211119627
8;2003;653197,0;0,052631833395913485
8;2004;645032,0;-0,012500057409939092
8;2005;571548,0;-0,11392303017524708
8;2006;571548,0;0,0
8;2007;465403,0;-0,18571493557846408
8;2008;538888,0;0,15789541537119445
8;2009;514393,0;-0,04545471415210578
8;2010;571548,0;0,11111154311975469
8;2011;555218,0;-0,02857152855053291
8;2012;489898,0;-0,11764748261043412
8;2013;489898,0;0,0
8;2014;473568,0;-0,033333469416082506
8;2015;481733,0;0,017241452125143608
8;2016;514393,0;0,06779689163914449
10;1980;;0,0
10;1981;;0,0
10;1982;;0,0
10;1983;;0,0
10;1984;;0,0
10;1985;;0,0
10;1986;;0,0
10;1987;;0,0
10;1988;;0,0
10;1989;;0,0
10;1990;;0,0
10;1991;;0,0
10;1992;;0,0
10;1993;;0,0
10;1994;;0,0
10;1995;;0,0
10;1996;;0,0
10;1997;;0,0
10;1998;498400,0;-0,031091014069009493
10;1999;922040,0;0,8500000000000001
10;2000;613032,0;-0,33513513513513515
10;2001;538272,0;-0,12195121951219512
