site;year;count;count_rendements
14;1980;;
14;1981;;
14;1982;;
14;1983;;
14;1984;;
14;1985;;
14;1986;;
14;1987;;
14;1988;;
14;1989;;
14;1990;;
14;1991;;
14;1992;;
14;1993;;
14;1994;;
14;1995;;
14;1996;;
14;1997;;
14;1998;12572,0;
14;1999;12949,0;0,0299872733057589
14;2000;8800,0;-0,3204108425361032
14;2001;11315,0;0,28579545454545463
14;2002;18732,0;0,6555015466195315
14;2003;14081,0;-0,24829169335895795
14;2004;12321,0;-0,12499112278957458
14;2005;10309,0;-0,16329843356870388
14;2006;11063,0;0,0731399747793191
14;2007;11441,0;0,034167947211425576
14;2008;9303,0;-0,18687177694257495
14;2009;12069,0;0,2973234440503063
14;2010;8675,0;-0,2812163393818875
14;2011;4652,0;-0,4637463976945245
14;2012;6286,0;0,35124677558039563
14;2013;7543,0;0,19996818326439714
14;2014;9555,0;0,26673737239825
14;2015;5532,0;-0,4210361067503925
14;2016;4652,0;-0,15907447577729572
1;1980;;0,0
1;1981;;0,0
1;1982;17164,0;2,689595872742906
1;1983;15619,0;-0,0900139827546027
1;1984;22485,0;0,43959280363659636
1;1985;10470,0;-0,5343562374916611
1;1986;9955,0;-0,04918815663801335
1;1987;18366,0;0,8449020592667003
1;1988;22485,0;0,22427311336164646
1;1989;16478,0;-0,26715588169891036
1;1990;16821,0;0,020815632965165642
1;1991;10813,0;-0,357172581891683
1;1992;11157,0;0,03181355775455463
1;1993;18194,0;0,6307251053150489
1;1994;14933,0;-0,1792349126085523
1;1995;14075,0;-0,05745663965713521
1;1996;12701,0;-0,09761989342806399
1;1997;19910,0;0,567593102905283
1;1998;19739,0;-0,008588648920140662
1;1999;23172,0;0,1739196514514414
1;2000;25575,0;0,10370274469186946
1;2001;25231,0;-0,013450635386119236
1;2002;27806,0;0,10205699338115815
1;2003;57500,0;1,0678990146011653
1;2004;26604,0;-0,5373217391304348
1;2005;37074,0;0,3935498421290031
1;2006;39649,0;0,06945568322813833
1;2007;44112,0;0,11256273802617978
