site;year;count;count_rendements
14;1980;;
14;1981;;
14;1982;;
14;1983;;
14;1984;;
14;1985;;
14;1986;;
14;1987;;
14;1988;;
14;1989;;
14;1990;;
14;1991;;
14;1992;;
14;1993;;
14;1994;;
14;1995;;
14;1996;;
14;1997;;
14;1998;216980,0;
14;1999;197452,0;-0,08999907825606046
14;2000;212640,0;0,0769199602941475
14;2001;214810,0;0,010205041384499625
14;2002;243017,0;0,13131139146222237
14;2003;232168,0;-0,04464296736442308
14;2004;223489,0;-0,037382412735605275
14;2005;227829,0;0,01941930027876082
14;2006;249527,0;0,09523809523809534
14;2007;221319,0;-0,11304588281027705
14;2008;216980,0;-0,01960518527555244
14;2009;173584,0;-0,19999999999999996
14;2010;210470,0;0,21249654346022684
14;2011;238678,0;0,1340238513802443
14;2012;203961,0;-0,14545538340358144
14;2013;232168,0;0,13829604679325946
14;2014;284244,0;0,22430309086523548
14;2015;221319,0;-0,22137670452146752
14;2016;219150,0;-0,009800333455329158
27;1980;;0,0
27;1981;;0,0
27;1982;;0,0
27;1983;;0,0
27;1984;;0,0
27;1985;;0,0
27;1986;;0,0
27;1987;;0,0
27;1988;;0,0
27;1989;;0,0
27;1990;251881,0;0,14935432352270128
27;1991;375303,0;0,49000123073991286
27;1992;314732,0;-0,16139226171919752
27;1993;235857,0;-0,25061004283009036
27;1994;273664,0;0,1602962812212485
27;1995;253824,0;-0,07249766136576241
27;1996;270161,0;0,06436349596570845
27;1997;283858,0;0,05069939776651711
27;1998;199130,0;-0,2984872718049165
27;1999;203808,0;0,023492191030984877
27;2000;214099,0;0,05049360182132201
27;2001;313725,0;0,46532678807467565
27;2002;291415,0;-0,07111323611443143
27;2003;273519,0;-0,061410702949402096
27;2004;301946,0;0,10393062273553211
27;2005;285178,0;-0,05553310856908189
27;2006;282876,0;-0,008072151428230812
27;2007;193590,0;-0,3156365333220209
27;2008;197740,0;0,021437057699261297
27;2009;200953,0;0,01624860928491967
27;2010;269633,0;0,3417714589978751
27;2011;151009,0;-0,43994614902478557
