site;year;count;count_rendements
14;1980;;
14;1981;;
14;1982;;
14;1983;;
14;1984;;
14;1985;;
14;1986;;
14;1987;;
14;1988;;
14;1989;;
14;1990;;
14;1991;;
14;1992;;
14;1993;;
14;1994;;
14;1995;;
14;1996;;
14;1997;;
14;1998;10727,0;
14;1999;11478,0;0,0700102544979957
14;2000;14160,0;0,23366440146366974
14;2001;10941,0;-0,22733050847457625
14;2002;9547,0;-0,12741065716113698
14;2003;13945,0;0,46066827275583955
14;2004;9869,0;-0,29229114377913235
14;2005;12336,0;0,24997466815280167
14;2006;9976,0;-0,19130998702983137
14;2007;13623,0;0,36557738572574183
14;2008;10620,0;-0,2204360273067606
14;2009;10512,0;-0,01016949152542368
14;2010;10298,0;-0,02035768645357683
14;2011;10834,0;0,05204894154204709
14;2012;8367,0;-0,2277090640575965
14;2013;9011,0;0,07696904505796587
14;2014;7294,0;-0,19054488957940297
14;2015;9547,0;0,3088840142582945
14;2016;6436,0;-0,32586152718131345
27;1980;;0,0
27;1981;;0,0
27;1982;;0,0
27;1983;;0,0
27;1984;;0,0
27;1985;;0,0
27;1986;;0,0
27;1987;;0,0
27;1988;;0,0
27;1989;;0,0
27;1990;51703,0;7,033405842137974
27;1991;40845,0;-0,21000715625785737
27;1992;50152,0;0,22786142734728854
27;1993;47567,0;-0,05154330834263843
27;1994;52737,0;0,10868879685496258
27;1995;54288,0;0,029410091586552056
27;1996;41362,0;-0,23810050103153546
27;1997;37743,0;-0,08749576906339152
27;1998;35675,0;-0,054791616988580705
27;1999;51186,0;0,4347862648913805
27;2000;64629,0;0,2626304067518461
27;2001;41879,0;-0,35200915997462434
27;2002;27403,0;-0,34566250388022635
27;2003;43431,0;0,5848994635623836
27;2004;35158,0;-0,19048605834542143
27;2005;58941,0;0,6764605495193128
27;2006;54288,0;-0,07894335012979081
27;2007;55839,0;0,02856984969053933
27;2008;47050,0;-0,1573989505542721
27;2009;49118,0;0,04395324123273103
27;2010;39294,0;-0,2000081436540576
27;2011;44982,0;0,1447549244159414
