year,count,count_rendements
1980,468571.0,
1981,400000.0,-0.14634068262867317
1982,417143.0,0.04285749999999999
1983,434286.0,0.0410962188026649
1984,402857.0,-0.07236936028331564
1985,417143.0,0.035461714702735625
1986,457143.0,0.09589037811973355
1987,382857.0,-0.16250057421857056
1988,394286.0,0.02985187681040169
1989,322857.0,-0.18116037597074208
1990,354286.0,0.09734650325066507
1991,317143.0,-0.10483902835562231
1992,254286.0,-0.1981976584695232
1993,248571.0,-0.022474693848658633
1994,248571.0,0.0
1995,231429.0,-0.06896218786584118
1996,200000.0,-0.13580406949863677
1997,191429.0,-0.042854999999999976
1998,168571.0,-0.11940719535702538
1999,185714.0,0.10169602126107091
2000,125714.0,-0.3230774201191079
2001,148571.0,0.18181745867604238
2002,148571.0,0.0
2003,160000.0,0.07692618344091384
2004,157143.0,-0.017856250000000018
2005,174286.0,0.10909171900752823
2006,140000.0,-0.19672262832356013
2007,145714.0,0.04081428571428569
2008,151429.0,0.03922066513855915
2009,140000.0,-0.07547431469533572
2010,134286.0,-0.04081428571428569
2011,160000.0,0.19148682662377303
2012,162857.0,0.017856249999999907
2013,137143.0,-0.15789312095887809
2014,142857.0,0.04166453993277086
2015,131429.0,-0.07999607999608005
2016,140000.0,0.06521391778070296
1980,,0.0
1981,,0.0
1982,,0.0
1983,,0.0
1984,,0.0
1985,,0.0
1986,,0.0
1987,,0.0
1988,,0.0
1989,,0.0
1990,,0.0
1991,,0.0
1992,,0.0
1993,,0.0
1994,,0.0
1995,,0.0
1996,,0.0
1997,,0.0
1998,,0.0
1999,,0.0
2000,,0.0
2001,45267.0,-0.6766642857142857
2002,76501.0,0.6899949190359422
2003,109093.0,0.42603364661899845
2004,86459.0,-0.20747435674149584
2005,66089.0,-0.23560300257925726
2006,90533.0,0.3698648791780781
2007,55678.0,-0.3849977356323109
2008,65184.0,0.1707317073170731
2009,60205.0,-0.0763837751595483
2010,61110.0,0.015031974088530964
2011,55678.0,-0.0888888888888889
2012,46172.0,-0.1707317073170732
2013,51604.0,0.11764705882352944
2014,57036.0,0.10526315789473695
2015,68805.0,0.2063433620871029
2016,75595.0,0.09868468861274615
1980,,0.0
1981,,0.0
1982,,0.0
1983,,0.0
1984,,0.0
1985,,0.0
1986,,0.0
1987,,0.0
1988,,0.0
1989,123617.0,0.6352536543422185
1990,79115.0,-0.3599990292597296
1991,249190.0,2.149718763824812
1992,267327.0,0.07278381957542446
1993,307449.0,0.1500858499141502
1994,205990.0,-0.33000269963473616
1995,268405.0,0.3030001456381377
1996,208847.0,-0.22189601534993764
1997,222411.0,0.06494706651280602
1998,209891.0,-0.05629217979326562
1999,352936.0,0.6815204082118813
2000,268430.0,-0.23943717841195
2001,238189.0,-0.11265879372648357
2002,234644.0,-0.014883139019853941
2003,206116.0,-0.12157992533369699
2004,293917.0,0.4259785751712628
2005,218636.0,-0.25613013197603407
2006,79044.0,-0.6384675899668856
2007,214126.0,1.708946915641921
2008,309796.0,0.4467930097232471
2009,250998.0,-0.18979586566643858
2010,62594.0,-0.7506195268488195
2011,12328.0,-0.8030482154839123
2012,95185.0,6.72104153147307
2013,39558.0,-0.5844093081893156
2014,21015.0,-0.46875473987562566
2015,11126.0,-0.4705686414465857
2016,7417.0,-0.3333632931871292
1980,,0.0
1981,,0.0
1982,,0.0
1983,,0.0
1984,,0.0
1985,,0.0
1986,,0.0
1987,,0.0
1988,,0.0
1989,,0.0
1990,522030.0,69.38290413913981
1991,485488.0,-0.06999980844012799
1992,485488.0,0.0
1993,412404.0,-0.15053719144448474
1994,428065.0,0.03797489840059742
1995,396743.0,-0.07317113055260305
1996,334099.0,-0.15789566545597533
1997,349760.0,0.046875327373024245
1998,328879.0,-0.059700937785910346
1999,339320.0,0.03174723834601778
2000,349760.0,0.030767417187315793
2001,349760.0,0.0
2002,313218.0,-0.10447735590118934
2003,323659.0,0.03333461039914698
2004,318438.0,-0.016131175094775685
2005,313218.0,-0.016392515968571608
2006,271456.0,-0.13333205626751976
2007,245354.0,-0.09615554638689139
2008,234914.0,-0.04255076338677988
2009,245354.0,0.044441795720987276
2010,261015.0,0.06383022082378931
2011,224473.0,-0.13999961688025597
2012,245354.0,0.09302232339746874
2013,281896.0,0.14893582334096855
2014,255795.0,-0.09259088458154785
2015,234914.0,-0.08163177544518074
2016,234914.0,0.0
1980,,0.0
1981,,0.0
1982,,0.0
1983,,0.0
1984,,0.0
1985,,0.0
1986,,0.0
1987,,0.0
1988,,0.0
1989,,0.0
1990,,0.0
1991,,0.0
1992,,0.0
1993,,0.0
1994,,0.0
1995,,0.0
1996,,0.0
1997,,0.0
1998,9818.0,-0.958205981763539
1999,19439.0,0.9799348136076593
2000,15708.0,-0.19193374144760533
2001,23170.0,0.47504456327985745
2002,14923.0,-0.3559343979283557
2003,12665.0,-0.15131005829926958
2004,19144.0,0.5115673114883537
2005,22973.0,0.2000104471374844
2006,15806.0,-0.3119749270883211
2007,23857.0,0.5093635328356321
2008,8541.0,-0.6419918682147797
2009,18359.0,1.1495141084182179
2010,11585.0,-0.36897434500789805
2011,12665.0,0.09322399654725944
2012,12370.0,-0.023292538491906822
2013,6971.0,-0.4364591754244139
2014,10799.0,0.5491321187777938
2015,10309.0,-0.045374571719603685
2016,,0.0
1980,758948.0,72.61994373848094
1981,814753.0,0.07352941176470584
1982,742206.0,-0.0890417095733308
1983,920782.0,0.24060166584479248
1984,457601.0,-0.5030300331674598
1985,418538.0,-0.0853647610035817
1986,435279.0,0.03999875757995697
1987,334830.0,-0.23076923076923073
1988,279025.0,-0.16666666666666663
1989,312508.0,0.1200000000000001
1990,329250.0,0.053573028530469635
1991,306928.0,-0.06779650721336372
1992,256703.0,-0.16363772611166139
1993,329250.0,0.2826106434283977
1994,262284.0,-0.20338952164009116
1995,251122.0,-0.04255692302999803
1996,245542.0,-0.022220275403986856
1997,239962.0,-0.02272523641576596
1998,223220.0,-0.06976938015185741
1999,251122.0,0.12499776005734242
2000,223220.0,-0.11110934127635175
2001,223220.0,0.0
2002,200898.0,-0.09999999999999998
2003,217640.0,0.08333582215850832
2004,184156.0,-0.15385039514795074
2005,239962.0,0.30303655596342227
2006,195318.0,-0.1860461239696285
2007,195318.0,0.0
2008,212059.0,0.08571150636398084
2009,234381.0,0.10526315789473695
2010,200898.0,-0.1428571428571429
2011,223220.0,0.11111111111111116
2012,189737.0,-0.15000000000000002
2013,161834.0,-0.14706145875606758
2014,161834.0,0.0
2015,217640.0,0.34483483075249954
2016,178576.0,-0.1794890645102003
1980,,0.0
1981,,0.0
1982,,0.0
1983,,0.0
1984,,0.0
1985,,0.0
1986,,0.0
1987,,0.0
1988,,0.0
1989,,0.0
1990,4960.0,-0.9722247110473972
1991,4662.0,-0.0600806451612903
1992,4067.0,-0.12762762762762758
1993,4067.0,0.0
1994,3522.0,-0.1340054093926727
1995,2877.0,-0.18313458262350935
1996,2728.0,-0.05179005908932921
1997,2678.0,-0.01832844574780057
1998,2381.0,-0.11090365944734881
1999,1984.0,-0.16673666526669462
2000,1835.0,-0.07510080645161288
2001,1736.0,-0.053950953678474134
2002,1736.0,0.0
2003,2083.0,0.1998847926267282
2004,2232.0,0.07153144503120501
2005,2034.0,-0.08870967741935487
2006,2232.0,0.09734513274336276
2007,2083.0,-0.06675627240143367
2008,2182.0,0.04752760441670678
2009,2133.0,-0.022456461961503194
2010,2381.0,0.11626816690107833
2011,2678.0,0.12473750524989491
2012,1736.0,-0.35175504107542943
2013,1934.0,0.1140552995391706
2014,1389.0,-0.281799379524302
2015,1686.0,0.21382289416846656
2016,1438.0,-0.14709371293001183
1980,,0.0
1981,,0.0
1982,,0.0
1983,,0.0
1984,,0.0
1985,,0.0
1986,,0.0
1987,,0.0
1988,,0.0
1989,,0.0
1990,,0.0
1991,,0.0
1992,,0.0
1993,,0.0
1994,549020.0,380.7941585535466
1995,378824.0,-0.3099996357145459
1996,269020.0,-0.28985491943488273
1997,318431.0,0.1836703590811093
1998,285490.0,-0.10344784270375684
1999,247059.0,-0.13461417212511817
2000,301961.0,0.22222222222222232
2001,285490.0,-0.054546779219832975
2002,280000.0,-0.019230095625065724
2003,274510.0,-0.019607142857142823
2004,230588.0,-0.16000145714181635
2005,307451.0,0.33333477891303964
2006,329412.0,0.07142926840374564
2007,252549.0,-0.23333394047575684
2008,236078.0,-0.06521902680271952
2009,274510.0,0.16279365294521297
2010,345882.0,0.2599978142872754
2011,312941.0,-0.09523768221532203
2012,356863.0,0.1403523347851512
2013,307451.0,-0.1384620989006986
2014,285490.0,-0.07142926840374564
2015,340392.0,0.19230796174997367
2016,351373.0,0.03225986509671208
