;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom;Belgium_rendements;Bulgaria_rendements;Croatia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany_rendements;Greece_rendements;Hungary_rendements;Iceland_rendements;Ireland_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Malta_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements;Switzerland_rendements;United Kingdom_rendements
1991;0,451;0,219;0,3;0,211;0,175;0,334;0,125;0,488;0,648;0,264;0,316;0,252;0,196;0,00178;0,0681;0,254;0,493;0,3;0,335;0,0109;0,0835;0,315;0,285;0,367;0,267;0,388;0,579;0,281;0,531;0,28;0,115;0,0;0,0;0,0;0,005747126436781658;0,0;0,008064516129032251;0,0;0,003095975232198178;0,0038022813688212143;0,0;0,008000000000000007;0,00512820512820511;0,07228915662650603;0,0365296803652968;0,01195219123505975;0,0;0,0;0,0;0,0;0,004813477737665606;0,0;0,0035211267605634866;-0,005420054200542035;0,0;0,0;0,0;0,021818181818181737;0,0;0,0035842293906809264;0,00877192982456143
1992;0,452;0,219;0,301;0,211;0,176;0,334;0,126;0,488;0,65;0,266;0,316;0,255;0,197;0,00191;0,0705;0,256;0,493;0,3;0,335;0,0109;0,0838;0,315;0,285;0,366;0,267;0,388;0,579;0,287;0,531;0,281;0,115;0,0;0,0033333333333334103;0,0;0,005714285714285783;0,0;0,008000000000000007;0,0;0,0030864197530864335;0,007575757575757569;0,0;0,011904761904761862;0,005102040816326481;0,0730337078651686;0,03524229074889873;0,007874015748031482;0,0;0,0;0,0;0,0;0,003592814371257358;0,0;0,0;-0,0027247956403270157;0,0;0,0;0,0;0,021352313167259496;0,0;0,0035714285714285587;0,0
1993;0,452;0,219;0,301;0,211;0,178;0,334;0,127;0,489;0,651;0,268;0,316;0,257;0,198;0,00203;0,0729;0,259;0,494;0,301;0,335;0,0109;0,0842;0,315;0,286;0,365;0,267;0,388;0,581;0,294;0,532;0,282;0,116;0,0;0,0;0,0;0,011363636363636465;0,0;0,007936507936507908;0,002049180327868827;0,0015384615384614886;0,007518796992481258;0,0;0,007843137254901933;0,0050761421319796;0,06282722513089012;0,03404255319148963;0,01171875;0,0020283975659229903;0,0033333333333334103;0,0;0,0;0,004773269689737347;0,0;0,0035087719298245723;-0,002732240437158473;0,0;0,0;0,003454231433505983;0,024390243902439046;0,0018832391713747842;0,003558718861209842;0,008695652173912993
1994;0,453;0,219;0,301;0,212;0,179;0,334;0,128;0,489;0,653;0,269;0,317;0,259;0,2;0,00215;0,0753;0,262;0,495;0,303;0,335;0,0109;0,0845;0,315;0,286;0,363;0,267;0,388;0,583;0,3;0,532;0,283;0,117;0,0;0,0;0,004739336492890933;0,00561797752808979;0,0;0,007874015748031482;0,0;0,003072196620583778;0,003731343283582156;0,0031645569620253333;0,0077821011673151474;0,010101010101010166;0,059113300492610765;0,03292181069958855;0,01158301158301156;0,002024291497975783;0,006644518272425293;0,0;0,0;0,0035629453681711443;0,0;0,0;-0,005479452054794498;0,0;0,0;0,0034423407917383297;0,020408163265306145;0,0;0,0035460992907800915;0,008620689655172376
1995;0,454;0,219;0,302;0,212;0,18;0,334;0,128;0,49;0,655;0,271;0,317;0,261;0,201;0,00228;0,0777;0,264;0,496;0,304;0,335;0,0109;0,0848;0,315;0,287;0,362;0,267;0,388;0,585;0,306;0,532;0,285;0,118;0,0;0,0033222591362125353;0,0;0,005586592178770999;0,0;0,0;0,002044989775051187;0,003062787136294043;0,0074349442379182396;0,0;0,007722007722007707;0,004999999999999893;0,0604651162790697;0,031872509960159334;0,007633587786259444;0,002020202020202033;0,0033003300330032292;0,0;0,0;0,0035502958579880506;0,0;0,0034965034965035446;-0,0027548209366391463;0,0;0,0;0,0034305317324185847;0,020000000000000018;0,0;0,007067137809187329;0,008547008547008517
1996;0,455;0,219;0,302;0,212;0,181;0,334;0,129;0,491;0,656;0,272;0,317;0,264;0,202;0,0024;0,0801;0,267;0,498;0,305;0,335;0,0109;0,0852;0,315;0,287;0,361;0,267;0,388;0,588;0,313;0,532;0,286;0,118;0,0;0,0;0,0;0,005555555555555536;0,0;0,0078125;0,0020408163265306367;0,0015267175572519776;0,0036900369003689537;0,0;0,011494252873563315;0,004975124378109541;0,05263157894736836;0,030888030888030826;0,011363636363636465;0,0040322580645162365;0,00328947368421062;0,0;0,0;0,004716981132075526;0,0;0,0;-0,002762430939226568;0,0;0,0;0,00512820512820511;0,02287581699346397;0,0;0,0035087719298245723;0,0
1997;0,455;0,219;0,303;0,213;0,182;0,334;0,13;0,492;0,658;0,274;0,317;0,266;0,203;0,00252;0,0825;0,269;0,499;0,306;0,335;0,0109;0,0855;0,315;0,288;0,36;0,267;0,388;0,59;0,319;0,532;0,287;0,119;0,0;0,0033112582781456013;0,004716981132075526;0,005524861878453136;0,0;0,007751937984496138;0,0020366598778003286;0,0030487804878047697;0,007352941176470562;0,0;0,007575757575757569;0,004950495049504955;0,050000000000000044;0,029962546816479474;0,0074906367041198685;0,002008032128514081;0,003278688524590123;0,0;0,0;0,0035211267605634866;0,0;0,0034843205574912606;-0,0027700831024930483;0,0;0,0;0,00340136054421758;0,019169329073482455;0,0;0,0034965034965035446;0,008474576271186418
1998;0,456;0,219;0,303;0,213;0,183;0,334;0,131;0,492;0,66;0,275;0,317;0,268;0,204;0,00265;0,0849;0,272;0,5;0,307;0,335;0,0109;0,0859;0,315;0,289;0,358;0,267;0,388;0,592;0,325;0,533;0,288;0,12;0,0;0,0;0,0;0,005494505494505475;0,0;0,007692307692307665;0,0;0,003039513677811634;0,0036496350364962904;0,0;0,007518796992481258;0,004926108374384119;0,051587301587301626;0,029090909090909056;0,011152416356877248;0,002004008016031955;0,0032679738562091387;0,0;0,0;0,004678362573099282;0,0;0,003472222222222321;-0,005555555555555536;0,0;0,0;0,003389830508474523;0,018808777429467183;0,001879699248120259;0,0034843205574912606;0,008403361344537785
1999;0,457;0,219;0,304;0,214;0,184;0,334;0,132;0,493;0,662;0,277;0,317;0,271;0,205;0,00277;0,0873;0,274;0,501;0,308;0,335;0,0109;0,0862;0,315;0,289;0,357;0,267;0,388;0,594;0,332;0,533;0,289;0,121;0,0;0,0033003300330032292;0,0046948356807512415;0,005464480874316946;0,0;0,007633587786259444;0,00203252032520318;0,003030303030302939;0,0072727272727273196;0,0;0,011194029850746245;0,004901960784313708;0,04528301886792452;0,028268551236749095;0,007352941176470562;0,0020000000000000018;0,0032573289902280145;0,0;0,0;0,0034924330616996624;0,0;0,0;-0,0027932960893854997;0,0;0,0;0,0033783783783782884;0,021538461538461506;0,0;0,003472222222222321;0,008333333333333304
2000;0,458;0,219;0,304;0,214;0,186;0,334;0,133;0,494;0,663;0,278;0,318;0,273;0,207;0,0029;0,0897;0,277;0,502;0,309;0,335;0,0109;0,0865;0,314;0,29;0,356;0,267;0,388;0,596;0,338;0,533;0,29;0,121;0,0;0,0;0,0;0,010869565217391353;0,0;0,007575757575757569;0,0020283975659229903;0,0015105740181269312;0,0036101083032491488;0,003154574132492094;0,007380073800737907;0,009756097560975618;0,04693140794223827;0,027491408934707806;0,010948905109489093;0,001996007984031989;0,0032467532467532756;0,0;0,0;0,0034802784222738303;-0,0031746031746031633;0,0034602076124568004;-0,0028011204481792618;0,0;0,0;0,0033670033670034627;0,01807228915662651;0,0;0,0034602076124568004;0,0
