year;Austria;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Italy;Latvia;Lithuania;Luxembourg;Malta;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Slovenia;Spain;Sweden;Switzerland;United Kingdom;Belgium_rendements;Bulgaria_rendements;Croatia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany_rendements;Greece_rendements;Hungary_rendements;Iceland_rendements;Ireland_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Malta_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements;Switzerland_rendements;United Kingdom_rendements
1990;7,06;10,3;11,2;11,2;19,0;8,4;10,2;7,89;7,41;13,7;9,82;16,6;11,0;1,45;10,0;9,1;7,45;7,45;9,59;19,3;11,3;8,25;9,0;15,7;9,75;8,35;9,1;9,1;9,11;6,02;11,5;-0,01904761904761898;0,03703703703703698;0,03703703703703698;0,010638297872340496;-0,002375296912113911;0,020000000000000018;-0,01375000000000004;0,008163265306122547;0,007352941176470562;-0,0010172939979653517;0,03750000000000009;0,00917431192660545;0,26086956521739135;0,03305785123966953;0,014492753623188248;-0,028683181225554022;-0,028683181225554022;-0,002081165452653466;0,02659574468085113;0,0;0,04298356510745882;-0,018538713195201728;-0,018750000000000044;0,024159663865546355;0,0036057692307691624;0,014492753623188248;0,014492753623188248;0,01787709497206702;-0,019543973941368087;-0,017094017094017033
1991;6,18;9,21;9,78;9,78;18,7;7,28;8,96;7,16;6,68;12,8;8,58;15,8;9,82;2,25;9,71;8,22;6,82;6,82;8,72;18,3;10,0;7,53;7,78;15,2;8,41;7,34;8,22;8,22;7,81;5,29;10,2;-0,10582524271844662;-0,12678571428571428;-0,12678571428571428;-0,015789473684210575;-0,1333333333333333;-0,1215686274509803;-0,0925221799746514;-0,09851551956815119;-0,06569343065693423;-0,12627291242362526;-0,048192771084337394;-0,1072727272727273;0,5517241379310345;-0,028999999999999915;-0,09670329670329658;-0,08456375838926178;-0,08456375838926178;-0,09071949947862346;-0,051813471502590636;-0,11504424778761069;-0,08727272727272728;-0,13555555555555554;-0,031847133757961776;-0,13743589743589746;-0,1209580838323353;-0,09670329670329658;-0,09670329670329658;-0,14270032930845222;-0,12126245847176076;-0,11304347826086958
1992;7,41;10,0;10,7;10,7;17,5;8,59;9,73;7,49;7,03;13,5;9,28;15,7;11,1;1,5;9,62;9,48;7,01;7,01;9,4;18,5;10,8;7,93;8,6;15,0;9,12;8,4;9,48;9,48;8,35;5,92;10,7;0,08577633007600416;0,09406952965235171;0,09406952965235171;-0,06417112299465233;0,17994505494505497;0,0859375;0,0460893854748603;0,05239520958083843;0,0546875;0,0815850815850816;-0,006329113924050778;0,13034623217922592;-0,33333333333333337;-0,009268795056642798;0,15328467153284664;0,027859237536656867;0,027859237536656867;0,07798165137614665;0,010928961748633892;0,08000000000000007;0,05312084993359889;0,10539845758354738;-0,013157894736842035;0,0844233055885848;0,14441416893732972;0,15328467153284664;0,15328467153284664;0,06914212548015364;0,11909262759924388;0,0490196078431373
1993;6,75;9,59;10,5;10,5;18,6;7,7;8,48;6,33;6,09;13,2;8,21;16,1;10,4;1,38;9,65;8,92;5,72;5,72;8,83;18,8;10,2;6,84;7,69;14,3;8,57;7,82;8,92;8,92;7,43;5,48;10,5;-0,041000000000000036;-0,01869158878504662;-0,01869158878504662;0,06285714285714294;-0,10360884749708965;-0,1284686536485098;-0,15487316421895858;-0,1337126600284495;-0,022222222222222254;-0,11530172413793083;0,025477707006369643;-0,06306306306306297;-0,08000000000000007;0,0031185031185032575;-0,05907172995780596;-0,18402282453637664;-0,18402282453637664;-0,06063829787234043;0,016216216216216273;-0,05555555555555569;-0,13745271122320302;-0,10581395348837197;-0,046666666666666634;-0,06030701754385959;-0,06904761904761902;-0,05907172995780596;-0,05907172995780596;-0,1101796407185629;-0,07432432432432423;-0,01869158878504662
1994;7,98;10,6;11,8;11,8;19,5;8,96;9,48;6,2;5,92;14,2;9,07;17,0;11,8;1,24;9,65;10,1;6,05;6,05;10,0;19,5;11,1;7,14;8,75;15,2;10,2;9,06;10,1;10,1;7,96;6,67;11,3;0,10531803962460895;0,12380952380952381;0,12380952380952381;0,048387096774193505;0,1636363636363638;0,11792452830188682;-0,020537124802527673;-0,02791461412151064;0,07575757575757569;0,10475030450669909;0,05590062111801242;0,13461538461538458;-0,10144927536231874;0,0;0,13228699551569512;0,05769230769230771;0,05769230769230771;0,13250283125707818;0,037234042553191404;0,08823529411764719;0,04385964912280693;0,1378413524057216;0,06293706293706292;0,1901983663943989;0,15856777493606145;0,13228699551569512;0,13228699551569512;0,07133243606998652;0,21715328467153272;0,07619047619047636
1995;6,66;10,4;10,3;10,3;18,9;7,92;9,05;7,06;6,67;13,1;8,42;16,3;10,6;0,626;10,1;8,77;6,6;6,6;9,56;18,8;11,1;7,16;8,04;16,2;8,83;7,95;8,77;8,77;7,61;5,44;11,5;-0,01886792452830177;-0,1271186440677966;-0,1271186440677966;-0,030769230769230882;-0,11607142857142871;-0,04535864978902948;0,1387096774193548;0,12668918918918926;-0,07746478873239437;-0,07166482910694605;-0,04117647058823526;-0,10169491525423735;-0,4951612903225806;0,04663212435233155;-0,1316831683168317;0,09090909090909083;0,09090909090909083;-0,04399999999999993;-0,03589743589743588;0,0;0,0028011204481792618;-0,0811428571428573;0,06578947368421062;-0,13431372549019605;-0,1225165562913908;-0,1316831683168317;-0,1316831683168317;-0,04396984924623115;-0,1844077961019489;0,017699115044247815
1996;5,72;8,58;9,98;9,98;19,1;6,34;7,54;5,25;5,41;12,9;6,78;16,3;9,51;1,89;9,38;7,87;4,99;4,99;7,81;18,7;9,14;6,56;6,53;15,4;8,25;6,96;7,87;7,87;6,39;4,85;9,76;-0,17500000000000004;-0,03106796116504862;-0,03106796116504862;0,010582010582010692;-0,1994949494949495;-0,1668508287292818;-0,25637393767705374;-0,18890554722638675;-0,015267175572518998;-0,19477434679334915;0,0;-0,10283018867924532;2,0191693290734825;-0,07128712871287113;-0,10262257696693267;-0,2439393939393939;-0,2439393939393939;-0,18305439330543938;-0,005319148936170248;-0,17657657657657655;-0,08379888268156432;-0,18781094527363174;-0,0493827160493826;-0,06568516421291049;-0,12452830188679243;-0,10262257696693267;-0,10262257696693267;-0,16031537450722744;-0,10845588235294135;-0,15130434782608693
1997;6,88;10,1;9,86;9,86;18,6;7,61;9,1;7,09;6,95;13,8;8,67;16,0;10,2;1,72;10,5;8,85;6,3;6,3;9,39;19,3;10,8;8,04;7,79;16,3;8,27;7,53;8,85;8,85;7,96;6,11;11,0;0,17715617715617715;-0,012024048096192508;-0,012024048096192508;-0,02617801047120416;0,2003154574132493;0,2068965517241379;0,3504761904761904;0,28465804066543443;0,06976744186046524;0,27876106194690253;-0,018404907975460127;0,0725552050473186;-0,08994708994708989;0,11940298507462677;0,12452350698856418;0,26252505010020033;0,26252505010020033;0,2023047375160052;0,03208556149732633;0,1816192560175054;0,22560975609756095;0,1929555895865236;0,05844155844155852;0,00242424242424244;0,0818965517241379;0,12452350698856418;0,12452350698856418;0,24569640062597808;0,2597938144329899;0,12704918032786883
1998;7,04;9,97;10,8;10,8;19,7;8,2;8,94;6,41;6,1;13,3;8,78;16,9;10,6;1,14;10,4;9,13;6,04;6,04;9,09;19,1;10,8;7,32;8,15;15,9;8,9;8,16;9,13;9,13;7,32;5,76;11,1;-0,012871287128712772;0,09533468559837743;0,09533468559837743;0,05913978494623651;0,07752956636005237;-0,01758241758241763;-0,09590973201692521;-0,12230215827338142;-0,036231884057971064;0,012687427912341231;0,05624999999999991;0,03921568627450989;-0,33720930232558144;-0,00952380952380949;0,031638418079096065;-0,041269841269841234;-0,041269841269841234;-0,03194888178913746;-0,01036269430051806;0,0;-0,08955223880596996;0,04621309370988458;-0,024539877300613466;0,0761789600967353;0,08366533864541825;0,031638418079096065;0,031638418079096065;-0,08040201005025127;-0,05728314238952548;0,009090909090909038
1999;7,0;10,7;11,4;11,4;19,9;8,41;9,65;7,44;6,94;13,7;9,47;17,6;10,8;1,34;10,4;9,17;7,16;7,16;9,72;19,9;11,4;7,98;8,86;15,5;9,6;8,41;9,17;9,17;8,24;5,7;11,5;0,07321965897693072;0,05555555555555558;0,05555555555555558;0,010152284263959421;0,025609756097561;0,07941834451901575;0,16068642745709827;0,13770491803278695;0,03007518796992481;0,07858769931662879;0,04142011834319548;0,018867924528301883;0,17543859649122817;0,0;0,004381161007666945;0,185430463576159;0,185430463576159;0,06930693069306937;0,041884816753926524;0,05555555555555558;0,0901639344262295;0,08711656441717786;-0,02515723270440251;0,0786516853932584;0,030637254901960675;0,004381161007666945;0,004381161007666945;0,12568306010928953;-0,01041666666666663;0,03603603603603611
2000;7,81;10,5;11,6;11,6;19,4;9,1;9,84;7,99;7,44;13,9;9,6;16,6;11,9;1,55;9,95;10,3;7,51;7,51;9,92;19,7;11,3;8,16;9,41;15,6;10,0;9,19;10,3;10,3;8,79;6,27;11,2;-0,01869158878504662;0,01754385964912264;0,01754385964912264;-0,025125628140703515;0,08204518430439944;0,01968911917098448;0,07392473118279574;0,07204610951008639;0,014598540145985384;0,01372756071805692;-0,05681818181818177;0,10185185185185186;0,15671641791044766;-0,04326923076923084;0,12322791712104708;0,0488826815642458;0,0488826815642458;0,020576131687242816;-0,01005025125628134;-0,00877192982456132;0,022556390977443552;0,06207674943566599;0,006451612903225712;0,04166666666666674;0,09274673008323409;0,12322791712104708;0,12322791712104708;0,06674757281553378;0,09999999999999987;-0,026086956521739202
2001;6,72;10,0;11,4;11,4;19,9;7,85;9,26;7,17;6,77;14,0;8,72;17,2;10,8;1,84;9,73;9,43;6,62;6,62;9,45;20,0;11,0;7,19;8,21;15,6;9,41;8,08;9,43;9,43;7,89;5,71;11,0;-0,04761904761904767;-0,01724137931034475;-0,01724137931034475;0,025773195876288568;-0,13736263736263732;-0,058943089430894324;-0,10262828535669588;-0,09005376344086036;0,007194244604316502;-0,09166666666666656;0,036144578313252795;-0,09243697478991597;0,1870967741935483;-0,022110552763819014;-0,08446601941747578;-0,118508655126498;-0,118508655126498;-0,04737903225806461;0,015228426395939021;-0,026548672566371723;-0,11887254901960786;-0,1275239107332624;0,0;-0,05899999999999994;-0,1207834602829162;-0,08446601941747578;-0,08446601941747578;-0,10238907849829348;-0,08931419457735246;-0,017857142857142794
2002;7,55;10,6;11,3;11,3;19,4;8,67;9,81;7,33;7,18;13,7;9,39;17,0;11,7;2,09;10,1;9,98;7,0;7,0;9,93;19,6;11,3;8,22;9,05;15,7;9,88;8,83;9,98;9,98;8,42;6,28;11,6;0,06000000000000005;-0,00877192982456132;-0,00877192982456132;-0,025125628140703515;0,10445859872611463;0,05939524838012966;0,02231520223152028;0,06056129985228953;-0,021428571428571463;0,076834862385321;-0,011627906976744096;0,08333333333333326;0,13586956521739113;0,03802672147995878;0,058324496288441274;0,05740181268882183;0,05740181268882183;0,050793650793650835;-0,019999999999999907;0,027272727272727337;0,14325452016689844;0,10231425091351998;0,0064102564102563875;0,04994686503719459;0,0928217821782178;0,058324496288441274;0,058324496288441274;0,06717363751584293;0,09982486865148865;0,05454545454545445
