"site";"year";"count"
15;1980;NA
15;1981;NA
15;1982;NA
15;1983;NA
15;1984;NA
15;1985;NA
15;1986;NA
15;1987;NA
15;1988;NA
15;1989;NA
15;1990;NA
15;1991;NA
15;1992;NA
15;1993;NA
15;1994;NA
15;1995;NA
15;1996;NA
15;1997;NA
15;1998;NA
15;1999;NA
15;2000;NA
15;2001;NA
15;2002;NA
15;2003;NA
15;2004;NA
15;2005;9436
15;2006;11417
15;2007;13681
15;2008;11983
15;2009;9624
15;2010;10945
15;2011;9530
15;2012;10096
15;2013;10756
15;2014;9530
15;2015;7454
15;2016;15097
1;1980;NA
1;1981;NA
1;1982;802
1;1983;1171
1;1984;1083
1;1985;898
1;1986;826
1;1987;1949
1;1988;1219
1;1989;2134
1;1990;2888
1;1991;2623
1;1992;2214
1;1993;1981
1;1994;3305
1;1995;3249
1;1996;3618
1;1997;2270
1;1998;2615
1;1999;1957
1;2000;2511
1;2001;2174
1;2002;2872
1;2003;1885
1;2004;2639
1;2005;3048
1;2006;1701
1;2007;2118
1;2008;4476
1;2009;6674
1;2010;4331
1;2011;2615
1;2012;4315
1;2013;6946
1;2014;3954
1;2015;3048
1;2016;2069
3;1980;NA
3;1981;NA
3;1982;NA
3;1983;NA
3;1984;NA
3;1985;NA
3;1986;NA
3;1987;NA
3;1988;NA
3;1989;NA
3;1990;NA
3;1991;NA
3;1992;NA
3;1993;NA
3;1994;NA
3;1995;NA
3;1996;NA
3;1997;NA
3;1998;NA
3;1999;NA
3;2000;NA
3;2001;634
3;2002;1299
3;2003;995
3;2004;1616
3;2005;1248
3;2006;2116
3;2007;1331
3;2008;2104
3;2009;1648
3;2010;2833
3;2011;3143
3;2012;2300
3;2013;3295
3;2014;4087
3;2015;6685
3;2016;6381
28;1980;2127
28;1981;2190
28;1982;2130
28;1983;2073
28;1984;1817
28;1985;1599
28;1986;1634
28;1987;1516
28;1988;1441
28;1989;1670
28;1990;1714
28;1991;1499
28;1992;1609
28;1993;1950
28;1994;2051
28;1995;1976
28;1996;2098
28;1997;1752
28;1998;1865
28;1999;1857
28;2000;1946
28;2001;1918
28;2002;1922
28;2003;1987
28;2004;2163
28;2005;1933
28;2006;2198
28;2007;2335
28;2008;2347
28;2009;2698
28;2010;2830
28;2011;3049
28;2012;3399
28;2013;3873
28;2014;4403
28;2015;4532
28;2016;4944
23;1980;NA
23;1981;NA
23;1982;NA
23;1983;NA
23;1984;NA
23;1985;NA
23;1986;NA
23;1987;NA
23;1988;NA
23;1989;NA
23;1990;NA
23;1991;NA
23;1992;NA
23;1993;NA
23;1994;NA
23;1995;NA
23;1996;NA
23;1997;NA
23;1998;NA
23;1999;NA
23;2000;NA
23;2001;NA
23;2002;NA
23;2003;NA
23;2004;NA
23;2005;NA
23;2006;NA
23;2007;4000
23;2008;5760
23;2009;3400
23;2010;3240
23;2011;3400
23;2012;1240
23;2013;1680
23;2014;800
23;2015;440
23;2016;1000
4;1980;NA
4;1981;NA
4;1982;NA
4;1983;NA
4;1984;NA
4;1985;NA
4;1986;NA
4;1987;NA
4;1988;NA
4;1989;NA
4;1990;NA
4;1991;NA
4;1992;NA
4;1993;NA
4;1994;NA
4;1995;NA
4;1996;NA
4;1997;NA
4;1998;NA
4;1999;17480
4;2000;9090
4;2001;16256
4;2002;12760
4;2003;15208
4;2004;19927
4;2005;14159
4;2006;12586
4;2007;14508
4;2008;16431
4;2009;9090
4;2010;14508
4;2011;8565
4;2012;10488
4;2013;6642
4;2014;11712
4;2015;13809
4;2016;7691
6;1980;NA
6;1981;NA
6;1982;NA
6;1983;NA
6;1984;NA
6;1985;NA
6;1986;NA
6;1987;NA
6;1988;NA
6;1989;NA
6;1990;NA
6;1991;NA
6;1992;NA
6;1993;NA
6;1994;NA
6;1995;16529
6;1996;19174
6;1997;19504
6;1998;17851
6;1999;17851
6;2000;19174
6;2001;20165
6;2002;15868
6;2003;17355
6;2004;18678
6;2005;18017
6;2006;17521
6;2007;17190
6;2008;18512
6;2009;16033
6;2010;16860
6;2011;21322
6;2012;20000
6;2013;20661
6;2014;27273
6;2015;19835
6;2016;20331
18;1980;NA
18;1981;NA
18;1982;NA
18;1983;NA
18;1984;NA
18;1985;NA
18;1986;NA
18;1987;NA
18;1988;NA
18;1989;NA
18;1990;NA
18;1991;NA
18;1992;NA
18;1993;NA
18;1994;NA
18;1995;NA
18;1996;NA
18;1997;NA
18;1998;NA
18;1999;NA
18;2000;NA
18;2001;NA
18;2002;NA
18;2003;NA
18;2004;NA
18;2005;NA
18;2006;NA
18;2007;NA
18;2008;NA
18;2009;NA
18;2010;NA
18;2011;39987
18;2012;43986
18;2013;30390
18;2014;47585
18;2015;63979
18;2016;32389
7;1980;NA
7;1981;NA
7;1982;NA
7;1983;NA
7;1984;NA
7;1985;NA
7;1986;NA
7;1987;NA
7;1988;NA
7;1989;NA
7;1990;88
7;1991;118
7;1992;147
7;1993;206
7;1994;236
7;1995;295
7;1996;354
7;1997;354
7;1998;471
7;1999;560
7;2000;589
7;2001;619
7;2002;648
7;2003;737
7;2004;766
7;2005;825
7;2006;1002
7;2007;1120
7;2008;1296
7;2009;1414
7;2010;1532
7;2011;1532
7;2012;1620
7;2013;1944
7;2014;2003
7;2015;2210
7;2016;2386
8;1980;NA
8;1981;NA
8;1982;NA
8;1983;NA
8;1984;NA
8;1985;NA
8;1986;NA
8;1987;NA
8;1988;NA
8;1989;NA
8;1990;NA
8;1991;NA
8;1992;NA
8;1993;NA
8;1994;NA
8;1995;NA
8;1996;NA
8;1997;NA
8;1998;NA
8;1999;NA
8;2000;NA
8;2001;116019
8;2002;111378
8;2003;114858
8;2004;124140
8;2005;97456
8;2006;102096
8;2007;92815
8;2008;95135
8;2009;93975
8;2010;100936
8;2011;103257
8;2012;105577
8;2013;102096
8;2014;109058
8;2015;106737
8;2016;104417
21;1980;NA
21;1981;NA
21;1982;NA
21;1983;NA
21;1984;NA
21;1985;NA
21;1986;NA
21;1987;NA
21;1988;NA
21;1989;NA
21;1990;NA
21;1991;NA
21;1992;NA
21;1993;NA
21;1994;NA
21;1995;NA
21;1996;NA
21;1997;NA
21;1998;NA
21;1999;NA
21;2000;NA
21;2001;NA
21;2002;NA
21;2003;NA
21;2004;23558
21;2005;19318
21;2006;25914
21;2007;20496
21;2008;37928
21;2009;24972
21;2010;23322
21;2011;31803
21;2012;21909
21;2013;28270
21;2014;23087
21;2015;NA
21;2016;NA
19;1980;NA
19;1981;NA
19;1982;NA
19;1983;NA
19;1984;NA
19;1985;NA
19;1986;NA
19;1987;NA
19;1988;NA
19;1989;NA
19;1990;NA
19;1991;NA
19;1992;NA
19;1993;NA
19;1994;NA
19;1995;NA
19;1996;NA
19;1997;NA
19;1998;NA
19;1999;NA
19;2000;NA
19;2001;NA
19;2002;NA
19;2003;NA
19;2004;NA
19;2005;4196
19;2006;2056
19;2007;4868
19;2008;4658
19;2009;4784
19;2010;4616
19;2011;4364
19;2012;2392
19;2013;4113
19;2014;3063
19;2015;4196
19;2016;3609
10;1980;NA
10;1981;NA
10;1982;NA
10;1983;NA
10;1984;NA
10;1985;NA
10;1986;NA
10;1987;NA
10;1988;NA
10;1989;NA
10;1990;NA
10;1991;NA
10;1992;NA
10;1993;NA
10;1994;NA
10;1995;NA
10;1996;NA
10;1997;NA
10;1998;38401
10;1999;52226
10;2000;49922
10;2001;61442
10;2002;59522
10;2003;61442
10;2004;66434
10;2005;71810
10;2006;71426
10;2007;61058
10;2008;77570
10;2009;64130
10;2010;62210
10;2011;73346
10;2012;63746
10;2013;84867
10;2014;74114
