"site";"year";"count"
27;1980;NA
27;1981;NA
27;1982;NA
27;1983;NA
27;1984;NA
27;1985;NA
27;1986;NA
27;1987;NA
27;1988;NA
27;1989;NA
27;1990;42332
27;1991;31749
27;1992;31749
27;1993;23283
27;1994;27516
27;1995;28362
27;1996;21589
27;1997;28786
27;1998;19896
27;1999;22859
27;2000;17356
27;2001;20743
27;2002;25399
27;2003;21589
27;2004;16086
27;2005;8043
27;2006;10160
27;2007;11430
27;2008;12276
27;2009;8890
27;2010;12700
27;2011;11430
27;2012;10583
27;2013;3810
27;2014;9736
27;2015;12700
27;2016;9313
1;1980;NA
1;1981;NA
1;1982;1414214
1;1983;735391
1;1984;834386
1;1985;763676
1;1986;1371788
1;1987;593970
1;1988;636396
1;1989;989950
1;1990;763676
1;1991;763676
1;1992;735391
1;1993;622254
1;1994;692965
1;1995;410122
1;1996;268701
1;1997;268701
1;1998;509117
1;1999;353554
1;2000;622254
1;2001;410122
1;2002;113137
1;2003;226274
1;2004;127279
1;2005;127279
1;2006;113137
1;2007;70711
1;2008;84853
1;2009;98995
1;2010;84853
1;2011;84853
1;2012;98995
1;2013;98995
1;2014;141421
1;2015;84853
1;2016;70711
2;1980;NA
2;1981;71186
2;1982;130271
2;1983;40576
2;1984;113186
2;1985;76169
2;1986;79729
2;1987;75458
2;1988;56237
2;1989;91831
2;1990;89695
2;1991;66203
2;1992;69763
2;1993;59085
2;1994;64068
2;1995;58373
2;1996;53390
2;1997;52678
2;1998;57661
2;1999;71898
2;2000;56949
2;2001;50542
2;2002;51966
2;2003;50542
2;2004;44136
2;2005;38441
2;2006;45559
2;2007;45559
2;2008;52678
2;2009;48407
2;2010;40576
2;2011;42000
2;2012;39864
2;2013;37729
2;2014;34169
2;2015;38441
2;2016;44847
16;1980;NA
16;1981;NA
16;1982;NA
16;1983;NA
16;1984;666173
16;1985;492968
16;1986;586232
16;1987;459659
16;1988;293116
16;1989;393042
16;1990;586232
16;1991;566247
16;1992;532938
16;1993;532938
16;1994;393042
16;1995;446336
16;1996;53294
16;1997;646188
16;1998;426351
16;1999;259808
16;2000;346410
16;2001;293116
16;2002;246484
16;2003;186528
16;2004;246484
16;2005;279793
16;2006;279793
16;2007;153220
16;2008;313101
16;2009;219837
16;2010;333087
16;2011;306440
16;2012;346410
16;2013;253146
16;2014;366395
16;2015;206514
16;2016;186528
17;1980;1939180
17;1981;1360828
17;1982;1615983
17;1983;1462890
17;1984;1394848
17;1985;1513921
17;1986;1718045
17;1987;1530931
17;1988;1752066
17;1989;1156704
17;1990;1309797
17;1991;1428869
17;1992;1496911
17;1993;1547942
17;1994;1701035
17;1995;1769076
17;1996;1581962
17;1997;1547942
17;1998;1547942
17;1999;1377838
17;2000;1394848
17;2001;1530931
17;2002;1411859
17;2003;1632993
17;2004;1275776
17;2005;1615983
17;2006;833507
17;2007;918559
17;2008;1292786
17;2009;1292786
17;2010;935569
17;2011;1496911
17;2012;1224745
17;2013;1071652
17;2014;901548
17;2015;1122683
17;2016;1258766
3;1980;NA
3;1981;NA
3;1982;NA
3;1983;NA
3;1984;NA
3;1985;NA
3;1986;NA
3;1987;NA
3;1988;NA
3;1989;115709
3;1990;227947
3;1991;104138
3;1992;108767
3;1993;84468
3;1994;105295
3;1995;89096
3;1996;82153
3;1997;80996
3;1998;80996
3;1999;87939
3;2000;87939
3;2001;78682
3;2002;64797
3;2003;71740
3;2004;56697
3;2005;65954
3;2006;47441
3;2007;46284
3;2008;46284
3;2009;33556
3;2010;20828
3;2011;34713
3;2012;25456
3;2013;28927
3;2014;31241
3;2015;40498
3;2016;33556
28;1980;NA
28;1981;NA
28;1982;NA
28;1983;NA
28;1984;NA
28;1985;NA
28;1986;NA
28;1987;NA
28;1988;NA
28;1989;283727
28;1990;218470
28;1991;302400
28;1992;237220
28;1993;253294
28;1994;278178
28;1995;198600
28;1996;220205
28;1997;318781
28;1998;186158
28;1999;217732
28;2000;173793
28;2001;197363
28;2002;361781
28;2003;170812
28;2004;139602
28;2005;160191
28;2006;108612
28;2007;126872
28;2008;141423
28;2009;101193
28;2010;125128
28;2011;127237
28;2012;109341
28;2013;107232
28;2014;110941
28;2015;127965
28;2016;150663
6;1980;NA
6;1981;NA
6;1982;NA
6;1983;NA
6;1984;NA
6;1985;NA
6;1986;NA
6;1987;NA
6;1988;NA
6;1989;NA
6;1990;NA
6;1991;NA
6;1992;NA
6;1993;NA
6;1994;NA
6;1995;170558
