"site";"year";"count"
14;1980;NA
14;1981;NA
14;1982;NA
14;1983;NA
14;1984;NA
14;1985;NA
14;1986;NA
14;1987;NA
14;1988;NA
14;1989;NA
14;1990;NA
14;1991;NA
14;1992;NA
14;1993;NA
14;1994;NA
14;1995;NA
14;1996;NA
14;1997;NA
14;1998;12572
14;1999;12949
14;2000;8800
14;2001;11315
14;2002;18732
14;2003;14081
14;2004;12321
14;2005;10309
14;2006;11063
14;2007;11441
14;2008;9303
14;2009;12069
14;2010;8675
14;2011;4652
14;2012;6286
14;2013;7543
14;2014;9555
14;2015;5532
14;2016;4652
1;1980;NA
1;1981;NA
1;1982;17164
1;1983;15619
1;1984;22485
1;1985;10470
1;1986;9955
1;1987;18366
1;1988;22485
1;1989;16478
1;1990;16821
1;1991;10813
1;1992;11157
1;1993;18194
1;1994;14933
1;1995;14075
1;1996;12701
1;1997;19910
1;1998;19739
1;1999;23172
1;2000;25575
1;2001;25231
1;2002;27806
1;2003;57500
1;2004;26604
1;2005;37074
1;2006;39649
1;2007;44112
1;2008;41709
1;2009;30380
1;2010;34843
1;2011;44627
1;2012;40164
1;2013;49433
1;2014;48574
1;2015;41880
1;2016;35358
2;1980;25257
2;1981;27848
2;1982;26552
2;1983;34648
2;1984;39181
2;1985;21048
2;1986;20400
2;1987;18781
2;1988;32057
2;1989;44686
2;1990;48895
2;1991;41771
2;1992;44686
2;1993;51810
2;1994;40152
2;1995;39505
2;1996;34648
2;1997;24610
2;1998;29143
2;1999;30762
2;2000;44038
2;2001;38210
2;2002;30438
2;2003;26552
2;2004;32057
2;2005;30114
2;2006;25581
2;2007;32705
2;2008;36590
2;2009;29143
2;2010;14571
2;2011;13600
2;2012;17486
2;2013;12952
2;2014;16514
2;2015;14571
2;2016;14248
3;1980;NA
3;1981;NA
3;1982;NA
3;1983;NA
3;1984;NA
3;1985;NA
3;1986;NA
3;1987;NA
3;1988;NA
3;1989;NA
3;1990;NA
3;1991;NA
3;1992;NA
3;1993;NA
3;1994;NA
3;1995;NA
3;1996;NA
3;1997;NA
3;1998;NA
3;1999;NA
3;2000;NA
3;2001;150613
3;2002;177723
3;2003;188266
3;2004;164168
3;2005;180736
3;2006;194291
3;2007;168687
3;2008;251524
3;2009;203328
3;2010;194291
3;2011;250018
3;2012;173205
3;2013;280140
3;2014;248512
3;2015;207846
3;2016;227426
28;1980;NA
28;1981;NA
28;1982;NA
28;1983;NA
28;1984;NA
28;1985;NA
28;1986;NA
28;1987;NA
28;1988;NA
28;1989;260481
28;1990;127636
28;1991;230737
28;1992;171566
28;1993;239150
28;1994;176177
28;1995;168829
28;1996;238217
28;1997;261045
28;1998;211096
28;1999;171302
28;2000;170167
28;2001;255844
28;2002;180049
28;2003;179917
28;2004;211034
28;2005;230130
28;2006;191868
28;2007;152135
28;2008;173572
28;2009;174241
28;2010;172305
28;2011;158744
28;2012;170299
28;2013;172569
28;2014;164156
28;2015;149530
28;2016;157345
4;1980;NA
4;1981;NA
4;1982;NA
4;1983;NA
4;1984;NA
4;1985;NA
4;1986;NA
4;1987;NA
4;1988;NA
4;1989;NA
4;1990;NA
4;1991;NA
4;1992;NA
4;1993;NA
4;1994;NA
4;1995;NA
4;1996;NA
4;1997;NA
4;1998;NA
4;1999;24724
4;2000;26702
4;2001;84309
4;2002;174800
4;2003;59585
4;2004;33872
4;2005;106066
4;2006;86782
4;2007;69969
4;2008;59585
4;2009;64035
4;2010;70711
4;2011;NA
4;2012;NA
4;2013;NA
4;2014;NA
4;2015;NA
4;2016;NA
5;1980;NA
5;1981;NA
5;1982;NA
5;1983;NA
5;1984;NA
5;1985;NA
5;1986;NA
5;1987;NA
5;1988;NA
5;1989;NA
5;1990;NA
5;1991;NA
5;1992;NA
5;1993;NA
5;1994;NA
5;1995;NA
5;1996;NA
5;1997;NA
5;1998;NA
5;1999;NA
5;2000;50246
5;2001;35675
5;2002;22611
5;2003;93458
5;2004;19596
5;2005;44719
5;2006;28640
5;2007;11557
5;2008;23113
5;2009;66325
5;2010;23113
5;2011;35675
5;2012;29143
5;2013;13566
5;2014;18591
5;2015;17586
5;2016;14571
7;1980;NA
7;1981;NA
7;1982;NA
7;1983;NA
7;1984;255718
7;1985;258468
7;1986;244720
7;1987;225472
7;1988;250219
7;1989;280465
7;1990;274966
7;1991;313461
7;1992;307962
7;1993;327210
7;1994;349207
7;1995;351957
7;1996;327210
7;1997;274966
7;1998;296963
7;1999;335459
7;2000;338208
7;2001;335459
7;2002;332709
7;2003;343708
7;2004;316211
7;2005;349207
7;2006;351957
7;2007;327210
7;2008;349207
7;2009;324460
7;2010;327210
7;2011;283215
7;2012;296963
7;2013;305212
7;2014;307962
7;2015;349207
7;2016;332709
8;1980;NA
8;1981;NA
8;1982;NA
8;1983;NA
8;1984;NA
8;1985;NA
8;1986;NA
8;1987;NA
8;1988;NA
8;1989;NA
8;1990;NA
8;1991;NA
8;1992;NA
8;1993;NA
8;1994;NA
8;1995;NA
8;1996;NA
8;1997;NA
8;1998;NA
8;1999;NA
8;2000;79579
8;2001;194173
8;2002;180644
8;2003;186215
8;2004;149608
8;2005;114594
8;2006;128918
8;2007;194968
8;2008;203722
8;2009;92312
8;2010;90720
8;2011;91516
8;2012;86741
8;2013;85945
8;2014;88333
8;2015;97882
8;2016;106636
21;1980;NA
21;1981;NA
21;1982;NA
21;1983;NA
21;1984;NA
21;1985;NA
21;1986;NA
21;1987;NA
21;1988;NA
21;1989;NA
21;1990;NA
21;1991;NA
21;1992;NA
21;1993;NA
21;1994;NA
21;1995;NA
21;1996;NA
21;1997;NA
21;1998;NA
21;1999;NA
21;2000;NA
21;2001;NA
21;2002;NA
21;2003;NA
21;2004;2
21;2005;3
21;2006;3
21;2007;1
21;2008;4
21;2009;4
21;2010;1
21;2011;4
21;2012;3
21;2013;1
21;2014;NA
21;2015;NA
21;2016;NA
11;1980;61188
11;1981;92382
11;1982;70786
11;1983;65987
11;1984;87583
11;1985;38392
11;1986;40792
11;1987;27595
11;1988;39592
11;1989;62388
11;1990;69586
11;1991;88783
11;1992;76785
11;1993;99580
11;1994;63588
11;1995;81584
11;1996;80384
11;1997;47991
11;1998;53989
11;1999;79184
11;2000;76785
11;2001;82784
11;2002;53989
11;2003;93582
11;2004;85183
11;2005;83984
11;2006;115177
11;2007;136773
11;2008;118777
11;2009;117577
11;2010;62388
11;2011;43192
11;2012;40792
11;2013;67187
11;2014;59988
11;2015;68387
11;2016;80384
12;1980;NA
12;1981;NA
12;1982;NA
12;1983;NA
12;1984;NA
12;1985;NA
12;1986;NA
12;1987;NA
12;1988;NA
12;1989;NA
12;1990;NA
12;1991;NA
12;1992;NA
12;1993;NA
12;1994;NA
12;1995;NA
12;1996;NA
12;1997;NA
12;1998;NA
12;1999;3598
12;2000;6368
12;2001;7699
12;2002;6044
12;2003;6548
12;2004;6872
12;2005;6692
12;2006;7052
12;2007;7699
12;2008;7196
12;2009;9030
12;2010;9210
12;2011;8886
12;2012;11225
12;2013;11225
12;2014;9246
12;2015;9030
12;2016;9030
13;1980;42816
13;1981;43928
13;1982;41426
13;1983;42816
13;1984;41148
13;1985;45596
13;1986;42260
13;1987;45040
13;1988;50879
13;1989;56996
13;1990;60332
13;1991;62000
13;1992;62000
13;1993;57830
13;1994;50601
13;1995;56996
13;1996;67004
13;1997;60332
13;1998;56717
13;1999;60332
13;2000;58386
13;2001;55883
13;2002;54215
13;2003;55883
13;2004;57830
13;2005;69229
13;2006;68951
13;2007;59498
13;2008;63946
13;2009;62000
13;2010;63946
13;2011;56161
13;2012;58108
13;2013;46430
13;2014;42538
13;2015;46987
13;2016;43094
