"site";"year";"count"
16;1980;NA
16;1981;NA
16;1982;NA
16;1983;NA
16;1984;56956
16;1985;50121
16;1986;60373
16;1987;89421
16;1988;86003
16;1989;89990
16;1990;82586
16;1991;71195
16;1992;70625
16;1993;66069
16;1994;22782
16;1995;53539
16;1996;47843
16;1997;78030
16;1998;58665
16;1999;87142
16;2000;57525
16;2001;60373
16;2002;63221
16;2003;62082
16;2004;89421
16;2005;44995
16;2006;85434
16;2007;47843
16;2008;52399
16;2009;27908
16;2010;61512
16;2011;42717
16;2012;38730
16;2013;109925
16;2014;71195
16;2015;98534
16;2016;30187
17;1980;NA
17;1981;NA
17;1982;NA
17;1983;213143
17;1984;213143
17;1985;198223
17;1986;206749
17;1987;230194
17;1988;238720
17;1989;328240
17;1990;283480
17;1991;247246
17;1992;309057
17;1993;260034
17;1994;281349
17;1995;439075
17;1996;294137
17;1997;407103
17;1998;375132
17;1999;355949
17;2000;326109
17;2001;417760
17;2002;407103
17;2003;349555
17;2004;351686
17;2005;328240
17;2006;358080
17;2007;353817
17;2008;362343
17;2009;362343
17;2010;338897
17;2011;417760
17;2012;366606
17;2013;404972
17;2014;366606
17;2015;298400
17;2016;341029
6;1980;NA
6;1981;NA
6;1982;NA
6;1983;NA
6;1984;NA
6;1985;NA
6;1986;NA
6;1987;NA
6;1988;NA
6;1989;NA
6;1990;NA
6;1991;NA
6;1992;NA
6;1993;NA
6;1994;NA
6;1995;NA
6;1996;NA
6;1997;NA
6;1998;NA
6;1999;NA
6;2000;NA
6;2001;NA
6;2002;NA
6;2003;NA
6;2004;NA
6;2005;122082
6;2006;150161
6;2007;159928
6;2008;97666
6;2009;89120
6;2010;113536
6;2011;85458
6;2012;123303
6;2013;131849
6;2014;156265
6;2015;144057
6;2016;102549
22;1980;NA
22;1981;NA
22;1982;NA
22;1983;NA
22;1984;NA
22;1985;NA
22;1986;NA
22;1987;NA
22;1988;NA
22;1989;NA
22;1990;NA
22;1991;NA
22;1992;NA
22;1993;NA
22;1994;NA
22;1995;NA
22;1996;NA
22;1997;NA
22;1998;NA
22;1999;NA
22;2000;NA
22;2001;NA
22;2002;NA
22;2003;NA
22;2004;NA
22;2005;NA
22;2006;NA
22;2007;22777
22;2008;22330
22;2009;12728
22;2010;17194
22;2011;19651
22;2012;14068
22;2013;16971
22;2014;20544
22;2015;22330
22;2016;27020
11;1980;93925
11;1981;117249
11;1982;55473
11;1983;77536
11;1984;92665
11;1985;86991
11;1986;113467
11;1987;77536
11;1988;90774
11;1989;129226
11;1990;100859
11;1991;75645
11;1992;89513
11;1993;85100
11;1994;94556
11;1995;83209
11;1996;80057
11;1997;66189
11;1998;74384
11;1999;80688
11;2000;93925
11;2001;95186
11;2002;98968
11;2003;92034
11;2004;93925
11;2005;88882
11;2006;103381
11;2007;104642
11;2008;97077
11;2009;89513
11;2010;97077
11;2011;108424
11;2012;93295
11;2013;110315
11;2014;117879
11;2015;105272
11;2016;104642
