year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Estonia;Germany East;Germany West;Hungary;Latvia;Lithuania;Luxembourg;Netherlands;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
2003;210933,0;2300,0;129742,0;20088,0;130193,0;2406871,0;1833030,0;137845,0;78908,0;400993,0;4262484,0;;;4649469,0;10839,0;540530,0;-0,12698714897667773;-0,36111111111111116;3,3087908073461527;-0,1496782932610904;0,34782338630363885;0,04958703274084675;-0,06779648087488388;-0,15199965549697636;-0,22018421156658896;-0,10399833756390542;0,09459464664811401;;;0,0;-0,29170750833169967;-0,16603537788612122
2004;291472,0;2380,0;57565,0;9803,0;113394,0;1876222,0;1766374,0;120940,0;78908,0;443956,0;3236330,0;;;4184522,0;7970,0;529103,0;0,38182266406868526;0,034782608695652195;-0,5563117571796334;-0,5119972122660295;-0,12903151475117713;-0,2204725554464697;-0,036363834743566636;-0,12263774529362692;0,0;0,10714152117368636;-0,24074084500962345;;;-0,10000002150783238;-0,2646923147891872;-0,021140362237063615
2005;132313,0;1840,0;40295,0;16392,0;127044,0;2027836,0;1466424,0;117038,0;83550,0;540624,0;3525758,0;;28284,0;3215883,0;8289,0;460028,0;-0,5460524510073008;-0,22689075630252098;-0,3000086858334057;0,6721411812710394;0,12037673951002703;0,08080813464504732;-0,1698111498470879;-0,03226393252852655;0,058828002230445486;0,2177422987863662;0,08943092947876141;;;-0,23148139739736107;0,040025094102885905;-0,13055114032617465
2006;157241,0;1820,0;27454,0;12696,0;139643,0;1554043,0;1266457,0;91030,0;70553,0;490500,0;2973214,0;;31112,0;3215883,0;20404,0;413483,0;0,1884017443486279;-0,010869565217391353;-0,3186747735451049;-0,22547584187408487;0,09917036617234976;-0,23364463398420776;-0,13636369835736462;-0,22221842478511256;-0,15555954518252546;-0,09271508479090829;-0,15671637134482852;;0,09998585772875135;0,0;1,4615755820967546;-0,101178623909849
2007;197510,0;1900,0;34539,0;12535,0;162742,0;1800415,0;1199801,0;101433,0;44560,0;580007,0;3736251,0;;28850,0;3952049,0;11796,0;369391,0;0,25609732830495857;0,04395604395604402;0,25806804108690895;-0,0126811594202898;0,16541466453742748;0,1585361537615111;-0,05263186985424695;0,11428100626167192;-0,3684180686859524;0,1824811416921508;0,25663709373089194;;-0,07270506556955514;0,22891566639706729;-0,4218780631248775;-0,10663558114843896
2008;235862,0;1520,0;44723,0;14142,0;152242,0;1989933,0;1233129,0;93631,0;46417,0;537044,0;3183707,0;;52891,0;3952049,0;61530,0;445158,0;0,1941775099994938;-0,19999999999999996;0,2948550913460146;0,12820103709613084;-0,06451930048788879;0,10526350869105183;0,027777939841690413;-0,07691776837912712;0,04167414721723528;-0,07407324394360759;-0,14788728059223;;0,8333102253032929;0,0;4,21617497456765;0,2051132810490781
2009;214769,0;2200,0;22140,0;13017,0;155392,0;2160498,0;1133146,0;74124,0;39918,0;447536,0;3157395,0;;41295,0;3564593,0;8289,0;353553,0;-0,08942941211386324;0,44736842105263164;-0,5049527088969881;-0,0795502757742893;0,020690742370699233;0,08571394112264086;-0,08108073040209096;-0,20833911845435804;-0,14001335717517294;-0,16666790802988207;-0,008264579623690205;;-0,21924334953016578;-0,09803927026208425;-0,8652852267186738;-0,20578086881511737
2010;222439,0;1640,0;28782,0;12696,0;119694,0;2065740,0;999835,0;94931,0;56628,0;483339,0;2762721,0;;28284,0;2557208,0;65674,0;385229,0;0,035712789089673125;-0,2545454545454545;0,30000000000000004;-0,024660059921640887;-0,2297286861614497;-0,04385933243168938;-0,11764679926505495;0,280705304624683;0,41860814670073654;0,08000026813485395;-0,12499988123120487;;-0,31507446422084995;-0,282608701750803;6,923030522379056;0,08959335658303003
2011;205181,0;1000,0;33653,0;18642,0;278236,0;2425823,0;1066490,0;100133,0;57557,0;458277,0;2999526,0;251229,0;23476,0;2363480,0;20722,0;337220,0;-0,0775853155247056;-0,3902439024390244;0,16923771801820586;0,46833648393194705;1,3245609637910003;0,17431186887023542;0,0666659998899819;0,05479769516806954;0,016405311859857274;-0,05185180587537941;0,08571440981554046;;-0,16999010041012586;-0,07575762315775647;-0,6844717848768158;-0,1246245739547126
2012;226274,0;740,0;45166,0;17678,0;187941,0;1743560,0;1099818,0;113137,0;52915,0;282843,0;2973214,0;195959,0;16122,0;2905918,0;9883,0;420993,0;0,10280191635677771;-0,26;0,34210917303063626;-0,051711189786503575;-0,3245266608203108;-0,2812501159400336;0,031250175810368486;0,12986727652222552;-0,08065048560557364;-0,3828121420014533;-0,008772052650985573;-0,21999848743576578;-0,313256091327313;0,2295081828490193;-0,5230672714988901;0,2484223948757487
2013;232027,0;1000,0;50480,0;11571,0;248837,0;1800415,0;999835,0;100133,0;45488,0;368770,0;3104772,0;195959,0;35072,0;2828427,0;14346,0;383270,0;0,025424927300529365;0,3513513513513513;0,11765487313465872;-0,34545763095372783;0,3240165796712797;0,032608570969740125;-0,09090867761756949;-0,11494029362631142;-0,1403571766039875;0,30379751310797865;0,04424773998777076;0,0;1,1754124798412109;-0,026666616194951143;0,4515835272690478;-0,08960481528196429
2014;256955,0;1860,0;33210,0;12856,0;265637,0;1933077,0;1199801,0;107935,0;45488,0;329387,0;3473135,0;175861,0;31395,0;3215883,0;8608,0;415118,0;0,10743577256095205;0,8600000000000001;-0,3421156893819335;0,11105349580848678;0,0675140754791288;0,07368412282723713;0,1999989998349727;0,07791637122626915;0,0;-0,10679556363044718;0,11864413876445679;-0,10256227067907064;-0,1048414689781022;0,13698638854741518;-0,3999721176634602;0,08309546794687828
2015;285719,0;1500,0;34096,0;18642,0;171141,0;2008884,0;1099818,0;120940,0;51058,0;379511,0;3841498,0;226107,0;55719,0;2750936,0;11158,0;415118,0;0,1119417796890505;-0,19354838709677424;0,02667871123155674;0,4500622277535782;-0,3557335762713778;0,039215716704507964;-0,08333298605352057;0,12048918330476677;0,1224498768906086;0,15217358304972572;0,10606066277297033;0,2857142857142858;0,7747730530339225;-0,14457833198533654;0,2962360594795539;0,0
2016;325988,0;2280,0;36310,0;10446,0;140693,0;2482678,0;1199801,0;96231,0;53843,0;368770,0;3867809,0;278865,0;146228,0;3099646,0;13071,0;497255,0;0,1409391745036206;0,52;0,0649343031440639;-0,43965239781139365;-0,17791178034486188;0,23584935715551514;0,09090867761756938;-0,204307921283281;0,0545458106467156;-0,028302209949118695;0,0068491510343100526;0,23333200652788277;1,6243830650227031;0,12676049170173354;0,1714464957877755;0,1978642217393609
