year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovakia;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1997;11478272,0;3048276,0;21258143,0;;;;1393205,0;;;;17011713,0;;11638596,0;;;4151692,0;14906901,0;4346348,0;;;;5584158,0;;;;;884510,0;21349602,0;-0,02040810753100386;-0,04225359193077449;-0,010100972001850339;;;;-0,030303262309264722;;;;0,0;;-0,02727274550786496;;;0,07339439104652334;0,0;0,2469135908723823;;;;-0,060000060600000626;;;;;0,007974819717565085;-0,013991923265619821
1998;10760880,0;2958621,0;19956624,0;;;;1317014,0;;3845645,0;13209007,0;13890298,0;;11964912,0;3504561,0;;3371032,0;13674926,0;4260281,0;;;;5584158,0;;;;;804884,0;19686647,0;-0,0625;-0,02941170681394989;-0,0612244917159509;;;;-0,05468757289846071;;;;-0,1834862250497642;;0,028037402449573756;;;-0,1880341797994649;-0,08264460869499302;-0,01980214193617258;;;;0,0;;;;;-0,09002272444630355;-0,07789161596548733
1999;10402184,0;3025862,0;19305864,0;1952248,0;;;1349668,0;;4384036,0;14397817,0;14982793,0;1636583,0;12073684,0;3679789,0;;3761362,0;14044518,0;3959049,0;;;;5346535,0;;;;;831340,0;20292568,0;-0,033333333333333326;0,022727142138178502;-0,03260872179583085;;;;0,02479396574372017;;0,1400001820240817;0,08999995230527169;0,07865166031715076;;0,009090915169288394;0,049999985732877894;;0,11578946743905139;0,027026983546382555;-0,07070707307804347;;;;-0,042553058133383725;;;;;0,03286933272372172;0,030778273212294538
2000;10402184,0;3025862,0;19956624,0;1835113,0;2668327,0;;1284361,0;16571985,0;4422492,0;16775439,0;15138864,0;1751144,0;12400000,0;3644744,0;;3619424,0;14660506,0;4131182,0;;;;5227723,0;;;;;760419,0;19589060,0;0,0;0,0;0,0337078931043957;-0,060000061467600396;;;-0,04838745528529975;;0,008771825778802977;0,16513767330144558;0,010416682657232279;0,0700001160955479;0,027027044935083566;-0,009523643882842214;;-0,03773579889412404;0,043859675355181205;0,04347837068952676;;;;-0,022222243004113906;;;;;-0,08530925974932035;-0,034668258842350586
2001;10641314,0;3048276,0;19088944,0;1717978,0;2721694,0;;1306130,0;16737704,0;4384036,0;18360520,0;15451005,0;1685681,0;12182456,0;3714835,0;;3442001,0;15399691,0;4174215,0;;;;5821782,0;;;;;870685,0;19737213,0;0,022988441658021053;0,007407475952307063;-0,043478295727774396;-0,0638298567990091;0,02000017239266394;;0,016949284508016138;0,009999948708618867;-0,008695549929768065;0,09448819789455287;0,020618521971001336;-0,03738299077631535;-0,017543870967741904;0,019230705915147972;;-0,04901967826924947;0,050420156030085206;0,010416631366035212;;;;0,11363628103478329;;;;;0,1450068975130816;0,0075630479461494815
2002;10880445,0;2981034,0;19956624,0;1796068,0;2855110,0;;1349668,0;16903424,0;4345579,0;18228429,0;15294935,0;1652949,0;12400000,0;3855017,0;;3264579,0;15399691,0;4346348,0;;;;5643564,0;;;;;795923,0;19063871,0;0,02247194284465248;-0,022059026151175276;0,04545458355370524;0,04545459837087562;0,04901947096183479;;0,033333588540191306;0,009900999563619894;-0,008772053879119612;-0,00719429515068204;-0,01010096107016989;-0,019417671552328097;0,017857154583607704;0,03773572715881057;;-0,05154617909756565;0,0;0,04123721466191843;;;;-0,030612276447314568;;;;;-0,08586572641081447;-0,03411535357094231
2003;10641314,0;3182759,0;20173543,0;1815591,0;2775060,0;;1404090,0;18063463,0;4384036,0;17964249,0;16543501,0;1669315,0;12943860,0;3469516,0;;3761362,0;15892481,0;4002082,0;;;;6475248,0;;;;;823404,0;20309423,0;-0,02197805328734259;0,06766947307544968;0,01086952382326789;0,010869855707022147;-0,028037448644710694;;0,04032250894293998;0,06862745678035398;0,008849683782069073;-0,014492746467619333;0,08163264505537282;0,009901091927216221;0,043859677419354925;-0,09999981841844019;;0,15217367997527398;0,031999992727126836;-0,0792081075882557;;;;0,14736857772854184;;;;;0,03452720929034592;0,06533573375522739
2004;11119576,0;2981034,0;20607383,0;1913203,0;2775060,0;;1404090,0;17897743,0;4576318,0;19549330,0;15607076,0;1800242,0;13052632,0;3855017,0;;3512970,0;14783703,0;4217248,0;;;3387982,0;6059406,0;;;;;887924,0;20366644,0;0,04494388568930496;-0,06338054499256773;0,02150539446640587;0,053763209885926866;0,0;;0,0;-0,009174320560791704;0,043859585094647935;0,08823530557831827;-0,05660379867598764;0,0784315722317237;0,008403366538266122;0,11111088693639104;;-0,06603778099528845;-0,0697674579570049;0,053763516089875285;;;;-0,06422024299300966;;;;;0,07835764703596282;0,002817460643761205
2005;11000010,0;3093103,0;21258143,0;2225563,0;3015210,0;4181857,0;1502049,0;17234864,0;4845513,0;17567979,0;16075289,0;1849339,0;13378947,0;3749881,0;5831808,0;3229094,0;15646086,0;3485685,0;7745967,0;;3794540,0;6118812,0;;;;;889290,0;19629426,0;-0,010752748126367395;0,03759400261788359;0,03157897341938076;0,16326547679467374;0,08653866943417432;;0,06976689528449032;-0,03703701634334566;0,05882349085006777;-0,10135135066009937;0,030000046132920843;0,02727244448246413;0,024999938709679315;-0,027272512676338345;;-0,08080797729556477;0,05833335531700001;-0,1734692861316195;;;0,12000004722575275;0,009803931276431976;;;;;0,0015384199548609256;-0,03619732342746307
2006;10282618,0;2936207,0;21691982,0;2069383,0;2775060,0;5352777,0;1534703,0;17069144,0;4576318,0;19285150,0;14670652,0;1783876,0;13596491,0;3609698,0;5481900,0;3477486,0;14167716,0;3916016,0;8133265,0;;3794540,0;5287129,0;;;;10692,0;950652,0;19154802,0;-0,06521739525691339;-0,05072446666017916;0,02040813254478535;-0,07017550165958009;-0,07964619379744697;0,2800000095651285;0,021739636989206;-0,009615393541834716;-0,05555552115947271;0,0977443677499843;-0,08737864681624075;-0,035398053034084054;0,016260173539816014;-0,037383319630676315;-0,05999991769276358;0,07692312456682893;-0,09448816783954783;0,123456651992363;0,049999954815196146;;0,0;-0,13592229994972882;;;;;0,0690011132476469;-0,024179209315646877
