year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Germany East;Germany West;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Spain_rendements;Sweden_rendements
2001;290924,0;65761,0;6334,0;139291,0;61460,0;269184,0;163789,0;2509313,0;42120,0;7493,0;86056,0;;450706,0;36982,0;;;;62611,0;1017005,0;0,20000329983995768;0,0322575581577873;0,0952792668165312;-0,7419351850479479;0,0999946306802928;0,055942382601805285;0,015619768090779473;0,22999992157216442;0,25;0,030248865667537483;-0,0348787654487136;;0,010989060288420838;1,1695412413469435;;;;0,17332558749672056;-0,005309878192626627
2002;316784,0;73982,0;21205,0;181078,0;33524,0;285228,0;166309,0;2080894,0;55050,0;7383,0;78798,0;;460504,0;53451,0;;;;63322,0;1068884,0;0,08888919442878551;0,12501330575873237;2,34780549415851;0,2999978462355788;-0,45453953791083634;0,059602353780313866;0,01538564860888103;-0,17073159067840482;0,3069800569800569;-0,014680368343787498;-0,08434042948777543;;0,021739226901793973;0,4453247525823374;;;;0,011355832042292846;0,05101154861578849
2003;310319,0;68330,0;17625,0;285546,0;34082,0;269184,0;168829,0;1693276,0;45451,0;7603,0;86056,0;;308636,0;5778,0;;;;82533,0;998349,0;-0,02040822768826711;-0,07639696142304886;-0,16882810657863712;0,5769226521167674;0,016644791790955793;-0,05624973705246328;0,015152517302130297;-0,18627474537386335;-0,17436875567665755;0,029798185019639822;0,09210893677504495;;-0,32978649479700506;-0,8919009934332379;;;;0,3033858690502511;-0,06598938706164559
2004;316784,0;66275,0;10189,0;205454,0;34641,0;269184,0;191508,0;1856483,0;43100,0;7273,0;98498,0;;514393,0;24269,0;;;;66168,0;986485,0;0,0208334004685502;-0,03007463778720909;-0,4219007092198581;-0,28048720696490237;0,016401619623261476;0,0;0,13433118717755832;0,09638535005515925;-0,051726034630701245;-0,04340391950545841;0,14458027331040246;;0,6666655866457574;3,20024229837314;;;;-0,1982843226345825;-0,011883619856382865
2005;271529,0;65761,0;16248,0;215901,0;29612,0;217487,0;194028,0;1754479,0;56814,0;7934,0;67393,0;43580,0;558484,0;38716,0;;89443,0;;56919,0;865590,0;-0,14285759381786955;-0,007755563938136589;0,5946609088232409;0,050848365084155134;-0,1451747928754944;-0,19205079053732765;0,013158719217996051;-0,0549447530626459;0,31819025522041766;0,09088409184655566;-0,3157932140754127;;0,08571461897809662;0,5952861675388355;;;;-0,13978055857816463;-0,12255128055672415
2006;284459,0;80661,0;18864,0;424837,0;29054,0;205008,0;183948,0;1938087,0;44080,0;8595,0;76725,0;33556,0;597676,0;36693,0;;110015,0;;62611,0;926630,0;0,047619222992755894;0,2265780629856602;0,16100443131462328;0,96773984372467;-0,018843712008645097;-0,057378142141829125;-0,051951264765910055;0,1046510103569207;-0,2241348963283698;0,0833123266952358;0,1384713545917231;-0,2300137677833869;0,07017568990338119;-0,052252298791197416;;0,23000122983352522;;0,1000017568825875;0,07051837475017031
2007;307086,0;80661,0;17900,0;177596,0;41904,0;417146,0;194028,0;1978889,0;52700,0;9256,0;85019,0;68856,0;533989,0;47094,0;;149370,0;;42689,0;949017,0;0,07954397646057965;0,0;-0,05110262934690413;-0,5819667307696834;0,44227989261375367;1,0347791305705143;0,05479809511383649;0,021052718479614096;0,19555353901996364;0,0769051774287377;0,10810035842293897;1,0519728215520323;-0,10655773362156085;0,283460060502003;;0,3577239467345361;;-0,31818690006548367;0,024159589048487584
2008;320016,0;69872,0;21067,0;195007,0;29612,0;322665,0;194028,0;2223700,0;51720,0;8705,0;70504,0;47938,0;455605,0;34671,0;;116276,0;56965,0;30594,0;864741,0;0,04210546882632227;-0,13375733006037616;0,17692737430167593;0,09803711795310699;-0,2933371515845743;-0,22649384148475593;0,0;0,12371133499655618;-0,018595825426944934;-0,05952895419187554;-0,17072654347851657;-0,30379342395724407;-0,14678954060851446;-0,2637915658045611;;-0,22155720693579706;;-0,2833282578650238;-0,0888034671665523
2009;290924,0;58055,0;22857,0;181078,0;30171,0;205008,0;206627,0;1754479,0;48194,0;8595,0;52878,0;57961,0;391918,0;44494,0;;121642,0;49560,0;40555,0;847113,0;-0,09090795460226986;-0,16912354018777198;0,08496701001566431;-0,07142820514135395;0,018877482101850696;-0,36464134628794576;0,06493392706207346;-0,21100912892926205;-0,06817478731631865;-0,01263641585295805;-0,25;0,20908256497976563;-0,13978555985996644;0,2833203541864959;;0,04614881832880391;-0,12999210041253406;0,3255867163496111;-0,0203852945564047
2010;255366,0;68330,0;17900,0;107950,0;34641,0;426060,0;196547,0;1999290,0;45843,0;10358,0;79835,0;65370,0;333131,0;32937,0;;137742,0;42724,0;25614,0;726553,0;-0,1222243610014987;0,1769873395917665;-0,216870105438159;-0,4038480654745469;0,148155513572636;1,0782603605712948;-0,04878355684397484;0,13953487046581925;-0,04878200605884553;0,20511925538103548;0,5097961344982791;0,12782733217163256;-0,1499982139120939;-0,25974288668135026;;0,13235560086154452;-0,13793381759483458;-0,3684132659351498;-0,14231867531250253
2011;223042,0;56000,0;15697,0;153220,0;31847,0;467061,0;186468,0;2264502,0;43100,0;8265,0;59099,0;49681,0;372322,0;39871,0;350631,0;123431,0;39876,0;18499,0;680438,0;-0,12657910606737;-0,18044782672325477;-0,123072625698324;0,4193608151922186;-0,08065587021159892;0,09623292494014923;-0,05128035533485631;0,13265309184760588;-0,059834653054992026;-0,2020660359142692;-0,25973570489133835;-0,2400030595074193;0,11764441015696536;0,21052311989555816;;-0,10389714103178405;-0,06666042505383396;-0,2777777777777778;-0,0634709374264506
2012;226274,0;60110,0;16248,0;142773,0;24584,0;502715,0;194028,0;1978889,0;45255,0;8485,0;63246,0;32249,0;489898,0;33226,0;424264,0;137742,0;24495,0;30594,0;707227,0;0,01449054438177555;0,07339285714285704;0,03510224883735735;-0,06818300482965667;-0,22805915784846298;0,07633692387075786;0,04054314949481941;-0,1261261858015581;0,050000000000000044;0,02661826981246218;0,0701703920540111;-0,3508786055031098;0,3157911700087559;-0,16666248651902382;0,21000139748054214;0,11594332055966494;-0,3857207342762564;0,6538191253581274;0,03937022917591326
2013;248901,0;73982,0;13081,0;188042,0;26819,0;591849,0;209147,0;2162497,0;54855,0;9036,0;50804,0;55782,0;553585,0;48250,0;466340,0;118065,0;38167,0;17787,0;732318,0;0,099998232231719;0,23077690900016634;-0,19491629739044802;0,31706975408515614;0,09091278880572728;0,17730523258705233;0,07792174325355106;0,09278337491390376;0,2121312562147828;0,06493812610489091;-0,19672390348796764;0,7297280535830568;0,13000053072272189;0,4521760067417082;0,09917409914581476;-0,14285403145010234;0,5581547254541743;-0,4186114924494999;0,03547800069850271
2014;248901,0;64734,0;16523,0;236794,0;39111,0;434973,0;199067,0;2040092,0;51132,0;10248,0;52878,0;74957,0;440908,0;43049,0;585554,0;132376,0;38736,0;20633,0;732831,0;0,0;-0,125003379200346;0,2631297301429554;0,2592612288744005;0,45833177970841565;-0,2650608516699361;-0,04819576661391267;-0,05660354673324397;-0,06786983866557283;0,13413014608233742;0,04082355720022046;0,34374887956688527;-0,20354055836050466;-0,10779274611398959;0,2556375176909551;0,12121289120399781;0,014908166740901896;0,16000449766683533;0,0007005153498889083
2015;232739,0;60624,0;14183,0;212418,0;41346,0;404668,0;199067,0;2019691,0;46039,0;10028,0;61172,0;77136,0;387019,0;30626,0;476859,0;96598,0;26774,0;17787,0;682985,0;-0,06493344743492391;-0,0634905922699045;-0,14162077104642012;-0,10294179751176125;0,05714504870752468;-0,06967099107300911;0,0;-0,010000039213917788;-0,09960494406633813;-0,021467603434816573;0,15685162071182712;0,02907000013340988;-0,12222277663367409;-0,2885781318962113;-0,1856276278532808;-0,27027557865474106;-0,3088083436596448;-0,1379343769689333;-0,06801841079321158
2016;210112,0;63193,0;11153,0;198489,0;32406,0;322665,0;199067,0;1856483,0;48781,0;8816,0;47694,0;73214,0;259646,0;17913,0;354138,0;110909,0;29052,0;14941,0;570737,0;-0,0972204916236643;0,042375956716811825;-0,2136360431502503;-0,06557353896562435;-0,21622406036859676;-0,20264266015597976;0,0;-0,08080840088904684;0,05955820065596562;-0,12086158755484644;-0,22032956254495517;-0,050845260319435814;-0,32911304096181326;-0,4151048129040684;-0,2573528024007097;0,14815006521874152;0,08508254276536942;-0,16000449766683533;-0,16434914383185573
