year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovakia;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;304186,0;;;;;;;;;413306,0;;931148,0;;;;489792,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;357209,0;;;;;;;;;457101,0;;931148,0;;;;501642,0;;;;;;;;;;;;;0,17431111227998652;;;;;;;;;0,10596265236894697;;0,0;;;;0,024193943551548358;;;;;;;;;;;
1982;74432,0;315349,0;;;;;;;;;424255,0;;1016393,0;;;;473992,0;;;;;;;;;;;;;-0,1171862970977775;;;;;;;;;-0,07185720442528021;;0,09154828233535373;;;;-0,055118989239338;;;;;;;;;;;
1983;76665,0;360000,0;;;;;;;;;468049,0;;1068852,0;;;;339694,0;;;;;;;;;;;;0,03000053740326747;0,14159233103640734;;;;;;;;;0,10322565438238795;;0,05161290957336395;;;;-0,283333895930733;;;;;;;;;;;
1984;108671,0;365581,0;;;;;131302,0;;;;478998,0;;1081967,0;;;57806,0;426593,0;;;;;;;;;;;;0,4174786408400182;0,015502777777777865;;;;;;;;;0,02339284989392132;;0,012270173981056232;;;;0,2558155280929306;;;;;;;;;;;
1985;81876,0;340465,0;;;;;135405,0;;;;478998,0;;1252459,0;;;47979,0;422643,0;;;;;;;;;;;;-0,24656992205832284;-0,06870160101318179;;;;;0,031248571994333618;;;;0,0;;0,15757597043163063;;;-0,16999965401515416;-0,009259411195214229;;;;;;;;;;;
1986;113882,0;404651,0;;;;;136773,0;;;;541952,0;;1272131,0;;;59540,0;410793,0;;;;;;;;;;;;0,3909082026479065;0,1885245179387014;;;;;0,010103024260551763;;;;0,1314285237099111;;0,015706701776265763;;;0,2409595864857541;-0,0280378475450912;;;;;;;;;;;
1987;78154,0;368372,0;;;;;134038,0;;;;476260,0;;1252459,0;;;39886,0;462142,0;;;;;;;;;;;;-0,31372824502555274;-0,08965503606811798;;;;;-0,019996636763103814;;;;-0,12121368682097311;;-0,015463816226473526;;;-0,33009741350352706;0,12499969571049174;;;;;;;;;;;
1988;86342,0;373953,0;;;;;136773,0;;;;443415,0;;1272131,0;;;52025,0;477942,0;;;;;;;;;;;;0,10476751030017661;0,015150445745061969;;;;;0,02040466136468755;;;;-0,06896443119304585;;0,015706701776265763;;;0,30434237577094714;0,03418862600672523;;;;;;;;;;;
1989;96018,0;360000,0;2759441,0;;;;142244,0;;;;451626,0;;1245902,0;;;62430,0;462142,0;;;;;;;;;;;878474,0;0,11206597021148457;-0,037312175594259145;;;;;0,040000584910764525;;;;0,01851764148709445;;-0,020618159607776243;;;0,19999999999999996;-0,0330584045762875;;;;;;;;;;;
1990;75177,0;346047,0;2455903,0;;;;136773,0;;;;432466,0;;1232787,0;;;56072,0;501642,0;;;;;;;;;;168443,0;975106,0;-0,2170530525526464;-0,03875833333333334;-0,1099998151799586;;;;-0,03846207924411571;;;;-0,042424483975678995;;-0,010526510110747123;;;-0,101842063110684;0,08547156501681297;;;;;;;;;;;0,1099998406327336
1991;92296,0;334884,0;2455903,0;;;;136773,0;;;;495420,0;;1272131,0;;;56072,0;533241,0;;;;;;;;;;215607,0;1401880,0;0,22771592375327554;-0,032258623828555044;0,0;;;;0,0;;;;0,14556982514232342;;0,03191467788028257;;;0,0;0,06299113710574478;;;;;;;;;;0,27999976253094516;0,4376693405640002
1992;89319,0;309767,0;2897414,0;;;;123096,0;;;;440678,0;;1363934,0;;;65321,0;450292,0;;;;;;;;;;185208,0;1261561,0;-0,03225491895640109;-0,07500209027603588;0,17977542272638614;;;;-0,09999780658463298;;;;-0,11049614468531754;;0,07216473775106502;;;0,1649486374661151;-0,15555630568542178;;;;;;;;;;-0,14099263938554873;-0,10009344594401803
