year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1999;575927,0;67375,0;418443,0;409582,0;;;120289,0;;451239,0;328024,0;59382,0;162606,0;203496,0;;114864,0;634737,0;;;;;65367,0;;;84072,0;1711507,0;0,15555408417753647;0,0888888888888888;0,15929208443344867;;;;0,0707012265679241;;-0,1199989859020888;0,4999977135854181;;0,03968030690537083;0,08000127373661248;;-0,09523847032413058;0,5360826488681518;;;;;0,7683006005518584;;;0,0642160027342118;0,10775431320160722
2000;553776,0;55917,0;338588,0;405486,0;157645,0;;112346,0;1273805,0;579432,0;226883,0;64132,0;163847,0;188422,0;;108819,0;579357,0;;;;;57253,0;;;73227,0;1621788,0;-0,03846147167957048;-0,17006307977736546;-0,19083841765784104;-0,010000439472437783;;;-0,06603263806333082;;0,284091135739597;-0,3083341462819794;0,0799905695328551;0,007631944700687621;-0,0740751660966309;;-0,052627455077308816;-0,08724873451524018;;;;;-0,12412991264705431;;;-0,12899657436483014;-0,052421053492623715
2001;575927,0;62333,0;415249,0;401390,0;156069,0;;116885,0;1235591,0;697369,0;235084,0;59382,0;158882,0;192191,0;;93273,0;758277,0;;;;;37868,0;;;98143,0;1519180,0;0,039999927768628485;0,11474149185399796;0,22641381265727079;-0,010101458496717508;-0,009997145485108994;;0,0404019724778808;-0,02999988224257244;0,20353898300404527;0,03614638381897284;-0,07406598889789806;-0,030302660408796034;0,02000297205209578;;-0,14286108124500319;0,30882512854768307;;;;;-0,3385848776483329;;;0,3402570090267252;-0,06326844199118509
2002;546393,0;50417,0;517464,0;458732,0;174986,0;;123694,0;904402,0;599942,0;221416,0;65320,0;182466,0;195959,0;;80319,0;532498,0;;;;;56351,0;;;68056,0;1380812,0;-0,05128080468531604;-0,19116679768341005;0,2461535127116501;0,14285856648147677;0,12120920874741303;;0,05825383924370109;-0,2680409617745678;-0,13970652552665808;-0,05814091984141834;0,09999663197601971;0,148437204969726;0,019605496615346274;;-0,13888263484609698;-0,29775266822018864;;;;;0,48809020809126435;;;-0,30656287254312586;-0,09108071459603206
2003;535317,0;52250,0;527047,0;409582,0;160798,0;;124828,0;1069996,0;646092,0;284288,0;68883,0;208533,0;220454,0;;62182,0;502678,0;;;;;52294,0;;;88599,0;1498645,0;-0,020271123531963253;0,0363567844179542;0,018519162685713297;-0,10714316856029227;-0,0810807721760598;;0,009167785017866636;0,18309778173865165;0,07692410266325744;0,2839541857860317;0,05454684629516238;0,14285949163131773;0,125000637888538;;-0,22581207435351536;-0,05600021032942848;;;;;-0,07199517311139114;;;0,30185435523686377;0,0853360196753794
2004;634997,0;49958,0;549406,0;434157,0;152916,0;;123694,0;1159163,0;646092,0;251485,0;80759,0;232117,0;231759,0;;54409,0;630477,0;;;;346678,0;57253,0;;;79359,0;1695546,0;0,1862074247595351;-0,04386602870813394;0,04242316150172565;0,06000019532108336;-0,049018022612221546;;-0,00908450027237484;0,08333395638862195;0,0;-0,11538650945520035;0,17240828651481488;0,1130948099341591;0,05128053925081866;;-0,1250040204560805;0,25423631032191585;;;;;0,09482923471143923;;;-0,10429011614126571;0,13138601870356226
2005;723601,0;58667,0;613291,0;462828,0;160798,0;591198,0;123694,0;1222853,0;651220,0;281554,0;95605,0;248874,0;254370,0;261100,0;65637,0;796617,0;;84853,0;;346678,0;69875,0;;;94523,0;1925637,0;0,13953451748590928;0,17432643420473193;0,11628012799277765;0,06603832254230602;0,051544638886709127;;0,0;0,05494481794191164;0,007936950155705391;0,11956577927112955;0,18383090429549642;0,07219204108272992;0,0975625542050147;;0,20636291789961225;0,26351476739040436;;;;0,0;0,22046006322812772;;;0,1910810368074194;0,13570318941509107
2006;494707,0;58208,0;651621,0;360432,0;176563,0;591198,0;125963,0;1184639,0;697369,0;259686,0;74227,0;268114,0;201612,0;185381,0;67364,0;626217,0;;90793,0;;461081,0;39220,0;;;79912,0;1527528,0;-0,3163262626779123;-0,007823819182845582;0,062498878998713536;-0,22123985584277528;0,09804226420726625;0,0;0,018343654502239293;-0,031249872225034392;0,07086545253524146;-0,07766893739744418;-0,223607551906281;0,07730819611530326;-0,2074065337893619;-0,29000000000000004;0,026311379252555778;-0,21390454886099597;;0,07000341767527374;;0,3299978654543987;-0,4387119856887298;;;-0,15457613490896394;-0,20674145750211492
2007;679299,0;80208,0;606902,0;389103,0;204939,0;555726,0;130502,0;1299281,0;728135,0;431898,0;82541,0;274941,0;231759,0;234990,0;97591,0;971276,0;;97581,0;;343211,0;62662,0;;1269831,0;84134,0;1709470,0;0,37313399648680945;0,3779549202858714;-0,06862731557147483;0,07954621121321082;0,16071317320163336;-0,060000202977682604;0,03603439105134054;0,09677378509402446;0,04411724639322934;0,6631547330237286;0,11200775997952217;0,0254630492999246;0,14952978989345866;0,267605633802817;0,44871147794073996;0,5510214510305533;;0,07476347295496355;;-0,25563838024121577;0,5977052524222335;;;0,05283311642807087;0,11910878229400712
2008;701450,0;72417,0;581348,0;450540,0;182869,0;869061,0;139581,0;1273805,0;840945,0;369027,0;87291,0;276182,0;235528,0;242823,0;167546,0;1107595,0;;126431,0;144886,0;353611,0;57703,0;;1244435,0;81221,0;1753812,0;0,03260861564642381;-0,09713494913225618;-0,0421056447334166;0,1578939252588647;-0,10769058109974183;0,5638300169507995;0,06956981502199211;-0,01960776768074035;0,15493006104637197;-0,14556909270244367;0,05754715838189495;0,004513695665615547;0,01626258311435591;0,03333333333333344;0,7168181492145793;0,1403504256256718;;0,29565181746446534;;0,03030205908318795;-0,07913887204366288;;-0,0199995117460513;-0,03462333895927927;0,025939033735602246
2009;671915,0;71500,0;479133,0;458732,0;192327,0;685789,0;135042,0;1171901,0;723008,0;306156,0;76603,0;279285,0;188422,0;255878,0;76864,0;805136,0;;134068,0;133295,0;370945,0;43728,0;6455,0;1346021,0;68236,0;1689970,0;-0,04210563832062153;-0,012662772553405977;-0,17582411911626084;0,018182625294091537;0,051720083775817605;-0,21088508171463227;-0,03251875255228143;-0,07999968598019325;-0,14024341663247897;-0,1703696477493517;-0,12244103057588984;0,011235344808858017;-0,20000169831187797;0,053763440860215006;-0,5412364365607056;-0,27307725296701413;;0,0604044894052882;-0,08000082823737287;0,04901996827021793;-0,24218844774101866;;0,08163222667314884;-0,15987244678100487;-0,03640184922899381
2010;727293,0;61417,0;613291,0;409582,0;201786,0;461134,0;144120,0;1222853,0;753774,0;276087,0;87291,0;298525,0;207265,0;229768,0;59591,0;379138,0;;101824,0;147784,0;346678,0;47335,0;7594,0;1295228,0;71828,0;1892948,0;0,08241816301169047;-0,141020979020979;0,2800015861984042;-0,10714316856029227;0,049181862141041144;-0,3275861817556128;0,0672235304571911;0,043478075366434554;0,04255277949898195;-0,09821463567592992;0,13952456170123884;0,06889020176522198;0,10000424578870826;-0,10204081632653061;-0,22472158617818483;-0,5291006736750065;;-0,24050481845033866;0,10869875089088121;-0,06541940179811023;0,0824871935601903;0,17645236250968233;-0,03773566682837781;0,05264083474998538;0,1201074575288319
2011;627613,0;77000,0;635650,0;499690,0;212821,0;508430,0;156603,0;1235591,0;712752,0;352626,0;84916,0;294180,0;216686,0;211491,0;56137,0;732717,0;83681,0;106066,0;146335,0;329344,0;63564,0;7670,0;1460306,0;72763,0;1750273,0;-0,13705617955899474;0,25372453880847323;0,03645740765802863;0,21999990233945832;0,05468664823129443;0,10256454739837007;0,08661532056619481;0,010416624075011427;-0,05442214775250942;0,27722783035782195;-0,027207845024114774;-0,014554894899924675;0,04545388753528101;-0,07954545454545459;-0,05796177275091874;0,9325865515986265;;0,04166011942174741;-0,009804850322091663;-0,050000288452108244;0,34285412485475875;0,010007900974453587;0,12745091983805157;0,01301720777412707;-0,07537185384912848
2012;771595,0;87542,0;632456,0;618469,0;215974,0;514342,0;167951,0;1503090,0;912733,0;393629,0;97980,0;279285,0;244949,0;232379,0;113137,0;685857,0;141421,0;108612,0;163721,0;447214,0;35614,0;7746,0;774597,0;89443,0;1955788,0;0,2294120740010166;0,13690909090909087;-0,005024777786517776;0,23770537733394703;0,014815267290352097;0,011627952717188306;0,07246349048230227;0,21649477861201638;0,2805758524704245;0,11627900381707534;0,15384615384615374;-0,05063226595961656;0,13043297674976695;0,09876543209876543;1,0153731050822095;-0,06395375022007133;0,6900013145158399;0,02400392208624824;0,11880958075648351;0,35789326661484644;-0,43971430369391484;0,009908735332464058;-0,46956528289276356;0,22923738713357067;0,11741882552036165
2013;627613,0;77000,0;558989,0;569319,0;215974,0;526166,0;153199,0;1452138,0;856328,0;308889,0;68883,0;280526,0;211033,0;276766,0;136455,0;1107595,0;99580,0;92490,0;110114,0;402146,0;37417,0;3417,0;774597,0;82231,0;1863799,0;-0,1866030754476118;-0,12042219734527426;-0,11616144047965393;-0,07947043424973599;0,0;0,02298859513708784;-0,08783514239272172;-0,03389816977027327;-0,06179791899712184;-0,2152788539462286;-0,29696876913655845;0,004443489625293173;-0,1384614756541157;0,1910112359550562;0,20610410387406408;0,6149066058959813;-0,29586129358440405;-0,14843663683570874;-0,32742897978878704;-0,10077502046000353;0,0506261582523726;-0,558869093725794;0,0;-0,08063235803808011;-0,04703423888478708
2014;668223,0;78375,0;543018,0;843739,0;215974,0;478870,0;161142,0;1490352,0;830690,0;297955,0;76009,0;279906,0;220454,0;276766,0;93273,0;489898,0;108785,0;143402,0;141989,0;374412,0;44179,0;5316,0;1561892,0;70451,0;1892180,0;0,06470547933200876;0,017857142857142794;-0,028571224120689354;0,4820144769452628;0,0;-0,08988798211971127;0,05184759691642893;0,0263156807410867;-0,029939462448968168;-0,03539782899358668;0,10345077885690235;-0,002210133820038096;0,04464230712732142;0,0;-0,31645597449708696;-0,5576921167033075;0,09243824061056438;0,5504595091361228;0,2894727282634362;-0,06896500276019157;0,18071999358580326;0,5557506584723442;1,0163930405100974;-0,14325497683355426;0,015227500390331716
2015;686683,0;82042,0;654816,0;733152,0;239621,0;585286,0;165681,0;1413924,0;912733,0;273353,0;89073,0;275561,0;209149,0;227157,0;105364,0;523978,0;151463,0;106066,0;134744,0;;36065,0;5012,0;1384116,0;76722,0;2022435,0;0,027625508250987973;0,04678787878787882;0,20588267792227888;-0,13106778280961295;0,10949003120746026;0,22222315033307583;0,028167703019696955;-0,05128184482592035;0,09876488220635848;-0,08256951553086878;0,1718743832967149;-0,015523068458696887;-0,05128053925081877;-0,17924528301886788;0,12963022525275258;0,06956550139008533;0,39231511697384747;-0,2603589908090542;-0,05102507940755974;0,0;-0,18366192082211008;-0,05718585402558318;-0,1138209300002817;0,08901222126016672;0,06883858829498246
2016;826973,0;80208,0;590931,0;757727,0;238045,0;407926,0;166816,0;1464876,0;;328024,0;86104,0;248874,0;220454,0;302876,0;111410,0;477118,0;88702,0;106915,0;137642,0;;47335,0;4860,0;1523797,0;71365,0;2116194,0;0,20430096565664213;-0,022354403841934656;-0,09756175780677323;0,03351965213216368;-0,006577052929417682;-0,3030313385250971;0,006850513939437919;0,03603588311677286;0,0;0,2000014633093472;-0,0333322106586732;-0,09684607038006099;0,054052374144748505;0,33333333333333326;0,057382028017159525;-0,08943123566256594;-0,41436522451027646;0,008004450059396984;0,021507451166656866;0,0;0,31249133508942184;-0,03032721468475663;0,1009171196633809;-0,06982351867782388;0,04635946272686153
