year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Portugal;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Portugal_rendements;Sweden_rendements
2003;326,0;2244,0;20188,0;65987,0;311959,0;;629,0;88930,0;56267,0;2189644,0;449112,0;38914,0;346061,0;;;38103,0;239120,0;;13045,0;0,17266187050359716;0,09516837481698381;-0,10183743382123944;-0,4053993169755895;0,19047419155415457;;-0,06676557863501487;-0,1439407795308183;-0,026674047293673953;-0,0833335077655113;-0,0625003913971941;0,01818467254506917;-0,13675096412410637;;;-0,5666715947731744;0,883724594296518;;0,191433007580601
2004;365,0;10537,0;26432,0;126974,0;453381,0;;674,0;108605,0;73995,0;1990586,0;838342,0;38219,0;383750,0;;;47315,0;188934,0;;14829,0;0,11963190184049077;3,6956327985739748;0,3092926490984744;0,9242274993559338;0,45333521392234233;;0,07154213036565982;0,22124142584054884;0,31506922352355726;-0,0909088418025944;0,8666657760202354;-0,017859896181322887;0,1089085450252989;;;0,24176574023042807;-0,20987788558046172;;0,1367573783058642
2005;470,0;6634,0;26015,0;121975,0;424264,0;47142,0;584,0;92865,0;67829,0;2428515,0;578855,0;47600,0;400882,0;;38922,0;49409,0;247976,0;;8754,0;0,28767123287671237;-0,37040903482964793;-0,01577633171912829;-0,03937026477861605;-0,06422192372419666;;-0,13353115727002962;-0,14492887067814553;-0,08332995472667071;0,2200000401891704;-0,30952403672964013;0,2454538318637327;0,04464364820846911;;;0,04425657825214002;0,31250066160669854;;-0,4096702407444871
2006;173,0;4780,0;18315,0;105978,0;428424,0;46671,0;584,0;127493,0;67829,0;2368797,0;528954,0;42389,0;390603,0;;33473,0;47734,0;156461,0;;18195,0;-0,6319148936170214;-0,2794694000602954;-0,2959830866807611;-0,13114982578397216;0,00980521562046266;-0,00999109074710447;0,0;0,3728853712378184;0,0;-0,024590336069573393;-0,0862063902013458;-0,10947478991596638;-0,0256409616794967;;-0,13999794460716308;-0,03390070634904574;-0,3690478110784915;;1,0784784098697737
2007;585,0;4878,0;13112,0;95980,0;594802,0;37714,0;539,0;133789,0;72454,0;2309079,0;728559,0;44126,0;428293,0;;44372,0;84581,0;200742,0;1544091,0;12983,0;2,3815028901734103;0,020502092050209253;-0,28408408408408403;-0,09434033478646509;0,3883489253636585;-0,19191789333847575;-0,07705479452054798;0,04938310338606833;0,0681861740553451;-0,02521026495727574;0,3773579555121995;0,04097761211635098;0,09649183442011444;;0,3256057120664415;0,7719235764863619;0,28301621490339435;;-0,28645232206650184
2008;2513,0;4195,0;15193,0;184962,0;282843,0;96642,0;449,0;137724,0;70142,0;2209550,0;648717,0;43431,0;376898,0;26243,0;57216,0;100074,0;224359,0;1443076,0;12227,0;3,2957264957264956;-0,14001640016400163;0,15870957901159244;0,9270889768701813;-0,5244753716362756;1,5624966855809514;-0,16697588126159557;0,0294119845428249;-0,03190990145471606;-0,04310333254080956;-0,10958892828171773;-0,01575035126682678;-0,11999962642396678;;0,289461822771117;0,18317352596918934;0,11764852397604897;-0,06542036706385823;-0,05822999306785792
2009;249,0;4195,0;16025,0;35993,0;295321,0;35828,0;494,0;111753,0;83245,0;1811433,0;598816,0;42041,0;459130,0;29392,0;22186,0;30148,0;188934,0;1327629,0;10450,0;-0,9009152407481098;0,0;0,054762061475679635;-0,8054032720234426;0,04411634723150293;-0,6292709174065106;0,10022271714922049;-0,1885727977694519;0,18680676342277103;-0,1801801271752167;-0,0769226026140829;-0,0320047892058668;0,21818104633083757;0,11999390313607439;-0,6122413310961969;-0,6987429302316286;-0,15789426766922654;-0,08000063752706021;-0,14533409667130126
2010;624,0;8293,0;23102,0;83983,0;349394,0;42428,0;629,0;94439,0;67058,0;1453128,0;578855,0;44473,0;520804,0;34379,0;38922,0;47315,0;177126,0;1269906,0;9794,0;1,5060240963855422;0,9768772348033372;0,441622464898596;1,3333148112132913;0,1830990684712568;0,18421346432957453;0,27327935222672073;-0,15493096382200033;-0,1944501171241516;-0,19780196120971627;-0,03333411264896058;0,05784829095406874;0,13432796811360626;0,16967201959716927;0,7543495898314252;0,5694241740745656;-0,062498015179904054;-0,04347826086956519;-0,06277511961722493
2011;96,0;4000,0;20396,0;40992,0;415946,0;60813,0;539,0;112540,0;43164,0;1811433,0;678658,0;51770,0;544789,0;30442,0;54881,0;41872,0;197790,0;1414214,0;10392,0;-0,8461538461538461;-0,5176655010249608;-0,11713271578218332;-0,5119012181036638;0,19047837112257215;0,43332233430753275;-0,14308426073131952;0,1916686961954277;-0,35631841092785355;0,24657497481295532;0,1724145079510413;0,16407708047579428;0,046053793749663896;-0,11451758340847606;0,4100251785622526;-0,11503751453027578;0,11666271467768707;0,1136367573662933;0,061057790483969754
2012;566,0;1951,0;20396,0;48990,0;361873,0;55156,0;449,0;118049,0;66288,0;1771621,0;528954,0;48990,0;534510,0;34641,0;69282,0;48990,0;156461,0;1241045,0;3941,0;4,895833333333333;-0,51225;0,0;0,19511124121779866;-0,13000004808316468;-0,0930228733987799;-0,16697588126159557;0,048951483916829464;0,5357242146232972;-0,02197817970634297;-0,22058827863224184;-0,053699053505891436;-0,018867855261394784;0,13793443269167605;0,2624041107122683;0,16999426824608332;-0,2089539410485869;-0,12244893629959819;-0,6207659738260201
2013;278,0;1561,0;23310,0;23995,0;316119,0;44314,0;404,0;114114,0;96348,0;1433222,0;608796,0;40304,0;517378,0;32017,0;35419,0;51502,0;239120,0;1414214,0;12922,0;-0,5088339222614842;-0,1998974884674526;0,14287115120611893;-0,5102061645233722;-0,12643662279307932;-0,19656972949452467;-0,10022271714922049;-0,033333615701954256;0,45347574221578557;-0,19101094421436637;0,1509431822048799;-0,1773014901000204;-0,032051785747694184;-0,07574839063537431;-0,48877053202852117;0,05127577056542143;0,5283041780379776;0,1395348275042403;2,2788632326820606
2014;700,0;11220,0;18731,0;35993,0;274524,0;53742,0;449,0;111753,0;91724,0;1612374,0;508993,0;47253,0;459130,0;40414,0;41258,0;43128,0;162365,0;1168891,0;17938,0;1,5179856115107913;6,187700192184497;-0,19643929643929647;0,5000208376745154;-0,13158019606540572;0,21275443426456642;0,11138613861386149;-0,02068983647931011;-0,04799269315398347;0,12499947670353939;-0,16393504556534533;0,17241464867010725;-0,11258306306027699;0,262266920698379;0,16485502131624274;-0,16259562735427746;-0,32098946135831385;-0,17346950320107146;0,3881752050766136
2015;1199,0;4390,0;20188,0;47990,0;341075,0;98999,0;494,0;98374,0;70912,0;1512845,0;668678,0;46905,0;431719,0;36740,0;49042,0;43128,0;171221,0;1399783,0;12008,0;0,7128571428571429;-0,6087344028520499;0,07778548929581985;0,33331481121329154;0,2424232489691247;0,842116035875107;0,10022271714922049;-0,1197193811351821;-0,22689808556103097;-0,061728234268228044;0,31372730076837985;-0,007364611770681262;-0,059702045172391305;-0,09090909090909094;0,18866644044791303;0,0;0,05454377482831885;0,19753082195003646;-0,3305831196342959
2016;585,0;2537,0;17899,0;63987,0;303640,0;30171,0;494,0;74764,0;70912,0;;538934,0;46210,0;400882,0;31754,0;38144,0;47315,0;200742,0;1241045,0;9023,0;-0,5120934111759801;-0,4220956719817768;-0,11338418862690702;0,33334027922483855;-0,10975591878619073;-0,6952393458519783;0,0;-0,24000243966901824;0,0;0,0;-0,19403060965068386;-0,014817183669118439;-0,07142840597703604;-0,13571039738704405;-0,2222176909587701;0,09708310146540522;0,17241459867656417;-0,11340186300305122;-0,24858427714856757
