year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;Germany East;Germany West;Greece;Hungary;Poland;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Poland_rendements;Sweden_rendements
2006;39649,0;25581,0;194291,0;86782,0;28640,0;351957,0;128918,0;115177,0;7052,0;68951,0;11063,0;3,0;191868,0;0,06945568322813833;-0,15052799362422797;0,07499889341359767;-0,18181132502404163;-0,3595563407052931;0,007874985323891082;0,12499781838490676;0,37141598399695175;0,053795576808129075;-0,004015658177931258;0,0731399747793191;0,0;-0,16626254725589884
2007;44112,0;32705,0;168687,0;69969,0;11557,0;327210,0;194968,0;136773,0;7699,0;59498,0;11441,0;1,0;152135,0;0,11256273802617978;0,2784879402681677;-0,13178170887997898;-0,19373833283399788;-0,5964734636871508;-0,07031256659194163;0,5123411781132192;0,18750271321531198;0,09174702212138408;-0,13709735899406827;0,034167947211425576;-0,6666666666666667;-0,20708507932536957
2008;41709,0;36590,0;251524,0;59585,0;23113,0;349207,0;203722,0;118777,0;7196,0;63946,0;9303,0;4,0;173572,0;-0,05447497279651792;0,11878917596697747;0,49106925844908034;-0,14840858094298903;0,9999134723544172;0,06722594052748998;0,04489967584424104;-0,1315756764858561;-0,06533316015066892;0,07475881542236706;-0,18687177694257495;3,0;0,14090774640943904
2009;30380,0;29143,0;203328,0;64035,0;66325,0;324460,0;92312,0;117577,0;9030,0;62000,0;12069,0;4,0;174241,0;-0,2716200340454099;-0,20352555342989886;-0,19161590941619888;0,07468322564403795;1,8695971963829878;-0,07086627702193826;-0,5468726990703017;-0,0101029660624532;0,25486381322957197;-0,03043192693835428;0,2973234440503063;0,0;0,0038543082985735833
2010;34843,0;14571,0;194291,0;70711,0;23113,0;327210,0;90720,0;62388,0;9210,0;63946,0;8675,0;1,0;172305,0;0,1469058591178407;-0,5000171567786432;-0,04444542807680196;0,10425548528148676;-0,6515190350546551;0,008475621031868386;-0,017245861859779832;-0,4693860193745375;0,019933554817275656;0,0313870967741936;-0,2812163393818875;-0,75;-0,011111047342473923
2011;44627,0;13600,0;250018,0;;35675,0;283215,0;91516,0;43192,0;8886,0;56161,0;4652,0;4,0;158744,0;0,28080245673449467;-0,06663921487886904;0,2868223438038817;0,0;0,5435036559511963;-0,13445493719629598;0,008774250440917175;-0,30768737577739314;-0,03517915309446251;-0,12174334594814373;-0,4637463976945245;3,0;-0,0787034618844491
2012;40164,0;17486,0;173205,0;;29143,0;296963,0;86741,0;40792,0;11225,0;58108,0;6286,0;3,0;170299,0;-0,10000672238779218;0,285735294117647;-0,30722987944867974;0,0;-0,1830974071478626;0,04854262662641462;-0,05217666856068881;-0,05556584552694943;0,26322304749043446;0,034668186107797316;0,35124677558039563;-0,25;0,07279015269868472
2013;49433,0;12952,0;280140,0;;13566,0;305212,0;85945,0;67187,0;11225,0;46430,0;7543,0;1,0;172569,0;0,2307788068917438;-0,25929314880475807;0,6173897982159868;0,0;-0,5345022818515596;0,02777787131730225;-0,009176744561395389;0,6470631496371837;0,0;-0,2009706064569422;0,19996818326439714;-0,6666666666666667;0,013329496943610852
2014;48574,0;16514,0;248512,0;;18591,0;307962,0;88333,0;59988,0;9246,0;42538,0;9555,0;;164156,0;-0,017377055812918485;0,2750154416306363;-0,11290069251088741;0,0;0,3704113224237062;0,009010130663276605;0,027785211472453275;-0,10714870436245105;-0,17630289532293986;-0,08382511307344387;0,26673737239825;0,0;-0,04875151388719878
2015;41880,0;14571,0;207846,0;;17586,0;349207,0;97882,0;68387,0;9030,0;46987,0;5532,0;;149530,0;-0,13781035121670027;-0,1176577449436842;-0,16363797321658513;0,0;-0,05405841536227207;0,13392886135302406;0,10810229472564048;0,14001133560045353;-0,02336145360155739;0,1045888382152429;-0,4210361067503925;0,0;-0,08909817490679595
2016;35358,0;14248,0;227426,0;;14571,0;332709,0;106636,0;80384,0;9030,0;43094,0;4652,0;;157345,0;-0,15573065902578798;-0,02216731864662691;0,09420436284556843;0,0;-0,17144319344933467;-0,04724418468129221;0,08943421670991603;0,1754280784359601;0,0;-0,08285270393938748;-0,15907447577729572;0,0;0,052263759780646124
