year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Germany East;Germany West;Greece;Hungary;Latvia;Netherlands;Norway;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Netherlands_rendements;Norway_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
2002;74292,0;19217,0;377123,0;107023,0;403571,0;;33843,0;228983,0;253023,0;88080,0;104621,0;243017,0;379473,0;;;;291415,0;961653,0;-0,20000861456291863;-0,21540848405666924;0,5263132333121527;0,03252228611121821;-0,08130238614478946;;0,0796592866713457;-0,33898270835137556;0,11538563267033441;0,11538851180224907;0,027781871052037;0,13131139146222237;-0,1600007968938847;;;;-0,07111323611443143;0,016038492381716063
2003;90212,0;18087,0;416136,0;96911,0;360714,0;;37171,0;246597,0;235573,0;89598,0;96138,0;232168,0;487894,0;;;;273519,0;1119398,0;0,21428956011414413;-0,058802102305250514;0,10344900735303875;-0,094484363174271;-0,10619444905605213;;0,09833643589516305;0,07692274098950569;-0,06896606237377634;0,01723433242506811;-0,081083147742805;-0,04464296736442308;0,28571466217622854;;;;-0,061410702949402096;0,1640352601198145
2004;79599,0;24493,0;474655,0;122192,0;296429,0;;36617,0;305311,0;235573,0;99469,0;90483,0;223489,0;385496,0;;;;301946,0;1137141,0;-0,11764510264709793;0,3541770332282854;0,14062469961743274;0,2608682192939913;-0,1782159827453329;;-0,014904091899599181;0,23809697603782687;0,0;0,11016986986316657;-0,058821693815140685;-0,037382412735605275;-0,2098775553706338;;;;0,10393062273553211;0,01585048392082178
2005;72966,0;23739,0;403132,0;128933,0;217857,0;174702,0;37171,0;322925,0;226848,0;100229,0;93310,0;227829,0;397543,0;226274,0;;;285178,0;1181809,0;-0,08333019259035912;-0,03078430572000168;-0,1506841811420927;0,055167277726856145;-0,2650617854528403;;0,015129584619165914;0,057691992754928645;-0,03703735147915932;0,007640571434316179;0,0312434379938773;0,01941930027876082;0,031250648515159796;;;;-0,05553310856908189;0,0392809686749489
2006;116745,0;28261,0;448647,0;92697,0;289286,0;153738,0;34397,0;264211,0;174498,0;95673,0;79172,0;249527,0;295146,0;289631,0;;;282876,0;1127735,0;0,5999917769920238;0,19048822612578453;0,11290346586229827;-0,28104519401549644;0,3278710346695308;-0,11999862623209812;-0,07462807026983398;-0,18181930788882872;-0,2307712653406686;-0,04545590597531657;-0,15151645054120677;0,09523809523809534;-0,2575746523017636;0,2800012374377967;;;-0,008072151428230812;-0,045755278560241086
2007;100825,0;26377,0;396630,0;139888,0;400000,0;223619,0;34675,0;305311,0;253023,0;93395,0;84828,0;221319,0;469824,0;230799,0;;;193590,0;1008461,0;-0,13636558310848435;-0,0666643077031952;-0,11594193207577452;0,5090887515237819;0,38271468373858397;0,45454604587024683;0,008082100183155472;0,15555749003637254;0,4500051576522368;-0,023810270400217437;0,07143939776688724;-0,11304588281027705;0,591835904941961;-0,203127427657951;;;-0,3156365333220209;-0,10576420879018567
2008;100825,0;26377,0;390128,0;116293,0;346429,0;145003,0;36617,0;246597,0;218123,0;97192,0;67862,0;216980,0;355379,0;248901,0;223947,0;;197740,0;1041159,0;0,0;0,0;-0,016393111968333263;-0,16867065080635935;-0,13392749999999998;-0,35156225544341047;0,05600576784426825;-0,19230882608225708;-0,13793212474755256;0,040655281331977156;-0,20000471542415243;-0,01960518527555244;-0,2435912171366299;0,078431882287185;;;0,021437057699261297;0,03242366338410707
2009;114092,0;32406,0;416136,0;147473,0;300000,0;150244,0;33843,0;199626,0;200673,0;100229,0;82000,0;173584,0;78304,0;185545,0;228426,0;13472,0;200953,0;1067239,0;0,13158442846516238;0,22857034537665388;0,06666529959397938;0,26811587971760975;-0,13402168987007435;0,036144079777659766;-0,07575716197394655;-0,19047676979038675;-0,08000073353108106;0,03124742777183309;0,20833456131561112;-0,19999999999999996;-0,779660587710585;-0,2545429709000767;0,020000267920534665;;0,01624860928491967;0,0250490078844825
2010;111439,0;25246,0;559183,0;123877,0;385714,0;132774,0;31623,0;234854,0;218123,0;100229,0;76345,0;210470,0;234912,0;350725,0;253060,0;15309,0;269633,0;1156377,0;-0,023253164113171798;-0,2209467382583472;0,34375060076513453;-0,1600021698887254;0,28571333333333326;-0,11627752189771301;-0,06559702154064351;0,17646999889793924;0,0869573883880741;0,0;-0,06896341463414635;0,21249654346022684;2,0;0,8902422592901991;0,10784236470454323;0,1363568883610451;0,3417714589978751;0,08352206019457675
2011;143278,0;26000,0;507166,0;114607,0;400000,0;230607,0;29959,0;258340,0;183223,0;94914,0;82000,0;238678,0;331286,0;221749,0;273216,0;10410,0;151009,0;1118328,0;0,2857078760577536;0,029866117404737436;-0,09302321422503901;-0,07483229332321573;0,037037805213189;0,7368385376655069;-0,05261992853302977;0,10000255477871356;-0,16000146706216223;-0,053028564587095595;0,07407164843801173;0,1340238513802443;0,410255755346683;-0,3677411077054672;0,0796490950762665;-0,32000783852635706;-0,43994614902478557;-0,03290362917975709
2012;132665,0;26000,0;565685,0;219945,0;496429,0;125786,0;31623,0;346410,0;226848,0;113137,0;70690,0;203961,0;126491,0;246639,0;360555,0;19596,0;219089,0;1184372,0;-0,07407278158544928;0,0;0,115384312039845;0,9191236137408709;0,24107250000000002;-0,4545438776793419;0,05554257485229819;0,3409073314237052;0,23809783706194088;0,1919948585034874;-0,1379268292682927;-0,14545538340358144;-0,6181818730643613;0,11224402364835928;0,3196701510892481;0,8824207492795388;0,4508340562483031;0,0590560193431624
2013;124705,0;26754,0;487659,0;121349,0;525000,0;118798,0;32733,0;252468,0;218123,0;107822,0;62207,0;232168,0;198772,0;106349,0;217229,0;5818,0;251114,0;1175613,0;-0,06000075377831382;0,028999999999999915;-0,1379318878881356;-0,44827570528995886;0,05755304383909876;-0,05555467222107391;0,035101034057489766;-0,27118732138217716;-0,0384618775567781;-0,04697844206581403;-0,12000282925449146;0,13829604679325946;0,5714319595860575;-0,5688070418709126;-0,3975149422418216;-0,7031026740151052;0,14617347288088411;-0,007395480474040261
2014;123378,0;35043,0;461651,0;215731,0;514286,0;54158,0;31623,0;322925,0;200673,0;89598,0;65034,0;284244,0;283099,0;296419,0;219468,0;9951,0;197763,0;1183302,0;-0,010641113026743088;0,30982283023099355;-0,0533323490389801;0,7777731996143356;-0,020407619047619008;-0,5441169043249887;-0,033910732288516154;0,27907299142861675;-0,08000073353108106;-0,16901930960286393;0,04544504637741742;0,22430309086523548;0,42423983257199205;1,787228840891781;0,010307095277334088;0,7103815744242008;-0,21245729031435923;0,006540417637436846
2015;164505,0;25246,0;409634,0;143259,0;485714,0;85604,0;34397,0;358153,0;191948,0;97951,0;65034,0;221319,0;216842,0;226274,0;183637,0;13319,0;262269,0;1232251,0;0,33334143850605447;-0,27957081300117004;-0,11267602582903535;-0,33593688436061575;-0,05555663580186898;0,5806344399719339;0,08772096259051954;0,10909034605558565;-0,04347869419403705;0,09322752740016527;0,0;-0,22137670452146752;-0,23404180163123145;-0,2366413758902095;-0,16326298139136453;0,3384584463872977;0,32617830433397543;0,0413664474495945
2016;108785,0;22986,0;403132,0;255338,0;492857,0;85604,0;36062,0;358153,0;183223,0;92636,0;50897,0;219150,0;373450,0;167443,0;264258,0;6583,0;187760,0;1079631,0;-0,33871310902404184;-0,08951913174364257;-0,015872705878906546;0,7823522431400471;0,014706185121285298;0,0;0,04840538419048168;0,0;-0,04545501906766414;-0,05426182478994601;-0,2173786019620506;-0,009800333455329158;0,7222217098163639;-0,2599989393390314;0,4390237261554044;-0,5057436744500338;-0,28409381207843853;-0,12385463675825781
