year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Latvia;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
2000;1282975,0;36816,0;1012620,0;233663,0;163934,0;;36608,0;589002,0;727260,0;167101,0;161738,0;290627,0;552173,0;285924,0;;;;;24362,0;;65601,0;2060865,0;0,032787413110940244;-0,22707423580786024;-0,3020832328222546;0,29999833093172956;;;0,03670140462165827;;-0,10743740795287182;-0,2247691950823475;0,1999970322446618;-0,02717367654688785;0,2666668195978217;0,49456638213570714;;;;;-0,4657573298831166;;0,07072207351309001;-0,059907134089014935
2001;1557898,0;31200,0;906824,0;222879,0;134426,0;;41792,0;642013,0;936010,0;187864,0;146912,0;308487,0;473291,0;229779,0;;;;;31859,0;;71686,0;2352363,0;0,21428554726319682;-0,15254237288135597;-0,10447749402539941;-0,04615193676362972;-0,17999926799809685;;0,14160839160839167;0,09000139218542547;0,28703627313477975;0,12425419357155243;-0,09166676971398191;0,06145334053615126;-0,14285740157523097;-0,19636336928694342;;;;;0,30773335522535095;;0,09275773235164109;0,14144449054159303
2002;1720815,0;39104,0;1420691,0;269611,0;157377,0;;47947,0;477092,0;1030284,0;191820,0;142869,0;350701,0;456685,0;185071,0;;;;;22488,0;;69503,0;2158640,0;0,10457488230936818;0,2533333333333334;0,5666667401833212;0,20967430758393557;0,1707333402764346;;0,1472769908116387;-0,2568810911928575;0,1007190094122925;0,02105778648383927;-0,027519875844042696;0,1368420711407612;-0,03508623658594823;-0,19456956466865993;;;;;-0,2941398035092124;;-0,030452250090673205;-0,0823525110707829
2003;1232063,0;47216,0;1556714,0;204905,0;139344,0;;58638,0;488872,0;787864,0;205662,0;164434,0;381550,0;485746,0;148681,0;;;;;37481,0;;91442,0;2505226,0;-0,28402355860449846;0,20744680851063824;0,0957442540284974;-0,23999762620961307;-0,11458472330772607;;0,22297536863620238;0,024691254516948424;-0,23529434602497956;0,07216140131373172;0,15094247177484266;0,08796382103273159;0,06363467160077518;-0,19662724035640378;;;;;0,6667111348274635;;0,315655439333554;0,16055757328688425
2004;1700451,0;40976,0;1662511,0;244448,0;145902,0;;49567,0;718583,0;909074,0;231370,0;185999,0;394539,0;531415,0;160118,0;;;;360656,0;31234,0;;75635,0;2720821,0;0,38016562464744097;-0,13215859030837007;0,06796174506042862;0,192982113662429;0,047063382707543955;;-0,15469490773900885;0,46987964129669924;0,15384634911609107;0,1250012155867395;0,13114684311030556;0,03404272048224355;0,09401827292453246;0,07692307692307687;;;;;-0,16667111336410445;;-0,17286367314800644;0,08605810413910753
2005;1618992,0;44096,0;1874103,0;224676,0;119672,0;165737,0;57018,0;618452,0;909074,0;267954,0;208912,0;422140,0;473291,0;178833,0;;1202671,0;;357050,0;54347,0;;73668,0;2600068,0;-0,04790435008124316;0,07614213197969533;0,12727254135461363;-0,08088427804686482;-0,17977820728982463;;0,15032178667258456;-0,13934507217677017;0,0;0,15811903012490824;0,12318883434857186;0,0699575960804888;-0,10937591148161041;0,11688254912002405;;;;-0,00999844727385657;0,7399948773772171;;-0,02600647848218418;-0,04438108938441743
2006;1547715,0;45136,0;1934558,0;203107,0;127869,0;174024,0;53130,0;653793,0;1050486,0;234336,0;167129,0;402657,0;506505,0;114370,0;;1166590,0;;371476,0;43103,0;;59805,0;2558488,0;-0,04402554181861307;0,02358490566037741;0,03225809894120024;-0,09600046288878206;0,06849555451567624;0,050000905048359856;-0,0681889929495949;0,05714428929003379;0,1555560933433362;-0,12546183300118674;-0,20000287202266986;-0,04615293504524565;0,07017669890194411;-0,3604647911738885;;-0,03000072338985471;;0,040403304859263356;-0,20689274476972053;;-0,1881821143508715;-0,015991889442891538
2007;1924462,0;55328,0;1617169,0;271409,0;165574,0;149163,0;63821,0;647903,0;814800,0;340134,0;180607,0;420517,0;448381,0;106052,0;;2008460,0;;403935,0;78085,0;;76747,0;2252761,0;0,24342143094820434;0,22580645161290325;-0,16406279884087216;0,33628580009551623;0,2948720956604025;-0,14285960557164534;0,2012234142668925;-0,009008967670195323;-0,22435901097206434;0,45147992625972955;0,0806442927319615;0,044355369458372707;-0,11475503696903289;-0,07272886246393284;;0,7216502798755347;;0,08737845782769282;0,8115908405447416;;0,28328735055597365;-0,11949518621936084
2008;1771727,0;49088,0;1662511,0;195918,0;140984,0;270151,0;68033,0;689133,0;1326575,0;232359,0;180607,0;417269,0;448381,0;184031,0;;1214697,0;199185,0;458034,0;38730,0;;79145,0;2624152,0;-0,07936503812494089;-0,1127819548872181;0,02803788595997081;-0,2781447925455678;-0,148513655525626;0,8111126753953728;0,06599708559878414;0,0636360689794615;0,6280989199803633;-0,31686041383689956;0,0;-0,007723825671732687;0,0;0,7352902349790669;;-0,39520976270376307;;0,1339299639793532;-0,5040020490491132;;0,031245520997563503;0,1648603646813842
2009;1710633,0;48256,0;1390463,0;237258,0;147541,0;200542,0;64145,0;618452,0;1090889,0;279819,0;148260,0;440000,0;373651,0;42629,0;;2285074,0;155364,0;382296,0;;8544,0;62979,0;2401250,0;-0,034482739157895126;-0,016949152542372836;-0,16363681202710845;0,21100664563746063;0,046508823696306045;-0,25766700845082935;-0,057148736642511744;-0,1025651071708944;-0,17766503966982639;0,20425290175977695;-0,17910158520987562;0,05447565000035959;-0,16666629495897467;-0,7683596785324212;;0,8811884774556946;-0,22000150613751035;-0,1653545369994367;0,0;;-0,20425800745467182;-0,08494248808758031
2010;1649539,0;58864,0;1889217,0;248043,0;155738,0;137562,0;67709,0;712693,0;1272704,0;263010,0;164434,0;560148,0;411016,0;65503,0;;1623605,0;183250,0;497706,0;;14731,0;82431,0;2823354,0;-0,035714264836467;0,21982758620689657;0,3586963479071359;0,04545684444781628;0,0555574382713957;-0,31404892740672774;0,05556161820874572;0,152382076539489;0,16666681944725825;-0,060070974451341796;0,10909213543774454;0,2730636363636363;0,09999973237058102;0,5365830772478828;;-0,28947377634159766;0,17948816971756654;0,301886496327453;0,0;0,7241338951310861;0,3088648597151431;0,17578511192087465
2011;1700451,0;52000,0;1722966,0;255232,0;200000,0;260207,0;66413,0;559552,0;1138026,0;230381,0;169825,0;550406,0;398561,0;44708,0;57806,0;1515365,0;157356,0;382296,0;;12522,0;67304,0;2617229,0;0,030864380896723276;-0,11660777385159016;-0,08799994918529741;0,02898287796873933;0,28420809307940265;0,8915616231226646;-0,01914073461430532;-0,21487653169036314;-0,10582036357236246;-0,1240599216759819;0,03278519041074235;-0,017391832158643816;-0,030302956575899764;-0,317466375585851;;-0,06666646136221555;-0,14130422919508867;-0,23188388325638032;0,0;-0,14995587536487676;-0,18351105773313436;-0,07300713973522277
2012;1985556,0;68224,0;1979899,0;416999,0;188525,0;152478,0;76456,0;753923,0;1346777,0;354965,0;183303,0;552030,0;489898,0;154919,0;77460,0;1876166,0;282843,0;447214,0;;14142,0;89443,0;2860561,0;0,16766434316543077;0,31200000000000006;0,14912250154675144;0,633803755015045;-0,057374999999999954;-0,4140126898968898;0,15122039359763906;0,3473689666018529;0,18343254020558408;0,5407737617251422;0,07936405122920664;0,0029505492309314096;0,22916692802356486;2,4651292833497362;0,3399993080303083;0,238095112398663;0,7974719743765728;0,1698108272124217;0,0;0,12937230474365125;0,32894033044098414;0,09297314067664697
2013;1914280,0;45552,0;1707852,0;310952,0;175410,0;240319,0;71272,0;783373,0;1252503,0;244224,0;148260,0;496827,0;543870,0;101893,0;98270,0;1250777,0;179267,0;479673,0;;6629,0;58062,0;2838304,0;-0,03589724993905985;-0,33231707317073167;-0,13740448376407077;-0,2543099623740105;-0,06956637050789016;0,5760896653943519;-0,06780370409124203;0,03906234456303892;-0,06999971041976516;-0,3119772371923992;-0,19117526718056987;-0,09999999999999998;0,11016987209582396;-0,34228209580490454;0,2686547895688096;-0,3333335110006257;-0,36619608758215694;0,07258046483339076;0,0;-0,5312544194597653;-0,35084914414766943;-0,007780641629386631
2014;2117926,0;74256,0;1254440,0;652460,0;195082,0;213801,0;73864,0;836383,0;1218833,0;309482,0;141521,0;539041,0;431775,0;124767,0;61274,0;3487744,0;254957,0;411148,0;;8544,0;63043,0;2689815,0;0,10638255636583982;0,6301369863013699;-0,2654867049369618;1,0982659703105302;0,11214868023487834;-0,11034499977113754;0,036367718037939145;0,06766891378691886;-0,026882171140508282;0,2672055162473794;-0,04545393228112771;0,08496720186302276;-0,20610623862320043;0,22449039678878835;-0,376472982598962;1,788461892087878;0,4222193711056692;-0,14285773850102046;0,0;0,2888821843415297;0,0857876063518308;-0,052316101446497676
2015;2097562,0;66560,0;1602056,0;386443,0;190164,0;271809,0;82287,0;771593,0;1279438,0;275864,0;163086,0;566642,0;452533,0;125807,0;87287,0;1286857,0;157356,0;;;9575,0;76835,0;3145857,0;-0,009615066815365614;-0,10364145658263302;0,2771085105704538;-0,4077138828433927;-0,02520991172942655;0,2713177206841877;0,11403390014079928;-0,07746451087599815;0,0497237931693677;-0,1086266729567471;0,15238021212399566;0,05120389729167174;0,0480759654912859;0,008335537441791496;0,4245356921369585;-0,6310345598759541;-0,382813572484772;0,0;0,0;0,12066947565543074;0,21877131481687107;0,16954400209679843
2016;2016103,0;66976,0;1466032,0;440365,0;196721,0;175681,0;81963,0;700913,0;;291684,0;153651,0;529299,0;361196,0;255772,0;62430,0;1575498,0;213128,0;;;9133,0;66425,0;2993715,0;-0,03883508568519067;0,006250000000000089;-0,08490589592373798;0,1395341615710468;0,034480763972150275;-0,3536601069133104;-0,003937438477523814;-0,09160269727693227;0,0;0,05734709857030995;-0,05785291196056064;-0,06590228045220792;-0,20183500429802914;1,0330506251639417;-0,2847732193797473;0,22429920340799336;0,35443198861181013;0,0;0,0;-0,04616187989556131;-0,13548513047439315;-0,048362656026640805
