year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Lithuania;Netherlands;Poland;Portugal;Romania;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Lithuania_rendements;Netherlands_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
2000;1137873,0;208800,0;1603408,0;6654,0;3251066,0;;89795,0;1170091,0;1192546,0;6836160,0;1061858,0;1314034,0;1290417,0;2493638,0;113833,0;;;150448,0;;;80229,0;3579580,0;0,1290315539013982;0,26086956521739135;0,022727084272827103;-0,6299838736584552;;;0,1718760195758564;;0,0;0,05217389029112174;0,2784813174693761;0,0700001384287039;0,012422886544069645;0,09374980810545042;1,095252995637689;;;-0,009904378327509122;;;-0,011848603909300315;0,08486323058048817
2001;1186639,0;158400,0;944229,0;9711,0;2958470,0;;99373,0;1333904,0;1382269,0;6101696,0;767481,0;1043859,0;1377500,0;2303647,0;76967,0;;;124872,0;;;99420,0;3417764,0;0,04285715541189572;-0,24137931034482762;-0,4111112081266901;0,4594229035166817;-0,09000001845548511;;0,10666518180299578;0,14000022220493968;0,15909071851316425;-0,10743809390066938;-0,27722821695556277;-0,20560731305278246;0,06748438682999369;-0,0761902890475683;-0,32386039197772176;;;-0,1699989365096246;;;0,23920278203642065;-0,045205303415484455
2002;1072852,0;158400,0;1211464,0;10610,0;2893448,0;;112543,0;1298801,0;1626198,0;6045199,0;851589,0;1092981,0;1527917,0;2137404,0;121594,0;;;84251,0;;;76799,0;3478874,0;-0,09589015698961523;0,0;0,2830192675717438;0,09257542992482759;-0,021978252272289445;;0,13253096917673823;-0,026315986757667664;0,1764699924544355;-0,009259228909470396;0,10958968365340649;0,04705807968317566;0,10919564428312167;-0,07216513641195899;0,5798199228240675;;;-0,325301108334935;;;-0,22752967209816943;0,017880111090174733
2003;1658044,0;165600,0;1336174,0;10250,0;3088512,0;;107754,0;1661529,0;1273855,0;5988702,0;1040831,0;1289472,0;1448750,0;2374894,0;82141,0;;;142926,0;;;98527,0;4317327,0;0,5454545454545454;0,045454545454545414;0,10294156491649775;-0,03393025447690856;0,0674157614030042;;-0,04255262433025597;0,2792791197419775;-0,2166667281597936;-0,009345763472798807;0,22222222222222232;0,17977531173917938;-0,051813678360800974;0,11111142301595778;-0,32446502294521107;;;0,696430902897295;;;0,28292035052539743;0,241012752976969
2004;1511746,0;165600,0;1211464,0;17803,0;3056002,0;;108951,0;1965753,0;1355165,0;6497177,0;767481,0;1338595,0;1393333,0;2303647,0;93783,0;;195290,0;94782,0;;;97693,0;3891073,0;-0,08823529411764708;0,0;-0,09333365265302274;0,7368780487804878;-0,010526104480086174;;0,01110863633832615;0,18309882042383863;0,06382987074667046;0,0849057107867448;-0,2626266896354932;0,03809543751240807;-0,03825159620362384;-0,030000075792856462;0,1417319000255659;;;-0,3368456404013266;;;-0,008464684807210188;-0,09873099721193224
2005;1332937,0;162000,0;1389621,0;36865,0;2925959,0;97446,0;105359,0;1755137,0;1382269,0;6158194,0;693887,0;1522805,0;1480417,0;2469889,0;76320,0;326267,0;531189,0;103809,0;;;112990,0;3998247,0;-0,1182797903880678;-0,021739130434782594;0,1470592605310599;1,070718418244116;-0,04255330984731032;;-0,03296894934420058;-0,10714265729214201;0,02000051654226609;-0,05217389029112185;-0,09589032171480472;0,13761443902001735;0,06250049342117059;0,0721647023176728;-0,18620645532772462;;1,7200010241179782;0,09523960245616259;;;0,1565823549281935;0,027543559321554723
2006;1674299,0;230400,0;872967,0;25716,0;2795916,0;150066,0;96978,0;1521118,0;1544889,0;6271188,0;767481,0;1043859,0;1385417,0;2089906,0;122888,0;535077,0;499942,0;133899,0;;44194,0;63460,0;3494910,0;0,256097625019037;0,4222222222222223;-0,37179489947259003;-0,3024277770242778;-0,044444573556909006;0,5399913798411429;-0,07954707239058834;-0,13333375115446833;0,11764714393508058;0,01834856128273965;0,1060604968820571;-0,3145156471117444;-0,0641711085457678;-0,15384618499049962;0,610167714884696;0,639997302822535;-0,058824636805355546;0,2898592607577377;;;-0,4383573767590052;-0,1258894210387702
2007;1219150,0;162000,0;819520,0;21580,0;2730895,0;214381,0;86203,0;1404109,0;1721060,0;6158194,0;683374,0;1142104,0;1535833,0;1591179,0;84728,0;548128,0;165996,0;215141,0;;47288,0;58500,0;3142305,0;-0,2718445152269696;-0,296875;-0,061224536551782616;-0,160833722196298;-0,02325570582234948;0,42857809230605204;-0,11110767390542187;-0,07692302635298509;0,11403473000325581;-0,0180179576820213;-0,10958838068955457;0,09411711735014028;0,10857092124609413;-0,23863609176680678;-0,3105266584206757;0,024390882059965202;-0,6679694844601973;0,6067409017244341;;0,07000950355251834;-0,07815947053261896;-0,10089101006892887
2008;1609278,0;165600,0;962045,0;22119,0;2113193,0;189045,0;94584,0;1918949,0;1870128,0;7570623,0;799022,0;1191227,0;1670417,0;1899915,0;130649,0;691685,0;119127,0;242222,0;;54359,0;62614,0;3534969,0;0,32000000000000006;0,022222222222222143;0,1739127782116361;0,02497683039851717;-0,22619031489676467;-0,11818211501952136;0,09722399452455255;0,3666666904065141;0,08661406342602818;0,22935766557532933;0,16923090430715826;0,04301096922872172;0,08762931907310234;0,19402971004519287;0,5419813993012936;0,261904153774301;-0,2823501771127015;0,1258755885674976;;0,14953053628827617;0,07032478632478623;0,1249604987421653
2009;1235405,0;147600,0;962045,0;62761,0;2373278,0;129603,0;64652,0;1813641,0;1300959,0;6553674,0;704401,0;1203508,0;1520000,0;1828668,0;91843,0;629695,0;343710,0;183547,0;8825,0;57453,0;41094,0;3033150,0;-0,23232343945545764;-0,10869565217391308;0,0;1,8374248383742482;0,12307678475179507;-0,3144330714909148;-0,3164594434576673;-0,05487795663146855;-0,3043476168476168;-0,13432831089330433;-0,11842101969657903;0,010309537980586425;-0,09004757494685456;-0,03750009868862558;-0,2970248528500027;-0,08962172087004927;1,885240121886726;-0,24223646076739525;;0,05691789768023692;-0,34369310377870765;-0,14195852919785157
2010;1202895,0;144000,0;1104570,0;24996,0;2633363,0;127654,0;68244,0;1509418,0;1748163,0;7740115,0;651834,0;1191227,0;1733750,0;1662426,0;135823,0;508976,0;476507,0;213636,0;6949,0;61430,0;50075,0;3312634,0;-0,026315256940031784;-0,024390243902439046;0,14814795565695982;-0,6017271872659773;0,10958893142733395;-0,015038232139688135;0,05555899276124476;-0,16774157619947938;0,343749495564426;0,18103448538941658;-0,07462652665172254;-0,010204335991119251;0,140625;-0,09090879262938922;0,47886066439467356;-0,1917102724334797;0,3863635041168427;0,16393076432739306;-0,21257790368271956;0,0692217986876229;0,21854771986178023;0,09214315150915708
2011;1267916,0;180000,0;1175833,0;13307,0;2828427,0;115960,0;63455,0;1708333,0;2114058,0;6779663,0;672860,0;1436841,0;1765417,0;2042409,0;100251,0;430672,0;328087,0;177529,0;15288,0;76014,0;40723,0;3536024,0;0,05405376196592382;0,25;0,06451650868663816;-0,4676348215714514;0,07407410220315236;-0,09160700017234091;-0,0701746673700252;0,1317825811007951;0,20930256503541145;-0,12408756200650761;0,03225667884768213;0,2061857227883519;0,01826503244412403;0,2285713770116684;-0,2618996782577325;-0,15384615384615385;-0,31147496259236485;-0,16901177704132264;1,2000287811195856;0,237408432362038;-0,1867598602096855;0,06743576259858464
2012;1414214,0;151200,0;1264911,0;32729,0;3023491,0;149092,0;69441,0;1708333,0;1964990,0;7288137,0;756968,0;1264911,0;1646667,0;1876166,0;125475,0;812404,0;447214,0;180538,0;19596,0;84853,0;44721,0;3218461,0;0,11538461538461542;-0,16000000000000003;0,07575735669946337;1,4595325768392575;0,06896554162437285;0,2857192135219042;0,09433456780395555;0,0;-0,0705127295466823;0,0749998930625313;0,12500074309663223;-0,11965833380311397;-0,06726456129061864;-0,08139554810030702;0,25160846275847626;0,8863636363636365;0,3630957642332675;0,016949343487542956;0,2817896389324961;0,11628121135580294;0,09817547823097517;-0,08980793116788799
2013;1267916,0;187200,0;1175833,0;40462,0;3608683,0;142271,0;59863,0;1439212,0;1680405,0;7175143,0;756968,0;1031578,0;1322083,0;1638677,0;60150,0;476349,0;371051,0;212132,0;10910,0;92366,0;66264,0;3321148,0;-0,10344827586206895;0,23809523809523814;-0,07042234591998964;0,23627364111338567;0,19354845111164543;-0,04575027499798778;-0,13793004133004994;-0,15753427464083403;-0,14482770904686537;-0,015503824914377962;0,0;-0,18446594266315974;-0,19711574957171063;-0,1265820828220957;-0,5206216377764494;-0,4136550287787849;-0,17030549133077233;0,17499916914998503;-0,443253725250051;0,08854135976335553;0,4817199973166968;0,03190562197273783
2014;1089107,0;172800,0;1175833,0;36505,0;3381108,0;180275,0;55074,0;1532819,0;1571992,0;6836160,0;693887,0;1142104,0;1480417,0;1448685,0;108659,0;443723,0;421826,0;121863,0;13203,0;86179,0;78305,0;3332169,0;-0,14102590392423475;-0,07692307692307687;0,0;-0,09779546240917403;-0,06306317290823271;0,2671240098122598;-0,07999933180762742;0,06504045269216774;-0,06451599465605018;-0,047244075832356236;-0,08333377368660233;0,10714264941671892;0,11976101349158874;-0,11594231199925309;0,8064671654197839;-0,06849179908008629;0,1368410272442333;-0,4255322157901684;0,21017415215398727;-0,06698352207522251;0,18171254376433654;0,003318430855836496
2015;1202895,0;154800,0;1353989,0;36685,0;3673704,0;127654,0;61060,0;1638128,0;1666853,0;7175143,0;588753,0;1387718,0;1520000,0;1638677,0;67265,0;401308,0;;139917,0;26545,0;113137,0;70448,0;3776440,0;0,10447825603912198;-0,10416666666666663;0,15151471339892653;0,004930831392959911;0,08653849566473482;-0,29189294133962007;0,10869012601227435;0,06870282792684579;0,06034445467915872;0,04958675630763465;-0,15151458378669724;0,21505397056660347;0,026737736732285633;0,13114790309832713;-0,38095325743840824;-0,09558891470579622;0,0;0,14814997168952027;1,0105279103234115;0,3128140266190138;-0,10033842027967566;0,13332787142548885
2016;991575,0;118800,0;1247095,0;33089,0;3933789,0;251410,0;59863,0;1556221,0;1206097,0;;452078,0;1375437,0;1369583,0;1686175,0;127415,0;505713,0;;136908,0;14245,0;;57990,0;3228492,0;-0,17567618121282402;-0,2325581395348837;-0,07894746559979438;-0,09802371541501975;0,07079639513689728;0,9694643332758863;-0,019603668522764517;-0,05000036627174431;-0,2764226959425936;0,0;-0,23214319077779644;-0,008849780719137446;-0,09895855263157893;0,02898557799981316;0,8942243365792018;0,2601617710088011;0,0;-0,021505606895516616;-0,46336409870032025;0,0;-0,1768396547808313;-0,14509644003347066
