year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1980;;473934,0;;;;;;;;;1020225,0;;3050888,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;;535545,0;;;;;;;;;1052511,0;;3165296,0;;;;;;;;;;;;;;;;0,12999911380065576;;;;;;;;;0,03164596044990087;;0,037499901667973345;;;;;;;;;;;;;;
1982;2066221,0;611374,0;;;;;;;;;903997,0;;3012752,0;;;;;;;;;;;;;;;;0,14159220980496512;;;;;;;;;-0,1411044635162958;;-0,04819264928145739;;;;;;;;;;;;;;
1983;1900923,0;658768,0;;;;;;;;;774855,0;;2783935,0;;;;;;;;;;;;;;;-0,0800001548721071;0,07752047028496478;;;;;;;;;-0,14285666877213088;;-0,07594949733665435;;;;;;;;;;;;;;
1984;2334829,0;691943,0;;;;;161172,0;;;;755483,0;;2745799,0;;;64673,0;176195,0;;;;;;;;;;;0,22826069230579038;0,050359155271658684;;;;;;;;;-0,025000806602525683;;-0,013698595692787419;;;;;;;;;;;;;;
1985;2086883,0;696682,0;;;;;133773,0;;;;1007311,0;;2822071,0;;;30396,0;200862,0;;;;;;;;;;;-0,10619450075358838;0,006848830033687747;;;;;-0,16999851090760176;;;;0,33333377455217383;;0,027777706962527127;;;-0,5300047933449816;0,13999829734101432;;;;;;;;;;
1986;1508341,0;763033,0;;;;;124103,0;;;;1000854,0;;2669527,0;;;23929,0;192052,0;;;;;;;;;;;-0,2772278081713254;0,09523857369646405;;;;;-0,07228663482167552;;;;-0,0064101354993642;;-0,05405391997579079;;;-0,2127582576654823;-0,043860959265565436;;;;;;;;;;
1987;1425692,0;838863,0;;;;;124103,0;;;;1297881,0;;2707663,0;;;94422,0;255482,0;;;;;;;;;;;-0,05479463861288658;0,09937971227980968;;;;;0,0;;;;0,2967735553837023;;0,014285676825894544;;;2,945923356596598;0,3302751338179244;;;;;;;;;;
1988;1281057,0;1014218,0;;;;;151502,0;;;;1246224,0;;3012752,0;;;86662,0;234339,0;;;;;;;;;;;-0,10144898056522722;0,2090389014654359;;;;;0,22077629066178894;;;;-0,03980102952427844;;0,11267613436384072;;;-0,08218423672449215;-0,08275729797011144;;;;;;;;;;
1989;1446355,0;952607,0;4636766,0;;;;133773,0;;;;1207482,0;;2974616,0;;;100890,0;260768,0;;;;;;;;;;3407112,0;0,12903250987270676;-0,060747294960255105;;;;;-0,11702155747118848;;;;-0,03108750914763314;;-0,012658194235702136;;;0,16417807112690674;0,11278105650361225;;;;;;;;;;
1990;1549666,0;1033175,0;4636766,0;;;;161172,0;;;;1000854,0;;2860208,0;;;118351,0;292483,0;;;;;;;;;326531,0;3407112,0;0,07142852204334349;0,08457632580906926;0,0;;;;0,20481711556143622;;;;-0,17112304779698584;;-0,03846143502220123;;;0,17306967984934096;0,12162151797766607;;;;;;;;;;0,0
1991;1425692,0;952607,0;4729501,0;;;;170843,0;;;;1278510,0;;3089024,0;;;98303,0;489821,0;;;;;;;;;257960,0;4926046,0;-0,08000046461624633;-0,07798098095675954;0,01999993098638142;;;;0,06000421909512821;;;;0,27741908410217664;;0,07999977624004972;;;-0,16939442843744457;0,6746990423375034;;;;;;;;;-0,2099984381268547;0,4458127587235172
1992;1570328,0;772512,0;3616677,0;;;;156337,0;;;;1071882,0;;3089024,0;;;114471,0;371771,0;;;;;;;;;189233,0;5230039,0;0,10144968197899695;-0,18905487782474828;-0,23529416739736386;;;;-0,08490836616074404;;;;-0,16161625642349298;;0,0;;;0,16447107412795137;-0,24100640846349997;;;;;;;;;-0,26642502713599003;0,061711360389245185
1993;1487679,0;805687,0;4544030,0;;;;180513,0;;;;981483,0;;3394113,0;;;121585,0;473963,0;;;;;;;;;260324,0;4519839,0;-0,05263167949625813;0,04294431672258803;0,2564102351412636;;;;0,15464029628302955;;;;-0,08433670870487608;;0,09876550004143714;;;0,06214674459033298;0,27487889049979697;;;;;;;;;0,37567971759682517;-0,13579248644226172
1994;1508341,0;838863,0;3616677,0;;;;177290,0;;;;1233310,0;;3355977,0;;;63379,0;671301,0;;;;;;;;;215169,0;4857904,0;0,013888748849718358;0,041177281003665245;-0,2040816191794509;;;;-0,017854669746777185;;;;0,2565780558603663;;-0,011235925262358726;;;-0,4787268166303409;0,41635739498652846;;;;;;;;;-0,17345692291144876;0,07479580577980771
1995;1363706,0;862559,0;3292104,0;;;116518,0;151502,0;;;;1175196,0;;3584794,0;;;122879,0;639586,0;;;;;;;;;162022,0;5450122,0;-0,09589012033750988;0,02824775916925648;-0,08974343022614406;;;;-0,1454565965367477;;;;-0,047120350925558;;0,06818193330883981;;;0,9387967623345272;-0,04724408275870284;;;;;;;;;-0,24700119440997537;0,12190813157279345
1996;1012448,0;943128,0;4080354,0;;;109527,0;130550,0;;;;1110625,0;;3546657,0;;;45271,0;641348,0;;;;;357771,0;;;;214081,0;5478092,0;-0,2575760464498946;0,09340694375689074;0,2394365427094649;;;-0,059999313410803445;-0,1382952040237092;;;;-0,05494487728004516;;-0,010638547152221345;;;-0,6315806606499077;0,0027549070805177323;;;;;;;;;0,321308217402575;0,005131995210382545
1997;1198408,0;876777,0;3523942,0;;;65250,0;146667,0;;;;1304339,0;;3813610,0;;;111237,0;822829,0;;;;;429325,0;;;;308433,0;5812702,0;0,18367363064572206;-0,07035206249840953;-0,1363636586433432;;;-0,40425648470240216;0,12345461509000377;;;;0,17441890827236906;;0,07526890815773846;;;1,4571359148240597;0,28296806102147354;;;;;0,19999944098319866;;;;0,4407303777542144;0,061081486035649
1998;1115759,0;772512,0;3477574,0;;;152639,0;117656,0;;1601100,0;11970984,0;987940,0;;3775474,0;443561,0;;80194,0;771732,0;;;;;432903,0;;;;226831,0;5491214,0;-0,06896566111040647;-0,11891849352800088;-0,013157991817118408;;;1,3392950191570883;-0,19780182317767458;;;;-0,2425742080854747;;-0,009999973778126225;;;-0,2790708127691326;-0,06209917248905905;;;;;0,00833401269434586;;;;-0,26456961479478525;-0,05530784134469646
