year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
2000;183104,0;183607,0;21999,0;239491,0;28868,0;;29406,0;1833461,0;382235,0;29692,0;150242,0;293626,0;;291729,0;440496,0;;;136628,0;57091,0;558858,0;0,09170477513519315;-0,1515113705156821;-0,5555488211406752;-0,07999892438420997;;;-0,07040116334207946;;-0,07999817075518922;0,019993129508759866;0,11666728603812859;0,4298249885565695;;0,31999891406154557;-0,012498010406415072;;;0,11764802120314766;0,03448213379720233;-0,12328161106169488
2001;129638,0;200000,0;35879,0;296761,0;40126,0;;27623,0;1760122,0;542884,0;34641,0;159212,0;149515,0;;346981,0;674683,0;;;177377,0;56139,0;535318,0;-0,29199799021321216;0,0892830883354121;0,6309377698986318;0,2391321594548439;0,3899819869751975;;-0,06063388424131133;-0,04000030543327615;0,420288565934569;0,1666778930351609;0,05970367806605337;-0,4907978176319536;;0,18939495216450886;0,531643874178199;;;0,29824779693767023;-0,016675132682909766;-0,042121612287915666
2002;178709,0;190164,0;23046,0;275935,0;19053,0;;26732,0;1576776,0;509646,0;34059,0;152485,0;135104,0;;413283,0;646804,0;;;167789,0;68509,0;670762,0;0,3785232724972616;-0,04918;-0,3576744056411829;-0,07017768507317335;-0,5251707122563924;;-0,03225572892155093;-0,1041666429940652;-0,061224865717169785;-0,016800900666839924;-0,04225184031354423;-0,09638497809584323;;0,19108250884054168;-0,04132162808311457;;;-0,05405435879510867;0,22034592707387013;0,2530159643426897
2003;225584,0;213115,0;30903,0;283745,0;22228,0;;33861,0;1448434,0;476408,0;32021,0;123333,0;268406,0;;298359,0;552013,0;;;146216,0;111327,0;621496,0;0,26229792567805754;0,1206905618308407;0,3409268419682374;0,0283037671915487;0,1666404240801973;;0,2666841238964537;-0,08139520134755984;-0,06521781785788572;-0,05983734108458849;-0,19117946027478117;0,9866621269540503;;-0,27807579793991044;-0,14655289701362395;;;-0,12857219483994775;0,6249981754222074;-0,07344781010254009
2004;233641,0;203279,0;30641,0;286348,0;32620,0;;30742,0;1631780,0;531805,0;38425,0;134545,0;308037,0;;313830,0;680259,0;;;208538,0;61848,0;661881,0;0,03571618554507405;-0,04615348520751705;-0,008478141280781837;0,00917372993356702;0,4675184452042469;;-0,09211186911195768;0,1265822260455085;0,11628058302967204;0,19999375409887254;0,09090835380636153;0,14765318211962475;;0,05185363940755927;0,23232423874075425;;;0,42623242326421185;-0,4444474386267482;0,06498030558523316
2005;182372,0;245902,0;37974,0;234285,0;26847,0;126774,0;33861,0;1503438,0;415472,0;26199,0;127818,0;313441,0;40754,0;311620,0;624500,0;;150249,0;174980,0;83733,0;644646,0;-0,21943494506529249;0,2096773400105274;0,23931986553963647;-0,1818172293852236;-0,17697731453096255;;0,10145728970138568;-0,07865153390775714;-0,21875123400494545;-0,3181782693558881;-0,04999814188561447;0,01754334706545002;;-0,007042029124048055;-0,08196730951005426;;;-0,16092031188560363;0,35385137757081875;-0,026039424005221523
2006;158934,0;190164,0;30641,0;252507,0;19919,0;110293,0;36534,0;1595111,0;454250,0;29110,0;161455,0;257598,0;37494,0;313830,0;468375,0;;268946,0;208538,0;72315,0;728637,0;-0,12851753558660317;-0,22666753422094976;-0,19310580923789966;0,07777706639349513;-0,2580549037136365;-0,13000299746004707;0,07894037388145647;0,060975577310138585;0,09333480956598761;0,11111111111111116;0,26316324774288447;-0,178161121231747;-0,07999214801001131;0,007091970990308782;-0,25;;0,7900019301293186;0,1917819179334781;-0,13636200781054064;0,13029011271302382
2007;147948,0;150820,0;34046,0;257713,0;12990,0;158467,0;34752,0;1613446,0;448710,0;34932,0;168182,0;273810,0;35864,0;265208,0;501830,0;;180299,0;171384,0;82781,0;722078,0;-0,06912303220204619;-0,20689510107065479;0,11112561600469961;0,020617250214845617;-0,3478588282544305;0,4367820260578641;-0,04877648218098207;0,01149449787506951;-0,012195927352779301;0,19999999999999996;0,0416648601777585;0,06293527123657783;-0,043473622446258076;-0,15493101360609252;0,07142780891379763;;-0,32960891777531554;-0,17816417151790076;0,14472792643296684;-0,009001738863110176
2008;147948,0;183607,0;32736,0;203047,0;12124,0;200302,0;32970,0;1613446,0;487488,0;37843,0;145758,0;151316,0;24045,0;240897,0;730442,0;;52587,0;118651,0;46624,0;516794,0;0,0;0,2173915926269725;-0,038477354167890554;-0,21211968352391997;-0,06666666666666665;0,2639981825869109;-0,05127762430939231;0,0;0,08642107374473484;0,08333333333333326;-0,13333174774946188;-0,44736861327197697;-0,32955052420254294;-0,09166767216675209;0,45555666261482974;;-0,7083344888213468;-0,30768916584978756;-0,43677897101992;-0,28429615637091843
2009;140624,0;206557,0;27498,0;278539,0;28290,0;162270,0;34752,0;1686784,0;465329,0;34350,0;148000,0;151316,0;35864,0;353611,0;635652,0;;69115,0;111460,0;46624,0;624580,0;-0,04950387974153081;0,12499523438648863;-0,16000733137829914;0,37179569262289025;1,3333883206862422;-0,18987329133009156;0,05404913557779789;0,04545426373116923;-0,04545547787842985;-0,09230240731443062;0,015381660011800413;0,0;0,49153670201705135;0,4678929168897912;-0,1297707415510061;;0,314298210584365;-0,06060631600239352;0,0;0,20856666292565307
2010;146483,0;206557,0;40593,0;247301,0;34641,0;163538,0;36089,0;1466769,0;443171,0;34641,0;156970,0;136905,0;13449,0;265208,0;490679,0;;111184,0;135430,0;76121,0;666254,0;0,04166429627944024;0,0;0,4762164521056076;-0,1121494656044576;0,22449628844114522;0,007814136932273286;0,03847260589318591;-0,13043460217787217;-0,0476179219433992;0,008471615720524017;0,060608108108108016;-0,0952377805387401;-0,625;-0,25000070699158117;-0,22806976144179525;;0,6086811835346886;0,21505472815359772;0,6326570006863419;0,06672323801594682
2011;150145,0;200000,0;34046,0;268126,0;36084,0;258618,0;33861,0;1521772,0;348997,0;35805,0;177152,0;142309,0;24860,0;236477,0;485103,0;257841,0;130717,0;79100,0;51382,0;696098,0;0,024999487995194025;-0,03174426429508559;-0,16128396521567756;0,08420912167763173;0,041655841344071964;0,5813939267937727;-0,061736263127268654;0,037499429017111785;-0,21250036667561734;0,03360180133367985;0,12857233866343898;0,039472627004127014;0,848464569856495;-0,1083338360833761;-0,011363844794662126;;0,17568175277018283;-0,41593443107140216;-0,324995730481733;0,04479372731720943
2012;139159,0;177049,0;28284,0;221269,0;20207,0;230728,0;34752,0;1356761,0;315759,0;34641,0;145758,0;154919,0;34641,0;293939,0;624500,0;244949,0;91652,0;71909,0;44721,0;639375,0;-0,07316926970595095;-0,11475500000000005;-0,1692416142865535;-0,1747573901822278;-0,44000110852455376;-0,10784245489486421;0,026313457960485565;-0,10843345783731073;-0,09523864101983681;-0,03250942605781315;-0,17721504696531787;0,08860999655678836;0,3934432823813354;0,24299191887583138;0,28735546883857666;-0,0499998060820428;-0,29885171783318165;-0,09091024020227556;-0,12963683780312174;-0,08148708946154137
2013;117187,0;186885,0;26451,0;309777,0;27713,0;133112,0;34752,0;1448434,0;315759,0;31730,0;125576,0;120693,0;48090,0;185646,0;574317,0;206273,0;61602,0;70711,0;42818,0;635647,0;-0,15789133293570667;0,05555524176922777;-0,0648069579974544;0,40000180775436234;0,371455436234968;-0,42307825664852117;0,0;0,06756753768718293;0,0;-0,08403337086111828;-0,13846238285377133;-0,22092835610867612;0,38823936953321203;-0,3684199782948163;-0,08035708566853483;-0,15789409223960904;-0,32787064112076114;-0,016659945208527427;-0,04255271572639252;-0,005830694037145645
2014;105468,0;180328,0;33784,0;229078,0;24537,0;210444,0;36089,0;1540107,0;337918,0;37552,0;163697,0;160323,0;44830,0;265208,0;691411,0;291360,0;85642,0;67116,0;58994,0;587414,0;-0,10000256001092267;-0,03508574791984376;0,2772295943442591;-0,260506751631012;-0,11460325479017064;0,5809543842779012;0,03847260589318591;0,06329111302275425;0,07017693874125519;0,1834856602584305;0,3035691533414029;0,32835375705301884;-0,06778956123934288;0,4285683505165745;0,20388391776666892;0,41249703063415954;0,390247069900328;-0,050840746135679016;0,3777850436732215;-0,07588016619287119
2015;120116,0;213115,0;24094,0;299364,0;27135,0;211712,0;34752,0;1521772,0;310219,0;34641,0;154727,0;127898,0;48905,0;216587,0;434920,0;211430,0;109682,0;77902,0;49479,0;589211,0;0,13888572837258684;0,18181868595004658;-0,2868221643381482;0,3068212573883131;0,10588091453722948;0,0060253559141625335;-0,03704729973122001;-0,011905016989079309;-0,08196959025562411;-0,07751917341286751;-0,054796361570462526;-0,20224796192686012;0,09089895159491412;-0,18333157370818376;-0,3709674853307222;-0,2743341570565623;0,28070339319492765;0,16070683592585966;-0,16128758856832903;0,0030591712148502204
2016;119384,0;209836,0;28546,0;327999,0;28001,0;164806,0;39653,0;1613446,0;304680,0;40754,0;165939,0;153118,0;50535,0;187856,0;518558,0;224322,0;114189,0;121048,0;46624,0;686709,0;-0,006094109027939609;-0,015386059169931743;0,18477629285299235;0,09565278390187193;0,03191450156624276;-0,22155569830713417;0,14102785451197053;0,060241613066872146;-0,017855128151402666;0,17646719205565664;0,07246311244966952;0,19718838449389353;0,03332992536550461;-0,1326533910160813;0,1923066311045709;0,06097526368065087;0,041091519118907405;0,5538497086082514;-0,05770124699367407;0,16547213137568706
