year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1999;875465,0;107033,0;1288506,0;132668,0;;115996,0;;405566,0;5925715,0;288495,0;133416,0;685242,0;81358,0;;239912,0;312309,0;;;;;110013,0;;;94836,0;1343103,0;-0,0972223654441472;0,290067135126014;-0,2545456018106039;;;-0,02246717567544787;;0,0;-0,06999991838958797;-0,11666636047985601;;0,18965625000000008;-0,07000297203996253;;-0,1166650711713636;-0,12000101437881971;;;;;-0,0303038316101224;;;-0,30487429451000514;0,0037328825475970717
2000;969746,0;110200,0;2797001,0;133995,0;1571349,0;127995,0;1102718,0;421788,0;6754040,0;315712,0;164102,0;715035,0;71735,0;;248965,0;340701,0;;;;;159003,0;;;153068,0;1260640,0;0,10769248342309523;0,02958900526006003;1,1707318398206916;0,010002412036060004;;0,10344322218007518;;0,03999842195844816;0,13978481921590902;0,09434132307319021;0,23000239851292203;0,04347807052107133;-0,11827970205757266;;0,03773466937877212;0,09090996417010078;;;;;0,445311008698972;;;0,6140284280231136;-0,06139737607614604
2001;1259323,0;126033,0;1665630,0;87561,0;1508495,0;122662,0;1069636,0;385287,0;7391214,0;364701,0;113404,0;635587,0;80484,0;;298758,0;354897,0;;;;;95402,0;;;86517,0;1212749,0;0,29861118272207365;0,14367513611615235;-0,4044943137310283;-0,3465353184820329;-0,040000025455834476;-0,04166569006601817;-0,03000041715107582;-0,08653873509914933;0,0943396841001829;0,15516990168254607;-0,3089419994881233;-0,11111064493346479;0,12196277967519342;;0,19999999999999996;0,041667033557283295;;;;;-0,3999987421620975;;;-0,43478062037787124;-0,037989433938317
2002;1178511,0;75367,0;1257079,0;107461,0;1602776,0;107996,0;738821,0;365009,0;5989432,0;299382,0;112069,0;585931,0;90981,0;;357604,0;333603,0;;;;;159862,0;;;33276,0;844955,0;-0,06417098710974067;-0,4020058238715257;-0,24528316612933243;0,22727013167962906;0,06250004143202337;-0,11956433125173238;-0,30927810956250534;-0,052630895929527854;-0,18965517707916457;-0,17910288153857545;-0,011772071531868322;-0,07812620459512232;0,13042343819889668;;0,19696878409950536;-0,06000050718940986;;;;;0,6756671767887465;;;-0,6153819480564513;-0,30327297734320957
2003;1016887,0;83600,0;1414214,0;75621,0;1602776,0;110663,0;816011,0;393399,0;6562888,0;244949,0;108067,0;635587,0;61238,0;;222710,0;326505,0;;;;;126343,0;;;54905,0;878562,0;-0,1371425468239159;0,10923879151352711;0,12500009943686918;-0,2962935390513768;0,0;0,024695359087373525;0,10447726851294159;0,07777890408181709;0,09574463822278978;-0,18181787816234773;-0,03571014285841756;0,08474718012871829;-0,32691441070113536;;-0,37721613852194047;-0,021276787079252846;;;;;-0,20967459433761615;;;0,6499879793244381;0,039773715760010875
2004;1245855,0;76633,0;1854192,0;68987,0;1241366,0;127995,0;782930,0;332564,0;7136344,0;304825,0;120074,0;685242,0;81358,0;;162053,0;276820,0;;;;1262691,0;105715,0;;;89844,0;1133617,0;0,2251656280393004;-0,08333732057416265;0,3111113310998195;-0,08772695415294696;-0,2254900248069599;0,15661964703649822;-0,04053989468279229;-0,15463943731427887;0,08737860527255692;0,24444272072962137;0,11110699843615546;0,07812463124639124;0,3285541657140991;;-0,2723586727133941;-0,1521722485107425;;;;;-0,16326982895767872;;;0,6363537018486476;0,29030961958290935
2005;1501760,0;82333,0;1854192,0;137975,0;1445641,0;149328,0;860120,0;385287,0;7709801,0;239505,0;148092,0;685242,0;70861,0;1156930,0;291515,0;347799,0;;2000000,0;;1502602,0;88526,0;;;71543,0;1161878,0;0,2054051233891585;0,0743804888233528;0,0;1,0000144954846566;0,16455662552381822;0,16667057306926059;0,09859118950608603;0,1585348985458439;0,0803572529575367;-0,2142868859181497;0,23333944067824852;0,0;-0,1290223456820473;;0,798886783953398;0,2564084964959179;;;;0,1899997703317755;-0,16259755001655396;;;-0,20369752014603093;0,02492993665409049
2006;1272792,0;88033,0;1885619,0;92868,0;1319933,0;149328,0;937310,0;401510,0;8474409,0;310268,0;156097,0;605793,0;83108,0;775143,0;236290,0;383289,0;;1860000,0;;1477349,0;109153,0;;14537,0;124784,0;1252666,0;-0,1524664393777967;0,06923104951841919;0,01694916168336391;-0,32692154375792715;-0,08695658188997135;0,0;0,08974329163372552;0,042106274024298784;0,09917350655354129;0,2954552097033465;0,05405423655565467;-0,11594298072797637;0,17283131765004733;-0,33000008643565293;-0,18944136665351696;0,1020416964971147;;-0,06999999999999995;;-0,016806180212724287;0,23300499288344656;;;0,7441818207232014;0,07813901287398495
2007;1508494,0;108933,0;1539922,0;76947,0;1414214,0;145328,0;1036555,0;385287,0;7773518,0;304825,0;120074,0;576000,0;45491,0;1018099,0;258923,0;354897,0;;2540000,0;;1300572,0;116888,0;596657,0;16427,0;113137,0;1501411,0;0,18518501059088988;0,23741097088591778;-0,18333343056046847;-0,1714368781496317;0,0714286255438723;-0,026786670952534064;0,10588279224589514;-0,04040497123359321;-0,08270677046623542;-0,01754289839751444;-0,2307731730910908;-0,04918016550207749;-0,4526279058574385;0,3134337793155586;0,09578484066189841;-0,07407465385127154;;0,36559139784946226;;-0,11965825272159791;0,07086383333486035;;0,13001307009699392;-0,0933372868316451;0,1985724846048349
2008;1555635,0;67133,0;1414214,0;38474,0;1539922,0;153328,0;760875,0;450178,0;7200062,0;217732,0;113404,0;556138,0;57738,0;879267,0;297852,0;141959,0;;2340000,0;252538,0;1603618,0;99699,0;417660,0;12357,0;96499,0;1166873,0;0,031250372888457;-0,3837221044128042;-0,0816327060721257;-0,49999350202087156;0,08888895174280553;0,055047891665749304;-0,265957908649324;0,1684225006294009;-0,07377046017002853;-0,2857147543672599;-0,05554907806852438;-0,03448263888888892;0,2692180870941505;-0,136363948889057;0,15034971786979145;-0,5999994364562112;;-0,07874015748031493;;0,23300978338761724;-0,14705530080076656;-0,29999983239951933;-0,24776282948803796;-0,14706064329087742;-0,2228157379957919
2009;1272792,0;89300,0;1539922,0;39800,0;1241366,0;154661,0;838066,0;559680,0;7391214,0;185072,0;134750,0;486621,0;50740,0;890836,0;270693,0;92273,0;;740000,0;154048,0;1843529,0;62742,0;489258,0;19044,0;109810,0;1314534,0;-0,18181835713390349;0,3301952839885005;0,08888895174280553;0,03446483339398032;-0,1938773522295285;0,008693780653240113;0,10145030392640053;0,24324156222649718;0,026548660275425462;-0,15000091856043207;0,18822969207435358;-0,12499955047128586;-0,12120267414874086;0,013157550550629171;-0,0911828693445067;-0,3500024655006023;;-0,6837606837606838;-0,3900007127640197;0,14960607825554462;-0,3706857641500918;0,1714265191782789;0,5411507647487255;0,13793925325651046;0,12654419118447335
2010;1447885,0;80433,0;1697057,0;104808,0;1257079,0;162661,0;749848,0;604293,0;7454931,0;152413,0;125411,0;486621,0;55114,0;879267,0;202793,0;92273,0;;1380000,0;141421,0;1515229,0;80791,0;811453,0;42448,0;83189,0;1434591,0;0,13756607521103215;-0,09929451287793956;0,10204088259015709;1,6333668341708543;0,012657830164512385;0,05172603306586665;-0,10526378590707652;0,07971162092624362;0,008620640668772328;-0,17646645629808944;-0,0693061224489796;0,0;0,08620417816318482;-0,012986677682536363;-0,250837664808473;0,0;;0,8648648648648649;-0,08196795803905277;-0,17808236268591382;0,2876701412132223;0,6585380310592774;1,2289434992648602;-0,2424278298879884;0,09133046387541133
2011;1232386,0;76000,0;1445641,0;33167,0;1382787,0;161327,0;816011,0;588070,0;8410692,0;212289,0;132082,0;566069,0;47240,0;867698,0;253491,0;120665,0;467508,0;1000000,0;194454,0;2197082,0;82509,0;477325,0;42158,0;69879,0;1470169,0;-0,14883709686888114;-0,05511419442268717;-0,14814823544524436;-0,68354514922525;0,1000000795494953;-0,008201105366375416;0,08823521567037584;-0,026846248425846375;0,1282052107524536;0,39285362797136725;0,05319310108363706;0,16326463510617084;-0,14286751097724715;-0,01315755055062906;0,24999876721583103;0,3076956422788899;;-0,2753623188405797;0,3750008838857031;0,44999996700168743;0,021264744835439497;-0,4117650683403722;-0,006831888428194488;-0,15999711500318547;0,02480009981939113
2012;1697056,0;91833,0;1414214,0;62354,0;1382787,0;147995,0;926283,0;523180,0;5989432,0;195959,0;141421,0;516414,0;48990,0;948683,0;219089,0;120665,0;565685,0;1200000,0;204555,0;1414214,0;44693,0;584723,0;66871,0;84853,0;1438578,0;0,3770490739102845;0,2083289473684211;-0,021739145472492782;0,88000120601803;0,0;-0,0826396077531969;0,13513543322332655;-0,11034400666587307;-0,2878788094962935;-0,07692343927382017;0,07070607652821725;-0,08771898832121172;0,03704487722269256;0,09333316430370941;-0,1357129049946546;0,0;0,21000068448026554;0,19999999999999996;0,05194544725230643;-0,35632170305887534;-0,45832575840211376;0,2249997381239197;0,5861995350823095;0,2142846921106485;-0,021488005800693655
2013;1616244,0;75367,0;1099944,0;96848,0;1602776,0;154661,0;1047582,0;511013,0;6499171,0;174186,0;120074,0;427035,0;57738,0;717297,0;339497,0;141959,0;500234,0;1180000,0;222233,0;1843529,0;97980,0;632456,0;48990,0;136430,0;1347791,0;-0,04761893537985784;-0,17930373612971373;-0,22222237935701383;0,5531962664784937;0,15909102414182374;0,04504206223183216;0,13095241950894065;-0,023255858404373275;0,08510640074050424;-0,11110997708704373;-0,15094646481074236;-0,17307625277393723;0,1785670545009186;-0,24390233618606005;0,5495848719013734;0,17647205071893257;-0,11570220175539392;-0,01666666666666672;0,08642174476302222;0,3035714538252343;1,1922896202984807;0,0816335256181131;-0,2673954329978615;0,6078394399726585;-0,06310884776494563
2014;1252589,0;79800,0;1162798,0;83581,0;1288506,0;161327,0;816011,0;438011,0;8283257,0;234062,0;146758,0;436966,0;45491,0;960252,0;265261,0;120665,0;518934,0;1900000,0;325773,0;1793021,0;84228,0;608590,0;28057,0;73207,0;1365755,0;-0,22500006187184607;0,058818846444730344;0,057142909093553795;-0,13698785726086238;-0,19607855370931437;0,043100717052133364;-0,22105286268759872;-0,1428574224139112;0,2745097797857603;0,34374748831708635;0,22222962506454347;0,02325570503588703;-0,21211333956839518;0,3387090703014233;-0,218664671558217;-0,15000105664311525;0,03738250498766571;0,6101694915254237;0,46590740349093074;-0,02739745347103295;-0,14035517452541335;-0,03773543139759916;-0,4272912839354971;-0,4634098072271494;0,01332847600258491
2015;1407479,0;86133,0;1225652,0;55721,0;1178512,0;167994,0;849093,0;450178,0;8410692,0;168742,0;116072,0;446897,0;44616,0;1052807,0;214562,0;127763,0;388032,0;860000,0;280317,0;;61023,0;250596,0;42884,0;68215,0;1232071,0;0,1236558839331976;0,07936090225563919;0,05405410054024862;-0,3333293451861069;-0,08536553186403473;0,04132600246703899;0,04054112015646849;0,027777841195768982;0,015384648816280766;-0,27907135716177767;-0,20909251965821285;0,022727168704201217;-0,019234573871754868;0,09638615696712938;-0,19112873735679203;0,05882401690631078;-0,2522517314340552;-0,5473684210526315;-0,13953274212411715;0,0;-0,2755022082917794;-0,5882351008067829;0,5284599208753609;-0,06819020039067303;-0,09788285600272373
2016;1387276,0;60800,0;1351360,0;90214,0;1225652,0;162661,0;749848,0;539402,0;;136083,0;130748,0;476690,0;60363,0;948683,0;180160,0;85175,0;388032,0;1600000,0;255063,0;;31801,0;352027,0;;98163,0;1308224,0;-0,014354032990900767;-0,2941149153053998;0,10256418624536168;0,6190305270903249;0,039999592706735365;-0,03174518137552529;-0,11688354514758692;0,19819715756878398;0,0;-0,19354399023361113;0,1264387621476326;0,06666636831305639;0,3529451317912857;-0,09890131809533942;-0,16033594019444264;-0,3333359423307217;0,0;0,8604651162790697;-0,09009086141760936;0,0;-0,4788686233059666;0,4047590544142763;0,0;0,4390236751447629;0,06180893795893261
