year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Estonia;Finland;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Netherlands;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Estonia_rendements;Finland_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Spain_rendements;Sweden_rendements
2002;762104,0;29018,0;344930,0;90110,0;;426580,0;134273,0;1151646,0;97987,0;475556,0;319224,0;341207,0;575534,0;;25829,0;916861,0;0,0543482471431338;-0,14383501017909306;0,0;0,545467018831681;;-0,2499995604573354;0,013159383983882833;-0,27777788229804956;-0,04917762359904909;-0,009258333333333368;0,08602494403581717;-0,03797550440401942;-0,18750052939930828;;-0,021332221885419833;0,1150228632582575
2003;714963,0;34821,0;203509,0;67140,0;;355483,0;101141,0;1470564,0;103900,0;484444,0;246529,0;332228,0;600832,0;;16257,0;789180,0;-0,061856387054785134;0,19997932317871658;-0,40999913025831325;-0,25491066474309176;;-0,16666744807539036;-0,2467510221712481;0,27692363799292496;0,060344739608315434;0,018689702159156774;-0,2277241059569456;-0,026315403845759366;0,04395570027140017;;-0,3705911959425452;-0,13925884076212203
2004;848528,0;26000,0;193161,0;104833,0;;568773,0;183099,0;1346540,0;121639,0;448889,0;312902,0;668946,0;575534,0;;34626,0;797488,0;0,18681386309501335;-0,2533241434766377;-0,05084787404979629;0,5614089961274948;;0,6000005626148086;0,8103340880552892;-0,08433770988545897;0,1707314725697786;-0,07339341595726234;0,26922998916963126;1,0135148151269608;-0,04210494780570939;;1,1299132681306516;0,010527382853088074
2005;738534,0;38536,0;234553,0;101300,0;447596,0;502120,0;195306,0;1399693,0;129241,0;484444,0;265493,0;257402,0;702025,0;220561,0;23718,0;885762,0;-0,12962919314389154;0,48215384615384616;0,21428756322446052;-0,03370122003567577;;-0,11718734890720905;0,06666885127717781;0,03947376238359057;0,06249640329170747;0,07920666356270711;-0,1515138925286511;-0,6152125881610773;0,21978023887381104;;-0,31502339282619995;0,11069006680978277
2006;604969,0;27161,0;210408,0;61840,0;313317,0;466572,0;149967,0;885882,0;147825,0;502222,0;331866,0;543238,0;550236,0;30879,0;31107,0;942087,0;-0,18085152477746458;-0,29517853435748387;-0,10294048679829293;-0,3895360315893386;-0,3000004468315177;-0,07079582569903609;-0,23214340573254277;-0,3670883543748522;0,1437933782623162;0,03669774008966975;0,24999905835558756;1,1104653421496335;-0,216215946725544;-0,8599979144091657;0,3115355426258537;0,06358931631747589
2007;667823,0;25768,0;269046,0;114846,0;420740,0;431023,0;130785,0;1240235,0;157962,0;457778,0;274975,0;269374,0;594508,0;302169,0;13865,0;936498,0;0,10389623269952675;-0,05128677147380434;0,27868712216265545;0,8571474773609313;0,3428572340473066;-0,07619188463945548;-0,127908139790754;0,4000002257637021;0,06857432775241001;-0,08849472942244663;-0,17142762440262038;-0,5041326269517228;0,08046002079107883;8,785582434664335;-0,554280387051146;-0,005932573106305461
2008;699250,0;25304,0;227654,0;77153,0;402836,0;573217,0;156942,0;1187082,0;168943,0;475556,0;274975,0;279850,0;720999,0;178655,0;27307,0;1011592,0;0,04705887637892081;-0,018006830176963695;-0,15384729748816184;-0,3282047263291712;-0,04255359604506348;0,32989886850585703;0,19999999999999996;-0,0428572004499147;0,06951671921094937;0,03883541804105928;0,0;0,03889016757370789;0,2127658500810754;-0,40875801290006586;0,9694915254237289;0,08018596943079426
2009;746390,0;26464,0;248350,0;93643,0;425216,0;524338,0;176124,0;1328823,0;152893,0;400000,0;202280,0;333725,0;562885,0;119103,0;15554,0;912140,0;0,06741508759385062;0,04584255453683217;0,0909098895692586;0,21373115757002314;0,05555610719995241;-0,0852713719237217;0,12222349657835374;0,11940287191617771;-0,09500245644980854;-0,158879290767018;-0,26436948813528505;0,19251384670359117;-0,21929850110749116;-0,33333519912680865;-0,4304024609074596;-0,09831236308709446
2010;659966,0;29946,0;248350,0;94232,0;304365,0;564330,0;176124,0;1027623,0;184148,0;497778,0;202280,0;119722,0;442718,0;253645,0;23295,0;1025206,0;-0,11578933265451041;0,13157496977025396;0,0;0,00628984547697109;-0,2842108481336544;0,07627141271469928;0,0;-0,22666675697214755;0,20442400894743384;0,24444500000000002;0,0;-0,6412555247584089;-0,21348410421311637;1,1296272973812584;0,4976854828339976;0,12395684872936164
2011;636396,0;26000,0;269046,0;109545,0;353601,0;630983,0;223207,0;1080776,0;168943,0;560000,0;208602,0;77819,0;297254,0;218356,0;19073,0;954700,0;-0,03571396102223445;-0,13177052026981906;0,083334004429233;0,16250318363188732;0,16176630033019568;0,11810997111619082;0,2673287002339262;0,051724221820648175;-0,08256945500358404;0,12499949776808128;0,03125370773185687;-0,35000250580511516;-0,32857033145252734;-0,13912752074750145;-0,1812406095728697;-0,06877251986430044
2012;848528,0;22286,0;282843,0;108367,0;264081,0;550999,0;240645,0;1364258,0;183303,0;577778,0;195959,0;282843,0;379473,0;273496,0;15061,0;1078227,0;0,33333333333333326;-0,14284615384615384;0,05128119355054528;-0,01075357159158341;-0,2531667048452917;-0,12676094284632078;0,07812478999314543;0,2622948696122045;0,08499908253079447;0,03174642857142862;-0,06060823961419348;2,6346265050951567;0,27659510048645264;0,2525234021506164;-0,21034970901274053;0,1293882895150309
2013;636396,0;22750,0;244901,0;84809,0;425216,0;568773,0;177868,0;1187082,0;150359,0;488889,0;221244,0;179583,0;461692,0;167627,0;15202,0;1099300,0;-0,25;0,02082024589428344;-0,13414509109293848;-0,2173909031347181;0,610172636425945;0,032257771792689294;-0,26086974589125056;-0,1298698633249723;-0,17972428165387366;-0,15384628698219727;0,12903209344811928;-0,36507886000360623;0,21666627138162653;-0,38709524088103664;0,009361928158820865;0,0195441219706054
2014;652109,0;26696,0;258698,0;87165,0;290937,0;524338,0;169149,0;1470564,0;167253,0;524444,0;195959,0;240940,0;670402,0;236001,0;18580,0;1110761,0;0,02469060144941193;0,17345054945054938;0,056337050481623185;0,027780070511384425;-0,31579009256472;-0,07812431321458646;-0,04901949760496549;0,2388057438323552;0,11235775710133744;0,07272611983497268;-0,11428558514581189;0,3416637432273657;0,4520546164975785;0,4078937164060683;0,2222076042625971;0,01042572546165732
2015;620683,0;21589,0;196610,0;117790,0;313317,0;542112,0;211000,0;1116211,0;182458,0;524444,0;180156,0;208017,0;632455,0;213944,0;25547,0;1118503,0;-0,04819132997704367;-0,19130206772550196;-0,24000185544534558;0,35134515000286815;0,07692387011621071;0,03389798183614379;0,2474209129229259;-0,24096401108690269;0,09091017799381773;0,0;-0,08064442051653664;-0,13664397775379766;-0,056603351421982584;-0,09346146838360858;0,37497308934338003;0,006969996245816956
2016;636396,0;26232,0;265596,0;84220,0;384932,0;519894,0;146480,0;1204799,0;156272,0;533333,0;151710,0;169107,0;562885,0;180860,0;16257,0;1185856,0;0,025315660329024547;0,215063226643198;0,35087737144600983;-0,2849987265472451;0,22857042547962614;-0,04098415087657159;-0,30578199052132704;0,0793649229401967;-0,14351796029771235;0,01694937877066005;-0,1578964897089189;-0,18705201978684438;-0,10999992094299205;-0,15463859701604155;-0,3636434806435198;0,06021709374047268
