year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Spain_rendements;Sweden_rendements
2003;6212,0;8625,0;53812,0;39614,0;2828,0;;9277,0;33311,0;51472,0;39998,0;56465,0;6193,0;93237,0;11071,0;49331,0;-0,23937798457205828;0,07476635514018692;-0,06667129179963927;5,417301150170095;-0,4715994020926756;;0,12068132399130227;-0,245606486094755;-0,13253336928677362;-0,20224181259723162;-0,241856655656704;0,11324824734855299;0,11459516323773777;-0,6760213039915721;-0,3680778838147697
2004;12998,0;3900,0;84562,0;24789,0;4134,0;;9063,0;36797,0;57906,0;55208,0;76556,0;6141,0;79585,0;14417,0;49635,0;1,092401802962009;-0,5478260869565217;0,5714338809187542;-0,3742363810773969;0,4618104667609617;;-0,0230678020911933;0,10465011557743686;0,125;0,38026901345067254;0,3558133356946782;-0,008396576780235754;-0,14642255756834732;0,30223105410532014;0,006162453629563469
2005;9202,0;5850,0;49969,0;2916,0;5004,0;45918,0;9420,0;46868,0;50042,0;56898,0;72746,0;7243,0;96432,0;9013,0;72979,0;-0,29204492998922915;0,5;-0,4090844587403325;-0,8823671789906813;0,2104499274310596;;0,03939093015557771;0,27369079001005514;-0,13580630677304595;0,030611505578901577;-0,04976749046449658;0,17944960104217555;0,21168561914933726;-0,3748352639245336;0,4703132869950639
2006;9202,0;6825,0;65344,0;55411,0;3873,0;28010,0;8064,0;51516,0;65055,0;59151,0;114661,0;7978,0;88299,0;25245,0;66503,0;0,0;0,16666666666666674;0,30769076827633124;18,002400548696844;-0,22601918465227822;-0,38999956444095996;-0,14394904458598723;0,09917214304002742;0,3000079932856401;0,039597173890119075;0,5761828829076512;0,10147728841640213;-0,0843392234942758;1,8009541772994564;-0,08873785609558915
2007;7362,0;4050,0;42281,0;17158,0;4830,0;11939,0;8777,0;52290,0;68630,0;37744,0;65471,0;5563,0;79004,0;11563,0;72192,0;-0,19995653118887202;-0,4065934065934066;-0,3529474779627816;-0,6903502914583747;0,24709527498063522;-0,5737593716529811;0,08841765873015883;0,015024458420684894;0,05495350088386752;-0,36190427887947796;-0,4290037589066902;-0,30270744547505646;-0,10526733032084168;-0,5419687066745891;0,08554501300693196
2008;12308,0;8025,0;61500,0;5881,0;7354,0;16530,0;8207,0;56551,0;62911,0;50701,0;72053,0;6980,0;81328,0;8822,0;63355,0;0,671828307525129;0,9814814814814814;0,4545540550128899;-0,6572444340832264;0,522567287784679;0,3845380685149511;-0,06494246325623787;0,08148785618665144;-0,08333090485210548;0,34328635014836806;0,10053306043897292;0,25471867697285644;0,029416232089514383;-0,23704920868286772;-0,1224096852836879
2009;9087,0;4875,0;53812,0;7388,0;7572,0;38112,0;7707,0;65460,0;44323,0;59715,0;74824,0;6928,0;70000,0;7890,0;54699,0;-0,2616997075073123;-0,39252336448598135;-0,12500813008130085;0,25624893725556874;0,02964373130269249;1,3056261343012703;-0,06092360180333867;0,1575392123923538;-0,29546502201522784;0,17778742036646222;0,03845780189582659;-0,007449856733524385;-0,1392878221522723;-0,10564497846293353;-0,1366269434140952
2010;10238,0;4425,0;42281,0;10985,0;4961,0;25255,0;7778,0;46480,0;43608,0;27604,0;61661,0;5668,0;74938,0;11120,0;66644,0;0,1266644657202598;-0,09230769230769231;-0,21428305954062288;0,48687060097455337;-0,34482303222398314;-0,3373478169605374;0,009212404307772148;-0,2899480598838986;-0,01613157954109601;-0,5377375868709704;-0,17591949107238314;-0,18187066974595845;0,07054285714285724;0,4093789607097591;0,21837693559297255
2011;8857,0;4200,0;49969,0;16866,0;5439,0;17908,0;6708,0;44931,0;46468,0;81685,0;60275,0;5668,0;74357,0;7070,0;56151,0;-0,13488962688025008;-0,05084745762711862;0,181831082519335;0,5353664087391898;0,09635154202781693;-0,2909126905563255;-0,13756749807148372;-0,03332616179001724;0,06558429645936514;1,9591725836835243;-0,02247774119783985;0,0;-0,007753075876057558;-0,36420863309352514;-0,1574485325010504
2012;7937,0;4950,0;61500,0;7534,0;5657,0;13775,0;6351,0;37959,0;46468,0;70982,0;76210,0;6666,0;83651,0;9347,0;49432,0;-0,10387264310714694;0,1785714285714286;0,2307630731053254;-0,5533025020751808;0,0400808972237543;-0,23079070806343538;-0,053220035778175356;-0,15517126260265746;0,0;-0,13102772846911914;0,2643716300290335;0,17607621736062096;0,12499159460440845;0,32206506364922216;-0,11965948959056827
2013;11273,0;5175,0;46125,0;3257,0;4874,0;34438,0;6351,0;35635,0;47898,0;47321,0;51615,0;4461,0;60705,0;5840,0;49331,0;0,42030994078367145;0,045454545454545414;-0,25;-0,5676931245022565;-0,1384125861764186;1,5000362976406532;0,0;-0,0612239521589083;0,030773865886201346;-0,3333380293595559;-0,32272667628920093;-0,3307830783078308;-0,2743063442158492;-0,3752005991227132;-0,002043210875546153
2014;10698,0;6225,0;42281,0;6610,0;4830,0;42245,0;7279,0;46480,0;36460,0;51265,0;58890,0;5458,0;62158,0;7444,0;57847,0;-0,05100683047990773;0,2028985507246377;-0,08333875338753383;1,0294749769726743;-0,009027492819039806;0,22669725303443866;0,1461187214611872;0,30433562508769474;-0,23879911478558602;0,0833456604890006;0,14094739901191522;0,22349249047298803;0,023935425418005085;0,27465753424657535;0,1726297865439581
2015;6442,0;4575,0;57656,0;15262,0;4134,0;17449,0;6993,0;50741,0;79353,0;68728,0;64432,0;5668,0;75519,0;10432,0;58673,0;-0,39783137034959803;-0,2650602409638554;0,36363851375322254;1,3089258698940998;-0,14409937888198754;-0,5869570363356611;-0,0392911114164034;0,09167383820998287;1,1764399341744376;0,3406417633863259;0,09410765834606893;0,0384756320996702;0,21495221853985003;0,401397098334229;0,014279046450118349
2016;7707,0;4500,0;69188,0;13270,0;5701,0;25255,0;6993,0;54614,0;79353,0;;57158,0;6351,0;59834,0;6725,0;61074,0;0,1963675877056814;-0,016393442622950838;0,2000138753989178;-0,13052024636351722;0,37905176584421874;0,44736088027967225;0,0;0,07632880707908796;0,0;0,0;-0,1128942140551279;0,12050105857445303;-0,20769607648406363;-0,3553489263803681;0,04092171867809724
