year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Hungary;Latvia;Lithuania;Netherlands;Poland;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Poland_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
2001;187503,0;33846,0;579154,0;38619,0;;59151,0;339159,0;2815256,0;606020,0;212465,0;544943,0;1161239,0;1392196,0;;;325893,0;277839,0;1629798,0;0,10714644213111946;-0,022215802397804407;-0,328125271897698;-0,2900005515415587;;0,03528485166710427;-0,489999503772084;-0,01388871861675356;-0,19230825617643887;-0,10679452469436834;0,08791252667660854;0,415929279073312;0,1590911739973857;;;-0,045455344276123855;0,7823102632034744;0,14256090148712564
2002;205648,0;36154,0;1064027,0;53305,0;;61168,0;645066,0;2498044,0;606020,0;251725,0;539438,0;1640249,0;1364898,0;;;331066,0;99683,0;1625146,0;0,09677178498477357;0,06819121905099568;0,8372091015515735;0,3802791372122529;;0,034099169921049555;0,9019574889653525;-0,11267607634971744;0,0;0,1847833760854729;-0,010101973967919564;0,41249906350027854;-0,019607871305477143;;;0,01587330811033061;-0,6412202750513787;-0,002854341458266574
2003;272182,0;40769,0;1077496,0;63640,0;;59151,0;571915,0;2339438,0;757525,0;286366,0;451367,0;1299136,0;1373997,0;;;237953,0;128315,0;1580249,0;0,32353341632303745;0,12764839298556185;0,012658513364792512;0,19388425100834827;;-0,032974758043421426;-0,11340079929805635;-0,06349207620041919;0,25;0,13761446022445134;-0,163264360315736;-0,20796415666158008;0,0066664322169129875;;;-0,2812520766252047;0,2872305207507799;-0,027626440947459474
2004;184479,0;36154,0;808122,0;47866,0;;61168,0;804670,0;2478218,0;692595,0;288675,0;539438,0;805609,0;1364898,0;;461045,0;294855,0;155887,0;1544403,0;-0,32222189564335624;-0,11319875395521106;-0,25;-0,24786297925832812;;0,034099169921049555;0,40697481269069713;0,059321939713726124;-0,08571334279396725;0,008063108050536671;0,1951206003097259;-0,3798886336765358;-0,006622285201496103;;;0,23913125701293958;0,21487745002532832;-0,02268376692533902
2005;299400,0;38462,0;848528,0;43515,0;269094,0;48396,0;638416,0;1823969,0;714238,0;307150,0;511916,0;631423,0;1446792,0;70711,0;387278,0;232781,0;159068,0;1299433,0;0,6229489535394273;0,06383802622116508;0,04999987625630786;-0,09089959470187603;;-0,20880198796756477;-0,2066114059179539;-0,2639997772593049;0,031249142716883505;0,06399930717935387;-0,05101976501470051;-0,21621655170188014;0,06000008791865774;;-0,15999956620286526;-0,21052381679130416;0,020405806770288804;-0,15861792550260523
2006;269157,0;37692,0;821591,0;70167,0;269094,0;48396,0;505413,0;2022226,0;627664,0;277128,0;528429,0;558846,0;991826,0;30406,0;410330,0;279337,0;98622,0;1202281,0;-0,10101202404809617;-0,02001975976288284;-0,031745564082740985;0,6124784557049294;0,0;0,0;-0,20833281120773917;0,10869537804644702;-0,1212116969413557;-0,09774377340061857;0,032257245329311734;-0,114941964420048;-0,3144653827226028;-0,569996181640763;0,05952313325311542;0,19999914082334902;-0,38000100585912944;-0,074764916698283
2007;257060,0;41538,0;861997,0;61464,0;274475,0;51085,0;585215,0;2379089,0;966747,0;295603,0;341277,0;587877,0;1210209,0;20506,0;308900,0;543155,0;153766,0;1148367,0;-0,04494402894964644;0,1020375676536136;0,04918018819582981;-0,12403266492795761;0,019996729767293164;0,055562443177122;0,15789463270632131;0,17647038461576492;0,5402301231231996;0,06666594497849365;-0,3541667849417802;0,05194812166500262;0,22018277399463204;-0,3255936328356246;-0,24719128506324173;0,9444434500263124;0,559145018352903;-0,04484309408532616
2008;281254,0;33077,0;659966,0;46778,0;363276,0;46380,0;771420,0;2319612,0;735882,0;304841,0;407331,0;711259,0;1037322,0;29699,0;470266,0;356930,0;110287,0;1268780,0;0,09411810472263293;-0,20369300399634072;-0,23437552566888287;-0,2389366133020956;0,3235303761726933;-0,09210139962807085;0,31818220653947704;-0,024999905425984514;-0,23880601646552824;0,031251374309462454;0,1935495213565519;0,20987723622458443;-0,1428571428571429;0,44830781234760564;0,5223891226934283;-0,3428579318978928;-0,28276081838637934;0,10485585183133961
2009;384079,0;37692,0;646498,0;46778,0;301385,0;36969,0;718218,0;1903272,0;642093,0;284056,0;407331,0;362887,0;973627,0;22628,0;345784,0;305201,0;75292,0;1124278,0;0,3655948004295051;0,1395229313420201;-0,020407111881521223;0,0;-0,17036908576399212;-0,20291073738680465;-0,06896632184802054;-0,17948691419082152;-0,1274511402643359;-0,06818308560856312;0,0;-0,4897962626834951;-0,06140330582017928;-0,23808882453954683;-0,26470550709598395;-0,14492757683579416;-0,317308476973714;-0,11389050899289077
2010;326618,0;23077,0;754247,0;48410,0;252948,0;46380,0;691618,0;2339438,0;598806,0;297913,0;291737,0;116124,0;809839,0;16971,0;378057,0;237953,0;79534,0;1337478,0;-0,14960724226005584;-0,38774806324949596;0,1666656354698699;0,03488819530548559;-0,16071470046618108;0,25456463523492645;-0,03703610881375852;0,2291664039611785;-0,06741546785278762;0,04878263441011632;-0,2837839496625595;-0,6799995590913976;-0,16822458703384358;-0,25;0,0933328320570066;-0,2203400382043309;0,05634064708069908;0,18963281323658387
2011;272182,0;30000,0;767716,0;56569,0;166838,0;38986,0;751469,0;2101529,0;584377,0;334863,0;401826,0;72577,0;636952,0;17678,0;304290,0;305201,0;46660,0;1300262,0;-0,16666564610646073;0,299995666681111;0,0178575453399219;0,16853955794257391;-0,34042570014390305;-0,1594221647261751;0,08653765517959333;-0,10169493698914012;-0,024096284940364643;0,1240294985448771;0,3773570030541207;-0,3750043057421377;-0,2134831738160301;0,04165930116080374;-0,19512137058697498;0,28261043147176124;-0,41333266276058034;-0,027825504419511926
2012;314521,0;32308,0;848528,0;46234,0;252948,0;45036,0;824621,0;2379089,0;764740,0;277128,0;489898,0;195959,0;855336,0;21920,0;447214,0;165533,0;72111,0;1545485,0;0,15555400430594224;0,0769333333333333;0,10526288367052405;-0,18269723700259854;0,5161294189573118;0,15518391217360072;0,09734533294121239;0,13207526519976653;0,3086415105317286;-0,1724137931034483;0,2191794458297871;1,7000151563167396;0,3428578605609214;0,23995927141079298;0,469696670938907;-0,45762628562815977;0,5454564937848263;0,18859506776326618
2013;281254,0;26154,0;686904,0;54393,0;306767,0;38314,0;698268,0;2240309,0;678166,0;297913,0;407331,0;174186,0;818939,0;28284,0;378057,0;263818,0;64688,0;1339678,0;-0,10577036191542055;-0,19047913829392105;-0,19047574151943125;0,17647186053553665;0,21276705093537007;-0,149258371080913;-0,15322554240069075;-0,05833325277028312;-0,11320710306770931;0,07500144337634596;-0,16853916529563295;-0,11110997708704373;-0,042552868112648135;0,29032846715328464;-0,1546396132500324;0,5937486785112334;-0,10293852532900671;-0,13316661112854544
2014;229842,0;26923,0;875465,0;60920,0;274475,0;41003,0;791370,0;2240309,0;757525,0;318697,0;473385,0;152413,0;818939,0;23335,0;617801,0;274164,0;93320,0;1310107,0;-0,18279562246225833;0,029402768219010555;0,2745085193855328;0,11999705844502051;-0,10526555985487351;0,07018322284282497;0,1333327604873773;0,0;0,11702002164661751;0,0697653341747424;0,16216295838028527;-0,12499856475262072;0,0;-0,17497525102531464;0,6341477607873944;0,03921642950822157;0,44261686866188477;-0,022073214608286484
2015;208673,0;16154,0;808122,0;62008,0;317530,0;41003,0;711568,0;2299786,0;649308,0;286366,0;412835,0;312083,0;673350,0;14142,0;;336239,0;91199,0;1316129,0;-0,09210240077966603;-0,3999925714073469;-0,07692254973071455;0,017859487852921907;0,1568631022861826;0,0;-0,10084031489695089;0,026548569862461013;-0,1428560113527606;-0,10144745636137142;-0,1279085733599501;1,0476140486703889;-0,177777587830107;-0,3939575744589672;0,0;0,22641557607855156;-0,02272824689241315;0,004596571119763526
2016;220770,0;26923,0;781185,0;67992,0;344440,0;43019,0;804670,0;;721453,0;300222,0;396322,0;312083,0;809839,0;26163,0;;227608,0;58325,0;1234845,0;0,05797108394473649;0,6666460319425529;-0,03333283835856471;0,09650367694491035;0,08474789783642489;0,049167134112138244;0,13084062240010796;0,0;0,11111059774405985;0,04838563237255822;-0,03999903108990277;0,0;0,20270141828172572;0,8500212134068732;0,0;-0,3230767400569238;-0,3604644787771796;-0,06175990347450744
