year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Republic of Ireland;Romania;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Republic of Ireland_rendements;Romania_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1998;35298,0;179562,0;309429,0;;87659,0;434354,0;;1545616,0;7313567,0;251921,0;1837,0;2129780,0;3976,0;;84930,0;108242,0;;;;;;;117065,0;251398,0;0,7333529758397173;-0,08888776131520193;-0,028568827328123936;;0,4444444444444444;0,23287445715421073;;;;-0,11494248835362808;0,04851598173515992;0,03508775340399217;;;0,014380240307670267;0,8080109574397007;;;;;;;0,47435170841677055;-0,3398248447368075
1999;23079,0;186861,0;309429,0;;70802,0;410224,0;;1962932,0;6143397,0;307540,0;1809,0;2141813,0;4850,0;;99387,0;113031,0;;;;;;;117065,0;288402,0;-0,34616692163861973;0,040648912353393296;0,0;;-0,1923019883868171;-0,05555376490143982;;0,26999979296280574;-0,1599999015528264;0,22077953009078244;-0,015242242787152915;0,005649879330259511;0,21981891348088523;;0,17022253620628747;0,04424345448162459;;;;;;;0,0;0,14719289731819662
2000;19006,0;185401,0;354933,0;148864,0;30344,0;371614,0;502214,0;1932019,0;4753819,0;310811,0;1837,0;2141813,0;5446,0;;124685,0;158052,0;;;;;;;111975,0;316345,0;-0,17648078339616102;-0,007813294373892887;0,14705796806375604;;-0,5714245360300556;-0,09411931042552357;;-0,01574838048388838;-0,2261904936308039;0,010636014827339446;0,015478164731896005;0,0;0,12288659793814438;;0,25454033223661043;0,398306659235077;;;;;;;-0,043480117883227254;0,0968890645695939
2001;40728,0;191241,0;309429,0;93784,0;33715,0;390919,0;431904,0;2055669,0;4461276,0;323898,0;1937,0;1997421,0;4333,0;;91556,0;159010,0;;;;;;;71257,0;307528,0;1,1429022413974534;0,03149929072658719;-0,12820447802824764;-0,37000214961306965;0,11109280253097809;0,0519490654281054;-0,14000007964732164;0,06400040579311073;-0,06153852302748586;0,04210597437027652;0,05443658138268925;-0,06741578279709759;-0,20437017994858608;;-0,2657015679512371;0,006061296282236173;;;;;;;-0,36363473989729855;-0,027871469440010066
2002;20364,0;169343,0;209319,0;136955,0;57316,0;415050,0;366617,0;2225686,0;4973226,0;336985,0;2008,0;2045551,0;5407,0;;66860,0;182478,0;;;;;;;78383,0;227717,0;-0,5;-0,11450473486334001;-0,3235314078512357;0,46032372259660503;0,7000148301942755;0,06172890036043266;-0,1511609061272875;0,08270640847334865;0,11475416450360831;0,0404046953053121;0,036654620547238004;0,024096071884695425;0,24786522040156944;;-0,26973655467691904;0,1475882019998742;;;;;;;0,10000421011269078;-0,2595243359954216
2003;16291,0;188321,0;218420,0;110160,0;33715,0;424702,0;497192,0;2055669,0;4753819,0;327170,0;1994,0;2226041,0;5844,0;;116855,0;180084,0;;;;;;;79401,0;211914,0;-0,2000098212531919;0,11206840554377795;0,04347909172124842;-0,19564820561498297;-0,4117698373927001;0,023255029514516412;0,3561618801092148;-0,0763885831154979;-0,04411764114480221;-0,029125925486297555;-0,006972111553784854;0,08823539476649578;0,08082115775846122;;0,7477565061322167;-0,013119389734652986;;;;;;;0,012987510046821304;-0,06939754168551315
2004;23079,0;163504,0;227521,0;119091,0;33715,0;400571,0;462037,0;2009300,0;5119497,0;333713,0;2037,0;2117747,0;8309,0;;60234,0;163799,0;;;;;;;82455,0;245373,0;0,41667178196550236;-0,13178031127702172;0,04166742972255277;0,08107298474945535;0,0;-0,05681866343930564;-0,07070709102318617;-0,022556647008832642;0,0769229960164659;0,019998777394015343;0,021564694082246705;-0,04864869964210006;0,42180013689253926;;-0,48454067006118695;-0,09043002154550095;;;;;;;0,03846299164997924;0,15788952122087263
2005;1358,0;192701,0;254824,0;145887,0;20229,0;410224,0;542392,0;2009300,0;5046361,0;336985,0;2108,0;2310270,0;6838,0;325300,0;110831,0;172420,0;;7746,0;;;;;58024,0;212917,0;-0,9411586290567182;0,17857055484881101;0,12000210969536873;0,22500440839358138;-0,4;0,02409809996230372;0,17391464319957062;0,0;-0,014285778466126664;0,00980483229601492;0,03485517918507619;0,09090934847269283;-0,17703694788783242;;0,8400073048444401;0,05263157894736836;;;;;;;-0,2962949487599297;-0,13227209187644928
2006;8146,0;197080,0;273025,0;116114,0;33715,0;357136,0;512259,0;2163862,0;4534412,0;366430,0;2136,0;2394498,0;7196,0;429396,0;93965,0;141768,0;;3873,0;;;;23565,0;103832,0;224548,0;4,998527245949926;0,02272432421212134;0,07142576837346559;-0,2040826118845408;0,6666666666666667;-0,12941222356566173;-0,05555576040944554;0,07692330662419744;-0,10144914325392096;0,08737777645889278;0,013282732447817747;0,03645807632874076;0,05235448961684708;0,32000000000000006;-0,15217763983001142;-0,17777520009279668;;-0,5;;;;;0,7894664276850958;0,05462692034924399
2007;10861,0;198540,0;273025,0;72943,0;6743,0;429528,0;512259,0;2442073,0;4315005,0;343528,0;1980,0;2538890,0;6003,0;377348,0;47585,0;181999,0;;5112,0;;1552648,0;;12490,0;147604,0;213926,0;0,33329241345445615;0,007408159123198699;0,0;-0,37179840501576034;-0,8;0,20270149186864383;0,0;0,12857150779485949;-0,04838708966013672;-0,06250034112927438;-0,0730337078651685;0,06030157469331776;-0,1657865480822679;-0,12121212121212122;-0,4935880380992923;0,2837805428587552;;0,31990704879938026;;;;-0,46997666030129426;0,42156560597888904;-0,047303917202558
2008;12218,0;188321,0;273025,0;145887,0;40458,0;439181,0;537369,0;2333880,0;4826954,0;405691,0;1965,0;2562955,0;6560,0;442408,0;120469,0;142726,0;;4570,0;978,0;357109,0;;7305,0;100778,0;202295,0;0,12494245465426745;-0,05147073637554145;0,0;1,0000137093346861;5,0;0,022473505801717142;0,04901817244792195;-0,04430375340950088;0,11864389496651806;0,18095468200554254;-0,007575757575757569;0,00947855165052447;0,09278693986340159;0,17241379310344818;1,531659136282442;-0,21578689992802158;;-0,1060250391236307;;-0,7700000257624394;;-0,4151321056845476;-0,31724072518359936;-0,054369267877677374
2009;8146,0;173723,0;273025,0;129512,0;23600,0;458485,0;436927,0;2071125,0;3583648,0;382789,0;1994,0;2683282,0;9064,0;351324,0;75293,0;165715,0;;7436,0;1095,0;465794,0;5664,0;7777,0;122155,0;207846,0;-0,333278769029301;-0,07751658073183554;0,0;-0,11224440834344385;-0,41667902516189625;0,0439545426600878;-0,1869143921588331;-0,11258290914699987;-0,25757568851909507;-0,05645183156638922;0,014758269720101858;0,04694854181989139;0,3817073170731706;-0,20588235294117652;-0,37500103761133574;0,1610708630522819;;0,6271334792122538;0,11963190184049077;0,3043468520815773;;0,0646132785763176;0,21211970866657404;0,027440124570552893
2010;12218,0;200000,0;300328,0;171194,0;114631,0;429528,0;457015,0;2457529,0;3437377,0;366430,0;2321,0;2707347,0;7275,0;286264,0;60837,0;187268,0;;6662,0;1349,0;1040274,0;5103,0;24744,0;188322,0;203193,0;0,49987724036336845;0,1512580372201724;0,10000183133412688;0,32183890295879913;3,857245762711864;-0,06315800953139139;0,04597564352855277;0,1865672038143522;-0,04081622971899024;-0,04273633777355146;0,16399197592778325;0,008968494552566542;-0,19737422771403357;-0,18518518518518523;-0,19199659994953056;0,13006064629031777;;-0,10408821947283486;0,2319634703196347;1,2333349077059816;-0,09904661016949157;2,181689597531182;0,5416642789898081;-0,022386767125660345
2011;5430,0;200000,0;373135,0;141421,0;80916,0;482616,0;612702,0;2581178,0;3803055,0;389332,0;2464,0;3044262,0;8388,0;276505,0;46983,0;177689,0;81144,0;8830,0;1290,0;791851,0;5562,0;9662,0;156766,0;219846,0;-0,5555737436568997;0,0;0,2424249487227299;-0,17391380539037582;-0,2941176470588235;0,12359613343018383;0,3406605910090479;0,05031436048160565;0,10638286111764872;0,06250034112927438;0,06161137440758302;0,12444470546258013;0,15298969072164947;-0,03409090909090906;-0,2277232605158045;-0,051151291197641835;;0,32542779945962175;-0,04373610081541879;-0,23880535320502094;0,08994708994709;-0,6095215001616554;-0,16756406580218985;0,08195656346429248
2012;6788,0;223358,0;345832,0;189058,0;53944,0;472964,0;522303,0;2442073,0;4022462,0;454766,0;2592,0;3152556,0;7792,0;204939,0;63246,0;193494,0;109545,0;8133,0;2102,0;341583,0;4899,0;14610,0;197484,0;250241,0;0,25009208103130764;0,11678999999999995;-0,07317190829056508;0,33684530585980865;-0,33333333333333337;-0,019999336946972313;-0,14754154548214304;-0,05389206013688319;0,05769230263564418;0,1680673563950561;0,051948051948051965;0,03557315369045111;-0,07105388650453026;-0,2588235294117647;0,3461464785135049;0,08894754317937514;0,35000739426205274;-0,07893544733861835;0,6294573643410852;-0,5686271785979938;-0,11920172599784251;0,5121092941419996;0,25973744306801216;0,13825587001810358
2013;6788,0;211679,0;354933,0;166728,0;33715,0;458485,0;597635,0;2179318,0;4022462,0;399147,0;2478,0;2984098,0;7593,0;283011,0;111433,0;211694,0;96562,0;4415,0;1623,0;869483,0;2807,0;34641,0;159820,0;206843,0;0,0;-0,05228825473007459;0,026316246038538882;-0,11811190216758882;-0,375;-0,030613323635625522;0,1442304562677219;-0,10759506370202687;0,0;-0,12230245884696744;-0,04398148148148151;-0,05343537117183639;-0,02553901437371664;0,38095238095238093;0,7618979856433608;0,09405976412705308;-0,11851750422200924;-0,45714988319193406;-0,22787821122740248;1,5454516179083853;-0,4270259236578894;1,371047227926078;-0,19071924814162156;-0,17342481847499014
2014;10861,0;204380,0;291227,0;156307,0;47201,0;482616,0;557458,0;2148406,0;3803055,0;363158,0;2720,0;3056294,0;6917,0;175662,0;120469,0;262941,0;115225,0;3176,0;1408,0;1211066,0;6481,0;17674,0;127245,0;249712,0;0,6000294637595758;-0,034481455411259465;-0,1794873962128064;-0,06250299889640609;0,3999999999999999;0,05263203812556583;-0,06722665171885855;-0,014184253973031913;-0,05454545002538247;-0,09016477638564235;0,09765940274414842;0,02419357541206746;-0,0890293691558014;-0,3793103448275862;0,08108908492098399;0,24208055022815955;0,193274787183364;-0,280634201585504;-0,13247073321010472;0,39285759468557746;1,308870680441753;-0,4897953292341445;-0,2038230509322988;0,20725381086137795
2015;6788,0;207299,0;327630,0;197989,0;64058,0;463311,0;647857,0;2751196,0;3949326,0;372974,0;2663,0;3369143,0;7752,0;185421,0;104808,0;315625,0;77087,0;6662,0;1212,0;;5001,0;20502,0;202574,0;269269,0;-0,3750115090691465;0,0142822193952441;0,12499871234466586;0,2666675196888175;0,3571322641469461;-0,04000074593465608;0,16216288940153345;0,28057545920091465;0,0384614474415963;0,027029557382737046;-0,020955882352941213;0,10236220730073753;0,12071707387595776;0,05555555555555558;-0,13000024902672058;0,2003643402892663;-0,3309871989585593;1,0976070528967252;-0,13920454545454541;0,0;-0,2283598210152754;0,16000905284598854;0,5919996856458014;0,07831822259242638
2016;10861,0;230657,0;391336,0;144398,0;50572,0;468138,0;557458,0;2442073,0;;376245,0;2592,0;3104425,0;8428,0;198433,0;83726,0;262462,0;63293,0;3408,0;1320,0;;7042,0;;142514,0;291522,0;0,6000294637595758;0,11267782285491013;0,19444495314836852;-0,27067665375349137;-0,21052795903712263;0,01041848779761323;-0,13953542216878112;-0,11235949746946416;0,0;0,00877004831435979;-0,026661659782200475;-0,07857131620711855;0,08720330237358098;0,07017543859649122;-0,20114876726967412;-0,16843722772277225;-0,1789406774164256;-0,48844190933653553;0,08910891089108919;0,0;0,40811837632473513;0,0;-0,29648424773169313;0,08264226479839865
