year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Czech Republic;Denmark;Estonia;Finland;Germany East;Greece;Latvia;Lithuania;Luxembourg;Norway;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;Germany East_rendements;Greece_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Norway_rendements;Sweden_rendements
2002;35557,0;4037,0;13846,0;835565,0;54958,0;41338,0;618257,0;247684,0;195101,0;657910,0;546774,0;212617,0;;;12204,0;-0,5078139058455491;0,19792284866468846;0,1328751431844215;-0,07692265202525428;0,02633151564951075;-0,004623163977847344;0,14018648500116182;-0,07650203950753531;-0,08218862314886255;-0,012987441622522522;-0,333332520483808;-0,13223218075554255;;;-0,347589008874158
2003;43459,0;3926,0;12905,0;727251,0;62003,0;32726,0;288858,0;196389,0;163069,0;502090,0;523991,0;188318,0;;;26918,0;0,22223472171443026;-0,027495665097844957;-0,0679618662429583;-0,12962965179249963;0,12818879871902178;-0,2083313174319028;-0,5327865272855786;-0,20709856106975022;-0,16418162900241418;-0,23684090529099722;-0,04166803834856814;-0,11428531114633356;;;1,2056702720419534
2004;36686,0;4111,0;11196,0;765935,0;66231,0;42487,0;613189,0;296049,0;212572,0;605970,0;569556,0;208567,0;;;22812,0;-0,15584804068202218;0,04712175241976557;-0,13242929097249123;0,053192089113662355;0,0681902488589261;0,29826437694799246;1,1228042844581076;0,5074622305729954;0,30357088103808816;0,20689517815531078;0,08695760041680112;0,1075255684533607;;;-0,15253733561185823
2005;30477,0;2444,0;10854,0;649884,0;59890,0;35214,0;369941,0;268202,0;154333,0;502090,0;558165,0;143769,0;;;18807,0;-0,16924712424358068;-0,4054974458769156;-0,030546623794212246;-0,1515154680227434;-0,09574066524739167;-0,17118177324828776;-0,3966933522943171;-0,09406213160659216;-0,2739730538358768;-0,17142762843045034;-0,019999789309567473;-0,3106819391370639;;;-0,17556549184639658
2006;86353,0;3519,0;10000,0;796881,0;57776,0;36171,0;567580,0;294583,0;177629,0;510746,0;535383,0;212617,0;;;24361,0;1,8333825507759949;0,43985270049099845;-0,07868067072047169;0,2261895969126797;-0,035298046418433815;0,02717669108877141;0,5342446498225393;0,0983624283189537;0,1509463303376466;0,01723993706307625;-0,04081588777512024;0,4788793133429321;;;0,2953155739884086
2007;130940,0;2852,0;11709,0;549307,0;68345,0;41912,0;537174,0;197854,0;186365,0;545373,0;626511,0;198442,0;;;28355,0;0,5163341169386124;-0,1895424836601307;0,17090000000000005;-0,310678758810914;0,1829306286347272;0,15871831024854166;-0,05357130272384514;-0,3283590702790046;0,04918115848200455;0,06779690883531142;0,1702108583948314;-0,06666917508948011;;;0,16395057674151303
2008;139970,0;3481,0;12393,0;425519,0;80322,0;47271,0;592918,0;263806,0;192189,0;571343,0;785987,0;206542,0;;861,0;32303,0;0,06896288376355586;0,2205469845722301;0,058416602613374335;-0,22535303573411591;0,17524325115224237;0,12786314182095815;0,10377270679519124;0,33333670282127215;0,031250503045099576;0,04761878567512512;0,2545462090849162;0,04081797200189485;;;0,13923470287427264
2009;187944,0;3889,0;13418,0;611200,0;41570,0;50907,0;633460,0;237425,0;177629,0;580000,0;535383,0;220717,0;;1058,0;42849,0;0,3427448739015504;0,11720769893708693;0,08270798031146609;0,4363635936350667;-0,48245810612285556;0,07691819508789743;0,06837707743735222;-0,10000151626574072;-0,07575875830562628;0,015152019014847529;-0,31883987903107813;0,06863010913034628;;0,22880371660859455;0,3264712255827633
2010;214471,0;3259,0;10769,0;549307,0;84550,0;52821,0;643595,0;278462,0;192189,0;580000,0;410080,0;194393,0;;1058,0;43361,0;0,1411431064572426;-0,16199537156081256;-0,19742137427336415;-0,10126472513089002;1,0339186913639642;0,03759797277388177;0,015999431692608868;0,17284195008950198;0,08196859747000773;0,0;-0,2340436659363484;-0,11926584721611833;;0,0;0,011948936964689905
2011;171012,0;4000,0;17093,0;843302,0;54958,0;61816,0;694272,0;301911,0;186365,0;675224,0;432862,0;204517,0;796345,0;895,0;41829,0;-0,20263345627147722;0,22737035900583003;0,5872411551676107;0,5352107291550992;-0,34999408633944407;0,17029211866492489;0,07874051227868462;0,08420897644921022;-0,030303503322250513;0,1641793103448277;0,05555501365587201;0,05208006461138015;;-0,15406427221172025;-0,03533128848504419
2012;247770,0;3185,0;12649,0;564780,0;50730,0;40764,0;582783,0;231563,0;177629,0;484776,0;387298,0;208567,0;692820,0;1833,0;31927,0;0,44884569503894456;-0,20375;-0,2599894693734277;-0,3302755122127067;-0,07693147494450303;-0,34055907855571377;-0,1605840362278761;-0,23300906558555334;-0,046875754567649475;-0,28205158584410506;-0,10526218517679997;0,01980275478322091;-0,13000018836057237;1,04804469273743;-0,23672571660809483
2013;209955,0;3741,0;11538,0;657621,0;68345,0;48611,0;760152,0;247684,0;189277,0;467463,0;410080,0;194393,0;780418,0;2263,0;39551,0;-0,15262138273398718;0,17456828885400322;-0,08783303027907341;0,16438436205248053;0,34723043563966094;0,19249828279854775;0,3043482737142298;0,06961820325354218;0,06557487797600614;-0,035713401653547194;0,05882292188444049;-0,06795897721115995;0,1264368811523917;0,2345881069285325;0,2387947505246344
2014;190766,0;3519,0;5897,0;634410,0;57071,0;52438,0;567580,0;252081,0;177629,0;484776,0;375907,0;180218,0;708747,0;1282,0;40349,0;-0,09139577528518017;-0,05934242181234961;-0,4889062229155833;-0,035295405712408856;-0,1649572024288536;0,07872703709037054;-0,25333354381755224;0,017752458778120594;-0,06153943690992569;0,0370360862784862;-0,08333252048380801;-0,07291929236135042;-0,09183668239328158;-0,4334953601414052;0,020176480999216206
2015;104413,0;3889,0;5983,0;557043,0;54958,0;45740,0;481429,0;212510,0;174717,0;432836,0;318951,0;174143,0;469843,0;1093,0;40455,0;-0,45266452093140286;0,10514350667803352;0,014583686620315506;-0,12195110417553312;-0,03702405775262396;-0,12773179755139408;-0,15178653229500683;-0,15697732078181215;-0,01639371949400159;-0,10714226776903146;-0,1515161994855111;-0,03370917444428412;-0,33707938093565126;-0,14742589703588138;0,002627078738010935
2016;126425,0;3963,0;13589,0;340415,0;64822,0;54926,0;613189,0;231563,0;165981,0;476119,0;273387,0;147819,0;565405,0;1713,0;53536,0;0,2108166607606332;0,01902802777063517;1,2712685943506603;-0,3888891880878137;0,17948251391972048;0,20083078268473975;0,2736852163039618;0,0896569573196555;-0,05000085853122482;0,09999861379367703;-0,14285579916664315;-0,1511631245585524;0,20339134561970695;0,5672461116193961;0,3233469286861945
