year;Austria;Belgium-Brussels;Czech Republic;Denmark;Estonia;Germany East;Greece;Latvia;Lithuania;Portugal;Sweden;Austria_rendements;Belgium-Brussels_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Greece_rendements;Latvia_rendements;Lithuania_rendements;Portugal_rendements;Sweden_rendements
2007;876,0;4469,0;93647,0;2730,0;55711,0;273221,0;158678,0;305698,0;273799,0;161308,0;14195,0;0,7987679671457906;-0,12697792537605002;-0,2844054223404092;-0,032258064516129004;-0,1643767811609419;-0,15217478999941036;0,11111266718016943;-0,4428564138453912;0,14942591465334476;0,32000032732420647;-0,13624193744675672
2008;778,0;3088,0;148875,0;2730,0;122381,0;322261,0;156033,0;305698,0;342249,0;160085,0;14581,0;-0,11187214611872143;-0,30901767733273666;0,5897466015996242;0,0;1,1967116009405685;0,17948839950077033;-0,016668977425982168;0,0;0,2500009130785723;-0,007581769038113473;0,027192673476576168
2009;1070,0;3900,0;103252,0;2594,0;66670,0;266216,0;160000,0;160687,0;262847,0;103872,0;13675,0;0,3753213367609254;0,2629533678756477;-0,3064517212426532;-0,04981684981684986;-0,4552258929082129;-0,17391182923158555;0,02542410900258285;-0,4743603163906862;-0,2320006778690369;-0,35114470437580036;-0,06213565599067283
2010;1070,0;4062,0;78039,0;2412,0;85849,0;273221,0;162645,0;54869,0;208087,0;80654,0;11249,0;0,0;0,041538461538461524;-0,2441889745477085;-0,07016191210485734;0,28767061646917647;0,026313219340685867;0,01653125000000011;-0,6585349157056887;-0,20833412593638123;-0,22352510782501545;-0,17740402193784277
2011;584,0;2600,0;92446,0;2184,0;123294,0;217176,0;99174,0;62707,0;169755,0;72100,0;12022,0;-0,4542056074766355;-0,3599212210733629;0,1846128217942311;-0,09452736318407962;0,43617281505899896;-0,20512698511461414;-0,39024255279904085;0,14284933204541717;-0,184211411573044;-0,10605797604582534;0,06871721930838293
2012;1265,0;4144,0;105653,0;2184,0;96809,0;238193,0;128264,0;97980,0;257371,0;75766,0;12769,0;1,166095890410959;0,5938461538461539;0,14286177876814565;0,0;-0,21481175077457138;0,09677404501418208;0,29332284671385644;0,5625049834946656;0,5161320726929988;0,05084604715672669;0,062136083846281887
2013;584,0;3169,0;166884,0;2366,0;121468,0;231187,0;158678,0;172445,0;238205,0;91652,0;16594,0;-0,5383399209486166;-0,23527992277992282;0,5795481434507301;0,08333333333333326;0,254718053073578;-0,02941312297170784;0,23712031435164982;0,7600020412329047;-0,07446837444778165;0,20967188448644514;0,2995536063904769
2014;487,0;4144,0;159680,0;2548,0;104115,0;252204,0;150744,0;94061,0;254633,0;90430,0;14355,0;-0,16609589041095896;0,3076680340801514;-0,043167709307063595;0,07692307692307687;-0,14286067112325884;0,09090909090909083;-0,050000630207086005;-0,45454492736814633;0,06896580676308228;-0,013333042377689508;-0,13492828733277085
2015;195,0;4794,0;128464,0;2776,0;97722,0;301244,0;204959,0;113657,0;292965,0;112426,0;14875,0;-0,5995893223819302;0,15685328185328196;-0,1954909819639279;0,0894819466248038;-0,06140325601498342;0,19444576612583475;0,35964947195244923;0,20833289035838454;0,1505382256031229;0,2432378635408603;0,036224312086380994
2016;292,0;4144,0;109255,0;3094,0;105942,0;308250,0;182479,0;160687,0;254633,0;90430,0;9597,0;0,49743589743589745;-0,13558614935335833;-0,1495282725121435;0,11455331412103753;0,08411616626757534;0,02325689474313175;-0,10968047267990189;0,4137888559437606;-0,13084156810540504;-0,19564869336274526;-0,35482352941176476
