site;year;count;count_rendements;count_rendements_rendements
14;1980;;;
14;1981;;;
14;1982;;;
14;1983;;;
14;1984;;;
14;1985;;;
14;1986;;;
14;1987;;;
14;1988;;;
14;1989;;;
14;1990;;;
14;1991;;;
14;1992;;;
14;1993;;;
14;1994;;;
14;1995;;;
14;1996;;;
14;1997;;;
14;1998;756462,0;;
14;1999;771591,0;0,01999968273356756;
14;2000;779156,0;0,009804417106990648;-0,5097713679960097
14;2001;915319,0;0,17475704480232457;16,824317641251824
14;2002;816979,0;-0,10743795332556194;-1,6147846769043834
14;2003;869931,0;0,06481439547405743;-1,6032728050734062
14;2004;786721,0;-0,09565126429567405;-2,475771911410628
14;2005;771591,0;-0,019231722554755804;-0,7989391703667676
14;2006;816979,0;0,05882391059512093;-4,058691722888566
14;2007;771591,0;-0,05555589556157503;-1,9444441044384262
14;2008;809414,0;0,049019493488130284;-1,8823454827363881
14;2009;748897,0;-0,07476643596478438;-2,525238851823072
14;2010;771591,0;0,03030323262077439;-1,4053052981560799
14;2011;809414,0;0,049019493488130284;0,6176324850083801
14;2012;877496,0;0,08411270375852165;0,7159031596050442
14;2013;612734,0;-0,30172445230519573;-4,587144852356828
14;2014;779156,0;0,27160562332104954;-1,9001776993742594
14;2015;741333,0;-0,04854355225397733;-1,17872808250585
14;2016;794285,0;0,07142808967090364;-2,4714228018830515
27;1980;;0,0;-1,0
27;1981;;0,0;
27;1982;;0,0;
27;1983;;0,0;
27;1984;;0,0;
27;1985;;0,0;
27;1986;;0,0;
27;1987;;0,0;
27;1988;;0,0;
27;1989;;0,0;
27;1990;275206,0;-0,6535173143141315;-inf
27;1991;258693,0;-0,0600023255306934;-0,9081855610915741
27;1992;269571,0;0,042049842863935316;-1,7008035520627491
27;1993;280370,0;0,040059947101134696;-0,04732231150635957
27;1994;230859,0;-0,1765916467525056;-5,408184721429741
27;1995;213927,0;-0,07334346939040715;-0,5846719211288713
27;1996;222026,0;0,03785870881188447;-1,5161837737776303
