year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Hungary;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
2001;12215,0;769,0;38043,0;9556,0;4073,0;;3132,0;63398,0;;71089,0;6609,0;26765,0;13422,0;75916,0;;;;;8514,0;68976,0;0,2200359568517778;0,3122866894197953;0,0;-0,3110806719054142;-0,47995403472931564;;-0,010113780025284402;-0,06000444806879679;;-0,09302117887216121;0,045893337553410296;-0,017545791579488323;-0,1341762353244743;0,5792473632751556;;;;;0,05961418792781581;0,026184241847179157
2002;10513,0;418,0;43275,0;16183,0;14254,0;;3132,0;58677,0;2381,0;67443,0;7189,0;27004,0;11610,0;57157,0;;;;;5835,0;77627,0;-0,13933688088415885;-0,4564369310793238;0,13752858607365348;0,6934910004185852;2,499631721090106;;0,0;-0,07446607148490492;;-0,05128782230724871;0,08775911635648348;0,008929572202503344;-0,13500223513634335;-0,24710206017176883;;;;;-0,3146582100070472;0,12542043609371367
2003;11314,0;931,0;55720,0;10943,0;14020,0;;2906,0;49235,0;2905,0;68051,0;7247,0;31545,0;9664,0;61847,0;;;;;5740,0;73046,0;0,07619138209835441;1,227272727272727;0,287579433853264;-0,323796576654514;-0,016416444506805128;;-0,07215836526181352;-0,16091483886360924;0,22007559848803027;0,009015020091039938;0,008067881485603001;0,16816027255221444;-0,16761412575366064;0,08205469146386268;;;;;-0,016281062553556103;-0,05901297229056901
2004;11214,0;462,0;46669,0;14025,0;7206,0;;2712,0;66096,0;2333,0;68051,0;9392,0;32023,0;8456,0;48071,0;;;;;6792,0;84268,0;-0,008838607035531187;-0,5037593984962406;-0,1624371859296483;0,2816412318377044;-0,4860199714693295;;-0,06675843083275979;0,3424596323753428;-0,19690189328743546;0,0;0,2959845453291017;0,015152956094468317;-0,125;-0,2227432211748347;;;;;0,18327526132404182;0,15362921994359713
2005;10513,0;594,0;52609,0;16491,0;10338,0;272854,0;3035,0;66096,0;4310,0;60152,0;10088,0;30828,0;12952,0;103176,0;;3873,0;;;9662,0;70712,0;-0,06251114678080971;0,2857142857142858;0,12727935031819837;0,17582887700534755;0,4346378018318069;;0,11910029498525065;0,0;0,8474067723960566;-0,11607470867437653;0,07410562180579205;-0,037316928457671095;0,5316934720908231;1,1463252272679996;;;;;0,4225559481743226;-0,1608677077894337
2006;10613,0;740,0;57700,0;16491,0;13080,0;229198,0;2583,0;78236,0;3714,0;68658,0;9624,0;29155,0;14898,0;70347,0;;3950,0;;;7844,0;66160,0;0,009512032721392671;0,2457912457912459;0,09677051455074226;0,0;0,26523505513639;-0,15999765442324465;-0,14892915980230648;0,18367223432582902;-0,13828306264501156;0,14140843197233677;-0,04599524187153048;-0,05426884650317898;0,15024706609017913;-0,318184461502675;;0,019881229021430524;;;-0,18815980128337817;-0,06437379794094356
2007;14318,0;447,0;61943,0;26664,0;4386,0;240112,0;2970,0;76887,0;3452,0;71696,0;9914,0;28438,0;19999,0;79727,0;;3757,0;;7610,0;8131,0;71301,0;0,3491001601809103;-0,3959459459459459;0,07353552859618717;0,6168819356012369;-0,6646788990825688;0,04761821656384435;0,14982578397212554;-0,01724270156960994;-0,070543887991384;0,04424830318389694;0,030133000831255252;-0,02459269422054533;0,3423949523425964;0,13333901943224302;;-0,04886075949367086;;;0,03658847526772058;0,07770556227327696
2008;14117,0;572,0;59539,0;17262,0;8694,0;226469,0;2938,0;88353,0;6143,0;66835,0;9450,0;31545,0;15704,0;128677,0;;6003,0;17959,0;6735,0;8896,0;77811,0;-0,01403827350188569;0,2796420581655481;-0,038809873593464994;-0,3526102610261026;0,9822161422708617;-0,05681931765176251;-0,01077441077441077;0,14912794100433113;0,77954808806489;-0,06780015621513058;-0,04680250151301191;0,10925522188620862;-0,21476073803690188;0,6139701732161;;0,5978174075059888;;-0,11498028909329827;0,09408436846636326;0,09130306727815873
2009;13517,0;616,0;50771,0;17878,0;9555,0;286497,0;3003,0;82283,0;4476,0;54684,0;6899,0;23659,0;4832,0;97314,0;;3253,0;16522,0;4984,0;4209,0;77949,0;-0,04250194800595031;0,07692307692307687;-0,1472648180184417;0,035685320356853234;0,09903381642512077;0,2650605601649674;0,022123893805309658;-0,06870168528516296;-0,27136578219111185;-0,1818059400014962;-0,26994708994708994;-0,24999207481375807;-0,6923076923076923;-0,24373431149311842;;-0,45810428119273694;-0,08001559106854506;-0,2599851521900519;-0,5268660071942446;0,0017735281643982415
2010;15619,0;550,0;55862,0;14642,0;7284,0;155527,0;2421,0;73515,0;4072,0;45570,0;8812,0;28916,0;8858,0;87055,0;;4493,0;11314,0;7004,0;7844,0;74866,0;0,1555078789672264;-0,1071428571428571;0,10027377833802764;-0,18100458664280117;-0,23767660910518051;-0,4571426576892603;-0,1938061938061938;-0,10655907052489577;-0,09025915996425382;-0,16666666666666663;0,2772865632700392;0,2221987404370429;0,8331953642384107;-0,10542162484329076;;0,3811865969873962;-0,31521607553564945;0,4052969502407704;0,8636255642670467;-0,03955150162285592
2011;11815,0;330,0;55720,0;20344,0;4308,0;169170,0;2260,0;72840,0;3524,0;43747,0;9624,0;32501,0;9060,0;73278,0;20496,0;3408,0;16881,0;4916,0;4687,0;69205,0;-0,24354952301683852;-0,4;-0,002541978446886972;0,3894276738150526;-0,4085667215815486;0,08772110308820968;-0,06650144568360183;-0,009181799632728027;-0,1345776031434185;-0,040004388852315165;0,09214707217430784;0,12397980356895832;0,022804244750507907;-0,1582562747688243;;-0,2414867571778322;0,492045253668022;-0,29811536264991434;-0,402473227944926;-0,0756150989768386
2012;15319,0;469,0;56569,0;22194,0;8772,0;160984,0;2260,0;72166,0;3357,0;48000,0;9798,0;29394,0;14697,0;82365,0;14142,0;3641,0;16881,0;5455,0;3922,0;62955,0;0,29657215404147275;0,42121212121212115;0,015236898779612318;0,09093590247738881;1,0362116991643453;-0,048389194301590166;0,0;-0,009253157605711104;-0,04738933030646997;0,09721809495508271;0,018079800498753018;-0,09559705855204459;0,6221854304635761;0,12400720543682953;-0,3100117096018735;0,068368544600939;0,0;0,10964198535394631;-0,16321740985705147;-0,0903113936854274
2013;14418,0;740,0;51902,0;20344,0;15194,0;185541,0;2357,0;85655,0;3810,0;48000,0;9160,0;31067,0;9261,0;68296,0;18856,0;3137,0;12930,0;5657,0;5453,0;63820,0;-0,058815849598537806;0,5778251599147122;-0,08250101645777719;-0,0833558619446697;0,7321021431828545;0,15254310987427333;0,042920353982300874;0,18691627636283004;0,1349419124218052;0,0;-0,06511532965911415;0,05691637749200518;-0,36987140232700555;-0,17081284526194374;0,33333333333333326;-0,13842351002471853;-0,23405011551448374;0,037030247479376666;0,3903620601733808;0,013739972996584804
2014;14418,0;586,0;48649,0;27126,0;12453,0;163713,0;2260,0;74864,0;3572,0;45570,0;10088,0;24137,0;8187,0;86175,0;13527,0;2130,0;21910,0;5859,0;5166,0;64662,0;0,0;-0,2081081081081081;-0,06267581210743323;0,3333661030279198;-0,1804001579570883;-0,11764515659611618;-0,04115400933389901;-0,1259821376452046;-0,062467191601049854;-0,05062500000000003;0,10131004366812224;-0,2230662761129173;-0,11597019760285066;0,2617869274920932;-0,28261561306745864;-0,3210073318457125;0,6945088940448569;0,035707972423546064;-0,052631578947368474;0,013193356314634919
2015;16821,0;542,0;59115,0;38223,0;15038,0;240112,0;2518,0;87004,0;5905,0;43747,0;10610,0;28916,0;11006,0;104935,0;16601,0;4028,0;20114,0;6128,0;4974,0;72724,0;0,16666666666666674;-0,07508532423208192;0,21513289070690056;0,40909090909090917;0,20758050269011474;0,46666422336650104;0,11415929203539821;0,16216071810215849;0,6531354983202688;-0,040004388852315165;0,051744647105471886;0,19799477979864943;0,3443263710760962;0,21769654772265734;0,22724920529311743;0,8910798122065728;-0,08197170241898677;0,04591227171872325;-0,03716608594657378;0,12467910055364828
2016;18423,0;88,0;52892,0;22194,0;19972,0;302868,0;2195,0;71492,0;;52861,0;11131,0;32740,0;10402,0;99952,0;13117,0;3524,0;15445,0;4782,0;6600,0;66535,0;0,09523809523809534;-0,8376383763837638;-0,10526939017169923;-0,4193548387096774;0,3281021412421865;0,261361364696475;-0,12827640984908661;-0,1782906533032964;0,0;0,20833428577959623;0,04910461828463708;0,1322451238068889;-0,05487915682355082;-0,047486539286224816;-0,2098668754894284;-0,12512413108242304;-0,23212687680222732;-0,21964751958224538;0,32689987937273823;-0,0851025796160827
