year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Netherlands;Norway;Poland;Republic of Ireland;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Republic of Ireland_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
2002;25016,0;5016,0;141296,0;11992,0;21229,0;12070,0;7726,0;42085,0;60157,0;5690,0;6707,0;105000,0;23438,0;;;;;;;6557,0;133774,0;0,1699560377887943;-0,17077202843445194;-0,13636419202229744;0,05880275472364471;-0,0930103392292575;-0,11321725075306732;0,12084723632670835;-0,11362679022746425;0,10960066402287194;0,2732154844484225;-0,0724657723689669;-0,08695652173913049;-0,09680154142581887;;;;;;;0,2151593773165308;-0,25958355933891986
2003;14953,0;4574,0;143775,0;13325,0;19596,0;11814,0;7953,0;42624,0;46789,0;5440,0;5921,0;135000,0;18137,0;;;;;;;5874,0;114461,0;-0,4022625519667413;-0,0881180223285486;0,01754472879628577;0,11115743829219471;-0,07692307692307687;-0,021209610604805307;0,029381309862800853;0,01280741356777959;-0,22221852818458365;-0,04393673110720564;-0,11719099448337555;0,2857142857142858;-0,226171175014933;;;;;;;-0,10416348940064057;-0,14437035597350756
2004;14534,0;4131,0;143775,0;12881,0;21773,0;11557,0;6817,0;29675,0;56444,0;6689,0;7493,0;106000,0;20230,0;;;;4120,0;;;10177,0;126246,0;-0,02802113288303354;-0,09685177087888064;0,0;-0,033320825515947505;0,11109410083690552;-0,021753851362789955;-0,14283918018357855;-0,30379598348348347;0,20635192032315297;0,22959558823529402;0,2654956932950514;-0,2148148148148148;0,11539945966808185;;;;;;;0,7325502213142663;0,10296083382112675
2005;19845,0;4033,0;163606,0;19543,0;25856,0;14895,0;7271,0;33992,0;56444,0;7439,0;7650,0;126000,0;22880,0;16047,0;6978,0;;4779,0;;;10996,0;159301,0;0,3654190174762626;-0,023723069474703484;0,13793079464440972;0,5171958698858785;0,18752583474946038;0,2888292809552653;0,06659821035646174;0,14547598989048027;0,0;0,1121243833158918;0,02095288936340589;0,18867924528301883;0,1309935739001482;;;;0,15995145631067964;;;0,08047558219514594;0,26183007778464273
2006;17888,0;3492,0;153690,0;20209,0;26128,0;12584,0;11058,0;36689,0;47531,0;6884,0;9536,0;114000,0;20090,0;15084,0;16957,0;;4203,0;;6978,0;8811,0;147450,0;-0,09861426051902245;-0,1341433176295561;-0,060609024118919885;0,03407869825512977;0,010519801980197974;-0,15515273581738842;0,5208361985971668;0,0793421981642739;-0,15790872369073772;-0,07460680198951475;0,24653594771241827;-0,09523809523809523;-0,12194055944055948;-0,060011217049915855;1,4300659214674694;;-0,12052730696798497;;;-0,19870862131684253;-0,07439375772907897
2007;14674,0;3541,0;148732,0;9994,0;29666,0;12584,0;7726,0;36689,0;51987,0;6634,0;8279,0;105000,0;15207,0;15726,0;8444,0;;4203,0;27217,0;6699,0;8059,0;124253,0;-0,17967352415026838;0,014032073310423776;-0,032259743639794336;-0,5054678608540749;0,13541028781383946;0,0;-0,30132031108699586;0,0;0,09374934253434608;-0,03631609529343405;-0,13181627516778527;-0,07894736842105265;-0,24305624688899952;0,04256165473349238;-0,5020345579996461;;0,0;;-0,039982803095442776;-0,08534786062875954;-0,15732112580535773
2008;20124,0;4672,0;176000,0;11326,0;28033,0;14125,0;11664,0;50717,0;54958,0;7799,0;9693,0;136000,0;23438,0;18775,0;14724,0;4914,0;4038,0;28578,0;6629,0;10587,0;182970,0;0,3714052064876652;0,3194012990680599;0,1833364709679155;0,13327996798078856;-0,055046180813052015;0,1224570883661793;0,5097074812322029;0,38234893292267436;0,05714890261026806;0,17561049140789864;0,17079357410315255;0,2952380952380953;0,5412638916288552;0,19388274195599653;0,7437233538607295;;-0,039257673090649536;0,050005511261344004;-0,010449320794148398;0,3136865616081399;0,47256001867158126
2009;20404,0;5459,0;126423,0;17767,0;26945,0;10273,0;9392,0;44243,0;53473,0;6550,0;8331,0;92000,0;20509,0;18935,0;14934,0;4030,0;4409,0;31299,0;3629,0;6147,0;114123,0;0,013913734843967296;0,16845034246575352;-0,2816875;0,5686915062687621;-0,03881140084899937;-0,27270796460176994;-0,19478737997256512;-0,12764950608277303;-0,027020633938644067;-0,16014873701756638;-0,1405137728257505;-0,32352941176470584;-0,12496800068265213;0,008521970705725801;0,014262428687856543;-0,17989417989417988;0,09187716691431391;0,09521310098677294;-0,4525569467491326;-0,41938226126381406;-0,37627479914740125
2010;15373,0;3000,0;109070,0;16434,0;25312,0;8732,0;8635,0;44782,0;46789,0;6995,0;9222,0;93000,0;16323,0;14442,0;5792,0;4619,0;4120,0;15786,0;6560,0;9699,0;114630,0;-0,246569300137228;-0,450448800146547;-0,1372614160398029;-0,07502673495806833;-0,06060493598070138;-0,15000486712742145;-0,08060051107325383;0,012182718170105966;-0,12499766237166421;0,06793893129770989;0,10694994598487573;0,010869565217391353;-0,20410551465210391;-0,23728545022445202;-0,6121601714209187;0,14615384615384608;-0,06554774325243817;-0,4956388383015432;0,8076605125378893;0,577842850170815;0,004442575116321956
2011;14394,0;3000,0;133859,0;24651,0;25312,0;8475,0;8635,0;45322,0;49017,0;8549,0;9693,0;91000,0;17579,0;16047,0;7048,0;4865,0;4656,0;24767,0;8025,0;10177,0;126954,0;-0,06368308072594808;0,0;0,22727606124507194;0,5;0,0;-0,02943197434722855;0,0;0,012058416327988875;0,04761802987881758;0,22215868477483913;0,05107351984385167;-0,021505376344086002;0,07694663971083737;0,11113419194017449;0,21685082872928185;0,05325828101320629;0,13009708737864067;0,5689218294691498;0,22332317073170738;0,04928343128157553;0,10751112274273744
2012;15792,0;3049,0;153690,0;13547,0;24495,0;10016,0;9998,0;30215,0;43818,0;12296,0;9798,0;105000,0;18974,0;12998,0;15492,0;4472,0;3873,0;24495,0;7746,0;10450,0;141439,0;0,09712380158399325;0,01633333333333331;0,14814842483508772;-0,45044825767717334;-0,032277180783817916;0,18182890855457234;0,1578459756803705;-0,3333259785534619;-0,10606524267091011;0,43829687682769913;0,010832559579077694;0,15384615384615374;0,07935604983218614;-0,1900043621860784;1,1980703745743475;-0,08078108941418294;-0,16817010309278346;-0,010982355553761036;-0,03476635514018689;0,026825194065048574;0,11409644438142941
2013;16072,0;2951,0;131380,0;17544,0;25312,0;7191,0;9695,0;25359,0;37134,0;11019,0;12418,0;70000,0;24555,0;14603,0;6978,0;6045,0;3832,0;19596,0;12422,0;6693,0;151600,0;0,01773049645390068;-0,03214168579862253;-0,14516233977487147;0,2950468738466081;0,03335374566238003;-0,2820487220447284;-0,03030606121224244;-0,16071487671686246;-0,15254005203341092;-0,10385491216655818;0,2674015105123495;-0,33333333333333337;0,29413934858227053;0,123480535466995;-0,5495739736638265;0,3517441860465116;-0,010586108959462992;-0,19999999999999996;0,6036664084688872;-0,35952153110047846;0,07184015724093062
2014;17888,0;2705,0;116507,0;18433,0;23951,0;7961,0;9013,0;23201,0;41590,0;10686,0;10479,0;72000,0;17579,0;14121,0;12212,0;4619,0;4532,0;28033,0;10607,0;8879,0;138837,0;0,11299153807864615;-0,0833615723483565;-0,11320596742274314;0,050672594619243005;-0,05376896333754744;0,10707829230983168;-0,07034553893759665;-0,08509799282306085;0,11999784564011429;-0,030220528178600548;-0,1561443066516347;0,02857142857142847;-0,28409692526980246;-0,03300691638704378;0,7500716537689882;-0,23589743589743595;0,18267223382045938;0,43054705041845276;-0,14611173724037996;0,32660989093082327;-0,08418865435356204
2015;19845,0;4475,0;138817,0;24651,0;23678,0;8989,0;9619,0;32373,0;40105,0;11547,0;10741,0;101000,0;20927,0;15726,0;14375,0;4570,0;;29122,0;6699,0;11338,0;162607,0;0,10940295169946324;0,6543438077634012;0,19149064004737903;0,3373297889654425;-0,011398271470919763;0,12912950634342413;0,06723621435703975;0,39532778759536225;-0,03570569848521277;0,08057271195957338;0,025002385723828624;0,4027777777777777;0,19045451959724669;0,11366050562991292;0,17712086472322297;-0,010608356787183415;0,0;0,038847073092426854;-0,36843593853115864;0,2769456019822052;0,17120796329508714
2016;21382,0;3639,0;161127,0;23319,0;26128,0;11300,0;10301,0;29675,0;;11796,0;12261,0;78000,0;20927,0;14121,0;14794,0;4128,0;;33204,0;;11475,0;187423,0;0,07745023935500117;-0,18681564245810056;0,16071518618036706;-0,054034319094560024;0,10347157699129994;0,2570920013349649;0,07090134109574797;-0,08334105581812001;0,0;0,02156404260846978;0,14151382552834924;-0,2277227722772277;0,0;-0,10206028233498665;0,02914782608695643;-0,09671772428884029;0,0;0,1401689444406291;0,0;0,012083259834186011;0,15261335612857985
