year;Austria;Belgium-Wallonia;Bulgaria;Czech Republic;Denmark;Estonia;Finland;Germany East;Germany West;Greece;Latvia;Luxembourg;Netherlands;Spain;Sweden;Austria_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Latvia_rendements;Luxembourg_rendements;Netherlands_rendements;Spain_rendements;Sweden_rendements
2004;52397,0;52863,0;13507,0;165028,0;8740,0;333681,0;29095,0;14072,0;564,0;29580,0;231690,0;;;4791,0;89635,0;0,2264067034921824;0,32144285571442865;-0,42000171762281;0,14213342007460672;0,46718146718146714;0,4487146646753122;0,6908816179461847;0,11118130132659498;0,38235294117647056;0,14584543869843114;-0,10000233069446929;;;-0,3815670582160836;0,22927438045997506
2005;40709,0;65721,0;12576,0;135689,0;8218,0;313011,0;17207,0;14072,0;541,0;25546,0;180204,0;;2343,0;12388,0;106265,0;-0,22306620608050076;0,24323250666817997;-0,06892722292144815;-0,17778195215357395;-0,059725400457665945;-0,061945390957231616;-0,4085925416738271;0,0;-0,04078014184397161;-0,13637592968221768;-0,22221934481419137;;;1,585681486119808;0,1855302058347743
2006;52397,0;55720,0;10713,0;139357,0;9088,0;292340,0;28156,0;13067,0;389,0;28235,0;193075,0;;4732,0;10367,0;92891,0;0,2871109582647571;-0,1521735822644208;-0,14813931297709926;0,02703240498492887;0,10586517400827455;-0,06603921267942658;0,6363108037426628;-0,07141841955656625;-0,2809611829944547;0,10526109762780855;0,07142460766686654;;1,019632949210414;-0,1631417500807233;-0,12585517338728647
2007;38290,0;48577,0;4658,0;234339,0;9349,0;256905,0;33162,0;10654,0;490,0;43025,0;231690,0;;2061,0;12875,0;119117,0;-0,2692329713533218;-0,12819454414931797;-0,56520115747223;0,6815732256004363;0,028719190140845008;-0,1212116029280974;0,17779514135530605;-0,184663656539374;0,2596401028277635;0,5238179564370462;0,19999999999999996;;-0,5644547759932375;0,2419214816243851;0,2823309039627089
2008;41112,0;40004,0;3726,0;180430,0;8479,0;301199,0;24715,0;12664,0;439,0;26084,0;218819,0;;1851,0;9132,0;85448,0;0,07370070514494653;-0,17648269757292545;-0,20008587376556464;-0,23004706856306467;-0,09305808107819014;0,17241392732722205;-0,2547192569808817;0,18866153557349352;-0,10408163265306125;-0,3937478210342824;-0,05555267814752474;;-0,10189228529839889;-0,2907184466019418;-0,2826548687424969
2009;33454,0;47148,0;9781,0;176029,0;9262,0;262811,0;33162,0;11860,0;490,0;32000,0;51487,0;;1523,0;7448,0;95247,0;-0,18627164818057984;0,17858214178582132;1,625067096081589;-0,024391730865155448;0,09234579549475175;-0,12745062234602378;0,3417762492413514;-0,06348704990524323;0,11617312072892938;0,2268057046465266;-0,7647050758846352;;-0,17720151269584006;-0,18440648269820414;0,11467793277782978
2010;33051,0;42862,0;12110,0;176029,0;9523,0;248046,0;30659,0;13469,0;568,0;37109,0;115845,0;;1406,0;4117,0;83122,0;-0,012046392060740096;-0,09090523458047006;0,23811471219711677;0,0;0,02817965882098905;-0,056181057870484885;-0,07547795669742474;0,13566610455311978;0,15918367346938767;0,15965625000000006;1,2499854332161515;;-0,07682206172028894;-0,44723415682062295;-0,12730059739414368
2011;31841,0;52863,0;11644,0;195466,0;14132,0;283481,0;57251,0;15881,0;583,0;60773,0;257434,0;83744,0;1687,0;9469,0;99143,0;-0,03661008744062211;0,23333022257477487;-0,03848059454995867;0,11041930590982174;0,48398613882179986;0,14285656692710225;0,8673472716005088;0,1790778825451036;0,02640845070422526;0,6376889703306476;1,2222279770382838;;0,19985775248933146;1,2999757104687881;0,192740790645076
2012;29020,0;31432,0;12110,0;227738,0;12349,0;256905,0;21586,0;8443,0;490,0;20437,0;167332,0;97980,0;1265,0;6325,0;81582,0;-0,0885964636789045;-0,40540642793636383;0,04002061147372027;0,1651028823427092;-0,12616756297763942;-0,09374878739668624;-0,6229585509423416;-0,4683584157168944;-0,1595197255574614;-0,6637157948431047;-0,3500003884490782;0,16999426824608332;-0,25014819205690575;-0,3320308374696378;-0,17712798684728115
2013;27408,0;32861,0;7452,0;193266,0;11480,0;197846,0;19084,0;8845,0;424,0;20437,0;193075,0;74532,0;1546,0;5838,0;96032,0;-0,05554789800137838;0,04546322219394239;-0,38464079273327834;-0,15136692163802268;-0,0703700704510487;-0,2298865339327767;-0,11590845918650983;0,04761340755655574;-0,13469387755102036;0,0;0,1538438553295245;-0,23931414574402943;0,2221343873517787;-0,07699604743083;0,17712240445196237
2014;23780,0;27146,0;7452,0;165394,0;11306,0;227376,0;22838,0;11659,0;482,0;21782,0;193075,0;63645,0;937,0;5427,0;78326,0;-0,13237011091652073;-0,17391436657435866;0,0;-0,14421574410398108;-0,015156794425087106;0,1492575033106558;0,19670928526514353;0,3181458451102317;0,1367924528301887;0,06581200763321426;0,0;-0,14607148607309617;-0,3939197930142303;-0,07040082219938337;-0,1843760413195601
2015;24183,0;25717,0;8384,0;199867,0;10045,0;304152,0;19397,0;12463,0;346,0;27697,0;154460,0;79556,0;1007,0;3930,0;71465,0;0,016947014297729268;-0,052641273115744514;0,12506709608158872;0,2084295681826427;-0,1115336989209269;0,33766096685666036;-0,15066993607145984;0,06895960202418738;-0,2821576763485477;0,2715544945367734;-0,19999999999999996;0,2499960719616623;0,07470651013874074;-0,27584300718629073;-0,08759543446620532
2016;24586,0;32861,0;5123,0;94616,0;12480,0;271670,0;22525,0;13670,0;572,0;23664,0;128717,0;66157,0;1101,0;3293,0;77483,0;0,016664599098540345;0,2777928996383716;-0,38895515267175573;-0,5266051924529812;0,24240915878546532;-0,10679528656724269;0,16126205083260303;0,09684666613174997;0,653179190751445;-0,14561143806188392;-0,16666450861064352;-0,16842224345115386;0,09334657398212509;-0,16208651399491092;0,08420905338277485
