year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1998;388365,0;64711,0;787056,0;;;;99567,0;;1884711,0;649397,0;;303830,0;86067,0;;68313,0;410778,0;;;;;386862,0;;;;123259,0;1625944,0;-0,1732288493348405;-0,010867903763260078;-0,2758614978939834;;;;-0,1280050445337747;;;-0,1827958477682824;;-0,05617942624605876;;;0,017016525234479607;-0,013698038095192322;;;;;0,7968759434641448;;;;-0,17854715094968343;-0,07299846862738613
1999;451243,0;76089,0;580922,0;68714,0;;;105048,0;;2016640,0;640852,0;114992,0;307447,0;89509,0;;62311,0;336610,0;;;;;333038,0;;;;118768,0;1467500,0;0,16190439406228685;0,17582791179243107;-0,2619051249212254;;;;0,055048359396185464;;0,06999959144929901;-0,013158360756209242;;0,011904683540137517;0,03999209917854696;;-0,08786029013511343;-0,18055494695431595;;;;;-0,13912971550578757;;;;-0,03643547327172869;-0,09744739056203655
2000;514121,0;60444,0;702728,0;67339,0;823814,0;;100481,0;633806,0;1884711,0;589584,0;111542,0;318298,0;109305,0;;70028,0;502062,0;;;;;161473,0;;;;141631,0;1955612,0;0,1393439898236648;-0,20561447778259667;0,20967703065127496;-0,020010478214046667;;;-0,04347536364328686;;-0,06542020390352266;-0,07999975033237006;-0,030002087101711372;0,035293888052249756;0,22116211777586603;;0,12384651185183992;0,4915243159739757;;;;;-0,5151514241618074;;;;0,1925013471642194;0,3326146507666099
2001;521519,0;70400,0;871383,0;59094,0;807337,0;;100481,0;925356,0;2167417,0;649397,0;121891,0;347234,0;98977,0;;62883,0;427894,0;;;;;228753,0;;;;141395,0;1377249,0;0,014389608671888432;0,1647144464297532;0,24000039844719434;-0,12244019067702228;-0,020000873983690548;;0,0;0,45999880089491096;0,14999965511953817;0,10144949659420877;0,09278119452762179;0,09090851968909641;-0,09448790082795844;;-0,10203061632489863;-0,14772677478080398;;;;;0,41666408625590656;;;;-0,0016663018689411224;-0,2957452705342368
2002;510423,0;65422,0;974450,0;85892,0;807337,0;;102308,0;659158,0;2016640,0;598129,0;109242,0;350851,0;100698,0;;56594,0;273852,0;;;;;346494,0;;;;104508,0;1484791,0;-0,02127631016319631;-0,07071022727272724;0,11827979200879524;0,45348089484550047;0,0;;0,018182541973109423;-0,2876709071967978;-0,0695652936190867;-0,07894708475709;-0,10377304312869695;0,0104166066687017;0,017387877991856593;;-0,100011131784425;-0,3600003739243831;;;;;0,514708003829458;;;;-0,2608790975635631;0,07808464555065942
2003;473436,0;84622,0;1058777,0;96886,0;790861,0;;105048,0;1045780,0;1809322,0;709210,0;121891,0;336383,0;111887,0;;54022,0;376546,0;;;;;322946,0;;;;139431,0;1636488,0;-0,07246342739257439;0,293479257742044;0,08653804710349422;0,12799795091510258;-0,020407834646498313;;0,026781874340227496;0,5865391909071878;-0,10280367343700414;0,18571411852627118;0,11578879917980256;-0,04123687833296752;0,11111442133905336;;-0,045446513764710095;0,3749981741962811;;;;;-0,06796077276951407;;;;0,334165805488575;0,10216724104604613
2004;613987,0;82489,0;1218062,0;75585,0;741432,0;;100481,0;1014089,0;2468971,0;683576,0;128791,0;361702,0;71435,0;;55737,0;399368,0;;;;349386,0;306126,0;;;;142128,0;1519668,0;0,29687433993190204;-0,0252062111507646;0,15044244444297528;-0,21985632599137128;-0,06250023708338126;;-0,04347536364328686;-0,03030369676222533;0,3645835290788484;-0,0361444424077495;0,05660795300719501;0,07526836968574502;-0,36154334283696943;;0,031746325571063716;0,060608796800390996;;;;;-0,05208301078198829;;;;0,019342900789637962;-0,0713845747723173
2005;954269,0;76800,0;1180584,0;94825,0;724956,0;339684,0;100481,0;1964798,0;2468971,0;632308,0;143740,0;354468,0;177297,0;358029,0;55451,0;445010,0;;42426,0;;454202,0;218661,0;;;;93155,0;1821164,0;0,5542169459613966;-0,06896677132708606;-0,030768548727404643;0,2545478600251372;-0,02222186255786096;;0,0;0,9375005546850423;0,0;-0,07499970742097439;0,11607177520168332;-0,019999889411725702;1,4819346258836705;;-0,005131241365699646;0,11428557120249994;;;;0,3000005724327821;-0,28571568569804595;;;;-0,3445696836654284;0,1983959654345555
2006;484532,0;80356,0;1536633,0;91389,0;840290,0;295525,0;96827,0;792257,0;2657442,0;581039,0;139140,0;372553,0;82624,0;372350,0;45733,0;268147,0;;22486,0;;373843,0;232117,0;;;;103355,0;1511993,0;-0,4922479929663439;0,04630208333333341;0,3015871805818138;-0,03623517005009225;0,1590910344903691;-0,1300002355130062;-0,036365083946218735;-0,5967743248924318;0,07633585003631072;-0,08108232064120646;-0,03200222624182547;0,051020120292946114;-0,5339797063684101;0,03999955310882641;-0,17525382770373843;-0,3974360126738725;;-0,46999481450054215;;-0,17692348338404496;0,06153818010527723;;;;0,10949492780849113;-0,16976560046212208
2007;554807,0;84622,0;1161844,0;72836,0;889719,0;339684,0;94087,0;938033,0;2355888,0;632308,0;131091,0;354468,0;77460,0;315066,0;58881,0;319494,0;;31395,0;;440226,0;178293,0;857397,0;;707107,0;112626,0;1399011,0;0,14503686031056762;0,0530887550400716;-0,24390274060234296;-0,2030113033297224;0,05882373942329444;0,14942559851112436;-0,028297892116868284;0,18400089869827596;-0,11347528939483909;0,08823676207621167;-0,057848210435532565;-0,04854342872020889;-0,0625;-0,15384450114139925;0,28749480681346085;0,1914882508474829;;0,396202081295028;;0,1775691934849657;-0,23188305897456885;;;;0,08970054665957128;-0,07472389091748444
2008;565903,0;76800,0;1264911,0;72149,0;856766,0;394033,0;98654,0;906342,0;2261653,0;615218,0;137990,0;368936,0;91231,0;286423,0;62025,0;308084,0;;33517,0;55045,0;506610,0;218661,0;925989,0;;791960,0;121190,0;1530549,0;0,019999747659997125;-0,09243459147739364;0,08870984400659632;-0,00943214893733868;-0,03703753657053521;0,1599987046784659;0,04854018089640433;-0,03378452570431956;-0,039999779276434166;-0,027027967382984297;0,05262756405855473;0,04081609623435689;0,17778208107410287;-0,09091111068791935;0,05339583227187039;-0,03571272073966958;;0,06759038063385892;;0,15079527333687692;0,22641382443505909;0,08000027991700454;;0,12000022627410001;0,07603928045034003;0,09402213420766525
2009;503025,0;76089,0;1264911,0;78333,0;873242,0;339684,0;100481,0;995075,0;2318194,0;615218,0;112692,0;340000,0;72296,0;290004,0;47734,0;268147,0;;17819,0;45137,0;419263,0;148017,0;857397,0;5905,0;926310,0;96337,0;1370839,0;-0,11111091476807866;-0,009257812500000018;0,0;0,08571151367309326;0,019230454990043944;-0,1379300718467743;0,018519269365661728;0,09790233708688323;0,024999856299794843;0,0;-0,18333212551634182;-0,07843094737298606;-0,20755006521905928;0,012502487579558963;-0,23040709391374448;-0,1296302307162982;;-0,46835934003639945;-0,17999818330456896;-0,17241467795740317;-0,32307544555270484;-0,07407431405772635;;0,16964240618213045;-0,20507467612839347;-0,10434817833339538
2010;540012,0;73956,0;1171214,0;85892,0;848528,0;312509,0;105048,0;893666,0;2582054,0;581039,0;123041,0;387021,0;67132,0;250620,0;56309,0;216800,0;;17395,0;42385,0;447214,0;181657,0;831675,0;7873,0;905097,0;122919,0;1453414,0;0,07352914865066351;-0,028032961400465295;-0,07407398623302353;0,09649828297141694;-0,02830143305063204;-0,08000082429552169;0,04545137886764672;-0,10191091123784635;0,11382136266421194;-0,05555591676446403;0,09183438043516845;0,1382970588235295;-0,0714285714285714;-0,13580502337898792;0,1796413457912598;-0,1914882508474829;;-0,023794825747797343;-0,06096993597270528;0,06666698468503074;0,22727119182256095;-0,03000010496887673;0,33327688399661315;-0,022900540855653073;0,27592721384307173;0,06023683306354721
2011;514121,0;64000,0;1358608,0;83143,0;848528,0;434795,0;110529,0;1058456,0;2035487,0;512682,0;137990,0;376170,0;113608,0;311485,0;55451,0;251031,0;170934,0;19516,0;39632,0;394806,0;181657,0;677344,0;8188,0;678823,0;117249,0;1505582,0;-0,047945230846721976;-0,13462058521282927;0,15999979508441675;-0,0320053089926885;0,0;0,3913039304468031;0,052176148046607196;0,18439775038996675;-0,21167915155918504;-0,11764614767683412;0,12149608667029699;-0,028037238289395194;0,6923076923076923;0,24285771287207725;-0,015237351045126024;0,15789206642066422;;0,12193158953722327;-0,06495222366403208;-0,11718774456971381;0,0;-0,18556647728980669;0,040010161310809034;-0,24999972378651125;-0,04612793791033121;0,03589342059454492
2012;480833,0;65422,0;1264911,0;91389,0;840290,0;428001,0;92260,0;988737,0;2940149,0;538316,0;126491,0;379787,0;77460,0;282843,0;77460,0;228210,0;126491,0;28001,0;48990,0;447214,0;262394,0;694492,0;6928,0;1004092,0;113137,0;1568631,0;-0,06474740382127941;0,022218749999999954;-0,0689654410985362;0,09917852374824099;-0,009708577678049557;-0,01562575466599203;-0,1652869382695944;-0,06586858594027523;0,44444499031435725;0,04999980494731626;-0,08333212551634173;0,00961533349283572;-0,31818181818181823;-0,09195306355041177;0,3969089827054517;-0,09090909090909094;-0,2600009360337908;0,43477146956343504;0,23612232539362132;0,1327436766411858;0,4444475027111534;0,02531653044833937;-0,15388373229115782;0,4791661449302691;-0,03507066158346761;0,041876829026914475
2013;488230,0;70400,0;1620960,0;120936,0;873242,0;360065,0;103221,0;1362682,0;2280500,0;512682,0;123041,0;452128,0;98116,0;315066,0;93181,0;245326,0;177771,0;13576,0;51742,0;475165,0;174929,0;574456,0;4487,0;707107,0;95459,0;1574072,0;0,01538371950344497;0,07609061172082776;0,28148146391327145;0,32331024521550744;0,03921503290530648;-0,1587286011013993;0,11880554953392597;0,37820471975864156;-0,22435903758619036;-0,047618870700480764;-0,027274667762923865;0,19047782046252237;0,2666666666666666;0,11392539323935891;0,20295636457526456;0,07500109548223133;0,4054043370674594;-0,5151601728509696;0,056174729536640156;0,06250027950824433;-0,3333346036875843;-0,17284000391653176;-0,352338337182448;-0,2957746899686483;-0,15625303835173288;0,0034686296522254967
2014;491929,0;68267,0;1030668,0;99635,0;840290,0;363461,0;96827,0;969723,0;2223959,0;615218,0;101193,0;350851,0;69714,0;268522,0;88322,0;342315,0;105979,0;21213,0;37981,0;450708,0;228753,0;1020302,0;2834,0;876813,0;76983,0;1486689,0;0,007576347213403611;-0,030298295454545432;-0,3641619780870595;-0,1761344843553615;-0,03773524406750939;0,00943163040006656;-0,061944759302855035;-0,2883717551123446;-0,024793247094935356;0,19999921978926505;-0,17756682731772333;-0,22400072545827732;-0,2894736842105263;-0,14772777767197987;-0,052145823719427775;0,39534741527600015;-0,4038453966057456;0,5625368296994697;-0,2659541571643925;-0,05147054181179167;0,30769054873691615;0,7761186235325246;-0,36839759304657904;0,24000045254820002;-0,19354906294849095;-0,05551397903018418
2015;469737,0;76089,0;1189953,0;158041,0;939147,0;438192,0;101394,0;1330992,0;2205111,0;521227,0;116142,0;383404,0;87788,0;300744,0;92323,0;308084,0;136747,0;19516,0;47889,0;;164837,0;1080320,0;4802,0;1032376,0;106957,0;1544298,0;-0,045112201150979137;0,11457951865469407;0,154545401623025;0,5861996286445526;0,11764628878125416;0,20560940513562675;0,047166596094064595;0,372548655647025;-0,00847497638220851;-0,15277673930216606;0,14772760961726594;0,09278297624917697;0,2592592592592593;0,11999761658262642;0,04530015171757884;-0,09999853935702496;0,2903216675001652;-0,07999811436383353;0,26086727574313473;0,0;-0,27941054324970604;0,05882376002399292;0,6944248412138321;0,1774186742212991;0,38935868958081654;0,03874986631366739
2016;554807,0;58311,0;1236802,0;83143,0;988576,0;404223,0;99567,0;1115498,0;;452869,0;121891,0;350851,0;62829,0;447536,0;67456,0;222505,0;99142,0;21213,0;41284,0;;191749,0;1003155,0;4409,0;806102,0;92251,0;1591026,0;0,1811013396858241;-0,23364743918306197;0,03937046253087306;-0,47391499674135196;0,05263180311495441;-0,07752081279439149;-0,018018817681519583;-0,1619048048372943;0,0;-0,13114823291963007;0,04949975030566023;-0,08490521747295277;-0,28430992846402703;0,48809618812012867;-0,2693478331510024;-0,27777813842977894;-0,2749968920707584;0,08695429391268705;-0,13792311386748524;0,0;0,16326431565728572;-0,07142791024881512;-0,08184089962515617;-0,21917789642533336;-0,13749450713838274;0,030258408675009507
