year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Netherlands;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Spain_rendements;Sweden_rendements
2001;9198,0;1187,0;21290,0;5944,0;;94587,0;21746,0;90881,0;147216,0;19354,0;3588,0;542263,0;6107,0;308,0;5352,0;;83639,0;117590,0;-0,2954963235294118;0,16031280547409588;-0,017535763728657172;-0,5432961966961198;;-0,11450317362242324;-0,17000000000000004;0,11593953756799569;0,8939405634890003;-0,07143885237249914;-0,022076860179885527;0,020959047767876493;0,009588361712679738;0,0;-0,18177648677572233;;0,08750601360048882;0,2520496603420004
2002;9297,0;1137,0;38778,0;9286,0;;84802,0;17554,0;70817,0;179015,0;18858,0;5178,0;578838,0;5409,0;319,0;10194,0;;59362,0;97277,0;0,010763209393346296;-0,04212299915754003;0,8214185063410051;0,5622476446837146;;-0,10344973410722402;-0,19277108433734935;-0,22077221861555218;0,21600233670253233;-0,025627777203678814;0,44314381270903014;0,06744882095957139;-0,11429507122973637;0,03571428571428581;0,9047085201793721;;-0,29025932878202754;-0,17274428097627348
2003;12264,0;1097,0;52084,0;17406,0;;91325,0;15982,0;75538,0;111884,0;19354,0;3261,0;551804,0;7910,0;223,0;9430,0;;47836,0;95160,0;0,31913520490480796;-0,03518029903254183;0,34313270411057806;0,8744346327805299;;0,07692035565198929;-0,08955223880597019;0,06666478387957686;-0,37500209479652546;0,026301834765086518;-0,37022016222479726;-0,046703913702970445;0,4623775189498984;-0,30094043887147337;-0,07494604669413385;;-0,19416461709511135;-0,021762595474778212
2004;18100,0;1117,0;63109,0;28129,0;;103556,0;19912,0;75538,0;84796,0;21835,0;3017,0;594740,0;5409,0;1403,0;10789,0;;54748,0;101672,0;0,4758643183300717;0,01823154056517784;0,21167729053068118;0,6160519361139838;;0,13392827812756636;0,24590163934426235;0,0;-0,24210789746523187;0,12819055492404674;-0,07482367371971788;0,07781023696819878;-0,31618204804045513;5,291479820627803;0,1441145281018028;;0,14449368676310725;0,06843211433375362
2005;8308,0;1374,0;47142,0;16590,0;13605,0;97849,0;14934,0;80259,0;143683,0;18361,0;2365,0;499327,0;7328,0;1935,0;9600,0;8775,0;78785,0;111350,0;-0,5409944751381215;0,23008057296329465;-0,2530067026889984;-0,41021721355185037;;-0,05511027849665884;-0,25;0,062498345203738426;0,6944549271192038;-0,15910235859858024;-0,2161087172688101;-0,160428086222551;0,35477907191717506;0,3791874554526016;-0,11020483826119198;;0,4390480017534888;0,09518844913053748
2006;8110,0;1206,0;58928,0;16162,0;41361,0;93772,0;27248,0;87340,0;164882,0;19850,0;4321,0;492966,0;8259,0;404,0;10109,0;6844,0;49220,0;118392,0;-0,023832450649975967;-0,12227074235807855;0,25001060625344707;-0,025798673899939728;2,0401323042998896;-0,04166624084047865;0,8245614035087718;0,08822686552286974;0,14754007085041376;0,08109580088230484;0,8270613107822411;-0,012739146891716291;0,12704694323144095;-0,7912144702842377;0,053020833333333295;-0,22005698005698004;-0,3752617884114996;0,0632420296362819
2007;10484,0;982,0;60068,0;24243,0;24898,0;93772,0;19912,0;66095,0;191970,0;21835,0;4118,0;469113,0;6340,0;882,0;18095,0;5002,0;60572,0;115511,0;0,29272503082614065;-0,18573797678275294;0,019345642139560137;0,5;-0,39803196247672934;0,0;-0,2692307692307693;-0,2432447904740096;0,16428718720054336;0,10000000000000009;-0,046979865771812124;-0,048386704154039006;-0,2323525850587238;1,1831683168316833;0,7899891186071817;-0,26914085330216253;0,23063795205201143;-0,024334414487465317
2008;13155,0;977,0;40679,0;18066,0;23129,0;95402,0;46898,0;75538,0;131906,0;23324,0;4974,0;486606,0;6688,0;712,0;11723,0;11232,0;64520,0;114193,0;0,25476917207172844;-0,005091649694501044;-0,32278417793167746;-0,2547951986140329;-0,07104988352478114;0,017382587552787543;1,3552631578947367;0,14287011120357063;-0,31288222118039277;0,06819326768948941;0,20786789703739683;0,03728952299339383;0,054889589905362746;-0,19274376417233563;-0,35214147554573083;1,2455017992802877;0,06517863039027927;-0,01141016872851941
2009;10385,0;1514,0;55886,0;9752,0;49524,0;108449,0;34584,0;79079,0;332119,0;28783,0;4770,0;520000,0;6340,0;893,0;7646,0;16058,0;36296,0;126775,0;-0,21056632459141011;0,5496417604913;0,3738292485066004;-0,4602014834495738;1,1412080072636086;0,1367581392423638;-0,26256983240223464;0,0468770684953268;1,517846041878307;0,2340507631624078;-0,04101326899879376;0,06862636301237557;-0,05203349282296654;0,2542134831460674;-0,3477778725582189;0,42966524216524227;-0,4374457532548047;0,1101818850542502
2010;8110,0;1728,0;68052,0;16978,0;46259,0;103556,0;39300,0;67276,0;215524,0;23324,0;3669,0;575657,0;5525,0;191,0;12318,0;11671,0;47742,0;128462,0;-0,21906596051998073;0,14134742404227207;0,2176931610779087;0,7409762100082034;-0,06592763104757293;-0,0451179817241284;0,13636363636363646;-0,14925580748365563;-0,3510639258819881;-0,18966056352708194;-0,23081761006289303;0,1070326923076923;-0,1285488958990536;-0,786114221724524;0,611038451477897;-0,2731971602939345;0,31535155389023584;0,013307040031552031
2011;10880,0;1900,0;79457,0;18649,0;43810,0;106818,0;47946,0;55473,0;305032,0;20346,0;3384,0;586789,0;10760,0;372,0;13337,0;20358,0;43192,0;139542,0;0,3415536374845869;0,09953703703703698;0,1675924293187563;0,09842148662975614;-0,05294104930932364;0,03149986480744715;0,21999999999999997;-0,17544146500981028;0,41530409606354746;-0,12767964328588577;-0,07767784137367129;0,019337904342342727;0,9475113122171945;0,9476439790575917;0,08272446825783408;0,7443235369719818;-0,0953039252649659;0,0862511871214835
2012;10583,0;1481,0;64250,0;14142,0;31973,0;110895,0;51614,0;50752,0;136617,0;23324,0;3873,0;558165,0;11225,0;1414,0;8750,0;26413,0;44721,0;137546,0;-0,0272977941176471;-0,22052631578947368;-0,1913865361138729;-0,24167515684487106;-0,27018945446245146;0,038167724540807635;0,07650273224043724;-0,08510446523533977;-0,5521224002727583;0,14636783642976514;0,14450354609929073;-0,04878073719855003;0,04321561338289959;2,8010752688172045;-0,343930419134738;0,2974260732881422;0,035400074087794;-0,014303937165871194
2013;10088,0;1350,0;64630,0;15696,0;30748,0;112526,0;38514,0;67276,0;144861,0;22828,0;6278,0;561346,0;5932,0;957,0;12488,0;3159,0;63014,0;144603,0;-0,046773126712652324;-0,08845374746792711;0,0059143968871595565;0,10988544760288499;-0,038313577080661854;0,014707606294242392;-0,25380710659898476;0,3255832282471627;0,060343881068973815;-0,02126564911678952;0,6209656596953266;0,005699031648347619;-0,47153674832962134;-0,3231966053748232;0,4272;-0,880399803127248;0,4090472037745132;0,05130647201663452
2014;10583,0;1926,0;60828,0;16434,0;23401,0;102741,0;41396,0;46031,0;134261,0;22828,0;6401,0;609052,0;8433,0;330,0;12998,0;6494,0;44714,0;135885,0;0,049068199841395765;0,42666666666666675;-0,058827170044870813;0,04701834862385312;-0,2389423702354625;-0,08695768089152733;0,0748299319727892;-0,31578869136096077;-0,07317359399700407;0,0;0,01959222682382933;0,08498501815279713;0,42161159811193527;-0,6551724137931034;0,040839205637411835;1,0557138334916112;-0,2904116545529565;-0,06028920561814066
2015;11572,0;1994,0;72614,0;18338,0;21361,0;117418,0;41396,0;43670,0;109529,0;21339,0;5422,0;715596,0;11632,0;372,0;14951,0;14566,0;64723,0;154329,0;0,09345176226022867;0,03530633437175501;0,19375945288354046;0,11585736886941711;-0,08717576171958463;0,14285436193924528;0,0;-0,0512915209315461;-0,18420837026388903;-0,06522691431575256;-0,15294485236681765;0,17493415997320416;0,37934305703782756;0,1272727272727272;0,15025388521310967;1,2429935324915307;0,44748848235451977;0,13573242079699743
2016;17012,0;1878,0;98466,0;11112,0;37007,0;119049,0;54758,0;29507,0;;22331,0;6278,0;647217,0;7037,0;436,0;11553,0;10618,0;78068,0;162799,0;0,47010024196335976;-0,05817452357071218;0,35601950037182917;-0,3940451521430909;0,7324563456767006;0,013890544890902579;0,3227848101265822;-0,3243187542935654;0,0;0,04648765171751257;0,1578753227591294;-0,09555531333322154;-0,39503094910591474;0,17204301075268824;-0,22727576750719014;-0,2710421529589455;0,20618636342567553;0,05488275048759461
