year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
2000;23488,0;38838,0;252128,0;90141,0;47939,0;;904801,0;223256,0;33128,0;247589,0;424528,0;15053,0;183642,0;42424,0;309840,0;;;;;73278,0;;42752,0;633440,0;0,0052642841857479805;-0,02092366643138044;0,43902926252946517;-0,35999857999928997;;;0,042105723858412825;;-0,11483995083631704;-0,10975394893442592;0,32291689389005396;0,5699833124739258;0,009349184625785378;-0,04763615139406452;1,4;;;;;-0,1815348873574516;;0,3451216058899411;-0,04711188131620836
2001;27301,0;37178,0;222214,0;42254,0;27325,0;;904801,0;357209,0;28293,0;281505,0;447928,0;15916,0;187043,0;40606,0;185043,0;;;;;84969,0;;36002,0;639438,0;0,1623382152588555;-0,04274164478088471;-0,11864608452849346;-0,5312454931718087;-0,43000479776382483;;0,0;0,5999973125022395;-0,14594904612412463;0,13698508415155763;0,05512003919647235;0,057330764631635;0,018519728602389485;-0,04285310201772585;-0,40277885360185905;;;;;0,1595431098010316;;-0,15788735029940115;0,009468931548370696
2002;38122,0;38340,0;256401,0;64789,0;29722,0;;913941,0;267907,0;25070,0;325596,0;427871,0;14573,0;192711,0;47273,0;107583,0;;;;;90386,0;;31783,0;601678,0;0,3963591077249917;0,031255043305180585;0,15384719234611688;0,5333222890140579;0,08772186642268975;;0,010101668764733951;-0,24999930012961602;-0,11391510267557348;0,15662599243352693;-0,044777285635191344;-0,08438049761246547;0,030303192314066862;0,16418755848889321;-0,4186054052301357;;;;;0,06375266273582136;;-0,11718793400366645;-0,059051854910092905
2003;40828,0;35519,0;269221,0;42254,0;28284,0;;913941,0;377302,0;35098,0;257764,0;421186,0;16107,0;203480,0;45152,0;73157,0;;;;;84969,0;;51471,0;739833,0;0,0709826346991238;-0,07357850808555033;0,049999804992960195;-0,34782138943339147;-0,04838167014332817;;0,0;0,4083319958045142;0,3999999999999999;-0,2083317976879323;-0,01562386794150572;0,10526315789473695;0,05588160509778883;-0,04486704884394899;-0,3199947947166374;;;;;-0,059931847852543574;;0,6194506497184029;0,2296161734349602
2004;41320,0;40000,0;273494,0;46479,0;37872,0;;822546,0;279070,0;23816,0;281505,0;361016,0;16203,0;192711,0;48485,0;344267,0;;;;2,0;108064,0;;40221,0;631974,0;0,012050553541687048;0,12615783102001754;0,015871718773795562;0,09999053344062103;0,3389902418328383;;-0,10000098474628016;-0,2603537749601116;-0,3214428172545444;0,09210362967675856;-0,1428584995702611;0,005960141553361886;-0,052924120306664046;0,07381732813607367;3,705865467419386;;;;;0,27180501123939327;;-0,21856968001398847;-0,14578830627993078
2005;44271,0;38008,0;260674,0;66197,0;19176,0;169027,0;831686,0;299163,0;24891,0;322204,0;381073,0;19080,0;182508,0;34546,0;197953,0;;15357,0;;2,0;93523,0;;42190,0;598458,0;0,07141819941916738;-0,049799999999999955;-0,046874885737895555;0,42423460057230145;-0,49366286438529783;;0,011111840553598151;0,0719998566667861;0,04513772253946935;0,14457647288680486;0,05555709442240797;0,17755971116459923;-0,052944564658997106;-0,2874909765906981;-0,42500152497915866;;;;0,0;-0,13455915013325437;;0,04895452624251018;-0,05303382734099815
2006;54232,0;36349,0;286315,0;109859,0;29722,0;165646,0;904801,0;288000,0;25607,0;291680,0;407815,0;21381,0;174006,0;41515,0;314143,0;;28410,0;;2,0;80977,0;;45565,0;601968,0;0,2250005647037565;-0,04364870553567668;0,09836424039221403;0,6595767179781562;0,5499582811848143;-0,020002721458701855;0,08791178401464017;-0,037314106356735266;0,028765417219075218;-0,0947350126007126;0,07017553067260085;0,12059748427672945;-0,04658425932013943;0,20173102529960052;0,5869575101160376;;0,8499706974018364;;0,0;-0,1341488190070892;;0,07999525954017539;0,005865073238222163
2007;62349,0;39834,0;269221,0;94366,0;40748,0;287346,0;849965,0;343814,0;28293,0;298463,0;391101,0;29051,0;194411,0;40303,0;202257,0;;35781,0;;3,0;95234,0;;43033,0;594215,0;0,14967178049859853;0,09587609012627585;-0,05970347344707749;-0,1410262245241628;0,370970997914003;0,7346992985040388;-0,06060559172679958;0,19379861111111119;0,10489319326746593;0,02325493691716951;-0,04098426982823089;0,3587297132968523;0,1172660712848983;-0,02919426713236184;-0,3561626393075765;;0,2594508975712777;;0,5;0,17606233868876342;;-0,0555689674091957;-0,012879422161975351
2008;59766,0;41494,0;320501,0;52113,0;35475,0;344815,0;849965,0;377302,0;27935,0;298463,0;467984,0;22244,0;188743,0;28485,0;240987,0;;83387,0;11174,0;3,0;111201,0;;40221,0;598169,0;-0,04142809026608285;0,04167294271225597;0,1904754829675248;-0,4477566072526121;-0,12940512417787375;0,19999930397499877;0,0;0,09740150197490505;-0,012653306471565373;0,0;0,1965809343366547;-0,2343120718736016;-0,02915472889908488;-0,2932287919013473;0,19148904611459683;;1,3304826583941196;;0,0;0,1676607094105047;;-0,06534520019519907;0,0066541571653357945
2009;62718,0;44481,0;294861,0;77465,0;37872,0;243399,0;840825,0;346047,0;29905,0;278113,0;391101,0;22148,0;188743,0;32424,0;167830,0;;37931,0;8716,0;3,0;112341,0;2635,0;51190,0;558211,0;0,049392631261921505;0,07198631127391919;-0,07999975039079443;0,4864813002513768;0,06756871035940804;-0,2941171352754376;-0,010753383962869068;-0,0828381508711854;0,07052085197780555;-0,06818265580658234;-0,16428553112926936;-0,004315770544865982;0,0;0,13828330700368618;-0,30357239187176077;;-0,545120942113279;-0,21997494182924648;0,0;0,010251706369547087;;0,27271823176947363;-0,06680051958560207
2010;48452,0;35685,0;333321,0;64789,0;30202,0;302558,0;795128,0;337116,0;30084,0;295071,0;324246,0;24641,0;196111,0;36667,0;223773,0;;55591,0;9945,0;2,0;113767,0;1855,0;45846,0;575625,0;-0,22746261041487292;-0,19774735280232014;0,13043434024845602;-0,16363519008584526;-0,2025242923531897;0,24305358690873824;-0,05434781315969439;-0,025808632931364817;0,005985621133589802;0,06097521511040482;-0,17094049874584827;0,11256095358497387;0,039037209326968414;0,13085985689612634;0,333331347196568;;0,4655822414384012;0,1410050481872418;-0,33333333333333337;0,012693495696139534;-0,29601518026565465;-0,10439538972455553;0,031196088934112742
2011;53986,0;40000,0;299135,0;174648,0;29243,0;273824,0;722013,0;433116,0;30800,0;342554,0;354331,0;24832,0;202346,0;30909,0;133403,0;179276,0;58048,0;11398,0;3,0;104358,0;2449,0;40783,0;570650,0;0,11421613142904308;0,120919153706039;-0,10256179478640715;1,695642778866783;-0,03175286404873845;-0,09497022058580507;-0,09195374832731329;0,28476844765599973;0,02380002659220848;0,1609205919931136;0,09278449078785855;0,007751308794285983;0,031793219146299734;-0,1570349360460359;-0,4038467554173202;;0,04419780180245003;0,14610356963298132;0,5;-0,08270412333980859;0,3202156334231805;-0,11043493434541729;-0,008642779587405003
2012;70711,0;40166,0;316228,0;100000,0;29722,0;294107,0;731152,0;480000,0;33486,0;274722,0;391101,0;28284,0;183642,0;29394,0;77460,0;118322,0;32249,0;10392,0;3,0;104358,0;2449,0;44721,0;611629,0;0,30980254139962216;0,004150000000000098;0,05714142444046999;-0,42741972424533925;0,016379988373286025;0,0740731272642281;0,01265766682871372;0,10824813675782008;0,08720779220779229;-0,19801841461492198;0,10377302578662317;0,13901417525773185;-0,09243572890000296;-0,04901485004367656;-0,4193533878548459;-0,3400008924786363;-0,44444253031973535;-0,08826109843832253;0,0;0,0;0,0;0,09655984111026661;0,07181109261368612
2013;54355,0;33527,0;307681,0;156338,0;47460,0;405665,0;740292,0;522419,0;29009,0;227239,0;374387,0;26654,0;184209,0;30909,0;180740,0;172105,0;44841,0;12068,0;3,0;68716,0;1540,0;44721,0;569917,0;-0,23130771732827993;-0,16528905044067121;-0,027027967162933098;0,56338;0,5967969853980217;0,3793109310557041;0,012500820622797892;0,08837291666666669;-0,13369766469569377;-0,17284018025494863;-0,042735763907532864;-0,0576297553387074;0,0030875289966347808;0,05154113084302914;1,3333333333333335;0,45454775950372706;0,39046171974324784;0,1612779060816012;0,0;-0,341535866919642;-0,37117190690077584;0,0;-0,06819820512107833
2014;75999,0;34689,0;290588,0;83099,0;30202,0;297488,0;685455,0;439814,0;34023,0;267938,0;354331,0;24161,0;183075,0;29091,0;163527,0;134457,0;49141,0;7710,0;4,0;71283,0;2096,0;45284,0;534645,0;0,39819703799098516;0,034658633340292955;-0,05555429162021708;-0,4684657600839207;-0,36363253265908135;-0,26666584497060386;-0,07407482452869951;-0,1581202061946445;0,17284291082077985;0,17910217876332846;-0,05357023614602008;-0,09353192766564122;-0,006156051007279784;-0,05881782005241187;-0,09523625096824162;-0,2187501815752012;0,09589438237327452;-0,3611203181968843;0,33333333333333326;0,03735665638279295;0,36103896103896105;0,012589163927461344;-0,061889713765337806
2015;70834,0;30373,0;316228,0;107042,0;47939,0;256921,0;694595,0;433116,0;36351,0;234022,0;354331,0;25791,0;181375,0;29091,0;137707,0;62747,0;66494,0;10839,0;;109775,0;1243,0;39096,0;558500,0;-0,0679614205450072;-0,1244198449076076;0,08823488925901968;0,28812621090506507;0,5872789881464804;-0,13636516430914858;0,013334208664317782;-0,015229165056137361;0,06842430120800636;-0,12658152259104716;0,0;0,06746409502917916;-0,009285811825754497;0,0;-0,15789441498957357;-0,5333303584045457;0,3531267169980261;0,40583657587548627;0,0;0,5399884965559811;-0,4069656488549618;-0,13664870594470457;0,044618391643052924
2016;91002,0;40000,0;307681,0;74648,0;31160,0;160576,0;648898,0;430884,0;32233,0;;381073,0;26846,0;163804,0;23939,0;124797,0;75296,0;48374,0;9945,0;;108350,0;1874,0;48096,0;563476,0;0,28472202614563624;0,3169591413426398;-0,027027967162933098;-0,3026288746473347;-0,3500073009449509;-0,3749985404073626;-0,06578941685442596;-0,005153353835923857;-0,11328436631729522;0,0;0,0754718046120717;0,04090574231320998;-0,09687663680220537;-0,1770994465642295;-0,0937497730689072;0,19999362519323638;-0,2725057899960899;-0,08247993357320782;0,0;-0,012981097699840571;0,5076427996781978;0,23020257826887658;0,008909579230080622
