year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Luxembourg;Netherlands;Norway;Poland;Republic of Ireland;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Republic of Ireland_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
2000;31133,0;12701,0;381613,0;43496,0;11202,0;100661,0;18715,0;141233,0;75159,0;49545,0;38540,0;74760,0;26284,0;;17045,0;;;;;;;13000,0;319659,0;0,24347965011782557;0,017545265181861947;0,07058734415854029;0,22001570739369458;;-0,18571578802611244;0,017949415284199022;;-0,017542254349616315;-0,1271141649048626;0,05998514810638356;0,022275095376789622;0,010728706018073408;;0,33341156223108825;;;;;;;0,0;0,036134854186722576
2001;23948,0;13869,0;293548,0;41713,0;10530,0;123619,0;19265,0;127110,0;81199,0;60127,0;44357,0;72316,0;32156,0;;17222,0;;;;;;;15941,0;334866,0;-0,2307840555038062;0,09196126289268558;-0,2307704402103702;-0,04099227515173809;-0,05998928762720945;0,22807244116390657;0,029388191290408816;-0,09999787585054487;0,08036296384997144;0,21358361085881516;0,15093409444732742;-0,032691278758694486;0,22340587429614978;;0,010384276914050972;;;;;;;0,22623076923076924;0,04757256951939404
2002;33092,0;10292,0;314516,0;52052,0;11650,0;60043,0;19926,0;114399,0;78515,0;56760,0;41449,0;86975,0;30199,0;;17577,0;;;;;;;12691,0;302282,0;0,38182729246701186;-0,2579133318912683;0,07142954474225682;0,24786037925826476;0,10636277302943964;-0,51428987453385;0,03431092655073975;-0,09999999999999998;-0,03305459426840229;-0,055998137276098925;-0,06555898730752752;0,2027075612589191;-0,06085955964672218;;0,020613169202183146;;;;;;;-0,203876795684085;-0,09730459347918274
2003;22642,0;12117,0;280968,0;45991,0;9634,0;100661,0;19706,0;115811,0;77172,0;52431,0;43630,0;96911,0;32156,0;;10830,0;;;;;;;13000,0;253407,0;-0,31578629275957937;0,17732219199378152;-0,10666547965763273;-0,11644125105663572;-0,17304721030042913;0,6764818546708193;-0,01104085114925224;0,012342765233961828;-0,017105011781188284;-0,07626849894291754;0,05261888103452428;0,11423972405863747;0,06480347031358646;;-0,3838538999829323;;;;;;;0,024347963123473315;-0,16168676930812953
2004;23730,0;11533,0;289355,0;29235,0;11202,0;65341,0;19816,0;105925,0;77172,0;54836,0;44357,0;97399,0;24047,0;;15624,0;;;;16070,0;;;11762,0;265526,0;0,04805229220033569;-0,048196748370058606;0,029850374419862824;-0,36433215194277146;0,16275690263649567;-0,35088067871370243;0,005582056226530074;-0,08536322111025718;0,0;0,04586980984532052;0,01666284666513862;0,0050355480801973496;-0,25217688767259605;;0,44265927977839326;;;;;;;-0,09523076923076923;0,04782425110592836
2005;28956,0;11241,0;272581,0;33869,0;9410,0;107725,0;20807,0;117224,0;71133,0;54836,0;42176,0;105706,0;28521,0;8141,0;20063,0;;30429,0;;16874,0;;;19501,0;252662,0;0,22022756005056898;-0,02531865082805862;-0,057970313282991515;0,15850863690781591;-0,1599714336725585;0,6486585757793728;0,05001009285425928;0,10666981354732119;-0,07825377079769869;0,0;-0,04916924048064564;0,08528834998305945;0,18605231421798973;;0,28411418330773164;;;;0,050031113876789046;;;0,6579663322564189;-0,04844723303932574
2006;26996,0;10511,0;285161,0;37435,0;10306,0;104193,0;19375,0;120048,0;56369,0;50026,0;45085,0;103263,0;26284,0;7083,0;11008,0;;38036,0;;14463,0;;;18417,0;243631,0;-0,06768890730763921;-0,06494084156213864;0,046151419211170275;0,10528802149458216;0,09521785334750277;-0,032787189603156186;-0,06882299226221944;0,024090629905138883;-0,20755486201903472;-0,08771609891312282;0,06897287556904397;-0,023111270883393598;-0,07843343501279754;-0,1299594644392581;-0,4513283158052136;;0,24999178415327483;;-0,1428825411876259;;;-0,0555868929798472;-0,03574340423174038
2007;27214,0;9562,0;251613,0;36722,0;13218,0;144811,0;22128,0;124285,0;58383,0;58684,0;46903,0;107986,0;27962,0;8629,0;20951,0;;20692,0;;16231,0;6941,0;;17798,0;262152,0;0,008075270410431212;-0,09028636666349543;-0,11764582113262334;-0,019046347001469233;0,28255385212497575;0,38983424990162496;0,14209032258064513;0,03529421564707458;0,035728858060281254;0,17307000359812896;0,04032383276034168;0,045737582677241706;0,06384112007304821;0,21826909501623604;0,9032521802325582;;-0,45598906299295405;;0,12224296480674823;;;-0,03361025139816476;0,07602070344085932
2008;32874,0;13285,0;297742,0;46348,0;11314,0;98895,0;22018,0;129935,0;66435,0;59165,0;49084,0;124599,0;29360,0;6106,0;32314,0;;26778,0;14374,0;15588,0;7843,0;;16715,0;268554,0;0,20798118615418537;0,38935369169629785;0,18333313461546097;0,26213169217362897;-0,1440459978816765;-0,31707536029721495;-0,004971077368040477;0,04546003137949062;0,13791685935974507;0,008196441960329981;0,04650022386627728;0,15384401681699478;0,049996423717902916;-0,29238613976127015;0,5423607465037468;;0,29412333268896185;;-0,039615550489803475;0,1299524564183836;;-0,06084953365546686;0,02442094662638472
2009;26996,0;10949,0;260000,0;42426,0;11314,0;74171,0;21687,0;117224,0;70462,0;54836,0;44721,0;134209,0;26284,0;8222,0;20240,0;;16127,0;11643,0;14946,0;7288,0;1424,0;15322,0;207846,0;-0,1788039179899008;-0,1758374106134738;-0,12676075259788677;-0,08462069560714591;0,0;-0,25000252793366706;-0,015033154691615924;-0,09782583599492056;0,060615639346729866;-0,07316825826079609;-0,08888843615027298;0,07712742477868995;-0,10476839237057223;0,3465443825745169;-0,373646097666646;;-0,3977518858764657;-0,18999582579657714;-0,04118552732871439;-0,07076373836542138;;-0,08333831887526177;-0,2260550950646797
2010;22206,0;10949,0;234839,0;35296,0;11314,0;72405,0;22238,0;107337,0;62409,0;50026,0;40722,0;129323,0;22649,0;7571,0;14204,0;;20996,0;11355,0;11731,0;8607,0;1531,0;14084,0;206189,0;-0,17743369388057495;0,0;-0,0967730769230769;-0,16805732333946166;0,0;-0,023809844818055592;0,025406925808087788;-0,08434279669692213;-0,11428855269506966;-0,08771609891312282;-0,08942107734621318;-0,0364059042240088;-0,1382970628519251;-0,07917781561663828;-0,29822134387351784;;0,301916041421219;-0,0247358928111312;-0,21510772112939913;0,18098243688254656;0,0751404494382022;-0,08079885132489228;-0,007972248684121941
2011;22424,0;10000,0;264194,0;38504,0;11314,0;98895,0;21357,0;97451,0;67778,0;41849,0;43630,0;138281,0;32995,0;8711,0;14204,0;18857,0;21909,0;11930,0;15106,0;13605,0;1945,0;19191,0;197557,0;0,009817166531568056;-0,08667458215362134;0,12500053227956176;0,09088848594741616;0,0;0,3658587114149576;-0,03961687202086517;-0,09210244370533927;0,08602925860052246;-0,16345500339823293;0,07141103089239231;0,06926842093053831;0,4567972095898274;0,1505745608241975;0,0;;0,04348447323299687;0,05063848524878911;0,2876992583752451;0,580690135935866;0,2704114957544088;0,36261005396194257;-0,04186450295602573
2012;24819,0;10438,0;310323,0;42426,0;11426,0;100661,0;22678,0;105925,0;63080,0;55317,0;47266,0;147890,0;30199,0;6350,0;12961,0;16971,0;21909,0;12649,0;14142,0;11314,0;1960,0;17953,0;222767,0;0,10680520870495891;0,04380000000000006;0,17460275403680625;0,10185954706004563;0,009899239879795019;0,017857323423833282;0,06185325654352214;0,08695652173913038;-0,06931452683761696;0,3218236994910273;0,08333715333486125;0,06948893918904253;-0,08474011213820276;-0,2710366203650557;-0,08751056040551952;-0,10001590921143344;0,0;0,06026823134953907;-0,06381570236991929;-0,16839397280411617;0,007712082262210762;-0,06450940545047157;0,12760874076848716
2013;21989,0;8613,0;280968,0;34226,0;11314,0;84767,0;20807,0;90389,0;61067,0;38481,0;47630,0;137629,0;35512,0;7001,0;30006,0;12823,0;17345,0;11787,0;16392,0;8885,0;766,0;13929,0;184753,0;-0,11402554494540473;-0,17484192374018015;-0,09459498651405152;-0,19327770706642156;-0,009802205496236671;-0,15789630542116606;-0,08250286621395186;-0,14666981354732123;-0,03191185795814844;-0,3043548999403438;0,007701095925189305;-0,06938264926634663;0,17593297791317597;0,10251968503937015;1,3150991435845998;-0,2444169465558894;-0,2083162170797389;-0,06814767965847102;0,1591005515485786;-0,2146897648930528;-0,6091836734693877;-0,22414081212053694;-0,1706446646047215
2014;22424,0;9854,0;247419,0;53122,0;11762,0;74171,0;23228,0;108750,0;67778,0;52912,0;46903,0;138118,0;26005,0;5617,0;35687,0;11880,0;23126,0;12793,0;14785,0;11939,0;1424,0;15941,0;193671,0;0,01978261858201824;0,1440845233948682;-0,11940505680362179;0,552094898615088;0,03959695951917985;-0,12500147463045763;0,11635507281203439;0,20313312460587007;0,10989568834231256;0,3750162417816585;-0,015263489397438601;0,003553030247985589;-0,2677123225951791;-0,1976860448507356;0,1893288009064853;-0,07353973329174135;0,3332948976650332;0,0853482650377535;-0,09803562713518787;0,3437253798536859;0,8590078328981723;0,1444468375332042;0,04826985218102009
2015;28520,0;9781,0;310323,0;43496,0;12546,0;58277,0;22458,0;125698,0;64422,0;57722,0;46539,0;153265,0;31038,0;9118,0;41191,0;11503,0;23126,0;11643,0;;9370,0;1501,0;16560,0;212305,0;0,2718515875847307;-0,007408159123198699;0,2542407818316297;-0,18120552690034264;0,06665533072606689;-0,21428860336250022;-0,03314964697778544;0,1558436781609196;-0,04951459175543682;0,09090565467190803;-0,007760697609961009;0,10966709625103177;0,1935397039030955;0,6232864518426207;0,15422983159133574;-0,031734006734006726;0,0;-0,08989291018525758;0,0;-0,21517715051511854;0,0540730337078652;0,03883068816259949;0,09621471464493903
2016;28085,0;9124,0;335484,0;43496,0;11762,0;67107,0;25761,0;111574,0;;60608,0;46903,0;153754,0;32995,0;6350,0;31426,0;12823,0;24343,0;10924,0;;5206,0;1960,0;19036,0;219679,0;-0,01525245441795231;-0,06717104590532663;0,08108003596252944;0,0;-0,06249003666507258;0,15151775142852242;0,14707453913972746;-0,11236455631752296;0,0;0,049998267558296616;0,007821397107802053;0,0031905523113562317;0,06305174302467953;-0,3035753454704979;-0,23706634944526717;0,11475267321568294;0,052624751362103206;-0,061753843511122564;0,0;-0,44439701173959445;0,3057961359093937;0,14951690821256047;0,03473304915098563
