year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Netherlands;Portugal;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Portugal_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
1999;380681,0;130968,0;925716,0;;;107173,0;;2458756,0;1228114,0;9740192,0;365951,0;2161143,0;1135839,0;1357553,0;3661170,0;;5121108,0;;223319,0;4981182,0;-0,04081586373714974;0,22807445262318904;-0,12612654284568003;;;0,36667134240426424;;0,010000365591512628;-0,11999994267632763;0,212121272458335;;0,16981112670635778;-0,1200005888154505;0,2831859578148408;-0,19266049785902883;;0,14788715662176388;;0,14082614737014176;-0,028272510734260514
2000;485975,0;97290,0;1145216,0;1210308,0;;130698,0;1008331,0;2337035,0;795483,0;7305144,0;387908,0;2288952,0;1252005,0;1694600,0;3827586,0;;3832977,0;;201409,0;5704813,0;0,27659378850008265;-0,2571467839472238;0,23711375843131144;;;0,21950491261791694;;-0,04950511559504078;-0,3522726717552279;-0,25;0,059999836043623356;0,059139538660792024;0,10227329753600634;0,24827538961646423;0,045454321979039536;;-0,2515336524830174;;-0,09811077427357273;0,14527294927187961
2001;469776,0;119742,0;1097499,0;653566,0;;135926,0;917581,0;2264003,0;795483,0;8157411,0;428163,0;1917143,0;1200376,0;1254566,0;4077212,0;;3550216,0;;272601,0;5560895,0;-0,033332990380163574;0,23077397471477035;-0,04166637560076003;-0,46000026439550923;;0,04000061209811934;-0,0900002082649447;-0,031249852911916176;0,0;0,11666669404463481;0,10377460634995916;-0,1624363464153027;-0,04123705576255687;-0,2596683583146465;0,0652176071288797;;-0,07377059658850027;;0,3534698052222096;-0,025227470208050606
2002;332083,0;102903,0;1078412,0;798803,0;;141154,0;604998,0;2215314,0;628013,0;5478858,0;395227,0;1893905,0;1084210,0;936243,0;2038606,0;;2544845,0;;137906,0;4015627,0;-0,2931035216784169;-0,14062734879991978;-0,017391359809895035;0,22222239222970597;;0,0384621043803246;-0,3406598436541297;-0,02150571355249975;-0,21052618346338015;-0,3283582254222571;-0,07692397521504657;-0,01212116154089704;-0,09677467726778943;-0,2537315693235749;-0,5;;-0,2831858681274604;;-0,49411043980029423;-0,2778811684090421
2003;469776,0;134710,0;1173847,0;750391,0;;173829,0;887331,0;1971873,0;1716569,0;8279163,0;442801,0;2312190,0;864787,0;954968,0;2496252,0;;5529540,0;;167829,0;4748868,0;0,4146342932339204;0,30909691651360993;0,08849586243476515;-0,0606056812505712;;0,2314847613245108;0,4666676584054823;-0,10989006524582967;1,7333335456431636;0,5111110746071534;0,12037133090603636;0,2208584907901927;-0,20238053513618215;0,020000149533828226;0,2244896757882593;;1,1728396031978372;;0,21698113207547176;0,18259688960154907
2004;396880,0;108516,0;849369,0;665669,0;;151610,0;1391496,0;3067358,0;586145,0;6452877,0;402546,0;2172762,0;645363,0;833256,0;2621065,0;;4335662,0;;149826,0;4145128,0;-0,15517182657266437;-0,19444733130428327;-0,2764227365235844;-0,11290380614906093;;-0,1278210195076771;0,5681814339857392;0,5555555555555556;-0,65853688374892;-0,22058824062287452;-0,09090991212756971;-0,06030127281927522;-0,25373184379506164;-0,12745139104137526;0,05000016024023224;;-0,21590909912940315;;-0,10726989971935719;-0,12713345580462543
2005;307784,0;114129,0;782564,0;677772,0;1069732,0;122857,0;947831,0;3018670,0;251205,0;8522668,0;391568,0;2312190,0;555012,0;795807,0;2995502,0;565685,0;4335662,0;;167097,0;4448390,0;-0,2244910300342673;0,05172509123078628;-0,07865250556589654;0,01818170892740989;;-0,18965107842490603;-0,31884029849888174;-0,015872943425579877;-0,5714285714285714;0,32075475791650754;-0,027271417428070377;0,06417085718546245;-0,14000027891279787;-0,04494297070768172;0,14285681583631082;;0,0;;0,11527371751231419;0,07316107005622019
2006;259187,0;89806,0;753934,0;629360,0;1026943,0;101945,0;746165,0;2872605,0;711748,0;4261334,0;329356,0;1928762,0;658271,0;964331,0;1872189,0;622254,0;2482010,0;;139744,0;2955096,0;-0,15789319782704758;-0,2131184887276678;-0,03658486718019227;-0,07142814987931045;-0,039999738252197714;-0,17021415141180396;-0,21276577786546336;-0,048387203636038434;1,833335323739575;-0,5;-0,15887917296612597;-0,16582893274341637;0,18604822958782874;0,2117649128494723;-0,37499991654153464;0,10000088388414041;-0,4275360948339607;;-0,16369533863564278;-0,33569313841637083
2007;348282,0;112258,0;887542,0;1089277,0;1101824,0;121550,0;715915,0;2945638,0;558234,0;6818134,0;537948,0;2358667,0;851880,0;823894,0;2496252,0;1221880,0;3738723,0;;153376,0;3523300,0;0,34374795032158256;0,2500055675567334;0,17721445113232726;0,7307693529935173;0,072916413082323;0,19230957869439402;-0,04054063109365891;0,025423961874326606;-0,2156858888258204;0,5999999061326806;0,6333329285028966;0,22289167870374893;0,2941174683375085;-0,14563153108216997;0,33333333333333326;0,9636354286191813;0,5063287416247315;;0,09754980535836966;0,1922793709578301
2008;356382,0;121613,0;773021,0;774597,0;1305073,0;129391,0;988164,0;3140391,0;1437452,0;6696382,0;472077,0;2707238,0;645363,0;1338828,0;3536357,0;1114399,0;4052902,0;;169970,0;3758398,0;0,023257015866453123;0,08333481800851605;-0,1290316401928021;-0,2888888684879971;0,18446594011384754;0,06450843274372686;0,3802811786315414;0,06611572773029128;1,574999014750087;-0,01785708523769114;-0,12244863815833495;0,1477830486456968;-0,2424249894351317;0,6250003034370926;0,41666666666666674;-0,08796362981634853;0,08403377302891912;;0,10819163363238049;0,0667266483126614
2009;283486,0;91677,0;563065,0;447814,0;952062,0;77112,0;715915,0;1752776,0;976909,0;4870096,0;278123,0;1220000,0;348496,0;1217116,0;2496252,0;893782,0;2701935,0;10954,0;78437,0;2503997,0;-0,20454456173431879;-0,24615789430406287;-0,27160452303365623;-0,4218748587975425;-0,2704913824743903;-0,4040389207904723;-0,27550993559773473;-0,4418605836024877;-0,32038843731825484;-0,2727272727272727;-0,4108524668645157;-0,54935620732274;-0,46000003099031084;-0,09090936251706716;-0,2941176470588235;-0,19796948848661922;-0,33333325108773915;;-0,5385244454903806;-0,3337594900806141
2010;291585,0;56129,0;773021,0;653566,0;716721,0;92796,0;645332,0;1217206,0;879218,0;3287315,0;450120,0;1603429,0;555012,0;627283,0;1913793,0;1170968,0;2701935,0;18567,0;140333,0;3067396,0;0,028569312064793406;-0,38775265333726017;0,3728805732908278;0,45945861451406156;-0,24719083421037702;0,20339246809835054;-0,09859131321455761;-0,30555530198952974;-0,10000010236367973;-0,3249999589330477;0,618420626844957;0,3142860655737705;0,5925921674854231;-0,4846152708533944;-0,23333341345344938;0,310127077967558;0,0;0,6949972612744204;0,7891173808279255;0,22499987020751222
2011;275386,0;58000,0;696673,0;605154,0;695326,0;82340,0;857081,0;1704088,0;1381629,0;3652572,0;475737,0;1754476,0;567920,0;411947,0;1705772,0;763675,0;2387756,0;10769,0;116210,0;2557744,0;-0,055554983966939364;0,03333392720340633;-0,09876575151257205;-0,07407362072078416;-0,02985122523269168;-0,11267727057200738;0,3281241283556371;0,3999996713785505;0,5714293838388205;0,11111104351119372;0,056911490269261567;0,09420248729441716;0,023257154800256474;-0,34328365347060263;-0,1086956635330989;-0,34782590130558644;-0,11627925912355408;-0,41999245974039967;-0,1718982705422103;-0,16615135443874873
2012;356382,0;78581,0;734847,0;810906,0;1219495,0;109787,0;957914,0;2531788,0;1116468,0;5478858,0;464758,0;2277333,0;632456,0;692820,0;2288231,0;1063488,0;2953277,0;21909,0;141421,0;3673920,0;0,2941180742666658;0,35484482758620683;0,05479471717721229;0,3399994051101043;0,7538463972295011;0,33333738158853543;0,11764699019112546;0,4857143527799035;-0,1919191041878826;0,5;-0,023077877062326446;0,2980131959627832;0,11363572334131566;0,6818182921589429;0,3414635719193422;0,3925923985988804;0,23684203913632706;1,0344507382301051;0,21694346441786427;0,43639081940960467
2013;234888,0;59871,0;553521,0;605154,0;1080430,0;99331,0;685665,0;2483100,0;767571,0;3530820,0;270804,0;1591810,0;400125,0;533659,0;1705772,0;599626,0;2607681,0;6313,0;98849,0;2625908,0;-0,34090947354243484;-0,23809826802916734;-0,24675340581100558;-0,2537310119791937;-0,11403490789220128;-0,09523896271871901;-0,2842102735736194;-0,019230678082051145;-0,31250067176130436;-0,35555548254764036;-0,4173225635707185;-0,30102009675352703;-0,3673472937247808;-0,22972922259750006;-0,2545455419492175;-0,43617041283023406;-0,11702119374511766;-0,7118535761559177;-0,3010302571753841;-0,2852571640101037
2014;234888,0;71097,0;629869,0;774597,0;1593901,0;108480,0;776415,0;2190970,0;1060644,0;5965868,0;420844,0;1986857,0;567920,0;1001780,0;3037107,0;1069145,0;4115737,0;10954,0;121955,0;3235341,0;0,0;0,18750313173322652;0,13793153285963866;0,279999801703368;0,4752468924409725;0,0921061904138687;0,1323532628907702;-0,11764729571906085;0,3818187503175603;0,6896550942840474;0,5540538544482356;0,2481747193446453;0,4193564511090284;0,8771912400990145;0,7804882481363278;0,7830197489768622;0,5783130682012101;0,7351496911135751;0,23375046788536058;0,23208467318733184
2015;267286,0;97290,0;696673,0;689875,0;1561809,0;129391,0;897414,0;2483100,0;781527,0;6087620,0;490375,0;2323810,0;555012,0;730270,0;3161919,0;939037,0;4492752,0;16710,0;129663,0;3527095,0;0,1379295664316611;0,36841216928984344;0,10606014901511274;-0,10937558498160982;-0,020134249241326785;0,19276364306784655;0,15584320241108163;0,13333363761256423;-0,2631580436036973;0,020408094848897163;0,16521799051429986;0,16959096703990273;-0,02272855331736867;-0,27102757092375573;0,04109568744202963;-0,12169350275219915;0,09160327785764744;0,5254701478911814;0,0632036406871388;0,09017720234126791
2016;226789,0;82323,0;696673,0;774597,0;1283679,0;134619,0;877248,0;3067358,0;;4991848,0;457439,0;2416762,0;529198,0;580471,0;2413044,0;876812,0;3895813,0;10397,0;93567,0;3040460,0;-0,15151186369656477;-0,1538390379278446;0,0;0,12280775502808483;-0,17808195496376322;0,04040466493032735;-0,02247123401239559;0,23529378599331485;0,0;-0,18000006570712368;-0,06716492480244707;0,03999982786888778;-0,04651070607482366;-0,20512824023991127;-0,2368419304858853;-0,06626469457540007;-0,13286711574553856;-0,37779772591262717;-0,278383193355082;-0,13797048279107882
