year;Austria;Belgium-Wallonia;Bulgaria;Czech Republic;Denmark;Estonia;Germany East;Germany West;Greece;Hungary;Latvia;Netherlands;Poland;Spain;Sweden;Austria_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Netherlands_rendements;Poland_rendements;Spain_rendements;Sweden_rendements
2004;6985,0;84853,0;6236,0;;12628,0;81359,0;14445,0;4491,0;2828,0;9194,0;38804,0;;20496,0;7079,0;69311,0;-0,03562059919922689;-0,1428556997828173;-0,2999550965424338;;-0,09177215189873422;0,39053820779709114;0,3147355966141805;3,437747035573122;-0,30310497782158696;-0,3178006974846034;0,17211381622666577;;;-0,3292590487019139;0,11427101586740185
2005;4666,0;98995,0;10690,0;53648,0;14797,0;51585,0;17939,0;7060,0;3320,0;14232,0;19538,0;5657,0;8403,0;7594,0;69738,0;-0,3319971367215462;0,16666470248547482;0,714239897370109;;0,17176116566360466;-0,36595828365638716;0,24188300449982703;0,5720329547984859;0,17397454031117388;0,5479660648248859;-0,4964952066797237;;-0,5900175644028103;0,07275038847294812;0,006160638282523667
2006;7787,0;113138,0;15701,0;60623,0;12883,0;95899,0;16318,0;4517,0;3566,0;16248,0;17096,0;3564,0;13937,0;8924,0;87809,0;0,6688812687526791;0,14286580130309612;0,4687558465855941;0,13001416641813313;-0,1293505440291951;0,859048172918484;-0,09036178159317687;-0,36019830028328614;0,07409638554216857;0,1416526138279932;-0,12498720442215172;-0,36998409050733605;0,6585743186957038;0,17513826705293645;0,25912701826837603
2007;5983,0;98995,0;6793,0;46674,0;14414,0;85859,0;20712,0;7528,0;3689,0;12847,0;17638,0;3960,0;17626,0;5449,0;88289,0;-0,2316681648902016;-0,12500662907246018;-0,5673523979364372;-0,23009418867426557;0,11883877978731672;-0,10469347959832742;0,2692731952445153;0,6665928713748064;0,03449242849130685;-0,20931806991629742;0,031703322414599944;0,11111111111111116;0,26469110999497736;-0,38939937247870915;0,00546641004908377
2008;8531,0;113138,0;11804,0;83692,0;13202,0;66472,0;10590,0;7112,0;3812,0;13477,0;64583,0;4356,0;24185,0;6693,0;90245,0;0,4258733077051646;0,14286580130309612;0,7376711320476961;0,7931182242790418;-0,08408491744137647;-0,22580044025669999;-0,488702201622248;-0,05526036131774703;0,03334236920574685;0,04903868607456996;2,661582945912235;0,10000000000000009;0,37212073073868157;0,2282987704165902;0,022154515285029763
2009;8245,0;84853,0;10467,0;43992,0;14478,0;76858,0;14517,0;5477,0;2828,0;11336,0;26593,0;13237,0;15782,0;3561,0;64031,0;-0,033524791935294784;-0,2500044193816401;-0,11326668925787864;-0,4743583616116236;0,09665202242084536;0,15624623901793244;0,37082152974504257;-0,2298931383577053;-0,2581322140608604;-0,15886324849744005;-0,5882352941176471;2,0387970615243343;-0,347446764523465;-0,467951591214702;-0,29047592664413546
2010;5697,0;84853,0;14253,0;33799,0;15881,0;47430,0;12319,0;6489,0;4549,0;11588,0;13025,0;9447,0;29924,0;2145,0;76695,0;-0,3090357792601577;0,0;0,3617082258526798;-0,231701218403346;0,09690564995165074;-0,3828879231830128;-0,15140869325618245;0,18477268577688521;0,6085572842998586;0,022230063514467213;-0,5102094536156132;-0,28631865226259723;0,8960841464960081;-0,3976411120471778;0,19777920069966104
2011;8044,0;70711,0;4566,0;52039,0;15817,0;67510,0;15669,0;4646,0;2705,0;8061,0;12483,0;5204,0;16397,0;7337,0;82069,0;0,41197121291908023;-0,16666470248547482;-0,679646390233635;0,5396609367141039;-0,004029972923619396;0,4233607421463208;0,2719376572773764;-0,2840191092618277;-0,40536381622334583;-0,30436658612357614;-0,04161228406909789;-0,44913729226209376;-0,45204518112551795;2,4205128205128204;0,07006975682899808
2012;7071,0;70711,0;14142,0;21996,0;19261,0;50200,0;13364,0;5477,0;1475,0;15492,0;10583,0;6166,0;14142,0;6693,0;84238,0;-0,1209597215315763;0,0;2,0972404730617606;-0,5773170122408193;0,21774040589239418;-0,25640645830247366;-0,1471057502074159;0,17886353852776593;-0,45471349353049906;0,9218459248232229;-0,15220700152207;0,18485780169100696;-0,13752515704092216;-0,08777429467084641;0,026428980492025023
2013;7672,0;84853,0;18373,0;24678,0;14797,0;47777,0;11671,0;7476,0;2090,0;24309,0;12483,0;1980,0;18651,0;3947,0;61413,0;0,08499505020506293;0,19999717158575048;0,29917974826757177;0,12193126022913248;-0,23176366751466693;-0,048266932270916385;-0,1266836276563903;0,3649808289209422;0,41694915254237297;0,569132455460883;0,17953321364452424;-0,678884203697697;0,31883750530335164;-0,4102793963842821;-0,27095847479759727
2014;4180,0;56569,0;16926,0;26824,0;16008,0;56086,0;9582,0;3997,0;2090,0;6424,0;14925,0;7411,0;13937,0;3347,0;69065,0;-0,45516162669447346;-0,33332940497094976;-0,07875687149621724;0,08696004538455315;0,08184091369872282;0,17391213345333534;-0,17899066061177282;-0,46535580524344566;0,0;-0,7357357357357357;0,19562605142994482;2,742929292929293;-0,2527478419387701;-0,15201418799087918;0,12459902626479735
2015;5010,0;70711,0;9911,0;19850,0;19070,0;55393,0;12860,0;4491,0;1844,0;15744,0;16282,0;3677,0;;6650,0;67034,0;0,1985645933014355;0,2499955806183598;-0,4144511402575919;-0,2599910527885476;0,19127936031984016;-0,012356024676389854;0,34209977040283857;0,12359269452089072;-0,11770334928229664;1,4508094645080947;0,09092127303182584;-0,5038456348670894;0,0;0,9868538990140425;-0,029407080286686482
2016;3521,0;84853,0;6347,0;42382,0;18177,0;56086,0;11563,0;5529,0;2459,0;7305,0;15467,0;4639,0;;5878,0;76363,0;-0,29720558882235526;0,19999717158575048;-0,3596004439511654;1,1351133501259447;-0,04682747771368645;0,01251060603325338;-0,10085536547433904;0,231128924515698;0,33351409978308033;-0,5360137195121951;-0,05005527576464808;0,2616263258090834;0,0;-0,1160902255639098;0,13916818330996206
