year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Netherlands;Poland;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Poland_rendements;Spain_rendements;Sweden_rendements
2001;95459,0;12106,0;1102361,0;130955,0;1429755,0;;102384,0;131583,0;132172,0;8494608,0;34804,0;20901,0;607541,0;139162,0;212132,0;38565,0;;;169505,0;243032,0;0,24389512913398148;0,011868940153794805;0,2258057700754479;-0,27102642463107385;-0,0799996911357902;;0,04347826086956519;0,7300122273498206;0,28420827625071654;-0,1538461385214306;0,17141799333580154;0,29755401042960017;-0,1028804822116528;0,12838018633087112;0,0;-0,4897932184105732;;;0,6434458018227651;0,149103769793425
2002;97331,0;14385,0;1232904,0;270304,0;1289887,0;;108072,0;266968,0;167923,0;8301549,0;23769,0;22498,0;546230,0;174161,0;188561,0;62732,0;;;70334,0;178669,0;0,019610513414136;0,18825375846687598;0,11842127941754099;1,0640983543965485;-0,09782655070274282;;0,05555555555555558;1,0288943100552501;0,2704884544381563;-0,02272724062134479;-0,31706125732674406;0,07640782737668061;-0,10091664595475858;0,2514982538336614;-0,11111477759131105;0,6266562945676131;;;-0,5850623875401906;-0,26483343757200695
2003;78614,0;11536,0;1319933,0;238405,0;1523000,0;;116604,0;179500,0;123505,0;8687667,0;55177,0;22898,0;610328,0;114163,0;212132,0;122893,0;;;108739,0;231131,0;-0,19230255519824102;-0,19805352798053533;0,07058862652728837;-0,11801157215579494;0,18072358276345146;;0,07894736842105265;-0,32763477270684127;-0,2645140927687095;0,04651156067379714;1,3213849972653455;0,017779358165170178;0,11734617285758753;-0,34449733292757856;0,12500464040814374;0,9590161321175796;;;0,5460374783177411;0,293626762337059
2004;104818,0;10967,0;1058847,0;228331,0;1181102,0;;116604,0;228939,0;119171,0;8687667,0;29711,0;24362,0;607541,0;128329,0;2074175,0;274580,0;;2668328,0;168273,0;169392,0;0,33332485307960424;-0,0493238557558946;-0,19780246421598668;-0,04225582517145199;-0,22448982271831908;;0,0;0,2754261838440111;-0,03509169669244161;0,0;-0,46153288507892787;0,06393571490959915;-0,0045663970848461855;0,12408573706016846;8,777756302679464;1,2343013841309105;;;0,5474944592096671;-0,26711691638075374
2005;104818,0;15097,0;1058847,0;240083,0;1056775,0;26709,0;99540,0;233502,0;108337,0;6853604,0;42444,0;22232,0;576885,0;146662,0;1744192,0;256583,0;169706,0;3522193,0;143565,0;255261,0;0,0;0,37658429834959417;0,0;0,05146913910069162;-0,1052635589474914;;-0,14634146341463417;0,01993107334268074;-0,09091137944634187;-0,21111110727425442;0,428561812123456;-0,08743124538215252;-0,050459145967103436;0,14285936927740428;-0,15909120493690265;-0,06554373952946313;;0,3200000149906608;-0,14683282523042918;0,5069247662227261
2006;95459,0;11821,0;971819,0;223294,0;1429755,0;40598,0;99540,0;90511,0;137589,0;7143193,0;39897,0;17839,0;568525,0;125829,0;212132,0;135233,0;120491,0;2988528,0;121815,0;247851,0;-0,08928809937224524;-0,2169967543220508;-0,08219128920420038;-0,06992998254770222;0,3529417331030731;0,520011980980194;0,0;-0,6123759111270995;0,27000932276138356;0,04225353551211897;-0,06000848176420692;-0,19759805685498377;-0,014491623113792151;-0,14204770151777557;-0,8783780684695263;-0,47294637602647094;-0,2900015320613296;-0,15151497944604397;-0,15149932086511342;-0,029029111380116768
2007;110433,0;15667,0;1145876,0;381111,0;1693949,0;24038,0;89586,0;99638,0;165756,0;7336252,0;64515,0;23696,0;632623,0;116663,0;235702,0;186139,0;276621,0;3175311,0;135060,0;245591,0;0,156863155909867;0,32535318500972843;0,17910433938830184;0,7067677590978709;0,18478270752681403;-0,4079018670870487;-0,09999999999999998;0,10083857210725777;0,20471840045352452;0,027026989190968242;0,6170388751033913;0,3283255787880486;0,11274438239303453;-0,07284489267180061;0,1111100635453397;0,37643178809905864;1,2957814276584974;0,0625;0,10873045191478892;-0,009118381608305026
2008;131022,0;9970,0;1174885,0;322350,0;1336510,0;32318,0;118026,0;146034,0;242676,0;10328671,0;45839,0;32083,0;719016,0;99164,0;329982,0;164028,0;313956,0;2561595,0;111973,0;331421,0;0,18643883621743496;-0,3636305610518925;0,025316002778660085;-0,1541834268756347;-0,2110093042942851;0,34445461352857976;0,31746031746031744;0,46564563720668817;0,4640555997972924;0,40789479423553066;-0,28948306595365414;0,35394159351789334;0,1365631663723892;-0,14999614273591455;0,39999660588370056;-0,11878757272790763;0,13496806099320002;-0,1932774458942762;-0,17093884199614984;0,3494834908445341
2009;101074,0;5839,0;971819,0;340818,0;1429755,0;47009,0;105228,0;93553,0;154923,0;8398078,0;37351,0;19836,0;680000,0;133329,0;377123,0;219047,0;74671,0;2588278,0;82135,0;250120,0;-0,22857230083497426;-0,41434302908726184;-0,1728390438213102;0,05729176361098176;0,06976752886248505;0,4545763970542731;-0,10843373493975905;-0,35937521399126227;-0,361605597586906;-0,1869159159005065;-0,18516983354785221;-0,3817286413365334;-0,05426304838835294;0,34453027308297357;0,14285930747737763;0,3354244397298023;-0,762160939749519;0,01041655687179266;-0,2664749537835014;-0,24531034545185726
2010;106690,0;10397,0;1087857,0;283735,0;1631785,0;9882,0;102384,0;185585,0;74753,0;8880726,0;38199,0;25294,0;824918,0;127496,0;542114,0;63246,0;308865,0;1974563,0;135574,0;261268,0;0,05556325068761492;0,7806131186847063;0,11940289292553441;-0,16748821951892212;0,1413039296942482;-0,7897849347997192;-0,027027027027026973;0,9837418361784229;-0,5174828785913002;0,057471245206343724;0,022703542073839955;0,27515628150836857;0,21311470588235304;-0,04374892183995982;0,43749917135788596;-0,7112674448862573;3,1363447657055614;-0,23711324672233813;0,6506239727278262;0,0445706061090676
2011;91716,0;9400,0;1015333,0;387827,0;1414214,0;96421,0;78210,0;155161,0;159256,0;8494608,0;39048,0;19436,0;696721,0;119996,0;259272,0;119293,0;113703,0;2454862,0;127343,0;208048,0;-0,14035054831755556;-0,09589304607098204;-0,06666685051435983;0,3668634465258076;-0,13333312905805605;8,757235377453958;-0,23611111111111116;-0,1639356629037907;1,1304295479780078;-0,043478202119961784;0,022225712714992518;-0,2315964260298885;-0,15540574941994234;-0,05882537491372275;-0,5217389700321335;0,8861746197387976;-0,6318682919722209;0,24324318849284632;-0,060712230958738456;-0,20369888390464963
2012;127279,0;19370,0;1131371,0;354249,0;1491918,0;20566,0;85320,0;183303,0;189590,0;10328671,0;61968,0;24495,0;699508,0;105830,0;141421,0;204650,0;161221,0;1414214,0;141421,0;261879,0;0,3877513192899822;1,0606382978723405;0,11428565800579715;-0,08657984101158511;0,05494500832264415;-0,786706215450991;0,09090909090909083;0,18137289653972322;0,1904732003817753;0,21590908020711486;0,5869698832206516;0,2602901831652604;0,004000166494191992;-0,11805393513117102;-0,45454580517757415;0,715523962009506;0,41791333561999244;-0,4239130346227201;0,11055181674689618;0,25874317465200347
2013;101074,0;10682,0;754247,0;277019,0;1554081,0;21100,0;79632,0;200036,0;100754,0;7818900,0;26315,0;16241,0;493279,0;50832,0;212132,0;205678,0;96732,0;2188029,0;62804,0;232031,0;-0,20588628131899211;-0,44852865255549823;-0,33333362796111976;-0,2180104954424713;0,04166649909713538;0,02596518525722069;-0,06666666666666665;0,09128601277665949;-0,468569017353236;-0,24299070035244608;-0,57534533953008;-0,3369667279036538;-0,2948200735374006;-0,5196825096853444;0,5000035355428118;0,005023210359149877;-0,40000372159954345;0,547169664562789;-0,5559075384843835;-0,1139763020326181
2014;99203,0;8261,0;899295,0;617837,0;1833816,0;35524,0;71100,0;199275,0;91003,0;8687667,0;57724,0;20501,0;599180,0;104997,0;589254,0;166085,0;252862,0;2721695,0;146497,0;204561,0;-0,018511189821319052;-0,226642950758285;0,1923083552205047;1,230305502510658;0,1800002702561836;0,6836018957345971;-0,1071428571428571;-0,0038043152232598576;-0,09678027671357958;0,11111115374285396;1,1935778073342198;0,2622991195123452;0,21468783386278356;1,0655689329556184;1,777770444817378;-0,19249992707046937;1,6140470578505561;0,24390261737847174;1,3326062034265331;-0,11838935314677779
2015;87972,0;7691,0;1116866,0;471772,0;1693949,0;22703,0;82476,0;166570,0;94254,0;9556434,0;33955,0;22365,0;719016,0;133329,0;141421,0;213905,0;125582,0;;121231,0;261624,0;-0,11321230204731714;-0,0689989105435177;0,24193507136145542;-0,23641348769983017;-0,07627101083205734;-0,36091093345343994;0,15999999999999992;-0,16411993476351772;0,035724097007791;0,10000003453171025;-0,4117698011225833;0,0909223940295596;0,19999999999999996;0,26983628103660107;-0,7599999321175588;0,28792485775356;-0,5033575626230908;0,0;-0,17246769558420993;0,27895346620323513
2016;97331,0;14385,0;1160381,0;834416,0;2051387,0;12821,0;75366,0;183303,0;120255,0;;47537,0;23031,0;654918,0;90830,0;872096,0;219561,0;210435,0;;60385,0;210133,0;0,10638612285727267;0,870367962553634;0,038961701761894396;0,7686848732014617;0,21100871395774012;-0,4352728714266837;-0,08620689655172409;0,10045626463348745;0,27586097141765875;0,0;0,3999999999999999;0,029778672032193088;-0,0891468340064755;-0,31875285946793275;5,166665488152396;0,026441644655337715;0,6756780430316447;0,0;-0,5019013288680287;-0,19681298351833165
