year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Denmark;Finland;France;Germany West;Greece;Poland;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Denmark_rendements;Finland_rendements;France_rendements;Germany West_rendements;Greece_rendements;Poland_rendements;Spain_rendements;Sweden_rendements
2007;7311,0;9663,0;456164,0;244949,0;116845,0;213600,0;116800,0;1807,0;640465,0;2,0;113719,0;131467,0;-0,10426366086743444;0,21424981151042966;0,09917446976670208;-0,09459564354386207;0,01219712917002358;0,350881298262701;0,09721843853040357;1,001107419712071;0,10869625428875107;0,0;0,0;0,3859347656497081
2008;18547,0;11937,0;483602,0;248605,0;122476,0;194182,0;110886,0;903,0;590233,0;2,0;63887,0;105556,0;1,5368622623444126;0,23533064265755987;0,060149419945458193;0,014925555932051138;0,0481920492960759;-0,09090823970037454;-0,05063356164383559;-0,5002767017155506;-0,07843051532870648;0,0;-0,43820293882288797;-0,1970912852655039
2009;8316,0;11368,0;380708,0;248605,0;101360,0;223309,0;118278,0;452,0;540000,0;2,0;84331,0;89577,0;-0,5516255998274653;-0,04766691798609368;-0,21276586945463416;0,0;-0,17240928835037073;0,14999845505762632;0,06666305935825978;-0,4994462901439646;-0,08510706788674982;0,0;0,32000250442186995;-0,15137936261321006
2010;5261,0;7011,0;387568,0;244949,0;83059,0;210826,0;125671,0;1355,0;514884,0;2,0;63887,0;71977,0;-0,36736411736411734;-0,3832688247712879;0,018019059226493717;-0,01470605981376083;-0,1805544593528019;-0,055900120460885994;0,06250528416104428;1,997787610619469;-0,04651111111111106;0,0;-0,24242567976189067;-0,19647900688792885
2011;11817,0;7200,0;390997,0;233981,0;74612,0;128992,0;96101,0;1355,0;452093,0;2,0;53665,0;70090,0;1,24615092187797;0,02695763799743256;0,008847479668083968;-0,044776667796153524;-0,10169879242466195;-0,38815895572652326;-0,23529692610069153;0,0;-0,12195174058622915;0,0;-0,16000125221093497;-0,026216708115092358
2012;11314,0;7958,0;346410,0;193766,0;73204,0;140088,0;87230,0;3162,0;445814,0;2,0;44721,0;69442,0;-0,04256579504104252;0,1052777777777778;-0,11403412302396188;-0,17187292985327873;-0,018870959095051765;0,08602083850161257;-0,09230913309955147;1,3335793357933579;-0,013888735282342357;0,0;-0,16666356098015467;-0,009245256099300936
2013;8142,0;7389,0;346410,0;197422,0;76020,0;160893,0;116800,0;1807,0;439535,0;1,0;45999,0;71520,0;-0,2803606151670497;-0,07150037697914047;0,0;0,018868119277891893;0,03846784328725206;0,14851379133116316;0,3389888799724865;-0,4285262492093611;-0,014084349078315128;-0,5;0,028577178506741907;0,0299242533337174
2014;15975,0;6821,0;387568,0;226669,0;84466,0;178924,0;81316,0;2696,0;445814,0;2,0;67720,0;74000,0;0,9620486366985999;-0,07687102449587224;0,11881296729309199;0,14814458368368277;0,11110234148908171;0,11206826897378996;-0,30380136986301365;0,49197565024903156;0,014285551776308969;1,0;0,472205917519946;0,034675615212528044
2015;14524,0;6063,0;473313,0;237637,0;98544,0;270467,0;79838,0;2259,0;508605,0;;57498,0;92381,0;-0,09082942097026603;-0,11112740067438787;0,22123859554968428;0,04838773718505829;0,16667061302772712;0,511630636471351;-0,01817600472231784;-0,1620919881305638;0,14084573387107624;0,0;-0,15094506792675721;0,24839189189189192
2016;15608,0;7389,0;432155,0;233981,0;102767,0;147023,0;;2259,0;464651,0;;40888,0;97871,0;0,0746350867529606;0,21870361207323108;-0,08695725661454468;-0,015384809604564897;0,042853953563890324;-0,45641057873973534;0,0;0,0;-0,08642069975717892;0,0;-0,2888796132039375;0,05942780441865758
