year;Austria;Belgium-Brussels;Cyprus;Denmark;Finland;Germany East;Germany West;Greece;Hungary;Lithuania;Portugal;Sweden;Austria_rendements;Belgium-Brussels_rendements;Cyprus_rendements;Denmark_rendements;Finland_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Lithuania_rendements;Portugal_rendements;Sweden_rendements
2007;13727,0;6557,0;96533,0;175,0;310532,0;2135607,0;24966,0;301056,0;;921703,0;956113,0;29139,0;0,2790719344017891;-0,18455415993035695;-0,355557335790057;-0,527027027027027;0,27731023305938773;0,29850735378615556;-0,030484253038716935;-0,23529486472825;;-0,045976595088405015;0,7222234230729048;0,14661787274229732
2008;9817,0;9526,0;499311,0;117,0;298274,0;589133,0;21512,0;347372,0;39121,0;621872,0;478056,0;26188,0;-0,28484009616085093;0,4527985359158151;4,172438440740472;-0,3314285714285714;-0,039474192675795106;-0,7241379148878984;-0,13834815348874474;0,1538451318027212;;-0,3253011002459577;-0,5000005229507392;-0,10127320772847381
2009;11896,0;7423,0;96533,0;487,0;314618,0;1202813,0;16801,0;440005,0;31688,0;521928,0;231318,0;21817,0;0,2117754914943466;-0,22076422422842745;-0,806667587936176;3,1623931623931627;0,05479525536922436;1,04166631303967;-0,21899404983265158;0,2666680100871688;-0,1900002556171877;-0,1607147451565596;-0,5161278176615292;-0,16690850771345656
2010;6988,0;14722,0;133149,0;253,0;326876,0;981888,0;19784,0;370531,0;33644,0;821759,0;370108,0;31467,0;-0,41257565568258237;0,9832951636804526;0,37931070203971706;-0,4804928131416838;0,03896153430509375;-0,18367360512398856;0,17754895541932036;-0,15789366029931473;0,061726836657409745;0,5744681258717677;0,5999965415575095;0,4423156254297107
2011;7903,0;12000,0;123163,0;331,0;396337,0;687322,0;25437,0;463163,0;44989,0;832864,0;416372,0;29747,0;0,13093875214653683;-0,18489335688085862;-0,07499868568295665;0,308300395256917;0,2124995411103905;-0,29999959262156173;0,2857359482410029;0,24999797587786188;0,33720722862917607;0,013513694404320598;0,12500135095701803;-0,05466043791908981
2012;16971,0;9526,0;76561,0;292,0;263544,0;711869,0;24495,0;602112,0;38730,0;988332,0;385529,0;35882,0;1,1474123750474505;-0,20616666666666672;-0,37837662284939466;-0,1178247734138973;-0,3350507270328029;0,03571397394525411;-0,03703266894680979;0,300000215906711;-0,1391228967080842;0,18666673070273188;-0,0740755862545992;0,20623928463374464
2013;14558,0;7670,0;63246,0;565,0;241071,0;1055530,0;22454,0;440005,0;40295,0;932808,0;447214,0;31609,0;-0,1421837251782453;-0,19483518790678145;-0,17391361136871253;0,9349315068493151;-0,08527228849831525;0,48275876600891454;-0,08332312716880996;-0,26923064147534015;0,040407952491608556;-0,056179502434404616;0,1600009337818944;-0,11908477788306115
2014;14891,0;6557,0;106520,0;331,0;322790,0;687322,0;21669,0;440005,0;41468,0;621872,0;416372,0;33905,0;0,02287402115675241;-0,14511082138200782;0,6842171836954116;-0,41415929203539825;0,33898312115517837;-0,34883707710818257;-0,034960363409637485;0,0;0,029110311453033777;-0,33333333333333337;-0,06896474618415349;0,07263753994115607
2015;17304,0;6557,0;76561,0;195,0;392251,0;1153719,0;27478,0;416847,0;44207,0;866179,0;616847,0;45634,0;0,16204418776442142;0,0;-0,28125234697709345;-0,4108761329305136;0,2151894420521081;0,678571324648418;0,26807882228067736;-0,052631220099771614;0,06605093083823665;0,3928573725782798;0,48148050301172995;0,345937177407462
2016;26788,0;6557,0;56589,0;234,0;312575,0;834605,0;25437,0;370531,0;52422,0;210992,0;447214,0;37683,0;0,5480813684697179;0,0;-0,2608638863128747;0,19999999999999996;-0,20312503983418784;-0,27659594754008554;-0,07427760390130289;-0,1111103114572013;0,18583029836903653;-0,756410626440955;-0,2750001215860659;-0,17423412367971247
