year;Austria;Belgium-Brussels;Belgium-Wallonia;Cyprus;Czech Republic;Denmark;Estonia;France;Germany East;Germany West;Greece;Hungary;Latvia;Lithuania;Netherlands;Norway;Poland;Portugal;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Lithuania_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Spain_rendements;Sweden_rendements
2000;131352,0;61735,0;159868,0;252854,0;;41041,0;381851,0;384917,0;1423135,0;25386,0;200210,0;29680,0;12346,0;1087088,0;;;;337771,0;9040,0;200338,0;0,0445320949169794;-0,0763349641665545;-0,11180003444616671;;;0,050501689362137725;;1,704341227965405;-0,0833333870098183;0,14002155559547336;0,062499668317120616;0,7113532837456034;0,04547379117622152;-0,013512961680757996;;;;-0,1271187535694812;-0,273953899285198;0,057103358027818185
2001;122697,0;58673,0;133037,0;268025,0;;38673,0;328392,0;283428,0;1367688,0;19151,0;183722,0;22171,0;15352,0;1310462,0;;;;413196,0;11257,0;178249,0;-0,06589164991777818;-0,04959909289705999;-0,16783221157454897;0,05999905083566004;;-0,05769839916181385;-0,13999963336484644;-0,2636646341938652;-0,038961166719952756;-0,24560781533128495;-0,08235352879476554;-0,2529986522911051;0,24347966952859235;0,20547922523291584;;;;0,22330217810291586;0,24524336283185844;-0,11025866285976704
2002;127788,0;52551,0;203468,0;268025,0;;36306,0;259658,0;353975,0;1478581,0;16033,0;186077,0;17701,0;19074,0;1414703,0;;;;311537,0;9040,0;156082,0;0,0414924570282893;-0,10434100864111262;0,5294091117508664;0,0;;-0,06120549220386318;-0,20930473336743893;0,24890624779485448;0,08108062657565185;-0,16281134144431098;0,012818279792294884;-0,20161472193405805;0,24244398124022926;0,07954522908714634;;;;-0,24603093931209397;-0,19694412365639158;-0,12435974395368277
2003;93677,0;46939,0;163222,0;270554,0;;31570,0;244384,0;320558,0;1386170,0;16924,0;153101,0;13052,0;9089,0;1012629,0;;;;423034,0;4946,0;139876,0;-0,26693429743011865;-0,10679149778310593;-0,19780014547742153;0,009435686969499146;;-0,1304467581116069;-0,05882352941176472;-0,09440497210254961;-0,062499788648711196;0,05557288093307555;-0,17721695857091424;-0,2626405287836845;-0,5234874698542519;-0,28421089090784424;;;;0,35789328394380115;-0,4528761061946903;-0,10383003805691882
2004;145098,0;56633,0;181109,0;270554,0;;33543,0;381851,0;280952,0;1718851,0;18705,0;176656,0;21277,0;12060,0;1206220,0;;;2042,0;449269,0;2729,0;172263,0;0,5489180908867706;0,20652336010566907;0,10958694293661386;0,0;;0,06249604054482094;0,5625040919209114;-0,1235533039262785;0,24000014428244731;0,10523516899078222;0,1538526854821327;0,6301716212074777;0,3268786445153482;0,19117663033549315;;;;0,06201629183469892;-0,4482410028305701;0,23154079327404276
2005;108442,0;62755,0;209058,0;323653,0;44131,0;37884,0;362758,0;288379,0;1626440,0;20709,0;162523,0;14482,0;11630,0;1295570,0;708,0;;1246,0;383682,0;8699,0;169205,0;-0,25262925746736686;0,10809951794889905;0,15432143074060378;0,19626026597278168;;0,12941597352651812;-0,0500011784701363;0,026435120589993977;-0,0537632406764752;0,10713712910986373;-0,08000294357395166;-0,31935893218028855;-0,03565505804311775;0,0740743811245046;;;-0,38981390793339865;-0,14598603509256147;2,1876145108098206;-0,017751925834334714
2006;110987,0;63776,0;230299,0;298368,0;85172,0;40252,0;481132,0;175750,0;1755815,0;21600,0;186077,0;14661,0;14493,0;923280,0;502,0;;2001,0;327933,0;7505,0;161806,0;0,023468766714003886;0,01626961995060161;0,10160338279329184;-0,07812379307468187;0,9299811923591126;0,06250659909196488;0,32631671803240736;-0,3905589519347803;0,0795448956002065;0,0430247718383312;0,14492717953766543;0,012360171247065344;0,24617368873602752;-0,2873561443997623;-0,29096045197740117;;0,6059390048154094;-0,14530001407415516;-0,13725715599494193;-0,04372802222156558
2007;121169,0;61735,0;256012,0;381810,0;67520,0;33938,0;561320,0;288379,0;1755815,0;25163,0;176656,0;18416,0;20541,0;1355137,0;1479,0;;1634,0;409917,0;4435,0;157597,0;0,09174047410958042;-0,03200263421976923;0,11165050651544295;0,2796613577863578;-0,2072512093176161;-0,1568617708436848;0,16666528104553424;0,6408477951635847;0,0;0,16495370370370366;-0,05062957807789248;0,2561216833776687;0,4173049058166012;0,4677421800537216;1,9462151394422311;;-0,18340829585207397;0,25000228705253824;-0,40906062624916717;-0,026012632411653414
2008;116587,0;58673,0;230299,0;346410,0;70609,0;31570,0;519317,0;451752,0;1626440,0;23159,0;183722,0;15734,0;26839,0;1221112,0;870,0;7618,0;1879,0;426313,0;9210,0;147220,0;-0,03781495266941215;-0,04959909289705999;-0,10043669827976809;-0,09271627249155334;0,04574940758293833;-0,06977429430137305;-0,07482897455996584;0,5665218341141345;-0,07368373091698155;-0,079640742359814;0,039998641427406945;-0,14563423110338836;0,30660629959593;-0,09890143948545427;-0,4117647058823529;;0,14993880048959607;0,03999834112759415;1,0766629086809472;-0,06584516202719592
2009;136952,0;62245,0;248186,0;374224,0;94881,0;31570,0;504043,0;256199,0;1866709,0;20264,0;190788,0;23780,0;15674,0;1191329,0;637,0;10208,0;3471,0;436151,0;7164,0;175556,0;0,1746764218995256;0,06087979138615718;0,07766859604253606;0,08029213937241986;0,343752212890708;0,0;-0,029411708070407827;-0,4328768882041474;0,147726937360124;-0,1250053974696662;0,0384602823831659;0,5113766365831955;-0,41599910577890387;-0,024390064138260836;-0,267816091954023;0,3399842478340771;0,8472591804151144;0,02307694112072589;-0,22214983713355052;0,19247384866186668
2010;140007,0;94388,0;275017,0;346410,0;101059,0;35122,0;626235,0;264863,0;2070014,0;22268,0;221408,0;19846,0;39077,0;1563619,0;262,0;6247,0;4309,0;413196,0;10234,0;165543,0;0,022307085694257767;0,5163948911559162;0,10810843480292998;-0,07432446876736931;0,06511314172489757;0,112511878365537;0,24242376146479572;0,03381746220711235;0,10891092291299831;0,09889459139360435;0,160492274147221;-0,16543313708999163;1,4931096082684703;0,31249973768790995;-0,5886970172684458;-0,38802899686520376;0,24142898300201665;-0,052630854910340696;0,428531546621999;-0,057035931554603625
2011;144080,0;100000,0;310792,0;417209,0;93557,0;50512,0;645328,0;267338,0;2051532,0;26722,0;275583,0;24316,0;21435,0;1429595,0;304,0;6780,0;5983,0;429593,0;12963,0;207629,0;0,029091402572728464;0,05945671059880486;0,130082867604548;0,20437920383360764;-0,07423386338673443;0,4381868914070952;0,03048855461607869;0,009344453547683207;-0,00892844202986065;0,20001796299622776;0,2446840222575517;0,2252343041418925;-0,4514676152212299;-0,08571397507960699;0,16030534351145032;0,08532095405794782;0,38848920863309355;0,03968334640219173;0,2666601524330663;0,25423001878665974
2012;132370,0;102551,0;282843,0;384338,0;125331,0;54064,0;603324,0;313132,0;2070014,0;24495,0;270872,0;24495,0;48990,0;1489161,0;566,0;8532,0;4472,0;432872,0;11257,0;195395,0;-0,08127429205996672;0,02550999999999992;-0,08992831218306774;-0,07878784973478525;0,33962183481727726;0,07031992397846065;-0,06508938090397443;0,17129626166126766;0,009008877268304794;-0,0833395703914378;-0,017094668393914048;0,007361408126336677;1,2855143456962912;0,041666346063045756;0,861842105263158;0,2584070796460176;-0,25254888851746615;0,007632805934919773;-0,13160533827046206;-0,058922404866372236
2013;149680,0;117347,0;286197,0;409624,0;105914,0;56037,0;763701,0;273526,0;2291801,0;24940,0;275583,0;20561,0;42763,0;1414703,0;170,0;10513,0;3819,0;452548,0;16544,0;201171,0;0,13076981189091175;0,14427943169739943;0,011858168666009083;0,06579104850418127;-0,1549257565965324;0,03649378514353363;0,2658223442130596;-0,12648339997189684;0,10714275362388848;0,018166972851602292;0,017391978499069705;-0,16060420493978367;-0,12710757297407638;-0,049999966424046804;-0,6996466431095406;0,2321847163619315;-0,14601967799642224;0,045454545454545414;0,4696633206005152;0,029560633588372243
2014;142552,0;120408,0;301848,0;485480,0;97970,0;54458,0;756064,0;318083,0;2125461,0;28726,0;303848,0;27356,0;33209,0;1474269,0;750,0;11808,0;4962,0;508297,0;16544,0;207498,0;-0,047621592731159845;0,02608502986868011;0,054686107820836716;0,18518446184793858;-0,07500424873010181;-0,02817781108910189;-0,009999986905870228;0,16289859099317794;-0,07258047273737989;0,15180433039294305;0,10256438169262982;0,33048003501775214;-0,2234174403105489;0,04210495065041919;3,4117647058823533;0,12318082374203376;0,2992930086410055;0,12318914236721845;0,0;0,031450855242554754
2015;121679,0;135204,0;296258,0;488008,0;75463,0;50512,0;840071,0;238871,0;2033049,0;28058,0;285004,0;20204,0;35248,0;1250895,0;736,0;14398,0;;468945,0;10916,0;216020,0;-0,1464237611538246;0,12288220051823795;-0,018519254724232104;0,005207217599077163;-0,2297335919158926;-0,07245951008116347;0,11111096415118293;-0,24902934139831423;-0,04347856770837011;-0,023254194806099027;-0,062017851030778504;-0,26144173124725834;0,061399018338402334;-0,15151508985130935;-0,01866666666666672;0,21934281842818426;0,0;-0,07741930406829078;-0,34018375241779497;0,04107027537614827
2016;115569,0;137755,0;304084,0;493065,0;119594,0;54853,0;958445,0;;2162425,0;24718,0;266161,0;25747,0;31849,0;1280678,0;113,0;10817,0;;606677,0;17397,0;221482,0;-0,05021408788698134;0,01886778497677577;0,026416164289234434;0,010362535040409071;0,584803148562872;0,08593997465948688;0,1409095183621385;0,0;0,06363643965295473;-0,11903913322403592;-0,06611486154580282;0,2743516135418729;-0,09643100317748521;0,023809352503607384;-0,8464673913043479;-0,24871509931934987;0,0;0,2937060849353337;0,5937156467570539;0,02528469586149429
