year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Latvia;Luxembourg;Netherlands;Norway;Poland;Republic of Ireland;Romania;Slovenia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Latvia_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Republic of Ireland_rendements;Romania_rendements;Slovenia_rendements;Spain_rendements;Sweden_rendements
1999;75988,0;278788,0;3080966,0;249031,0;;32703,0;79606,0;;683852,0;29640309,0;251947,0;74432,0;1060667,0;46476,0;97980,0;;;;;;;;120903,0;611402,0;-0,5454529140471248;-0,07999867999868004;-0,08955228291152628;;;-0,3626388618203079;-0,051722494877781466;;0,4900002396717804;0,179999996815148;-0,2058833726797934;;0,05714354057924931;-0,43000110379336987;-0,25;;;;;;;;0,05084613178274355;-0,13092635499140026
2000;136778,0;290909,0;2626397,0;144438,0;1229751,0;27065,0;86843,0;2450027,0;660904,0;25118906,0;251947,0;89319,0;1146667,0;88875,0;168743,0;;;;;;;;105302,0;583957,0;0,7999947360109492;0,04347748109674732;-0,14754106341971962;-0,4199999196887134;;-0,1724000856190564;0,09091023289701772;;-0,03355696846686129;-0,15254237059404474;0,0;0,20000806104901114;0,08108105559991974;0,912277304415182;0,7222188201673811;;;;;;;;-0,12903732744431484;-0,04488863301068691
2001;215299,0;290909,0;2222336,0;246541,0;1119073,0;49619,0;83948,0;2670529,0;771055,0;26374851,0;289273,0;71455,0;1175333,0;66860,0;157857,0;;;;;;;;132603,0;552007,0;0,5740762403310473;0,0;-0,15384612455771163;0,7068984616236724;-0,0900003334008267;0,8333271753186773;-0,033336020174337566;0,08999982449173016;0,16666717102635187;0,04999998805680472;0,14815020619415997;-0,20000223916523918;0,024999411337380373;-0,24770745428973273;-0,0645123056956437;;;;;;;;0,25926383164612266;-0,054712932630313516
2002;131712,0;248485,0;1868783,0;201715,0;823933,0;37778,0;82501,0;2278525,0;950050,0;26626040,0;233285,0;68478,0;1175333,0;79091,0;149692,0;;;;;;;;70202,0;517079,0;-0,38823682413759475;-0,14583254557267045;-0,15909070455592678;-0,1818196567710847;-0,26373614589932914;-0,23863842479695274;-0,017236860913899088;-0,14678889463473344;0,23214297293967356;0,009523807357243452;-0,19354727195417476;-0,04166258484360785;0,0;0,1829344899790608;-0,05172402870952819;;;;;;;;-0,47058513004984803;-0,06327455992405895
2003;126646,0;218182,0;1919290,0;219148,0;946908,0;36086,0;75264,0;2033522,0;725159,0;25118906,0;233285,0;79643,0;1204000,0;72568,0;130640,0;;;;;;;;128703,0;498027,0;-0,03846270651117589;-0,12195102320059559;0,02702667993020058;0,08642391492947965;0,14925364076933434;-0,044787971835459794;-0,08772014884668067;-0,10752701857561364;-0,2367149097415926;-0,05660376082962393;0,0;0,16304506556850384;0,024390534427264354;-0,08247461784526688;-0,12727467065708253;;;;;;;;0,8333238369277229;-0,036845433676478856
2004;301418,0;242424,0;1919290,0;186774,0;996098,0;25373,0;89738,0;1960022,0;665494,0;26374851,0;195959,0;81131,0;1060667,0;57076,0;87093,0;;;;1346870,0;;;;117003,0;506987,0;1,3800041059330734;0,11110907407577164;0,0;-0,14772665048277878;0,051948024517693314;-0,29687413401319074;0,19230973639455784;-0,03614418727704938;-0,08227850719635277;0,04999998805680472;-0,16000171464088986;0,0186833745589694;-0,11904734219269097;-0,2134825267335465;-0,3333358848744642;;;;;;;;-0,09090697186545771;0,017990992456232258
2005;238095,0;242424,0;1717260,0;313780,0;811635,0;16916,0;92633,0;1886521,0;830720,0;24867717,0;186628,0;74432,0;1003333,0;59522,0;157857,0;;97980,0;;1845213,0;;;;134553,0;428713,0;-0,210083671180885;0,0;-0,10526288367052394;0,6799982866994336;-0,18518559418852365;-0,33330705868442834;0,03226058080188987;-0,03750008928471216;0,24827571698617867;-0,057142844143460714;-0,047617103577789255;-0,082570164302178;-0,05405466560192784;0,04285514051440176;0,8125107643553442;;;;0,3700008167083684;;;;0,14999615394477073;-0,15439054650316475
2006;233029,0;187879,0;1313199,0;204206,0;737850,0;37778,0;83948,0;1739519,0;587470,0;21351070,0;158633,0;67734,0;831333,0;67676,0;78928,0;;67606,0;;1319933,0;;;113577,0;72152,0;391348,0;-0,021277221277221314;-0,22499834999835;-0,235294014884176;-0,3492064503792466;-0,09090909090909094;1,2332702766611492;-0,09375708440836417;-0,07792227067708235;-0,2928182781201849;-0,14141414750698666;-0,15000428660222476;-0,08998817712811691;-0,1714286283816041;0,13699136453748184;-0,5000031674236809;;-0,31000204123290465;;-0,28467174250343996;;;;-0,46376520776199714;-0,08715620939882862
2007;215299,0;181818,0;1212183,0;159380,0;983801,0;31012,0;76711,0;1788520,0;757286,0;20597503,0;167965,0;72199,0;745333,0;45661,0;111588,0;;132273,0;;1373808,0;193573,0;;84047,0;89702,0;365010,0;-0,07608495080011501;-0,03226012486760099;-0,07692360411483712;-0,21951362839485622;0,3333346886223487;-0,17909894647678548;-0,08620812884166384;0,028169281278330294;0,2890632713159822;-0,03529410938187172;0,05882760837908885;0,06591962677532703;-0,10344831734094517;-0,3252999586263964;0,41379485100344615;;0,9565275271425613;;0,04081646568424313;;;-0,2599998239080096;0,2432365007207007;-0,06730071445363206
2008;250760,0;187879,0;1464722,0;219148,0;737850,0;53002,0;76711,0;2254025,0;573702,0;23862961,0;177296,0;75921,0;860000,0;52999,0;24495,0;;279243,0;44536,0;2101118,0;197444,0;;77232,0;78002,0;348198,0;0,1647058277093716;0,03333553333553341;0,20833405517153758;0,37500313715648126;-0,25000076234929625;0,7090803559912291;0,0;0,2602738577147585;-0,24242360217936154;0,15853659543100918;0,05555324025838715;0,05155196055347022;0,1538466698777594;0,16070607301635964;-0,7804871491558232;;1,1111111111111112;;0,5294116790701466;0,019997623635527706;;-0,0810855830666175;-0,13043187442866377;-0,046059012081860806
2009;220365,0;212121,0;1313199,0;144438,0;946908,0;45108,0;79606,0;2033522,0;849078,0;24616528,0;167965,0;64756,0;860000,0;48107,0;40825,0;;155788,0;33402,0;1831744,0;149051,0;6059,0;55653,0;85802,0;342783,0;-0,12121151698835542;0,12902985432113212;-0,1034482994042556;-0,34091116505740415;0,28333401097784106;-0,14893777593298363;0,03773904655134208;-0,09782633289337961;0,4799983266573935;0,031578939428346775;-0,05262950094756791;-0,14706076052739037;0,0;-0,09230362837034656;0,6666666666666667;;-0,44210597937996654;-0,25;-0,12820507939106707;-0,24509734405704908;;-0,27940490988191424;0,09999743596318034;-0,015551496562300815
2010;174772,0;200000,0;1313199,0;169341,0;885421,0;49055,0;83948,0;1935521,0;725159,0;26123662,0;186628,0;76665,0;946000,0;36692,0;146970,0;;121495,0;24050,0;1575838,0;329074,0;7574,0;89726,0;101402,0;336432,0;-0,20689764708551717;-0,057141914284771445;0,0;0,17241307689112273;-0,06493450261271427;0,08750110845082903;0,054543627364771474;-0,04819274146038255;-0,1459453666212056;0,06122447487314209;0,11111243413806449;0,1839057384643894;0,10000000000000009;-0,23728355540773693;2,6;;-0,22012606876010987;-0,27998323453685403;-0,13970620348695018;1,2077946474696581;0,2500412609341476;0,6122401308105583;0,18181394373091542;-0,018527756627370717
2011;162107,0;200000,0;1363706,0;229109,0;848528,0;38906,0;86843,0;1788520,0;711390,0;23862961,0;167965,0;70711,0;974667,0;40768,0;111588,0;248108,0;133253,0;20932,0;1131371,0;762678,0;6438,0;105627,0;128703,0;350069,0;-0,07246584121026256;0,0;0,038461040558209314;0,3529446501437927;-0,041667184311192096;-0,20689022525736422;0,03448563396388238;-0,07594905971053789;-0,01898755996960666;-0,08653844166258162;-0,10000107165055616;-0,07766255788169307;0,03030338266384769;0,11108688542461564;-0,24074300877730148;;0,09677764517058307;-0,12964656964656962;-0,28205120069448764;1,3176489178725759;-0,14998679693688932;0,17721730602055152;0,269235320802351;0,04053419413135484
2012;169706,0;181818,0;1414214,0;174322,0;922313,0;27065,0;101317,0;1911021,0;743517,0;28635553,0;195959,0;84853,0;1060667,0;46476,0;97980,0;282843,0;99940,0;24495,0;1414214,0;1453733,0;12649,0;91997,0;91652,0;376037,0;0,04687644580431449;-0,09091000000000005;0,03703730862810595;-0,23913071943921893;0,08695647049950028;-0,30434894360766973;0,1666685858388126;0,06849294388656535;0,045160882216505716;0,19999999161881044;0,16666567439645164;0,19999717158575048;0,08823526394142811;0,14001177394034547;-0,12194859662329283;0,13999951633965857;-0,2499981238696315;0,1702178482705905;0,25000022097083985;0,9060901192901853;0,9647406026716372;-0,12903897677677112;-0,28787984740060446;0,0741796617238315
2013;202634,0;133333,0;1414214,0;226619,0;848528,0;54693,0;85396,0;1788520,0;674673,0;21351070,0;167965,0;72199,0;831333,0;36692,0;84372,0;267957,0;78384,0;20487,0;1723994,0;824621,0;3939,0;69282,0;68251,0;310095,0;0,19402967484944544;-0,2666677666677667;0,0;0,3000022946042382;-0,07999995663077497;1,020801773508221;-0,15714046013995675;-0,06410238296701087;-0,09259236843273255;-0,2543859725705314;-0,14285641384167092;-0,14912849280520435;-0,2162167768017672;-0,21051725621826323;-0,13888548683404778;-0,052629904222483814;-0,21568941364818894;-0,16362522963870174;0,2190474708919583;-0,43275622139691405;-0,6885919835560124;-0,24691022533343476;-0,25532448828176146;-0,1753604033645625
2014;167173,0;187879,0;1313199,0;219148,0;799338,0;42853,0;95527,0;1911021,0;670083,0;24114150,0;158633,0;70711,0;831333,0;44030,0;51712,0;290286,0;124435,0;13361,0;1562370,0;1012387,0;9847,0;69282,0;107252,0;347460,0;-0,17500024675029857;0,40909602274005685;-0,07142836939812502;-0,03296722693154586;-0,05797098033300019;-0,21648108533084676;0,11863553328024734;0,06849294388656535;-0,0068032958188634085;0,12941178123625652;-0,05555919387967734;-0,020609703735508855;0,0;0,19998909844107704;-0,38709524486796565;0,08333053437678428;0,5875051030822618;-0,3478303314296871;-0,09374974622881516;0,2276997554027851;1,4998730642295;0,0;0,5714348507714173;0,12049533207565433
2015;187436,0;193939,0;1565737,0;244051,0;873123,0;62587,0;98422,0;1984522,0;766465,0;23109393,0;186628,0;80387,0;1089333,0;35876,0;59877,0;320059,0;143051,0;13361,0;;1082073,0;9165,0;118120,0;111152,0;367447,0;0,12120976473473588;0,03225480229296518;0,19230748728867453;0,1136355339770383;0,0923076345676046;0,4605045154364922;0,030305568059292076;0,0384616390924013;0,14383591286452568;-0,04166669776873744;0,17647652127867475;0,13683868139327693;0,31034495202283563;-0,18519191460367934;0,15789371905940586;0,10256436755475629;0,1496042110338731;0,0;0,0;0,06883336115536842;-0,06925967299685187;0,7049161398343005;0,03636295826651259;0,057523168134461455
2016;177305,0;187879,0;1515229,0;251522,0;897718,0;37214,0;108554,0;2376526,0;615008,0;;177296,0;89319,0;1003333,0;35061,0;65320,0;337427,0;210657,0;20932,0;;737513,0;9089,0;;113102,0;385194,0;-0,05405044922000046;-0,031246938470343766;-0,03225829114340406;0,03061245395429646;0,02816899795332395;-0,40540367808011246;0,10294446363617893;0,19753069000998735;-0,1976045872936142;0,0;-0,050003214951668595;0,1111124933135954;-0,07894739257876149;-0,02271713680454901;0,09090301785326593;0,054264994891566776;0,4726006808760512;0,5666492029039742;0,0;-0,31842583633451715;-0,008292416803055147;0,0;0,017543543975816922;0,048298121906016345
