year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Republic of Ireland;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1995;4565651,0;4224242,0;8967623,0;;;;2224567,0;;;;3738682,0;;8718590,0;;;652363,0;590422,0;256017,0;;;;;;;;847914,0;15938319,0;-0,007999834871275646;0,05128189813204087;0,0;;;;-0,08823504096773283;;;;0,05645164252784407;;-0,027397251105064302;;;-0,10416769657521074;-0,057326284832044605;-0,2600023123392201;;;;;;;;-0,11820569938164138;-0,007464170908533796
1996;4197453,0;4224242,0;9548858,0;;;;2272407,0;;;;3624523,0;;8964184,0;;;576507,0;542550,0;256017,0;;;;1663781,0;;;;908925,0;16376852,0;-0,08064523547682467;0,0;0,06481483443271419;;;;0,021505308673553047;;;;-0,030534557365403114;;0,028169004391765284;;;-0,11627882022738878;-0,08108098952952292;0,0;;;;;;;;0,07195423120741018;0,027514382162886708
1997;3571517,0;3846465,0;8386389,0;;;;2296327,0;;;;3339128,0;;8350198,0;;;657420,0;534572,0;384026,0;;;;1663781,0;;;;816784,0;14949643,0;-0,14912281328701005;-0,08943071916807799;-0,12173906031485648;;;;0,01052628336385153;;;;-0,07874001627248606;;-0,06849323931771145;;;0,14035042072342563;-0,014704635517463815;0,5000019529953088;;;;0,0;;;;-0,10137360068212453;-0,08714794516064506
1998;4528831,0;3709091,0;8303355,0;;;;2296327,0;;6439901,0;16186690,0;3025193,0;;9086981,0;1780971,0;;804076,0;546540,0;380567,0;;;;1746970,0;;;;869532,0;15625030,0;0,2680412832978256;-0,03571435070902762;-0,009901043226113182;;;;0,0;;;;-0,09401706074160676;;0,08823539274158532;;;0,22307809315201843;0,02238800386103268;-0,009007202637321465;;;;0,04999996994796785;;;;0,0645801093067444;0,045177466779641406
1999;4492011,0;3983838,0;8469422,0;2342377,0;;;2344167,0;;6890694,0;17157891,0;3339128,0;830336,0;9700966,0;1780971,0;;622021,0;638295,0;335591,0;;;;1913348,0;;;;887691,0;16401257,0;-0,008130133361125669;0,07407394426289349;0,019999987956675236;;;;0,020833269826117995;;0,06999998913026761;0,05999997528833867;0,10377354436559916;;0,06756754526063169;0,0;;-0,2264151647356718;0,16788341201009982;-0,11818155541599773;;;;0,09523804072193576;;;;0,020883647755344237;0,04967843261740934
2000;5044308,0;3915152,0;8718523,0;2225259,0;6140345,0;;2344167,0;4628335,0;6955093,0;17157891,0;3224970,0;888459,0;9823763,0;1798780,0;;748448,0;586433,0;345970,0;;;;1663781,0;;;;908733,0;16142515,0;0,12295094557871744;-0,017241162918773312;0,029411806378286443;-0,04999963712075384;;;0,0;;0,009345793036231287;0,0;-0,03418796763705978;0,0699993737474951;0,012658223933575297;0,009999601341066144;;0,20325198023860924;-0,08125083229541197;0,030927527853845893;;;;-0,13043471443772903;;;;0,023704194364930986;-0,01577574206659893
2001;5891162,0;4361616,0;9714925,0;2248682,0;6508765,0;;2344167,0;5322586,0;6826295,0;18614693,0;3681603,0;871852,0;9578169,0;1745351,0;;793962,0;809836,0;470519,0;;;;1746970,0;;;;1010483,0;17256436,0;0,16788308723416567;0,11403490847864917;0,11428564218962323;0,010525965741515986;0,05999988599989092;;0,0;0,1500001620453144;-0,01851851585593467;0,08490565652853266;0,14159294505065168;-0,01869191487733257;-0,02499999236545103;-0,02970290974994161;;0,060811171918423224;0,3809522997512078;0,35999942191519496;;;;0,04999996994796785;;;;0,1119690822276731;0,06900541830067985
2002;5486145,0;4086869,0;10794362,0;2506344,0;6692976,0;;2368087,0;4535769,0;6761896,0;18452826,0;3653063,0;888459,0;9946560,0;1834400,0;;849589,0;654252,0;449760,0;;;;1780246,0;;;;827545,0;17011330,0;-0,06874993422350295;-0,06299201947168209;0,11111120260835783;0,11458356495049093;0,028301989701579267;;0,010204051161883942;-0,14782607552043314;-0,009433960882147652;-0,008695657779583033;-0,007752058002994944;0,019047957680890848;0,03846152641491285;0,051020682945722706;;0,07006254707404125;-0,19211791029294822;-0,044119366061731835;;;;0,019047837112257326;;;;-0,18104015604418877;-0,014203744040774069
2003;5412505,0;4052525,0;10545261,0;2459496,0;6631572,0;;2320247,0;4396919,0;6439901,0;18938427,0;3738682,0;905066,0;10314951,0;1745351,0;;667535,0;889623,0;425543,0;;;;1713695,0;;;;957830,0;15268316,0;-0,01342290442560301;-0,008403499108975643;-0,02307695443232305;-0,018691767770106615;-0,009174394170844202;;-0,020201960485404458;-0,03061222915011763;-0,04761904057678501;0,026315806587023483;0,023437591960500104;0,01869191487733257;0,037037025866229145;-0,04854393807239421;;-0,21428478946879015;0,35975587388345764;-0,05384427250088941;;;;-0,037383035827632805;;;;0,15743554731162646;-0,10246194741974912
2004;6038441,0;3709091,0;10545261,0;2295530,0;5710521,0;;2248487,0;4443202,0;7019492,0;19747761,0;3567444,0;863549,0;10192154,0;1780971,0;;677649,0;694145,0;508575,0;;;1297444,0;1763608,0;;;;949375,0;16156152,0;0,11564626730136962;-0,0847456832468646;0,0;-0,06666650403172036;-0,138888788359683;;-0,03092774174473667;0,010526234392764566;0,08999998602462989;0,04273501701065241;-0,04580170231113534;-0,045871792775333486;-0,011904758442381369;0,020408502358551406;;0,015151265476716524;-0,21973127942960102;0,1951201171209489;;;;0,029125952984632608;;;;-0,008827244918200527;0,05814891439239278
