year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Norway;Poland;Portugal;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
1998;1067794,0;327328,0;11068185,0;;;;889489,0;;11592154,0;8962465,0;7169281,0;;10615584,0;2278595,0;;3185694,0;4168553,0;;;;;1372549,0;;;871857,0;7491873,0;-0,11235970000615148;0,32672930228033636;0,059210484132827146;;;;0,15294052075448228;;;;-0,056179785635221746;;0,11926596218470387;;;-0,0722221801552968;0,07801429627650802;;;;;-0,04109620622996246;;;0,004275783423276058;-0,06935000349682885
1999;1338122,0;398168,0;11961890,0;631734,0;;;1007482,0;;11476232,0;9589838,0;9046950,0;989743,0;11485714,0;2369739,0;;2727870,0;5046143,0;;;;;2254902,0;;;1050091,0;9115257,0;0,25316493630793957;0,21641900479030207;0,08074539773232914;;;;0,13265256793507274;;-0,010000039682012463;0,07000005020940114;0,2619047851520955;;0,08196722855756211;0,040000087773386594;;-0,1437124846265837;0,21052629053774785;;;;;0,64285719489796;;;0,2044303136867629;0,21668600095063018
2000;1162409,0;371298,0;12786848,0;555926,0;3038686,0;;998406,0;4130867,0;12403604,0;9589838,0;8193464,0;960051,0;12181818,0;2164666,0;;2651566,0;4415375,0;;;;;1921569,0;;;952743,0;8616748,0;-0,13131313886177798;-0,06748407707299431;0,0689655230068158;-0,11999987336442242;;;-0,009008597672216512;;0,08080805616338194;0,0;-0,09433963932596068;-0,02999970699464405;0,06060607115935501;-0,08653822214176332;;-0,027972007463698767;-0,1250000247713947;;;;;-0,1478259365595489;;;-0,09270434657567772;-0,054689516708086194
2001;1513835,0;346870,0;14643003,0;524339,0;3281781,0;;989330,0;4543954,0;12055840,0;10754959,0;8364161,0;979845,0;11746753,0;2301381,0;;2727870,0;5539788,0;;;;;1803922,0;;;1173990,0;8673233,0;0,3023256014019162;-0,0657908203114479;0,14516126257229311;-0,056818713281983624;0,08000003949075363;;-0,009090490241444815;0,10000007262397936;-0,028037334955227533;0,12149537875405203;0,020833312991916486;0,020617654687094644;-0,03571429157782524;0,06315754947876484;;0,02877695671161873;0,2546585510856949;;;;;-0,06122444731362753;;;0,2322210711597985;0,0065552572733935666
2002;1446253,0;322443,0;14299271,0;499070,0;3372941,0;;980253,0;3759089,0;11823997,0;10486085,0;8108115,0;960051,0;12094805,0;2574813,0;;2823250,0;3866881,0;;;;;2019608,0;;;858534,0;8608429,0;-0,04464291022469424;-0,07042119526047219;-0,02347414666240255;-0,04819210472614088;0,027777600028764837;;-0,00917489614183331;-0,1727273207431237;-0,019230762850203753;-0,025000002324509052;-0,030612275397376987;-0,020201154264194887;0,02962963467436497;0,11881213931982582;;0,03496500932962343;-0,3019803284891046;;;;;0,11956503662575213;;;-0,26870416272711006;-0,007471723635234961
2003;1257023,0;346870,0;14024285,0;625417,0;3221007,0;;962100,0;3139459,0;10548860,0;10754959,0;7510675,0;969948,0;12442857,0;2369739,0;;2365425,0;3866881,0;;;;;1823529,0;;;1009552,0;9228226,0;-0,13084156091638188;0,0757560250959084;-0,019230770575646816;0,253164886689242;-0,045044962245114895;;-0,018518688542651707;-0,16483515021857686;-0,10784314305898424;0,02564102808626867;-0,07368420403509324;0,010308827343547433;0,02877698317583466;-0,07964617236280847;;-0,16216240148764727;0,0;;;;;-0,09708765265338615;;;0,17590217743269343;0,07199885135836048
2004;1108343,0;295573,0;13474313,0;549609,0;3312168,0;;962100,0;3841706,0;10317017,0;11203082,0;7339978,0;989743,0;12094805,0;2301381,0;;2250969,0;3866881,0;;;;1346870,0;1627451,0;;;976819,0;7990382,0;-0,11827945868930001;-0,1478853749243232;-0,03921568907077977;-0,12121192740203734;0,028302018592322176;;0,0;0,2236840806011482;-0,021978014685947067;0,04166663954739391;-0,02272725154530053;0,02040831054860681;-0,02797203246810598;-0,028846214709721152;;-0,048387076318209155;0,0;;;;;-0,10752666944150602;;;-0,032423292708052665;-0,13413672356962214
2005;1311089,0;322443,0;12718101,0;480118,0;3221007,0;1879551,0;980253,0;4048250,0;11012546,0;10934208,0;8534858,0;1108512,0;11920779,0;2210237,0;1928732,0;2136513,0;4579923,0;;1414214,0;;1495026,0;1960784,0;;;1031820,0;8438975,0;0,1829271263498755;0,09090816820210246;-0,0561224902523787;-0,1264371580523609;-0,02752306042447117;;0,01886810102899905;0,053763614394230164;0,06741570746660597;-0,02400000285635684;0,16279067866415953;0,11999983834187256;-0,01438849158791733;-0,039604046439941976;;-0,05084743503797695;0,1843971924659693;;;;0,11000022273864585;0,20481906982145692;;;0,056306234829584634;0,056141621264164776
2006;1297573,0;300458,0;12443115,0;675955,0;3008299,0;2142689,0;980253,0;4172176,0;11476232,0;9858712,0;7254629,0;1088717,0;12355844,0;2324167,0;2102318,0;2727870,0;4004005,0;1396754,0;1541493,0;;1090965,0;1686275,0;;;962830,0;7355696,0;-0,010308987414279325;-0,06818259351265188;-0,021621624171721865;0,40789347618710403;-0,06603773292017057;0,14000045755608648;0,0;0,03061223985672812;0,04210524977602814;-0,0983606677319473;-0,15000003514996973;-0,017857271730030932;0,036496356488112;0,05154650836086816;0,09000006221704204;0,2767860527878838;-0,12574840232030104;;0,08999981615229369;;-0,2702702160363766;-0,13999961239993797;;;-0,06686243724680663;-0,12836618191190285
2007;1567900,0;307786,0;13680552,0;802302,0;3221007,0;2199075,0;1071017,0;4461336,0;12055840,0;10127586,0;8620207,0;1256973,0;13051948,0;2415311,0;2121606,0;2479881,0;5430089,0;1089468,0;1824336,0;;1185246,0;1882353,0;;7065836,0;982337,0;8581936,0;0,20833278744240213;0,024389432133609334;0,0994475258004126;0,18691628880620748;0,07070706734935595;0,02631553155870958;0,09259242256845934;0,06930675982988244;0,050505078670420644;0,02727273096120464;0,18823540114870108;0,1545452123922011;0,05633803728826625;0,03921577063954529;0,009174634855430908;-0,09090939084340532;0,35616439040410786;-0,2200000859134823;0,18348639922464782;;0,08641982098417467;0,11627878015151749;;;0,020260066678437605;0,16670618252847857
2008;1473285,0;351756,0;14161778,0;764398,0;3464102,0;2537394,0;998406,0;4378719,0;12519526,0;10127586,0;9644390,0;1118409,0;14183117,0;2255809,0;1716572,0;2098361,0;5676911,0;1257079,0;1697057,0;1611227,0;1158309,0;2196078,0;;5864644,0;981005,0;7829246,0;-0,0603450475157854;0,14285899943467206;0,03517591980206647;-0,04724405523107256;0,0754717391176114;0,15384604890692688;-0,06779630948901838;-0,01851844380248424;0,038461525700407506;0,0;0,11881188003953969;-0,11023625805804893;0,086666679946932;-0,0660378725555425;-0,1909091508979518;-0,15384609180843756;0,04545450360021719;0,1538466480887919;-0,06976730163741762;;-0,022726927574528877;0,16666640104167496;;-0,16999998301687158;-0,0013559501474544877;-0,08770631708276544
2009;1378671,0;329771,0;11136932,0;650686,0;3494489,0;2368235,0;934871,0;3965632,0;12171761,0;10754959,0;7681372,0;1019435,0;13400000,0;1845662,0;2391628,0;2594337,0;4333101,0;1326917,0;1541493,0;1659564,0;1360339,0;1803922,0;25981,0;6995177,0;780408,0;7307530,0;-0,0642197538154532;-0,06250071071993091;-0,21359224809201216;-0,1487602008377834;0,008771970340365254;-0,06666643020358687;-0,0636364364797487;-0,0943396915855984;-0,027777808840366625;0,06194694372380538;-0,20353988173435544;-0,088495353667576;-0,05521473171235913;-0,1818181415181871;0,3932581913255022;0,2363635237216093;-0,2367150022256822;0,05555577652637589;-0,09166692692113465;0,030000117922552194;0,17441805252311782;-0,17857107079074608;;0,19277095080281081;-0,20448111885260523;-0,0666368127914233
2010;1513835,0;312672,0;10586960,0;732811,0;3342555,0;2349439,0;816878,0;4626571,0;9621488,0;10754959,0;8620207,0;1128307,0;12355844,0;1959592,0;2333766,0;2270045,0;4881595,0;1033598,0;1513209,0;1514554,0;1306464,0;1490196,0;29863,0;8761636,0;679158,0;7674681,0;0,09803934368678235;-0,051851133059001575;-0,04938272048352277;0,12621295063978621;-0,043478173775908346;-0,007936712361737763;-0,12621313528818412;0,16666675072220527;-0,2095237492750638;0,0;0,12222230611927132;0,10679641173787435;-0,07792208955223878;0,061728528842225794;-0,02419356187500732;-0,12499995181813306;0,12658232522159074;-0,2210530123587232;-0,018348445305946925;-0,08737837166870333;-0,039604098684224986;-0,17391328449899723;0,14941688156729915;0,25252527562919425;-0,12973982839745368;0,05024283170920962
2011;1567900,0;320000,0;10105734,0;833889,0;3524876,0;3383193,0;780572,0;5122275,0;7766743,0;10665334,0;8193464,0;1138204,0;10789610,0;2073522,0;1890158,0;2422653,0;5320390,0;1424689,0;1400072,0;1530666,0;1198715,0;1274510,0;25981,0;9468220,0;588660,0;7776047,0;0,03571393183537186;0,02343670044007773;-0,045454596975902484;0,13793188148103663;0,0545454001504837;0,4400003575321598;-0,04444482529826976;0,10714284942347141;-0,19277111814721382;-0,008333365101624302;-0,04950495968368274;0,008771548878097946;-0,1267605838985989;0,058139653560537186;-0,1900824675653;0,06722686114151921;0,0898876289409507;0,3783782476359281;-0,0747662748503346;0,010638115247128876;-0,08247376123643668;-0,14473666551245612;-0,12999363761176042;0,08064521283468062;-0,13325028932884542;0,01320784538145614
2012;1527351,0;295573,0;9899495,0;707542,0;3129847,0;2706554,0;853183,0;4874423,0;8346351,0;12457827,0;7339978,0;1039230,0;12007792,0;1959592,0;2449490,0;1754993,0;4963869,0;1131371,0;1414214,0;1240645,0;1414214,0;1470588,0;34641,0;5723327,0;698570,0;7638119,0;-0,025861980993685862;-0,07633437499999995;-0,02040811681764032;-0,15151536955158296;-0,11206890682111936;-0,200000118231505;0,09302280891448844;-0,048387093625391064;0,0746269060274043;0,16806721664788005;-0,10416668700808351;-0,0869562925450974;0,11290324673459007;-0,05494516093873125;0,29591811901438936;-0,27559043742541756;-0,06701031315373496;-0,2058821258534319;0,010100909096103727;-0,18947373234918652;0,17977500907221478;0,15384579171603208;0,333320503444825;-0,3955223896360668;0,18671219379607917;-0,01773754711101927
2013;1243507,0;229618,0;10380720,0;423262,0;3312168,0;1992324,0;753343,0;3841706,0;9389645,0;12099328,0;5974401,0;1019435,0;12094805,0;1572231,0;1697284,0;1659613,0;4058854,0;907890,0;1004092,0;966736,0;1387277,0;1000000,0;13140,0;7348469,0;588565,0;6408594,0;-0,18584071375865796;-0,22314284457646671;0,048611065513948004;-0,40178533571151964;0,058252368246754616;-0,26388906336248974;-0,11702061574128875;-0,21186446067565334;0,12500001497660485;-0,028777009024125944;-0,18604647043901223;-0,019047756512032943;0,00724637801853989;-0,19767431179551664;-0,3070867813299911;-0,05434779511941068;-0,18232048428352965;-0,19753113700103675;-0,2899999575736063;-0,2207795138818921;-0,019047329470645913;-0,3199998911999826;-0,6206806962847493;0,28395057629941456;-0,15747169217114965;-0,16097222365873065
2014;1527351,0;359084,0;11343171,0;644369,0;3646423,0;2217871,0;871336,0;4378719,0;10432938,0;11203082,0;8193464,0;1108512,0;12790909,0;1686161,0;2140893,0;1869449,0;4497649,0;921858,0;1414214,0;1063410,0;1589307,0;1411765,0;22099,0;6995177,0;739394,0;7925578,0;0,22826087830627406;0,5638321037549321;0,09271524518530505;0,5223880244387638;0,10091728438895609;0,11320799227434897;0,15662586630525532;0,1397850330035666;0,11111101644417865;-0,07407403121892386;0,3714285331701035;0,08737879315503205;0,057553966351669095;0,07246390638525768;0,261364038074948;0,12643670542469843;0,10810810144932526;0,015385123748471674;0,4084506200627034;0,10000041376342672;0,14563061306429792;0,41176499999999994;0,6818112633181126;-0,04807695317215055;0,2562656630958349;0,2367108916557985
2015;1676031,0;420153,0;13818045,0;865475,0;4041452,0;2988487,0;980253,0;5039658,0;12055840,0;12009704,0;8193464,0;1266871,0;13835065,0;1936806,0;3298132,0;1754993,0;4470225,0;921858,0;1414214,0;1530666,0;;1588235,0;31655,0;7772419,0;970632,0;9219907,0;0,09734501106818283;0,1700688418308809;0,21818184703377907;0,3431356877813798;0,10833328991178481;0,3474575392346986;0,125;0,15094346086149857;0,15555560667570334;0,07200000856907063;0,0;0,14285727173003093;0,08163266582539208;0,14864832005959094;0,5405403259294135;-0,06122445704589963;-0,006097407779041886;0,0;0,0;0,43939402488221857;0,0;0,12499955729175882;0,43241775645956837;0,11111112699507109;0,3127398923983695;0,16331036045572955
2016;2000424,0;432366,0;13886792,0;941284,0;3919905,0;1428459,0;1089170,0;5246201,0;11708075,0;;8961601,0;1276768,0;14792208,0;1845662,0;4455372,0;1964829,0;4607348,0;824085,0;1470783,0;1095635,0;;1784314,0;31356,0;5158060,0;932188,0;9583773,0;0,19354832935667665;0,029067982377848134;0,004975161102746428;0,08759236257546443;-0,030075081926000835;-0,5220126438562389;0,11111111111111116;0,040983534993842774;-0,028846185748981457;0,0;0,09374996948787473;0,007812160827740167;0,06918239993812825;-0,04705892071792428;0,3508774057557429;0,11956514926270367;0,030674742322813753;-0,10606080329074541;0,0400003111268874;-0,2842102718685853;0,0;0,12345717101058717;-0,00944558521560579;-0,33636362115835494;-0,03960718377304684;0,03946525707905724
