year;Austria;Belgium-Wallonia;Bulgaria;Cyprus;Denmark;Estonia;France;Germany West;Greece;Hungary;Italy;Netherlands;Norway;Poland;Republic of Ireland;Romania;Slovakia;Spain;Sweden;Austria_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Denmark_rendements;Estonia_rendements;France_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Netherlands_rendements;Norway_rendements;Poland_rendements;Republic of Ireland_rendements;Romania_rendements;Slovakia_rendements;Spain_rendements;Sweden_rendements
2005;19843,0;1279969,0;530075,0;2564760,0;13439,0;275644,0;9896650,0;6107,0;9616,0;23976,0;522691,0;28284,0;;4508495,0;;;;4639,0;170658,0;-0,22342673763306198;0,07594868609193361;0,12499946941495566;-0,011111291042721683;0,08335348649738017;0,14942662941495355;-0,024793412860923958;-0,03781314006617298;0,5714986108841313;0,07409730310904039;;;;0,24000002200290815;;;;0,5832764505119454;-0,003736179056381239
2006;22001,0;1370320,0;584442,0;2449490,0;13310,0;305964,0;10651479,0;4472,0;8741,0;24803,0;527918,0;40446,0;;4544854,0;;;;3255,0;184768,0;0,10875371667590583;0,07058842831349832;0,10256473140593303;-0,044943776415727;-0,009598928491703296;0,10999695259102316;0,07627116246406618;-0,2677255608318323;-0,09099417637271212;0,034492826159492784;0,010000172185861356;0,42999575731862527;;0,00806455369252923;;;;-0,2983401595171373;0,08267997984272646
2007;19982,0;1460671,0;543667,0;2247767,0;13310,0;314234,0;10903089,0;6107,0;6993,0;20462,0;538372,0;22062,0;;3926754,0;123058,0;;1582337,0;3255,0;185977,0;-0,09176855597472844;0,06593423433942447;-0,06976740206898202;-0,0823530612494846;0,0;0,02702932371128619;0,02362207163906538;0,36560822898032197;-0,199977119322732;-0,1750191509091642;0,019802317784201273;-0,45453196855066014;;-0,13599996831581385;;;;0,0;0,006543340838240486
2008;20260,0;1310086,0;457586,0;2449490,0;12147,0;339042,0;11574048,0;7069,0;7867,0;21082,0;501783,0;20647,0;32778,0;4108548,0;153823,0;;1202576,0;4639,0;176850,0;0,01391252126914222;-0,10309303053185825;-0,1583340537498138;0,08974373233524657;-0,08737791134485351;0,0789475359127274;0,061538431906774216;0,157524152611757;0,12498212498212502;0,030300068419509385;-0,06796230115979285;-0,06413743087662038;;0,046296253852418534;0,25000406312470536;;-0,2400000758371953;0,42519201228878645;-0,04907596100593081
2009;25900,0;1355262,0;521014,0;2449490,0;12147,0;305964,0;10567609,0;5193,0;6119,0;27903,0;501783,0;31112,0;36384,0;4363060,0;159976,0;362,0;1566514,0;4232,0;190788,0;0,278381046396841;0,03448323239848383;0,13861438068472376;0,0;0,0;-0,0975631337710372;-0,08695652549566069;-0,2653840712972132;-0,22219397483157488;0,32354615311640256;0,0;0,5068532958783358;0,11001281347245095;0,06194694573362658;0,04000052007827182;;0,3026320166043559;-0,08773442552274202;0,07881255301102619
2010;24995,0;1325145,0;475709,0;2564760,0;12535,0;325259,0;11322438,0;6107,0;5245,0;25629,0;559279,0;25738,0;35072,0;4508495,0;132903,0;366,0;1977921,0;4476,0;207811,0;-0,03494208494208495;-0,022222271413202765;-0,08695543689804885;0,047058775500206096;0,0319420433028732;0,0630629747290532;0,07142855115097468;0,176006162141344;-0,14283379637195626;-0,08149661326739055;0,1145833956112503;-0,17273077912059653;-0,036059806508355274;0,033333256934353406;-0,16923163474521175;0,011049723756906049;0,262625804812469;0,05765595463137996;0,08922468918380622
2011;26526,0;1400437,0;443995,0;2708848,0;12147,0;361093,0;11657918,0;5915,0;10490,0;22322,0;601095,0;20082,0;38678,0;4617571,0;153823,0;479,0;2784913,0;5615,0;188714,0;0,061252250450090084;0,05681793313184591;-0,0666668068083639;0,0561799154696736;-0,030953330674112434;0,11017066399392483;0,02962966103236786;-0,03143933191419679;1,0;-0,12903351671934138;0,07476769197484612;-0,21975289455280134;0,10281706204379559;0,024193439274081463;0,1574080344311264;0,3087431693989071;0,40800011729487684;0,2544682752457552;-0,09189600165535028
2012;26248,0;1264911,0;502892,0;2564760,0;12664,0;366606,0;10735349,0;4472,0;9616,0;21909,0;632456,0;25456,0;39006,0;4472136,0;177204,0;775,0;2025391,0;4069,0;221304,0;-0,010480283495438392;-0,09677407837696372;0,1326523947341749;-0,05319161503340164;0,04256194945253977;0,015267534956368678;-0,07913668632769588;-0,24395604395604398;-0,08331744518589135;-0,01850192635068537;0,05217311739408914;0,26760282840354543;0,008480273023424134;-0,0314959964881969;0,15199937590607382;0,6179540709812108;-0,2727273706575394;-0,2753339269813001;0,17269518954608554
2013;24090,0;1310086,0;566320,0;2391855,0;13568,0;432760,0;11238568,0;3991,0;8741,0;23149,0;669044,0;24324,0;35728,0;3817677,0;158745,0;406,0;2262742,0;5127,0;224067,0;-0,08221578786955197;0,03571397513342833;0,12612648441414853;-0,0674156646235905;0,07138344914718897;0,18044985624894294;0,04687495488036775;-0,10755813953488369;-0,09099417637271212;0,05659774521885974;0,05785066471027234;-0,04446888749214328;-0,08403835307388607;-0,146341479776107;-0,10416807747003454;-0,47612903225806447;0,11718774300863388;0,26001474563774885;0,012485088385207677
2014;18450,0;1310086,0;525545,0;2651213,0;12793,0;394170,0;10819219,0;3318,0;9616,0;24803,0;674271,0;22344,0;33434,0;4363060,0;168590,0;453,0;2436799,0;5290,0;206108,0;-0,23412204234122047;0,0;-0,07199992936855493;0,10843383064608858;-0,05711969339622647;-0,08917182734078932;-0,03731338369799431;-0,16862941618641947;0,10010296304770616;0,07145017063372072;0,00781264012531313;-0,08140108534780466;-0,06420734437975817;0,14285729253679658;0,06201770134492435;0,11576354679802958;0,07692304292756313;0,03179247123073914;-0,08015013366537682
2015;23115,0;1219736,0;525545,0;2593578,0;12276,0;446543,0;10903089,0;5434,0;6993,0;21909,0;726540,0;24607,0;28517,0;;158745,0;278,0;2088685,0;5697,0;216395,0;0,25284552845528463;-0,06896493817963101;0,0;-0,021739105835706152;-0,040412725709372266;0,13286906664637077;0,007751945865963172;0,6377335744424353;-0,27277454242928456;-0,1166794339394428;0,07751927637403955;0,10127998567848184;-0,1470658610994796;0,0;-0,058396108903256416;-0,38631346578366443;-0,14285708423222432;0,07693761814744793;0,049910726415277384
2016;19703,0;1279969,0;534606,0;2651213,0;12405,0;363850,0;;6107,0;5245,0;25423,0;736994,0;25738,0;32450,0;;184587,0;647,0;3101381,0;3743,0;229248,0;-0,1476097772009518;0,04938199741583427;0,017241149663682398;0,022222196517706516;0,01050830889540566;-0,18518485341837176;0,0;0,12384983437615027;-0,24996424996424993;0,16039070701538183;0,014388746662262308;0,045962530987117445;0,13791773328190193;0,0;0,16278937919304548;1,327338129496403;0,4848486009139721;-0,3429875373003335;0,059396011922641545
