year;Austria;Belgium-Brussels;Belgium-Wallonia;Bulgaria;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Germany East;Germany West;Greece;Hungary;Italy;Latvia;Lithuania;Luxembourg;Netherlands;Poland;Portugal;Romania;Spain;Sweden;Austria_rendements;Belgium-Brussels_rendements;Belgium-Wallonia_rendements;Bulgaria_rendements;Cyprus_rendements;Czech Republic_rendements;Denmark_rendements;Estonia_rendements;Finland_rendements;France_rendements;Germany East_rendements;Germany West_rendements;Greece_rendements;Hungary_rendements;Italy_rendements;Latvia_rendements;Lithuania_rendements;Luxembourg_rendements;Netherlands_rendements;Poland_rendements;Portugal_rendements;Romania_rendements;Spain_rendements;Sweden_rendements
1999;257822,0;834167,0;11325672,0;92265,0;;;1397313,0;;17876989,0;6882439,0;935704,0;558121,0;19200065,0;628907,0;;697491,0;284927,0;;;;1265349,0;;982733,0;5915397,0;-0,14529988198321242;0,32758744169095055;0,10909096072523283;;;;0,16455657168669524;;0,17999997491747677;0,1700000985987753;0,2738864602662665;;0,16599193209188812;-0,08999921864373917;;0,012422107810193372;-0,06040350344936751;;;;0,283018734004713;;0,2016833028245395;0,1054572847455637
2000;348060,0;893750,0;13182340,0;57204,0;3162278,0;;1579572,0;1747438,0;17725489,0;6294196,0;1015238,0;613933,0;19600066,0;656551,0;;620467,0;272716,0;;;;1147498,0;;1031615,0;7071165,0;0,350001163593487;0,07142814328545732;0,16393446675835222;-0,3800032515038205;;;0,13043534268986257;;-0,008474581485730104;-0,08547013638624334;0,08499910228020835;0,09999982082738335;0,020833314887215293;0,04395562459950364;;-0,11043009873962528;-0,04285659133743025;;;;-0,09313715030398728;;0,049740875700724496;0,19538299796277414
2001;360951,0;985833,0;14760507,0;112563,0;3415260,0;;1655513,0;1974605,0;17876989,0;6588317,0;1309985,0;731138,0;18666730,0;774039,0;;706049,0;331736,0;;;;1135093,0;;1105109,0;7559326,0;0,03703671780727458;0,10302993006993;0,11971827460071571;0,9677470106985526;0,0799999241053444;;0,04807694742626478;0,13000003433598217;0,008547013851070595;0,0467289229633141;0,29032305725357;0,19090845417985358;-0,04761902332369694;0,1789472561918266;;0,13793159023767587;0,21641561184528957;;;;-0,010810476358128707;;0,07124169384896506;0,06903544182606391
2002;278448,0;855833,0;14760507,0;97801,0;3257146,0;;1731454,0;1432899,0;18331489,0;6764790,0;785991,0;647420,0;18733397,0;621996,0;;804468,0;232012,0;;;;1209525,0;;970879,0;7293172,0;-0,22857119110350155;-0,13186817645585003;0,0;-0,13114433694908634;-0,04629632883001589;;0,045871581799720174;-0,27433638626459467;0,02542374445719009;0,02678574816603385;-0,4;-0,11450369150557071;0,0035714343112049907;-0,19642808695685876;;0,13939400806459612;-0,3006125352690091;;;;0,06557348164423527;;-0,12146313169108203;-0,03520869453176112
2003;283604,0;731250,0;14946174,0;103336,0;3352015,0;;1701077,0;1555220,0;17725489,0;7176560,0;706456,0;675326,0;19333399,0;573618,0;;556281,0;248293,0;;;;719512,0;;1100818,0;6063683,0;0,018516922369706368;-0,14556928746612952;0,01257863296972106;0,05659451334853416;0,029126419263981518;;-0,0175442142846417;0,08536610047184068;-0,0330578710763757;0,06086959092595623;-0,10119072610246171;0,0431033950140558;0,032028467661257665;-0,07777863523238093;;-0,3085107176419696;0,07017309449511222;;;;-0,4051284595192327;;0,1338364512982566;-0,16858083149554126
2004;244931,0;752917,0;13275173,0;82116,0;3288769,0;;1655513,0;1537745,0;18179989,0;6882439,0;725170,0;625095,0;18000061,0;587440,0;;509211,0;199449,0;;;4563404,0;1011039,0;;936786,0;5994716,0;-0,13636267471544827;0,0296300854700855;-0,11180125428755217;-0,20534953936672606;-0,01886805399140512;;-0,02678538361285232;-0,011236352413163453;0,025641041553211785;-0,040983563155606584;0,026489972482362623;-0,07438037333080616;-0,0689655243757189;0,024096175503558026;;-0,08461550906825865;-0,19671919868864607;;;;0,40517322852155346;;-0,14900919134679846;-0,011373780588464166
2005;296495,0;758333,0;13368006,0;86729,0;2846050,0;493190,0;1564384,0;1642592,0;20149488,0;5882426,0;968453,0;597189,0;19200065,0;559796,0;328886,0;320931,0;181132,0;;282843,0;4700306,0;1445227,0;;1006666,0;5960284,0;0,21052459672315882;0,007193355974164373;0,006992978547247564;0,05617662818451952;-0,13461541385241715;;-0,05504577735118965;0,068182305908977;0,10833334387606075;-0,14529921732688078;0,3354840933849994;-0,044642814292227606;0,06666666296297552;-0,047058422987879656;;-0,3697484932572156;-0,09183801372782019;;;0,029999973703840332;0,42944733091403986;;0,07459547858315552;-0,005743724973793607
2006;232040,0;687917,0;11975506,0;69198,0;3162278,0;537578,0;1549195,0;1415425,0;19240488,0;6294196,0;711135,0;541377,0;17266725,0;476863,0;473596,0;474979,0;148569,0;267182,0;475176,0;4015796,0;1128890,0;;828182,0;5210826,0;-0,2173898379399315;-0,09285630455222182;-0,1041666199132466;-0,20213538724071534;0,111111189192038;0,09000182485451846;-0,00970925297113756;-0,1382978852934874;-0,045112808821742734;0,07000003059962001;-0,2657000391345785;-0,09345785002737828;-0,10069445077399475;-0,14814861127982337;0,4400004864907596;0,48000348984672714;-0,17977497073957116;;0,679999151472725;-0,14563094402789944;-0,21888395387022241;;-0,17730210417357894;-0,12574199484454096
2007;345482,0;937083,0;12718173,0;119021,0;3162278,0;720058,0;1792206,0;1992079,0;20149488,0;6411845,0;1426948,0;764625,0;19600066,0;670373,0;786038,0;603351,0;213695,0;237792,0;540230,0;4061430,0;1240539,0;;1018971,0;6651971,0;0,48888984657817613;0,36220357979232953;0,06201550063938832;0,7200063585652765;0,0;0,3394484149276942;0,15686275775483405;0,40740696257307873;0,04724412395361277;0,018691664511241823;1,0065782165130388;0,4123706769958828;0,13513512261300265;0,40579789163764013;0,6597226327925068;0,2702687908307526;0,43835524234530765;-0,10999992514465795;0,13690506254524637;0,011363625044698455;0,09890157588427573;;0,23037086051133682;0,2765674770180391
2008;384155,0;969583,0;13460840,0;104259,0;3541751,0;739786,0;1822583,0;2236720,0;20300988,0;7000087,0;1740409,0;742301,0;20000067,0;656551,0;450574,0;590514,0;227942,0;205730,0;407294,0;3787625,0;1699538,0;;1053064,0;7185760,0;0,1119392616692041;0,034682093261749536;0,05839415771431944;-0,12402853277992965;0,11999988615801649;0,027397792955567546;0,016949502456748755;0,12280687663491263;0,007518801470290493;0,09174301624571402;0,21967233564222388;-0,02919601111656045;0,020408145564407842;-0,02061837215997664;-0,4267783491383368;-0,0212761725761621;0,06666978637778143;-0,1348321221908222;-0,2460729689206449;-0,06741591015972204;0,3699996533764758;;0,033458263287178935;0,08024523859168964
2009;291339,0;899167,0;11418505,0;112563,0;3383637,0;729922,0;1670701,0;1782387,0;19088989,0;7294208,0;1586018,0;602770,0;17200058,0;559796,0;378219,0;774515,0;250329,0;208402,0;404465,0;3513821,0;917999,0;16192,0;850535,0;5787918,0;-0,24161080813734037;-0,07262503571122847;-0,1517241866035106;0,07964780018991169;-0,04464288991518606;-0,013333585658555358;-0,08333337905598814;-0,20312466468757828;-0,05970147856843222;0,04201676350593919;-0,08870960791400184;-0,1879709174580123;-0,1399999810000636;-0,1473685974128438;-0,16058405500539308;0,3115946446654949;0,09821358064770869;0,012987896757886475;-0,006945842560901916;-0,07228909936965777;-0,4598537955609112;;-0,19232354348833502;-0,19452945826189572
2010;265557,0;292500,0;10954339,0;103336,0;3604997,0;734854,0;1290996,0;1432899,0;15301491,0;7000087,0;608207,0;680907,0;15866720,0;552885,0;638039,0;616188,0;205554,0;243135,0;345068,0;3833259,0;365959,0;20758,0;803007,0;3986091,0;-0,08849484621008519;-0,6746989157742667;-0,04065033031907417;-0,0819718735286018;0,06542072923307085;0,0067568863522404765;-0,22727286330707885;-0,19607862938856713;-0,19841270797526256;-0,04032254084336506;-0,6165194846464541;0,12962987540853055;-0,07751938976019734;-0,01234556874289916;0,6869564987480798;-0,20442083110075338;-0,17886461416775523;0,16666346772103924;-0,14685325059028598;0,09090901329350576;-0,6013514175941368;0,28199110671936767;-0,055880122511125396;-0,31130831501068257
2011;250087,0;260000,0;10211671,0;106104,0;3510129,0;769377,0;1199867,0;1485322,0;14998491,0;7058911,0;472530,0;641839,0;13933380,0;518330,0;509773,0;885771,0;250329,0;235120,0;395980,0;4243966,0;272918,0;16814,0;636265,0;3744017,0;-0,05825491325779397;-0,11111111111111116;-0,06779669681575495;0,026786405512115863;-0,026315694576167448;0,04697939998965772;-0,0705881350523162;0,036585272234819;-0,019801991845108446;0,008403324130114465;-0,2230770116095343;-0,057376411169219876;-0,12184875008823504;-0,062499434783001906;-0,2010315983819171;0,4375012171609962;0,21782597273709103;-0,03296522508071642;0,14754193376378;0,10714303416492332;-0,254238862823431;-0,189999036516042;-0,20764700681314108;-0,060729672252841205
2012;268135,0;390000,0;10583005,0;75657,0;2940919,0;651011,0;1366937,0;1432899,0;17876989,0;7176560,0;912311,0;591608,0;16533389,0;428486,0;141421,0;547723,0;211660,0;219089,0;291328,0;4472136,0;527229,0;24495,0;767333,0;4695416,0;0,07216688592369858;0,5;0,03636368621746633;-0,28695430897986884;-0,1621621313632633;-0,15384655377012835;0,1392404324812666;-0,03529403051998148;0,19191917373554457;0,01666673513804051;0,9306943474488392;-0,07826105923759696;0,1866028917606497;-0,1733335905697143;-0,7225804426676188;-0,3816426593329427;-0,15447271390849637;-0,06818220483157533;-0,2642860750542957;0,05376339018738596;0,9318220124726109;0,4568216962055429;0,2059959293690523;0,25411182694950374
2013;239775,0;411667,0;10211671,0;76580,0;2782805,0;552373,0;1260620,0;1258155,0;19391988,0;7176560,0;804705,0;524634,0;15533386,0;373197,0;180887,0;517769,0;152639,0;229776,0;274358,0;4837208,0;707107,0;10172,0;624298,0;4046187,0;-0,1057676170585713;0,05555641025641034;-0,035087765714936325;0,012199796449766653;-0,053763466453853326;-0,15151510496750442;-0,07777754205204779;-0,12195137270665968;0,08474575891946912;0,0;-0,1179488135076745;-0,11320671796189363;-0,06048384877413815;-0,12903338732187286;0,27906746522793635;-0,054688227443434045;-0,2788481526977228;0,0487792632217956;-0,05825049428822493;0,08163258004676055;0,3411762251317738;-0,5847315778730353;-0,18640538071476143;-0,1382686858842752
2014;304230,0;639167,0;11975506,0;88574,0;3352015,0;877879,0;1609948,0;1695015,0;20755488,0;7823627,0;1197701,0;764625,0;20466736,0;518330,0;568973,0;594793,0;227942,0;261838,0;480833,0;5111013,0;1104079,0;21174,0;932946,0;5661283,0;0,2688145136065061;0,5526311314727681;0,1727273626422159;0,1566205275528858;0,20454541371026713;0,5892865871431081;0,2771080896701623;0,3472227189813655;0,07031254351023741;0,09016395041635539;0,48837275771866717;0,4574446185340637;0,31759656265543135;0,38889112184717445;2,1454609784008802;0,14876132020263855;0,49334049620346043;0,13953589582898118;0,7525751026031682;0,05660393350875137;0,5614030125567984;1,0815965395202518;0,494392101208077;0,39916494220361054
2015;435719,0;845000,0;13646506,0;143933,0;3636620,0;1109678,0;1716265,0;2359041,0;19240488,0;7470681,0;1567304,0;848344,0;20733403,0;656551,0;345330,0;928562,0;512868,0;376726,0;709936,0;;1476241,0;21796,0;1005650,0;7008640,0;0,43220260986753445;0,3220332088483917;0,13953481381079014;0,6250028224987016;0,08490564630528197;0,26404436146667143;0,06603753661608947;0,39175228537800555;-0,07299274293141167;-0,045112835772973314;0,30859371412397585;0,1094902730096452;0,013029288109251969;0,26666602357571434;-0,3930643457598164;0,5611515266655795;1,249993419378614;0,4387751204943515;0,47647104088113745;0,0;0,33707914017022333;0,02937564938131665;0,07792948359283391;0,23799499159466153
2016;399624,0;888333,0;14482007,0;178993,0;3699865,0;917334,0;1883336,0;2568734,0;20149488,0;;1412912,0;876250,0;22666743,0;822417,0;1124790,0;868654,0;441637,0;248479,0;780647,0;;1240539,0;20966,0;1065596,0;6967766,0;-0,08284008730397341;0,05128165680473362;0,06122453615599488;0,24358555716896046;0,017391148924000843;-0,1733331651163671;0,09734568962252332;0,08888908670938744;0,04724412395361277;0,0;-0,09850801120905706;0,03289467480173136;0,09324759664392768;0,2526323164537103;2,257145339240726;-0,0645169627876222;-0,1388875890092578;-0,3404251365714074;0,099601935949156;0,0;-0,15966363215762192;-0,03808038172141681;0,059609207974941514;-0,0058319445712720075
